player_name,bet365,baseline,baseline_history_fit
Scottie Scheffler,4.75,6.905282541143959,7.491571981520807
Collin Morikawa,11.0,12.1580547112462,10.5318588730911
Russell Henley,23.0,37.174721189591075,23.677979479084467
Corey Conners,23.0,29.354207436399186,26.869682042095807
Patrick Cantlay,17.0,32.80481137233465,31.18503118503115
Ludvig Aberg,13.0,22.455089820359298,34.013605442176875
Tommy Fleetwood,31.0,35.608308605341286,34.20752565564428
Justin Thomas,21.0,28.5035629453682,35.419126328217274
Aaron Rai,41.0,46.62004662004662,36.78724708767632
Shane Lowry,29.0,46.11837048424296,42.73504273504273
Xander Schauffele,15.0,33.70786516853929,43.8276113951789
Robert MacIntyre,46.0,39.89361702127655,47.05882352941176
Sepp Straka,36.0,62.11180124223603,47.09576138147575
Daniel Berger,34.0,60.24096385542168,49.26108374384237
Denny McCarthy,51.0,64.65517241379297,52.03816131829999
Sungjae Im,36.0,57.0342205323195,52.447552447552354
Jason Day,41.0,64.65517241379297,58.53658536585377
J.T. Poston,61.0,88.10572687224669,60.91370558375622
Viktor Hovland,29.0,55.45286506469511,67.34006734006734
J.J. Spaun,61.0,72.6392251815979,70.92198581560284
Maverick McNealy,61.0,76.33587786259541,78.63695937090411
Jordan Spieth,36.0,83.2177531206655,79.4701986754969
Davis Thompson,67.0,66.2251655629139,79.57559681697592
Lucas Glover,101.0,151.51515151515153,81.0810810810813
Akshay Bhatia,61.0,77.61966364812439,82.3045267489712
Will Zalatoris,81.0,79.57559681697592,87.59124087591215
Harris English,71.0,110.49723756906076,89.02077151335338
Wyndham Clark,56.0,70.58823529411748,92.7357032457499
Keegan Bradley,71.0,75.47169811320755,93.0232558139535
Nick Taylor,126.0,138.24884792626793,94.19152276295104
Bud Cauley,67.0,92.87925696594398,95.84664536741245
Si Woo Kim,81.0,130.4347826086968,98.0392156862745
Michael Kim,76.0,81.85538881309664,98.36065573770459
Brian Harman,67.0,162.60162601626016,100.16694490818062
Justin Rose,67.0,117.87819253438161,101.010101010101
Taylor Pendrith,81.0,80.0,118.3431952662722
Byeong Hun An,76.0,73.34963325183392,121.2121212121212
Min Woo Lee,61.0,69.04487917146162,125.78616352201257
Billy Horschel,91.0,165.74585635359207,127.93176972281559
Tony Finau,76.0,115.83011583011627,128.75536480686807
Jacob Bridgeman,111.0,108.49909584086878,131.00436681222763
Matt Kuchar,176.0,458.0152671755795,143.5406698564607
Sahith Theegala,76.0,120.96774193548485,151.51515151515153
Andrew Novak,126.0,131.00436681222763,155.84415584415746
Tom Hoge,71.0,168.53932584269756,156.25
Matt Fitzpatrick,71.0,205.47945205479735,162.60162601626016
Sam Burns,81.0,143.1980906921248,162.60162601626016
Joe Highsmith,151.0,137.61467889908383,168.0672268907563
Mackenzie Hughes,126.0,194.17475728155338,181.81818181818184
Christiaan Bezuidenhout,176.0,322.5806451612903,188.0877742946732
Ryo Hisatsune,151.0,208.33333333333334,192.9260450160784
Thomas Detry,126.0,155.84415584415746,193.5483870967767
Brian Campbell,251.0,422.53521126761757,207.61245674740772
Ryan Gerard,126.0,181.81818181818184,218.9781021897842
Austin Eckroat,226.0,252.10084033613867,242.91497975708896
Rickie Fowler,126.0,256.4102564102564,251.04602510460464
Adam Scott,151.0,217.3913043478261,283.018867924531
Stephan Jaeger,126.0,172.9106628242085,284.3601895734651
Sam Stevens,176.0,216.60649819494898,285.7142857142857
Max Greyserman,151.0,206.89655172413936,303.03030303030306
Chris Kirk,251.0,329.67032967033333,327.86885245901635
Patrick Rodgers,111.0,263.1578947368421,327.86885245901635
Eric Cole,176.0,340.9090909090948,359.2814371257528
Max Homa,101.0,331.49171270718966,375.0000000000094
Cam Davis,251.0,444.44444444444446,422.53521126761757
Gary Woodland,151.0,272.7272727272777,465.1162790697674
Sami Valimaki,226.0,504.20168067227735,476.1904761904762
Cameron Young,201.0,283.018867924531,521.7391304348008
Adam Hadwin,351.0,625.0,526.3157894736842
Matthieu Pavon,751.0,1176.4705882352941,1200.000000000048
Karl Vilips,351.0,1224.4897959184673,2000.0
Nick Dunlap,351.0,5000.0,8571.42857143347
