player_name,Events,Av Score,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ludvig Aberg,1,70.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Scottie Scheffler,5,70.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,18,1,10,1
Jordan Spieth,11,70.95,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,11,3,21,46,3,MC,4,MC
Jon Rahm,8,70.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,4,9,7,5,27,1,45
Will Zalatoris,3,71.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,9
Collin Morikawa,5,71.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,18,5,10,3
Xander Schauffele,7,71.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,2,17,3,MC,10,8
Phil Mickelson,22,71.42,3,3,1,10,1,24,5,5,1,27,3,54,MC,2,MC,22,36,18,55,21,-,2,43
Cameron Smith,8,71.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,5,51,2,10,3,34,6
Rory McIlroy,16,71.60,-,-,-,-,-,-,-,20,MC,15,40,25,8,4,10,7,5,21,5,MC,2,MC,22
Hideki Matsuyama,13,71.72,-,-,-,-,-,-,-,-,-,27,54,-,MC,5,7,11,19,32,13,1,14,16,38
Dustin Johnson,14,71.80,-,-,-,-,-,-,-,30,38,38,-,13,MC,6,4,-,10,2,1,MC,12,48,MC
Brooks Koepka,9,71.81,-,-,-,-,-,-,-,-,-,-,-,-,-,33,21,11,-,2,7,MC,MC,2,45
Tony Finau,7,71.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,5,38,10,35,26,55
Justin Rose,19,71.90,-,39,22,-,-,5,36,20,-,11,8,25,14,2,10,2,12,MC,23,7,MC,16,MC
Patrick Reed,11,71.93,-,-,-,-,-,-,-,-,-,-,-,-,MC,22,49,MC,1,36,10,8,35,4,12
Justin Thomas,9,71.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,22,17,12,4,21,8,MC,MC
Jason Day,13,71.98,-,-,-,-,-,-,-,-,-,2,WD,3,20,28,10,22,20,5,MC,MC,-,39,30
Tommy Fleetwood,8,72.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,17,36,19,46,14,33,3
Robert MacIntyre,2,72.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,23,-,-
Sungjae Im,5,72.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,MC,8,16,MC
Corey Conners,7,72.17,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,46,10,8,6,MC,38
Viktor Hovland,5,72.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,21,27,7,MC
Adam Schenk,1,72.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
Matthieu Pavon,1,72.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
Matthew Fitzpatrick,10,72.32,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,7,32,38,21,46,34,14,10,22
Patton Kizzire,2,72.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,18,-,-,-,-,-
Russell Henley,8,72.33,-,-,-,-,-,-,-,-,-,-,-,MC,31,21,-,11,15,-,-,-,30,4,38
Tom Kim,2,72.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,30
Cameron Young,3,72.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7,9
Patrick Cantlay,8,72.46,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,MC,9,17,MC,39,14,22
Bubba Watson,16,72.47,-,-,-,-,-,-,20,42,-,38,1,50,1,37,37,MC,5,12,57,26,39,MC,MC
An Byeong-Hun,2,72.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,16
Nicolai Hojgaard,1,72.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
Sahith Theegala,2,72.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,45
Adam Scott,23,72.58,9,23,MC,33,27,27,25,MC,18,2,8,1,14,37,42,9,32,18,34,54,48,39,22
Chris Kirk,5,72.67,-,-,-,-,-,-,-,-,-,-,-,-,20,33,MC,-,-,-,-,-,-,23,16
Charl Schwartzel,15,72.70,-,-,-,-,-,-,-,-,30,1,50,25,MC,37,MC,3,MC,MC,25,26,10,50,MC
Bryson DeChambeau,8,72.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,38,29,34,46,MC,MC,6
J.J Spaun,1,72.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-
Shane Lowry,9,72.80,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,39,MC,-,MC,25,21,3,16,43
Angel Cabrera,18,72.82,9,15,MC,MC,8,37,25,1,18,7,32,2,MC,22,24,MC,MC,MC,-,-,-,-,-
Christiaan Bezuidenhout,3,73.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,40,44,-,-
Danny Willett,10,73.03,-,-,-,-,-,-,-,-,-,-,-,-,-,37,1,MC,MC,MC,25,MC,12,MC,45
Sergio Garcia,22,73.04,8,28,4,MC,46,MC,MC,38,45,35,12,8,MC,17,34,1,MC,MC,-,MC,23,MC,MC
Keegan Bradley,8,73.10,-,-,-,-,-,-,-,-,-,-,27,54,MC,22,52,-,-,43,-,-,-,23,22
Joaquin Niemann,5,73.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,40,35,16,22
Sepp Straka,3,73.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,46,16
Fred Couples,22,73.19,36,28,6,39,3,30,MC,MC,6,15,12,13,20,MC,-,18,38,MC,MC,MC,MC,50,MC
MinWoo Lee,3,73.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,MC,22
JT Poston,3,73.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,34,30
Max Homa,5,73.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,48,43,3
Daniel Berger,5,73.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,27,32,-,-,MC,50,-,-
Zach Johnson,20,73.34,-,-,-,MC,32,1,20,MC,42,MC,32,35,MC,9,MC,MC,36,58,51,MC,MC,34,MC
Akshay Bhatia,1,73.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35
Harris English,5,73.50,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,42,-,-,-,-,21,-,43,22
Tyrrell Hatton,8,73.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,44,56,MC,18,52,34,9
Cameron Davis,2,73.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,-,12
Vijay Singh,23,73.67,7,6,6,5,8,13,14,30,MC,MC,27,38,37,53,MC,MC,49,MC,WD,MC,MC,MC,58
Brian Harman,6,73.69,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,44,-,-,12,MC,MC,MC
Billy Horschel,9,73.78,-,-,-,-,-,-,-,-,-,-,-,-,37,MC,17,-,MC,56,38,50,43,52,-
Bernhard Langer,21,73.78,32,MC,4,20,MC,MC,MC,MC,MC,-,MC,25,8,MC,24,MC,38,62,29,MC,MC,MC,-
Nick Taylor,2,73.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,MC
Tom Hoge,2,73.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,MC,-
Sam Burns,3,73.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,29,MC
Lucas Glover,10,73.94,-,-,-,-,MC,20,-,-,36,MC,MC,49,42,-,-,-,-,-,MC,-,30,-,20
Mike Weir,23,74.03,24,1,MC,5,11,20,17,46,43,MC,MC,MC,44,MC,MC,MC,MC,MC,51,MC,MC,MC,MC
Jhonattan Vegas,3,74.13,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,38,-,-,-,-,-,-
Denny McCarthy,1,74.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45
Jose Maria Olazabal,21,74.45,4,8,30,MC,3,44,MC,MC,-,MC,MC,50,34,MC,-,MC,MC,MC,MC,50,MC,MC,45
Austin Eckroat,1,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC
Nick Dunlap,1,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC
Wyndham Clark,1,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC
Michael Kim,1,77.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-
Stephan Jaeger,1,77.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC
Aaron Rai,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brian Campbell,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Davis Riley,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Davis Thompson,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Evan Beck,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hiroshi Tai,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Joe Highsmith,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jose Luis Ballester,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Justin Hastings,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kevin Yu,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Laurie Canter,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Matt McCarty,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Maverick McNealy,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Max Greyserman,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicolas Echavarria,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Noah Kent,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rafael Campos,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rasmus Hojgaard,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taylor Pendrith,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thomas Detry,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thriston Lawrence,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
