player_name,course_history_score
Scottie Scheffler,3.778
Sahith Theegala,1.318
Patrick Cantlay,2.667
Wyndham Clark,1.344
Justin Thomas,1.904
JT Poston,1.635
Patrick Rodgers,2.05
Sepp Straka,2.25
Collin Morikawa,2.1
Ludvig Aberg,4.2
Chris Kirk,1.227
Sungjae Im,1.75
Brian Harman,2.062
Russell Henley,2.763
Tony Finau,1.333
Austin Eckroat,1.25
Jason Day,1.703
Xander Schauffele,1.5
Tom Hoge,1.812
Akshay Bhatia,2.25
Stephan Jaeger,1.391
Rickie Fowler,1.078
Siwoo Kim,1.8
Harris English,1.958
Denny McCarthy,1.538
Matthew Fitzpatrick,2.239
Christiaan Bezuidenhout,1.236
Thomas Detry,2.304
Eric Cole,1.143
Lucas Glover,1.471
Jordan Spieth,2.286
Mackenzie Hughes,0.912
Adam Hadwin,0.9
Justin Rose,2.286
Corey Conners,2.115
Sam Burns,1.333
Will Zalatoris,1.0
Tommy Fleetwood,2.091
Nick Taylor,1.068
Cameron Davis,2.7
Matthieu Pavon,0.518
Max Homa,0.875
Keegan Bradley,1.236
Jake Knapp,1.333
Cameron Young,1.429
Shane Lowry,2.125
Gary Woodland,1.312
An Byeong-Hun,1.5
Nick Dunlap,1.0
Daniel Berger,2.0
Viktor Hovland,3.3
Aaron Rai,1.446
Michael Kim,1.8
Brian Campbell,3.667
Maverick McNealy,1.9
Max Greyserman,1.333
Davis Thompson,1.143
MinWoo Lee,2.732
J.J Spaun,1.736
Nicolas Echavarria,0.825
Andrew Novak,2.25
Benjamin Griffin,1.458
Bud Cauley,2.375
Jacob Bridgeman,2.2
Karl Vilips,3.667
Ryan Gerard,2.0
Ryo Hisatsune,2.875
Sami Valimaki,1.429
Samuel Stevens,1.446
Adam Scott,0.825
Billy Horschel,1.773
Jhonattan Vegas,0.8
Joe Highsmith,4.0
Robert MacIntyre,2.0
Taylor Pendrith,2.225
