base_url,params,full_url
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=win&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=win&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=win&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=win&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=top_5&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=top_5&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=top_5&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=top_5&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=top_10&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=top_10&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=top_10&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=top_10&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=top_20&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=top_20&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=top_20&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=top_20&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=make_cut&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=make_cut&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=make_cut&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=make_cut&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=mc&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=mc&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2019&market=mc&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2019&market=mc&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=win&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=win&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=win&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=win&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=top_5&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=top_5&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=top_5&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=top_5&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=top_10&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=top_10&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=top_10&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=top_10&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=top_20&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=top_20&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=top_20&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=top_20&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=make_cut&book=bet365&odds_format=decimal&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=make_cut&book=bet365&odds_format=decimal&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
https://feeds.datagolf.com/historical-odds/outrights,tour=pga&event_id=all&year=2020&market=make_cut&book=bet365&odds_format=fraction&file_format=json,https://feeds.datagolf.com/historical-odds/outrights?tour=pga&event_id=all&year=2020&market=make_cut&book=bet365&odds_format=fraction&file_format=json&key=27ae4c1d702ce9a899bb4ff56cf9
