am,country,datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,player_name,primary_tour
0,USA,1,18417,2.72220988295962,1,Scottie Scheffler,PGA
0,NIR,2,10091,2.40023644942016,2,Rory McIlroy,PGA
0,USA,3,22085,2.03236828885213,4,Collin Morikawa,PGA
0,ESP,4,19195,1.91939256213797,69,Jon Rahm,LIV
0,USA,5,14139,1.61821676591802,8,Justin Thomas,PGA
0,USA,6,19895,1.61434892539306,3,Xander Schauffele,PGA
0,USA,7,19841,1.6123908038682,11,Bryson DeChambeau,LIV
0,USA,8,14578,1.58577540934324,7,Russell Henley,PGA
0,CAN,9,17576,1.50759167518381,21,Corey Conners,PGA
0,ENG,10,12294,1.46184955951646,12,Tommy Fleetwood,PGA
0,CHI,11,18079,1.45605740197738,81,Joaquin Niemann,LIV
0,USA,12,15466,1.43048677937385,16,Patrick Cantlay,PGA
0,ENG,13,14796,1.42626082920115,18,Tyrrell Hatton,LIV
0,JPN,14,13562,1.42300614993074,6,Hideki Matsuyama,PGA
0,IRL,15,13900,1.41474534237181,15,Shane Lowry,PGA
0,SWE,16,23950,1.38149600921938,5,Ludvig Aberg,PGA
0,AUT,17,17511,1.22725753223237,17,Sepp Straka,PGA
0,USA,18,19870,1.19173876545988,41,Denny McCarthy,PGA
0,SCO,19,23323,1.18312649302973,20,Robert MacIntyre,PGA
0,ESP,20,5689,1.14540047467288,394,Sergio Garcia,LIV
0,KOR,21,17488,1.14449926763404,22,Sungjae Im,PGA
0,AUS,22,9771,1.13363750016436,31,Jason Day,PGA
0,ENG,23,18554,1.10360148267469,28,Aaron Rai,PGA
0,NOR,24,18841,1.07042783739542,9,Viktor Hovland,PGA
0,USA,25,13872,1.06606121722499,19,Keegan Bradley,PGA
0,USA,26,17543,1.06386464511209,51,Michael Kim,PGA
0,USA,27,17606,1.05974821514508,40,Daniel Berger,PGA
0,USA,28,14838,1.02297419985705,49,Patrick Reed,LIV
0,USA,29,17536,1.02098822444928,29,J.J. Spaun,PGA
0,USA,30,26096,1.00607476769289,26,Akshay Bhatia,PGA
0,AUS,31,16841,0.981333033813075,25,Min Woo Lee,PGA
0,USA,32,18634,0.934001806067572,10,Maverick McNealy,PGA
0,USA,33,7399,0.910258671595026,34,Lucas Glover,PGA
0,CAN,34,17780,0.856664697819497,43,Taylor Pendrith,PGA
0,KOR,35,14459,0.840746615986073,37,Byeong Hun An,PGA
0,KOR,36,14609,0.82510942743298,72,Si Woo Kim,PGA
0,USA,37,29433,0.825104965908313,71,Jacob Bridgeman,PGA
0,USA,38,21554,0.820102439425554,47,J.T. Poston,PGA
0,USA,39,23604,0.817709102980532,14,Wyndham Clark,PGA
0,USA,40,27364,0.803779916317149,50,Davis Thompson,PGA
0,USA,41,14577,0.80261904788577,33,Harris English,PGA
0,USA,42,19483,0.802371252483289,39,Sam Burns,PGA
0,USA,43,24968,0.793481280680252,55,Ben Griffin,PGA
0,USA,44,14636,0.78185829841077,58,Jordan Spieth,PGA
0,MEX,45,14735,0.773409058475044,215,Carlos Ortiz,LIV
0,ESP,46,28984,0.761541990436238,101,David Puig,LIV
0,USA,47,16243,0.748341583694039,263,Brooks Koepka,LIV
0,USA,48,11676,0.730718290116575,38,Tony Finau,PGA
0,ENG,49,27194,0.721790899418255,95,Harry Hall,PGA
0,USA,50,8825,0.720264140805966,24,Brian Harman,PGA
0,RSA,51,14424,0.711266639616904,157,Dean Burmester,LIV
0,ENG,52,6093,0.707024387105921,12,Justin Rose,PGA
0,USA,53,14502,0.690690343331878,86,Bud Cauley,PGA
0,USA,54,23465,0.688833022199372,44,Max Greyserman,PGA
0,AUS,55,6430,0.677034252832842,35,Adam Scott,PGA
0,USA,56,29767,0.674715847535622,83,Ryan Gerard,PGA
0,USA,57,11276,0.671542401095759,23,Billy Horschel,PGA
0,NIR,58,22322,0.668779216599377,119,Tom McKibbin,EURO
0,USA,59,19428,0.664205105459731,68,Will Zalatoris,PGA
0,GER,60,16394,0.661134620192973,45,Stephan Jaeger,PGA
0,USA,61,15575,0.648159098649513,42,Tom Hoge,PGA
0,AUS,62,7649,0.632004763702014,461,Marc Leishman,LIV
0,DEN,63,23841,0.624206162264313,80,Rasmus Neergaard-Petersen,EURO
0,USA,64,23475,0.612404773184978,62,Andrew Novak,PGA
0,COL,65,20770,0.611715087215493,501,Sebastian Munoz,LIV
0,USA,66,14013,0.603851320065666,501,Cameron Tringale,LIV
0,USA,67,23014,0.599832328115182,27,Sahith Theegala,PGA
0,USA,68,21944,0.598221161311438,85,Taylor Moore,PGA
0,USA,69,17365,0.594420313012289,98,Keith Mitchell,PGA
1,USA,70,32330,0.58237482765278,99,Luke Clanton,PGA
0,AUS,71,15856,0.575568876559293,127,Cameron Smith,LIV
0,USA,72,28469,0.567257147680112,64,Joe Highsmith,PGA
0,CAN,73,15556,0.563871930938582,65,Mackenzie Hughes,PGA
0,CAN,74,13126,0.555607914929866,32,Nick Taylor,PGA
0,DEN,75,13412,0.547552072532803,82,Thorbjorn Olesen,EURO
0,AUS,76,17064,0.536702700733135,290,Lucas Herbert,LIV
0,KOR,77,24766,0.530999359656999,36,Tom Kim,PGA
0,USA,78,18474,0.530601184954655,126,Alex Smalley,PGA
0,RSA,79,7672,0.526953585215996,270,Louis Oosthuizen,LIV
0,MEX,80,18238,0.501888100200241,447,Abraham Ancer,LIV
0,USA,81,25157,0.501497186970128,94,Lee Hodges,PGA
0,ENG,82,7108,0.483211414412528,501,Paul Casey,LIV
0,USA,83,6169,0.481316538132406,129,Matt Kuchar,PGA
0,BEL,84,14181,0.477399925541953,30,Thomas Detry,PGA
0,USA,85,28635,0.471860023419812,52,Matt McCarty,PGA
0,USA,86,16283,0.471380933446421,74,Patrick Rodgers,PGA
0,RSA,87,18103,0.451434026767002,59,Christiaan Bezuidenhout,PGA
0,USA,88,25569,0.446051545651067,78,Sam Stevens,PGA
0,DEN,89,23838,0.439305366201441,54,Rasmus Hojgaard,EURO
0,USA,90,21756,0.419661068147759,63,Eric Cole,PGA
0,IRL,91,10104,0.408361151237423,118,Seamus Power,PGA
0,ENG,92,14795,0.40295926406888,53,Laurie Canter,EURO
0,USA,93,12577,0.402939703216957,91,Gary Woodland,PGA
0,JPN,94,21074,0.397085491990956,102,Keita Nakajima,EURO
0,USA,95,24550,0.395937446149343,109,Doug Ghim,PGA
0,USA,96,25094,0.376195282220456,105,Patrick Fishburn,PGA
0,USA,97,14704,0.373589719793265,150,Andrew Putnam,PGA
0,USA,98,11357,0.356545322938788,154,Peter Uihlein,LIV
0,TPE,99,17881,0.355693463782698,79,Kevin Yu,PGA
0,USA,100,15004,0.350106418128032,134,Chan Kim,PGA
0,ENG,101,17646,0.3493527113436,75,Matt Fitzpatrick,PGA
0,USA,102,23505,0.347204140297189,76,Max McGreevy,PGA
0,USA,103,6986,0.346225987893619,165,Zach Johnson,PGA
0,SWE,104,26850,0.337590844906679,110,Jesper Svensson,PGA
0,USA,105,16715,0.336256610222369,147,Sam Ryder,PGA
0,RSA,106,7398,0.332917084448262,351,Charl Schwartzel,LIV
0,ENG,107,20706,0.325996136629355,89,Matt Wallace,PGA
0,USA,108,21891,0.325787514990853,108,Kurt Kitayama,PGA
0,JPN,109,22760,0.320826935648671,90,Ryo Hisatsune,PGA
0,PHI,110,23504,0.314426922040477,122,Rico Hoey,PGA
0,SWE,111,11657,0.309783584571241,172,Henrik Norlander,PGA
0,USA,112,12965,0.307616207444937,114,Rickie Fowler,PGA
0,USA,113,26653,0.301594527833874,57,Austin Eckroat,PGA
0,NZL,114,11889,0.274120153404798,111,Ryan Fox,PGA
0,RSA,115,7677,0.266907932510468,100,Shaun Norris,JPN
0,ENG,116,18586,0.263772453835229,123,Jordan Smith,EURO
0,FRA,117,20730,0.2543375458859,104,Victor Perez,PGA
0,USA,118,28159,0.242934951575973,158,Mac Meissner,PGA
0,ENG,119,25601,0.238605767868584,125,Matthew Jordan,EURO
0,USA,120,15470,0.233064459675151,92,Beau Hossler,PGA
0,USA,121,32457,0.230115701268698,155,Johnny Keefer,KFT
0,COL,122,22833,0.228510035109686,48,Nico Echavarria,PGA
0,USA,123,12423,0.227063441862754,77,Chris Kirk,PGA
0,USA,124,17723,0.22347941401356,93,Justin Lower,PGA
0,USA,125,18628,0.218914996913822,107,Brian Campbell,KFT
0,FRA,126,14792,0.213814919556129,181,Adrien Saddier,EURO
0,USA,127,27996,0.211462696321906,238,Quade Cummins,PGA
0,USA,128,19396,0.187696718872101,88,Jake Knapp,PGA
0,DEN,129,15676,0.172901752582997,106,Niklas Norgaard,EURO
0,NED,130,10158,0.171952620928965,204,Joost Luiten,EURO
0,ENG,131,6516,0.159379501802027,501,Richard Bland,LIV
0,DEN,132,23602,0.155396117625265,87,Nicolai Hojgaard,PGA
0,USA,133,14509,0.144722525123477,176,Joel Dahmen,PGA
0,USA,134,5768,0.140094931153922,115,Charley Hoffman,PGA
0,IND,135,12669,0.13727745629674,501,Anirban Lahiri,LIV
0,USA,136,27164,0.120894850544715,153,Chandler Phillips,PGA
0,USA,137,26651,0.106081211876142,61,Cameron Young,PGA
0,USA,138,18424,0.104351696408915,194,Kevin Roy,PGA
0,ENG,139,13764,0.101594991485739,103,John Parry,EURO
0,RSA,140,16896,0.0946638640900243,178,Jacques Kruyswijk,EURO
0,RSA,141,15193,0.0945549302272645,144,Daniel Van Tonder,AFR
0,RSA,142,15229,0.0941259076576538,241,Brandon Stone,EURO
0,USA,143,26657,0.0887599492192767,159,Steven Fisk,PGA
0,JPN,144,19729,0.0803783500829679,184,Takumi Kanaya,PGA
0,CAN,145,13965,0.0796211898431688,84,Adam Hadwin,PGA
0,USA,146,27183,0.0752881995168552,162,Isaiah Salinda,PGA
0,USA,147,17538,0.0724341246639286,67,Max Homa,PGA
0,ARG,148,12808,0.0723487058068345,138,Emiliano Grillo,PGA
0,USA,149,21995,0.068895522339069,131,Hayden Springer,PGA
0,ITA,150,11460,0.0494415492507141,121,Matteo Manassero,PGA
0,FIN,151,23816,0.0382537796882132,112,Sami Valimaki,PGA
0,ESP,152,26745,0.0255489292914914,167,Eugenio Chacarra,ASA
0,USA,153,25908,0.0188478540864589,151,Vince Whaley,PGA
0,SWE,154,18517,0.0185748773405252,137,Sebastian Soderberg,EURO
0,RSA,155,17550,0.0148464701850015,96,Erik Van Rooyen,PGA
0,POL,156,14196,0.0124781597618929,205,Adrian Meronk,LIV
0,FRA,157,10201,0.0123206827096938,136,Julien Guerrier,EURO
0,USA,158,12422,0.0065571383144584,501,Dustin Johnson,LIV
0,USA,159,23656,0.003249969607635,156,Carson Young,PGA
0,GER,160,20722,0.0016862584155172,120,Matti Schmid,PGA
0,JPN,161,20954,-0.0013051306493148,115,Kensei Hirata,JPN
0,AUS,162,17786,-0.0027450669335302,60,Cam Davis,PGA
0,USA,163,28309,-0.0145653843284247,180,Pierceson Coody,PGA
0,USA,164,23482,-0.0257046360470042,182,Greyson Sigg,PGA
0,USA,165,27819,-0.0258187149414532,231,Ricky Castillo,PGA
0,ENG,166,24497,-0.0272617834616267,193,Brandon Robinson-Thompson,EURO
0,USA,167,18580,-0.0292446045243408,501,Talor Gooch,LIV
0,USA,168,16602,-0.0314999593463965,501,Harold Varner III,LIV
0,VEN,169,13508,-0.0334657356554757,70,Jhonattan Vegas,PGA
0,BEL,170,13944,-0.0356558827921895,448,Thomas Pieters,LIV
0,ITA,171,14987,-0.0393254477535836,243,Francesco Laporta,EURO
0,TPE,172,15475,-0.0501009380692334,139,C.T. Pan,PGA
0,CHN,173,15310,-0.0511349769042552,149,Haotong Li,EURO
0,ESP,174,14016,-0.0513781666643142,128,Jorge Campillo,EURO
0,USA,175,24962,-0.054902248586833,230,Alistair Docherty,KFT
0,CHN,176,26193,-0.0724250816074688,429,Wenyi Ding,EURO
0,USA,177,19840,-0.0841046635470697,228,Chad Ramey,PGA
0,FRA,178,20727,-0.0941129373926841,214,Ugo Coussaud,EURO
0,USA,179,14698,-0.0964065765972773,234,Joseph Bramlett,PGA
0,USA,180,30620,-0.105592174659924,253,Davis Chatfield,KFT
0,FRA,181,18770,-0.107083829443529,135,Antoine Rozner,PGA
0,FRA,182,16652,-0.108237515917183,113,Romain Langasque,EURO
0,CAN,183,13997,-0.116859670494364,166,Adam Svensson,PGA
0,USA,184,19872,-0.117496819063154,97,Davis Riley,PGA
0,RSA,185,26991,-0.117689668079345,222,Jayden Schaper,EURO
0,USA,186,12337,-0.118133454560566,493,Jason Kokrak,LIV
0,ITA,187,12177,-0.123240781706895,266,Andrea Pavan,EURO
0,USA,188,25003,-0.131413090861455,186,Danny Walker,PGA
0,USA,189,26126,-0.136554156166094,322,Mitchell Meissner,KFT
0,USA,190,27774,-0.160280252250361,209,Chris Gotterup,PGA
0,SCO,191,21646,-0.16111630120205,174,Ewen Ferguson,EURO
0,USA,192,11049,-0.164032351737967,377,Webb Simpson,PGA
0,USA,193,22985,-0.166621393508046,272,Austin Smotherman,KFT
0,USA,194,15330,-0.16978407204425,256,Lanto Griffin,PGA
0,ENG,195,15326,-0.189754796493798,221,Andy Sullivan,EURO
0,USA,196,10943,-0.190777004624431,198,Nate Lashley,PGA
0,ZIM,197,14559,-0.194922825971062,450,Scott Vincent,ASA
0,ARG,198,17032,-0.195992309865451,148,Alejandro Tosti,PGA
0,USA,199,26649,-0.205058261329607,191,Michael Thorbjornsen,PGA
0,USA,200,16333,-0.205334462298516,130,Mark Hubbard,PGA
0,ENG,201,28615,-0.206353459780403,183,Sam Bairstow,EURO
0,USA,202,11451,-0.215245252431623,179,Brice Garnett,PGA
0,USA,203,20522,-0.215432167379225,142,Johannes Veerman,EURO
0,RSA,204,24343,-0.218673065851248,227,Christo Lamprecht,KFT
1,USA,205,32319,-0.223624006972918,501,Jackson Koivun,AM
0,GER,206,22087,-0.224586763355014,309,Jeremy Paul,PGA
0,USA,207,22050,-0.22713866975848,195,Justin Suh,PGA
0,NOR,208,15651,-0.228156163367573,207,Kris Ventura,PGA
0,SWE,209,14775,-0.23125078509475,236,Alexander Bjork,EURO
0,KOR,210,21688,-0.239161888119156,163,S.H. Kim,PGA
0,NZL,211,21362,-0.241958723930477,146,Daniel Hillier,EURO
0,RSA,212,24342,-0.251372564559999,262,Garrick Higgo,PGA
0,ITA,213,17357,-0.262686064327872,160,Guido Migliozzi,EURO
0,BEL,214,22002,-0.263421624490854,249,Adrien Dumont De Chassart,PGA
0,USA,215,7452,-0.269664554326951,501,Kevin Na,LIV
0,USA,216,28270,-0.271215731909454,46,Nick Dunlap,PGA
0,USA,217,6892,-0.271881607701742,501,Charles Howell III,LIV
0,CAN,218,17381,-0.272420028652922,200,Ben Silverman,PGA
0,USA,219,4818,-0.277057768721671,501,Steve Stricker,CHAMP
0,KOR,220,11117,-0.289472319031628,347,S.Y. Noh,KFT
0,USA,221,11019,-0.29626372769033,501,Brendan Steele,LIV
0,USA,222,18524,-0.300865872510351,140,John Catlin,ASA
0,ENG,223,25362,-0.301399560691106,211,Alex Fitzpatrick,EURO
0,FRA,224,23733,-0.305425730988767,190,Frederic Lacroix,EURO
0,FIN,225,20085,-0.305857535467883,320,Oliver Lindell,EURO
0,USA,226,24837,-0.306995484765956,335,Noah Goodwin,PGA
1,USA,227,29827,-0.310330367924981,501,Ben James,AM
0,AUS,228,19232,-0.318257221841748,267,Travis Smyth,ASA
0,JPN,229,19190,-0.322222924394526,192,Rikuya Hoshino,EURO
0,ENG,230,24185,-0.325394952119499,143,Richard Mansell,EURO
0,ENG,231,20766,-0.325966883438332,133,Daniel Brown,EURO
0,USA,232,16395,-0.326973960630482,169,Ben Kohles,PGA
0,USA,233,29770,-0.331220493043378,187,William Mouw,PGA
0,NZL,234,14373,-0.333226012049467,175,Ben Campbell,ASA
0,SCO,235,22089,-0.334753004953014,218,Connor Syme,EURO
0,USA,236,14007,-0.340030827161588,348,Ben Martin,PGA
1,USA,237,31343,-0.341318924879817,501,David Ford,AM
0,USA,238,18761,-0.346668051732357,361,Trey Mullinax,PGA
0,USA,239,18635,-0.355249176945633,278,Robby Shelton,PGA
0,ESP,240,22259,-0.360850675650682,164,Alejandro Del Rey,EURO
0,AUS,241,24304,-0.360893277493534,117,Karl Vilips,PGA
0,USA,242,7334,-0.364779537282165,501,Bubba Watson,LIV
0,MEX,243,28016,-0.372409548606982,328,Emilio Gonzalez,KFT
0,ENG,244,22608,-0.373689344317937,288,Todd Clements,EURO
0,THA,245,19844,-0.378206829339872,306,Sadom Kaewkanjana,ASA
0,SCO,246,25131,-0.379701900854671,171,Calum Hill,EURO
0,ZIM,247,19538,-0.382705248566514,332,Kieran Vincent,ASA
0,USA,248,21943,-0.382863687997077,206,Hank Lebioda,KFT
0,USA,249,19477,-0.386435168678822,145,Adam Schenk,PGA
0,USA,250,32055,-0.388596677333202,223,Neal Shipley,KFT
0,ENG,251,18027,-0.392537448719242,420,Nathan Kimsey,EURO
0,RSA,252,11952,-0.393514613832257,406,Branden Grace,LIV
0,PHI,253,15274,-0.398034534123799,296,Miguel Tabuena,ASA
0,SCO,254,11396,-0.405781897825829,293,Richie Ramsay,EURO
0,ESP,255,30445,-0.407483503949925,203,Angel Ayora,EURO
0,JPN,256,20984,-0.415179066668919,317,Taisei Shimizu,JPN
0,USA,257,21236,-0.421368089558923,242,Wesley Bryan,PGA
0,RSA,258,27900,-0.423276637425403,124,Aldrich Potgieter,PGA
0,JPN,259,15756,-0.426865001279835,282,Kazuki Higa,ASA
0,AUS,260,8605,-0.428306763509658,501,Matt Jones,LIV
0,JPN,261,14904,-0.43005591005321,301,Ryosuke Kinoshita,JPN
0,USA,262,30463,-0.430108194448236,336,Caleb Surratt,LIV
0,USA,263,7960,-0.431978581592104,168,Luke List,PGA
0,FRA,264,19960,-0.434459329961891,56,Matthieu Pavon,PGA
0,USA,265,16341,-0.446159364999404,228,Paul Peterson,PGA
0,CAN,266,12413,-0.448335267502455,226,Richard Lee,ASA
0,USA,267,25002,-0.453657187449945,259,Dylan Wu,PGA
0,USA,268,1547,-0.454509274602361,501,Phil Mickelson,LIV
0,USA,269,18187,-0.454865958400226,324,Tyler Duncan,PGA
0,USA,270,19846,-0.461590411188316,291,Zach Bauchou,KFT
0,JPN,271,13485,-0.465807009117656,254,Shugo Imahira,JPN
0,FRA,272,27811,-0.468235969924736,277,Martin Couvra,EURO
0,NZL,273,4871,-0.468610794305143,501,Steven Alker,CHAMP
0,SWE,274,10418,-0.468862229898538,434,Niklas Lemke,EURO
0,USA,275,17639,-0.482396205025918,217,Zac Blair,PGA
0,USA,276,8820,-0.484188757874728,369,Brandt Snedeker,PGA
