event_id,event_name,tour,year,pgaid
R2020493,The RSM Classic,R,2020,493
R2021493,The RSM Classic,R,2021,493
R2022493,The RSM Classic,R,2022,493
R2023493,The RSM Classic,R,2023,493
R2024493,The RSM Classic,R,2024,493
R2025493,The RSM Classic,R,2025,493
R2020528,Butterfield Bermuda Championship,R,2020,528
R2021528,Butterfield Bermuda Championship,R,2021,528
R2022528,Butterfield Bermuda Championship,R,2022,528
R2023528,Butterfield Bermuda Championship,R,2023,528
R2024528,Butterfield Bermuda Championship,R,2024,528
R2025528,Butterfield Bermuda Championship,R,2025,528
R2020457,World Wide Technology Championship,R,2020,457
R2021457,World Wide Technology Championship,R,2021,457
R2022457,World Wide Technology Championship,R,2022,457
R2023457,World Wide Technology Championship,R,2023,457
R2024457,World Wide Technology Championship,R,2024,457
R2025457,World Wide Technology Championship,R,2025,457
R2020527,ZOZO CHAMPIONSHIP,R,2020,527
R2021527,ZOZO CHAMPIONSHIP,R,2021,527
R2022527,ZOZO CHAMPIONSHIP,R,2022,527
R2023527,ZOZO CHAMPIONSHIP,R,2023,527
R2024527,ZOZO CHAMPIONSHIP,R,2024,527
R2025527,ZOZO CHAMPIONSHIP,R,2025,527
R2020047,Shriners Children's Open,R,2020,047
R2021047,Shriners Children's Open,R,2021,047
R2022047,Shriners Children's Open,R,2022,047
R2023047,Shriners Children's Open,R,2023,047
R2024047,Shriners Children's Open,R,2024,047
R2025047,Shriners Children's Open,R,2025,047
R2020554,Black Desert Championship,R,2020,554
R2021554,Black Desert Championship,R,2021,554
R2022554,Black Desert Championship,R,2022,554
R2023554,Black Desert Championship,R,2023,554
R2024554,Black Desert Championship,R,2024,554
R2025554,Black Desert Championship,R,2025,554
R2020054,Sanderson Farms Championship,R,2020,054
R2021054,Sanderson Farms Championship,R,2021,054
R2022054,Sanderson Farms Championship,R,2022,054
R2023054,Sanderson Farms Championship,R,2023,054
R2024054,Sanderson Farms Championship,R,2024,054
R2025054,Sanderson Farms Championship,R,2025,054
R2020464,Procore Championship,R,2020,464
R2021464,Procore Championship,R,2021,464
R2022464,Procore Championship,R,2022,464
R2023464,Procore Championship,R,2023,464
R2024464,Procore Championship,R,2024,464
R2025464,Procore Championship,R,2025,464
R2020060,TOUR Championship,R,2020,060
R2021060,TOUR Championship,R,2021,060
R2022060,TOUR Championship,R,2022,060
R2023060,TOUR Championship,R,2023,060
R2024060,TOUR Championship,R,2024,060
R2025060,TOUR Championship,R,2025,060
R2020028,BMW Championship,R,2020,028
R2021028,BMW Championship,R,2021,028
R2022028,BMW Championship,R,2022,028
R2023028,BMW Championship,R,2023,028
R2024028,BMW Championship,R,2024,028
R2025028,BMW Championship,R,2025,028
R2020027,FedEx St. Jude Championship,R,2020,027
R2021027,FedEx St. Jude Championship,R,2021,027
R2022027,FedEx St. Jude Championship,R,2022,027
R2023027,FedEx St. Jude Championship,R,2023,027
R2024027,FedEx St. Jude Championship,R,2024,027
R2025027,FedEx St. Jude Championship,R,2025,027
R2020013,Wyndham Championship,R,2020,013
R2021013,Wyndham Championship,R,2021,013
R2022013,Wyndham Championship,R,2022,013
R2023013,Wyndham Championship,R,2023,013
R2024013,Wyndham Championship,R,2024,013
R2025013,Wyndham Championship,R,2025,013
R2020525,3M Open,R,2020,525
R2021525,3M Open,R,2021,525
R2022525,3M Open,R,2022,525
R2023525,3M Open,R,2023,525
R2024525,3M Open,R,2024,525
R2025525,3M Open,R,2025,525
R2020100,The Open Championship,R,2020,100
R2021100,The Open Championship,R,2021,100
R2022100,The Open Championship,R,2022,100
R2023100,The Open Championship,R,2023,100
R2024100,The Open Championship,R,2024,100
R2025100,The Open Championship,R,2025,100
R2020518,ISCO Championship,R,2020,518
R2021518,ISCO Championship,R,2021,518
R2022518,ISCO Championship,R,2022,518
R2023518,ISCO Championship,R,2023,518
R2024518,ISCO Championship,R,2024,518
R2025518,ISCO Championship,R,2025,518
R2020541,Genesis Scottish Open,R,2020,541
R2021541,Genesis Scottish Open,R,2021,541
R2022541,Genesis Scottish Open,R,2022,541
R2023541,Genesis Scottish Open,R,2023,541
R2024541,Genesis Scottish Open,R,2024,541
R2025541,Genesis Scottish Open,R,2025,541
R2020030,John Deere Classic,R,2020,030
R2021030,John Deere Classic,R,2021,030
R2022030,John Deere Classic,R,2022,030
R2023030,John Deere Classic,R,2023,030
R2024030,John Deere Classic,R,2024,030
R2025030,John Deere Classic,R,2025,030
R2020524,Rocket Mortgage Classic,R,2020,524
R2021524,Rocket Mortgage Classic,R,2021,524
R2022524,Rocket Mortgage Classic,R,2022,524
R2023524,Rocket Mortgage Classic,R,2023,524
R2024524,Rocket Mortgage Classic,R,2024,524
R2025524,Rocket Mortgage Classic,R,2025,524
R2020034,Travelers Championship,R,2020,034
R2021034,Travelers Championship,R,2021,034
R2022034,Travelers Championship,R,2022,034
R2023034,Travelers Championship,R,2023,034
R2024034,Travelers Championship,R,2024,034
R2025034,Travelers Championship,R,2025,034
R2020026,U.S. Open,R,2020,026
R2021026,U.S. Open,R,2021,026
R2022026,U.S. Open,R,2022,026
R2023026,U.S. Open,R,2023,026
R2024026,U.S. Open,R,2024,026
R2025026,U.S. Open,R,2025,026
