Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Lee Hodges,8,0.43,39,2.29,1,2.96,1,1.36,1,0.23,39,0.30,42,3.26,1
Tony Finau,20,0.44,38,1.24,6,1.98,6,0.84,6,0.30,29,0.41,35,2.40,2
Callum Tarren,8,0.95,7,0.72,26,1.44,14,0.84,7,-0.21,88,0.82,21,2.26,3
Sam Stevens,4,0.18,59,0.79,21,1.42,15,0.49,25,0.50,14,0.72,24,2.15,4
Emiliano Grillo,14,0.67,16,0.68,30,1.70,8,0.68,14,0.36,25,0.39,37,2.09,5
Kevin Streelman,8,0.52,31,1.35,5,2.31,3,0.93,4,0.44,18,-0.25,79,2.07,6
J.T. Poston,12,0.09,69,0.70,28,0.86,36,0.39,35,0.08,53,1.19,8,2.06,7
Zac Blair,4,0.27,53,0.14,62,0.75,40,0.20,56,0.49,15,1.24,7,1.90,8
Billy Horschel,4,0.89,8,-0.27,88,1.03,28,0.31,44,0.41,21,0.86,18,1.90,9
Jhonattan Vegas,6,0.81,9,1.16,8,2.05,4,0.99,3,0.07,54,-0.25,80,1.80,10
Daniel Berger,4,0.75,10,0.14,61,1.53,10,0.44,30,0.64,6,0.22,44,1.75,11
Adam Hadwin,14,0.60,20,0.48,42,0.74,41,0.54,21,-0.33,97,0.96,16,1.70,12
Sam Burns,8,1.17,2,0.40,53,1.64,9,0.79,9,0.07,55,0.01,63,1.65,13
Tyson Alexander,4,0.15,63,0.43,49,1.20,20,0.29,47,0.66,5,0.44,32,1.65,14
Matti Schmid,4,0.66,17,-0.04,76,1.06,27,0.31,45,0.48,16,0.43,34,1.65,15
Ben Griffin,4,0.08,74,0.30,56,1.29,18,0.19,57,0.94,2,0.34,41,1.65,16
Cam Davis,18,0.38,43,0.85,17,1.48,12,0.61,16,0.27,34,0.11,54,1.59,17
Martin Laird,10,0.46,35,0.57,36,1.46,13,0.52,22,0.43,19,0.10,56,1.57,18
Seonghyeon Kim,4,0.01,79,-0.42,97,-0.19,82,-0.21,95,0.30,30,1.58,2,1.40,19
Hayden Buckley,4,0.53,30,1.13,9,0.98,33,0.83,8,-0.67,112,0.39,38,1.38,20
Doug Ghim,14,0.97,6,0.03,67,1.16,22,0.50,24,0.18,46,0.21,48,1.38,21
Adam Long,18,0.36,47,0.78,22,1.49,11,0.57,18,0.38,22,-0.10,70,1.37,22
Bud Cauley,4,0.26,54,0.49,40,0.84,37,0.38,39,0.09,51,0.41,36,1.25,23
Tom Hoge,18,0.50,32,1.05,10,1.11,23,0.77,11,-0.42,106,0.13,53,1.24,24
Keith Mitchell,14,0.69,14,-0.83,108,-0.10,78,-0.07,84,-0.24,90,1.32,5,1.17,25
Roger Sloan,14,0.15,64,0.26,58,0.63,45,0.20,55,0.22,44,0.53,27,1.16,26
Brice Garnett,20,0.54,27,0.34,54,0.96,35,0.44,31,0.12,49,0.21,47,1.15,27
Paul Barjon,4,0.19,58,0.05,65,-0.55,96,0.12,67,-0.78,116,1.67,1,1.13,28
Scott Gutschewski,4,0.11,68,0.66,32,0.35,58,0.38,38,-0.42,107,0.77,23,1.13,29
Chris Gotterup,4,0.34,48,1.18,7,1.87,7,0.76,12,0.34,26,-0.75,99,1.13,30
Aaron Baddeley,16,-0.32,97,-0.18,82,0.14,68,-0.25,99,0.63,7,0.98,15,1.12,31
Cameron Champ,10,-0.03,80,0.16,59,0.04,72,0.06,75,-0.09,74,1.04,12,1.09,32
Sam Ryder,16,0.44,36,-0.03,74,0.38,56,0.21,53,-0.04,68,0.64,25,1.03,33
Brandt Snedeker,8,-0.63,109,-0.13,79,-0.15,80,-0.38,103,0.63,8,1.17,9,1.03,34
Maverick McNealy,8,0.37,46,-0.02,72,1.09,25,0.18,60,0.74,3,-0.08,68,1.02,35
Matt Wallace,8,0.44,37,0.48,43,0.44,53,0.46,28,-0.41,105,0.61,26,1.01,36
Robby Shelton,8,0.68,15,0.63,34,1.11,24,0.65,15,-0.17,81,-0.11,71,0.98,37
Kevin Yu,4,1.04,4,0.80,19,2.35,2,0.92,5,0.51,12,-1.47,114,0.90,38
Nick Hardy,8,0.06,75,-0.02,71,-0.04,75,0.02,78,-0.08,73,0.92,17,0.89,39
Mark Hubbard,6,-0.19,92,0.86,16,0.67,43,0.34,41,0.03,62,0.22,45,0.88,40
Patrick Rodgers,12,0.03,78,0.45,46,0.43,54,0.24,49,-0.03,67,0.45,30,0.87,41
Beau Hossler,16,0.53,29,-0.23,87,0.04,71,0.15,64,-0.21,87,0.82,20,0.84,42
Stewart Cink,14,0.37,44,0.72,25,1.32,17,0.55,20,0.23,42,-0.51,92,0.81,43
Dylan Wu,6,0.27,52,0.00,68,-0.72,100,0.14,65,-0.99,117,1.49,3,0.78,44
Adam Svensson,10,0.34,49,0.48,44,1.25,19,0.41,34,0.50,13,-0.45,91,0.77,45
Jimmy Walker,9,-0.12,89,-0.49,98,0.65,44,-0.30,100,1.28,1,0.11,55,0.76,46
James Hahn,10,0.29,51,-0.38,94,-0.37,92,-0.05,81,-0.18,85,1.10,10,0.71,47
Keegan Bradley,8,0.60,21,0.33,55,0.76,39,0.47,27,-0.17,82,-0.06,66,0.70,48
Kelly Kraft,7,-0.59,108,-0.68,104,-1.36,108,-0.64,109,-0.07,70,1.34,4,0.66,49
