Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Sungjae Im,8,1.09,4,0.56,33,1.97,6,0.82,10,0.32,24,0.72,18,2.68,1
Callum Tarren,4,1.04,5,1.36,5,1.97,5,1.20,2,- 0.43,91,0.64,25,2.62,2
Greyson Sigg,4,0.86,10,1.47,3,2.22,3,1.16,3,- 0.11,70,0.40,36,2.62,3
Tony Finau,16,0.48,35,1.38,4,2.02,4,0.93,6,0.16,39,0.38,37,2.39,4
Gary Woodland,4,0.39,42,0.60,31,1.39,15,0.49,27,0.47,14,0.77,16,2.16,5
Emiliano Grillo,10,0.73,18,0.96,18,1.83,8,0.84,9,0.14,42,0.24,41,2.07,6
Adam Hadwin,12,0.52,33,0.79,24,0.94,34,0.66,18,- 0.37,89,0.98,11,1.92,7
Brandt Snedeker,4,- 0.01,69,0.21,52,0.52,42,0.10,55,0.32,25,1.38,3,1.90,8
Lee Hodges,4,0.41,37,2.24,1,2.81,1,1.33,1,0.16,38,-0.95,96,1.87,9
Austin Eckroat,4,- 0.58,98,1.29,6,0.50,44,0.35,36,- 0.21,79,1.15,6,1.65,10
Mark Hubbard,4,0.49,34,1.24,7,1.63,10,0.86,8,- 0.10,69,0.03,56,1.65,11
J.T. Poston,8,0.25,48,0.37,43,0.44,48,0.31,39,- 0.18,77,1.19,5,1.64,12
Austin Smotherman,4,0.53,32,0.34,45,0.93,35,0.43,32,0.06,51,0.69,22,1.62,13
Hank Lebioda,13,- 0.04,77,1.05,13,1.66,9,0.50,26,0.65,5,-0.07,62,1.59,14
Adam Long,14,0.47,36,1.08,11,1.84,7,0.78,11,0.28,28,-0.34,77,1.50,15
Cam Davis,14,0.39,40,0.81,21,1.42,14,0.60,19,0.22,31,0.01,57,1.43,16
James Hahn,6,- 0.02,73,0.67,27,0.36,52,0.32,37,- 0.29,84,1.05,8,1.41,17
Brice Garnett,16,0.56,28,0.48,37,1.17,24,0.52,23,0.13,44,0.22,43,1.39,18
Matt Wallace,4,0.54,29,0.48,38,0.27,53,0.51,24,- 0.75,102,1.10,7,1.37,19
