Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Nick Dunlap,2,- 0.22,107,0.55,19,0.10,64,0.17,40,- 0.23,109,0.72,5,3.84,1
Justin Thomas,2,0.36,14,0.63,13,1.51,2,0.49,4,0.52,3,0.65,8,3.34,2
Adam Hadwin,17,0.11,48,0.37,33,0.55,31,0.24,33,0.07,50,0.66,6,2.62,3
Davis Thompson,4,- 0.03,79,0.69,10,0.32,44,0.33,22,- 0.34,117,0.27,32,2.58,4
Christiaan Bezuidenhout,6,- 0.09,90,0.52,21,0.36,41,0.22,34,- 0.07,78,0.45,17,2.34,5
Ryo Hisatsune,2,0.14,44,- 0.31,111,0.50,32,- 0.08,90,0.67,1,0.66,7,2.34,6
Bud Cauley,9,0.20,32,0.57,18,1.04,6,0.39,15,0.27,14,0.02,69,2.33,7
Si woo Kim,13,0.24,25,0.67,12,0.99,10,0.46,7,0.08,49,0.52,12,2.24,8
Patrick Cantlay,11,0.22,30,0.44,28,1.00,9,0.33,23,0.35,8,0.03,65,2.21,9
Sam Burns,9,0.02,67,0.16,55,0.47,33,0.09,57,0.29,10,0.73,3,2.04,10
Sungjae Im,13,0.12,45,0.28,45,0.44,35,0.20,37,0.04,58,0.54,11,1.98,11
Ben Griffin,4,- 0.03,78,0.13,63,- 0.13,84,0.05,67,- 0.23,108,1.69,1,1.95,12
Tony Finau,12,0.29,20,0.54,20,1.03,7,0.41,10,0.21,20,0.17,45,1.88,13
Will Zalatoris,6,0.26,23,0.44,27,0.72,19,0.35,19,0.02,61,-0.03,77,1.76,14
Brian Harman,15,0.27,21,0.47,24,0.78,17,0.37,17,0.04,57,0.26,33,1.74,15
Alex Smalley,6,0.36,13,0.71,8,0.88,13,0.54,3,- 0.19,102,0.15,49,1.59,16
Andrew Putnam,15,- 0.09,91,0.39,31,0.60,27,0.15,44,0.30,9,0.37,18,1.47,17
Kevin Yu,3,0.54,1,0.95,1,1.92,1,0.74,1,0.43,5,0.02,70,1.46,18
Taylor Montgomery,4,0.09,53,0.07,72,0.12,62,0.08,62,- 0.05,73,0.18,44,1.45,19
Lanto Griffin,6,- 0.02,73,0.61,14,0.71,20,0.30,26,0.12,39,0.24,35,1.44,20
Keith Mitchell,6,0.41,10,0.37,32,0.98,11,0.39,13,0.20,22,-0.02,76,1.36,21
Brian Campbell,2,0.23,26,- 0.02,85,0.20,56,0.11,54,- 0.01,66,0.73,4,1.35,22
Chandler Phillips,2,- 0.26,110,0.78,5,0.63,23,0.26,28,0.10,44,0.20,42,1.34,23
Lee Hodges,3,0.37,12,0.49,22,1.01,8,0.43,9,0.15,29,-0.53,119,1.34,24
Matti Schmid,3,0.41,9,0.78,4,1.25,3,0.60,2,0.06,56,0.62,10,1.33,25
Eric Cole,4,- 0.57,125,- 0.09,90,- 0.46,108,- 0.33,118,0.20,21,0.23,36,1.33,26
Erik van Rooyen,7,0.04,62,0.23,49,0.41,37,0.14,49,0.14,35,0.28,29,1.31,27
Francesco Molinari,10,0.41,8,0.34,36,0.67,22,0.38,16,- 0.09,82,-0.17,91,1.30,28
Daniel Berger,6,0.20,31,0.74,6,0.82,16,0.47,5,- 0.12,92,-0.18,94,1.30,29
Chan Kim,3,0.14,42,0.29,42,0.22,53,0.22,35,- 0.21,105,0.63,9,1.28,30
Tom Hoge,13,0.14,41,0.58,16,0.84,14,0.36,18,0.11,41,0.14,51,1.27,31
Jason Day,6,0.07,59,0.12,64,0.29,45,0.10,56,0.09,45,0.14,52,1.26,32
