Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Jordan Spieth,4,-0.07,65,1.37,3,1.88,4,0.65,9,0.58,9,0.67,20,2.55,1
Lucas Herbert,4,-0.40,82,-0.64,86,0.43,41,-0.52,89,1.47,2,2.12,1,2.55,2
Scottie Scheffler,8,0.50,21,1.14,7,2.55,1,0.82,5,0.91,3,-0.07,56,2.47,3
Rory McIlroy,28,0.62,12,1.03,8,1.86,5,0.83,4,0.21,33,0.54,27,2.40,4
Sungjae Im,16,0.46,23,0.29,42,0.89,32,0.37,29,0.14,42,1.13,6,2.02,5
Charley Hoffman,18,0.30,37,0.96,10,1.58,8,0.63,12,0.31,26,0.26,40,1.84,6
Tyrrell Hatton,24,0.31,35,0.57,26,0.96,25,0.44,25,0.07,47,0.85,11,1.81,7
Cameron Young,4,1.15,1,-0.05,62,1.74,6,0.55,19,0.64,6,0.06,51,1.80,8
Matt Fitzpatrick,26,0.26,43,-0.20,71,0.49,38,0.03,55,0.43,18,1.23,3,1.72,9
Christiaan Bezuidenhout,12,-0.07,64,0.25,44,0.94,26,0.09,49,0.75,4,0.73,18,1.67,10
Emiliano Grillo,17,0.60,13,0.57,25,1.33,13,0.59,15,0.15,39,0.30,38,1.63,11
Chris Kirk,22,0.32,34,0.38,35,1.21,15,0.35,32,0.51,14,0.42,32,1.63,12
Francesco Molinari,18,0.65,10,0.08,54,1.26,14,0.37,30,0.53,11,0.36,34,1.62,13
Jason Day,17,0.39,27,-0.19,70,0.80,34,0.10,46,0.60,8,0.78,16,1.58,14
Jon Rahm,4,1.14,2,1.72,2,2.53,2,1.43,1,-0.32,74,-0.99,90,1.55,15
Max Homa,12,0.38,30,0.88,12,0.80,33,0.63,13,-0.46,81,0.69,19,1.50,16
Tommy Fleetwood,22,0.39,29,0.24,45,1.11,22,0.32,35,0.47,15,0.28,39,1.39,17
Corey Conners,12,0.21,49,1.30,4,1.50,9,0.76,6,-0.01,54,-0.25,69,1.26,18
Gary Woodland,6,-0.15,71,0.16,49,0.24,46,0.00,58,0.23,31,0.98,9,1.22,19
Justin Rose,22,0.36,33,0.57,24,0.98,24,0.47,24,0.04,49,0.22,44,1.20,20
Will Zalatoris,8,0.75,6,0.92,11,1.59,7,0.84,3,-0.08,60,-0.42,75,1.17,21
Xander Schauffele,4,0.24,45,0.07,56,-0.27,63,0.15,44,-0.57,86,1.42,2,1.15,22
Keith Mitchell,16,0.80,4,0.27,43,0.62,36,0.54,20,-0.45,80,0.52,28,1.14,23
David Lipsky,4,-1.11,99,0.99,9,-0.14,59,-0.06,62,-0.03,55,1.18,5,1.05,24
Luke List,18,0.45,24,0.79,14,1.19,17,0.62,14,-0.05,58,-0.17,62,1.02,25
Viktor Hovland,16,0.78,5,0.39,34,1.17,20,0.58,16,0.00,53,-0.15,60,1.02,26
Keegan Bradley,28,0.36,32,0.49,29,1.18,19,0.43,26,0.33,24,-0.17,61,1.01,27
Billy Horschel,26,0.29,40,0.39,33,0.58,37,0.34,33,-0.10,62,0.34,35,0.92,28
Tom Hoge,14,0.23,47,1.18,5,1.12,21,0.71,7,-0.30,72,-0.22,68,0.90,29
Adam Hadwin,14,0.69,9,0.71,18,1.08,23,0.70,8,-0.32,73,-0.21,67,0.87,30
Hideki Matsuyama,28,0.42,26,0.73,17,1.46,10,0.57,17,0.32,25,-0.60,81,0.87,31
Collin Morikawa,8,0.43,25,1.73,1,2.08,3,1.08,2,-0.08,59,-1.26,97,0.82,32
Adam Scott,14,0.56,18,-0.36,78,0.45,40,0.10,47,0.25,30,0.31,37,0.76,33
Byeong Hun An,24,0.57,16,0.58,23,1.40,12,0.57,18,0.25,29,-0.68,86,0.71,34
Adam Schenk,8,-0.09,67,0.61,20,1.19,16,0.26,37,0.67,5,-0.51,79,0.68,35
Andrew Putnam,8,-0.52,88,0.01,57,-0.32,65,-0.25,76,0.19,36,1.00,7,0.68,36
Zach Johnson,28,-0.09,68,-0.24,72,-0.15,60,-0.17,70,0.19,37,0.80,15,0.65,37
Rickie Fowler,24,0.12,54,0.60,21,0.73,35,0.36,31,0.01,52,-0.09,58,0.64,38
Ben Martin,10,0.01,59,-0.07,63,-0.10,56,-0.03,59,-0.03,56,0.73,17,0.63,39
Aaron Baddeley,10,-0.99,98,-0.43,81,0.09,47,-0.71,95,1.50,1,0.48,30,0.56,40
Alex Smalley,4,0.56,17,0.71,19,1.40,11,0.64,11,0.13,43,-0.86,88,0.55,41
Aaron Wise,14,0.72,7,0.13,51,0.92,28,0.42,27,0.07,48,-0.40,74,0.52,42
Sam Burns,18,0.30,38,-0.09,66,-0.51,75,0.11,45,-0.72,90,1.00,8,0.49,43
Troy Merritt,16,0.09,56,-0.77,90,-0.35,67,-0.34,82,0.34,23,0.84,13,0.49,44
Russell Henley,10,-0.04,63,0.55,27,0.90,30,0.26,38,0.39,21,-0.45,77,0.45,45
Brian Harman,16,0.25,44,-0.87,92,-0.24,62,-0.31,81,0.37,22,0.66,22,0.42,46
Harry Higgs,4,0.39,28,-1.30,97,-0.44,70,-0.45,87,0.46,17,0.85,12,0.40,47
Tony Finau,10,0.13,52,1.15,6,0.92,29,0.64,10,-0.37,76,-0.55,80,0.37,48
Dylan Frittelli,10,-0.39,81,0.15,50,0.39,42,-0.12,68,0.62,7,-0.02,52,0.36,49
Patrick Rodgers,26,0.04,58,-0.28,75,-0.21,61,-0.12,69,0.03,51,0.57,25,0.36,50
Taylor Moore,4,-0.89,93,0.79,15,-0.37,68,-0.05,61,-0.27,69,0.66,21,0.30,51
Davis Thompson,4,0.46,22,0.60,22,0.89,31,0.53,21,-0.16,66,-0.60,82,0.30,52
Taylor Pendrith,4,0.58,14,-0.17,69,0.93,27,0.21,42,0.52,13,-0.64,83,0.30,53
Lucas Glover,26,0.05,57,0.42,32,0.32,44,0.23,40,-0.15,64,-0.04,54,0.28,54
Danny Willett,15,-0.03,61,0.18,47,0.04,49,0.07,53,-0.11,63,0.25,43,0.28,55
