Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Kyoung-hoon Lee,8,0.48,19,1.69,2,2.63,1,1.08,1,0.47,14,1.05,5,3.68,1
Troy Merritt,4,0.66,9,0.54,24,1.52,5,0.6,10,0.32,27,0.81,13,2.34,2
Davis Riley,4,0.40,23,0.92,11,1.52,6,0.66,7,0.19,41,0.77,14,2.28,3
Scott Stallings,8,0.22,29,0.65,19,0.74,31,0.43,15,- 0.13,66,1.32,4,2.06,4
Christiaan Bezuidenhout,4,- 0.37,71,0.48,29,0.00,51,0.05,46,- 0.11,62,2.03,2,2.03,5
Seamus Power,8,- 0.12,53,0.02,50,0.81,27,-0.05,55,0.90,5,1.00,8,1.81,6
Matt Kuchar,8,0.07,38,0.60,22,0.86,26,0.34,24,0.18,43,0.95,9,1.81,7
Hideki Matsuyama,8,0.54,16,1.58,3,1.47,8,1.06,2,- 0.65,85,0.34,32,1.81,8
Ryan Palmer,8,0.98,3,0.07,47,1.08,14,0.53,13,0.02,55,0.48,22,1.56,9
James Hahn,6,0.78,8,1.15,6,1.98,2,0.96,3,0.05,54,-0.43,71,1.54,10
Tom Kim,4,- 0.01,42,1.42,4,1.72,3,0.71,6,0.31,28,-0.19,59,1.53,11
Joseph Bramlett,8,0.48,18,0.29,37,1.13,12,0.38,19,0.37,23,0.18,40,1.31,12
Michael Thompson,4,- 0.64,86,- 0.25,65,- 1.18,84,-0.45,76,- 0.29,74,2.47,1,1.28,13
David Lipsky,4,0.58,14,- 0.06,55,0.94,20,0.26,34,0.43,17,0.34,31,1.28,14
Austin Smotherman,4,0.87,7,- 0.20,62,1.01,17,0.34,26,0.33,25,0.28,34,1.28,15
Vince Whaley,8,0.10,37,0.14,43,1.15,11,0.12,40,0.91,4,0.03,53,1.18,16
Satoshi Kodaira,6,0.15,33,0.09,46,0.50,36,0.12,41,0.27,32,0.60,16,1.10,17
