Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Eric Cole,4,0.57,18,1.07,6,1.61,4,0.82,4,-0.03,60,2.11,2,3.71,1
Ben Taylor,4,-1.09,103,0.42,35,0.16,58,-0.33,84,0.83,2,2.30,1,2.46,2
Justin Suh,4,1.06,2,1.55,2,2.70,1,1.31,1,0.09,44,-0.24,74,2.46,3
Sepp Straka,18,0.63,12,0.80,16,1.56,6,0.71,6,0.14,38,0.33,31,1.89,4
Lee Hodges,8,0.15,48,0.44,34,0.82,25,0.29,34,0.23,30,0.94,6,1.76,5
Byeong Hun An,18,0.50,24,0.98,8,1.89,2,0.74,5,0.41,20,-0.15,69,1.73,6
Dylan Wu,8,0.30,39,0.50,33,0.01,66,0.40,28,-0.78,105,1.49,3,1.51,7
Shane Lowry,24,0.61,15,0.58,28,1.41,8,0.59,12,0.22,33,0.09,48,1.48,8
Ben Griffin,4,0.52,23,0.03,59,0.59,36,0.27,38,0.01,56,0.89,7,1.46,9
Sungjae Im,18,0.77,7,0.17,52,1.57,5,0.47,22,0.63,9,-0.13,66,1.45,10
Alex Noren,14,0.39,31,0.58,27,0.87,21,0.49,21,-0.10,65,0.57,19,1.44,11
Rickie Fowler,24,0.47,26,0.09,54,0.77,29,0.28,36,0.20,35,0.67,15,1.43,12
Sam Ryder,12,0.18,47,0.88,12,1.23,12,0.53,17,0.17,36,0.19,41,1.41,13
Russell Henley,22,0.31,36,1.02,7,1.00,16,0.67,8,-0.33,85,0.37,29,1.37,14
Gary Woodland,24,0.60,16,0.81,15,1.42,7,0.70,7,0.01,57,-0.06,61,1.36,15
Lucas Glover,24,0.59,17,0.58,26,1.07,15,0.58,14,-0.10,66,0.27,37,1.34,16
Daniel Berger,20,0.45,29,0.36,40,0.76,30,0.40,27,-0.05,61,0.56,20,1.32,17
Cameron Young,4,1.01,3,0.67,19,1.11,13,0.84,2,-0.57,96,0.19,39,1.30,18
Chris Kirk,22,0.05,58,0.35,41,0.83,24,0.20,47,0.44,19,0.46,23,1.28,19
Billy Horschel,26,0.32,34,0.51,32,0.86,22,0.42,25,0.02,54,0.37,28,1.23,20
Tyler Duncan,15,0.55,20,0.61,22,0.92,19,0.58,15,-0.24,80,0.30,34,1.22,21
Min woo Lee,4,1.08,1,0.15,53,0.47,41,0.61,10,-0.76,103,0.74,11,1.21,22
C.T. Pan,20,0.10,51,0.65,20,1.32,9,0.38,29,0.57,11,-0.18,71,1.13,23
Luke List,18,0.22,44,0.96,10,1.71,3,0.59,13,0.54,12,-0.66,88,1.05,24
Jhonattan Vegas,28,0.56,19,0.27,49,0.69,33,0.41,26,-0.14,72,0.32,32,1.00,25
Carson Young,4,0.90,4,-0.77,97,-0.16,71,0.07,57,-0.32,84,1.05,4,0.96,26
Keith Mitchell,16,0.38,32,-0.16,68,0.37,46,0.11,52,0.14,37,0.60,18,0.96,27
Robby Shelton,10,0.21,45,0.28,47,0.99,17,0.25,40,0.48,16,-0.06,60,0.92,28
Matt NeSmith,12,0.05,60,0.96,9,1.30,10,0.50,20,0.29,25,-0.39,79,0.91,29
Christiaan Bezuidenhout,8,0.68,10,-0.27,74,0.45,43,0.20,46,0.02,55,0.45,24,0.88,30
Taylor Pendrith,8,0.47,27,0.58,25,0.92,20,0.53,18,-0.16,73,-0.04,58,0.88,31
Adam Svensson,12,-0.01,66,0.61,23,1.27,11,0.30,33,0.67,7,-0.45,81,0.82,32
