Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Matthieu Pavon,3,0.20,48,1.80,2,1.89,3,1.00,3,- 0.11,77,1.99,3,3.00,1
Jake Knapp,3,0.85,2,1.25,6,2.71,1,1.05,2,0.61,10,0.50,25,2.50,2
Tony Finau,25,0.46,15,0.61,22,1.48,8,0.53,12,0.41,23,0.02,66,2.06,3
Ludvig Aberg,3,0.70,4,1.57,4,1.84,4,1.13,1,- 0.43,108,0.38,36,2.00,4
Justin Rose,20,0.16,53,0.47,26,0.94,17,0.31,30,0.31,27,0.33,44,1.86,5
Will Zalatoris,11,0.35,21,0.75,15,1.45,9,0.55,8,0.35,26,0.34,42,1.80,6
Max Homa,14,0.14,56,0.75,13,1.38,10,0.45,19,0.49,17,0.43,32,1.79,7
Ryan Palmer,18,0.37,20,0.69,19,1.00,15,0.53,14,- 0.06,68,0.04,63,1.77,8
Akshay Bhatia,3,0.49,13,0.99,7,1.20,11,0.74,6,- 0.29,97,1.60,6,1.75,9
Taylor Montgomery,9,0.23,42,- 0.46,102,0.12,64,- 0.12,84,0.36,24,0.98,10,1.67,10
Nate Lashley,4,- 0.28,95,0.07,58,0.40,40,- 0.11,81,0.61,9,1.64,5,1.59,11
Hideki Matsuyama,25,0.07,66,0.36,32,0.90,21,0.21,37,0.48,18,0.16,53,1.51,12
Jason Day,19,0.56,12,- 0.18,90,0.63,33,0.19,41,0.25,34,0.52,24,1.50,13
Sahith Theegala,9,0.34,24,0.65,20,0.98,16,0.49,16,- 0.01,64,0.36,41,1.50,14
Keegan Bradley,22,0.34,25,0.75,14,1.11,14,0.54,10,0.03,57,-0.02,67,1.49,15
Danny Willett,3,- 0.32,97,1.29,5,1.76,5,0.48,18,0.79,5,0.06,60,1.44,16
Sungjae Im,16,0.32,28,0.33,34,0.92,19,0.33,29,0.27,32,0.30,47,1.43,17
Taylor Pendrith,9,0.22,46,0.03,64,0.46,38,0.12,45,0.21,39,0.43,31,1.25,18
Aaron Rai,9,0.29,33,- 0.00,67,0.32,50,0.14,44,0.03,56,0.08,59,1.25,19
Sam Stevens,6,0.26,39,- 0.13,85,0.84,22,0.06,56,0.71,6,0.59,18,1.23,20
Luke List,23,0.64,9,0.46,27,1.16,12,0.55,9,0.07,52,-0.23,81,1.22,21
