Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Taylor Montgomery,4,-0.39,119,0.12,67,-0.09,78,-0.14,98,0.18,35,2.80,1,2.70,1
Justin Thomas,12,0.34,31,1.19,3,1.72,3,0.77,4,0.18,36,0.66,20,2.38,2
Davis Thompson,4,0.54,17,0.41,29,1.08,9,0.47,14,0.13,47,0.88,13,1.95,3
Zach Johnson,4,0.10,57,0.57,15,0.83,13,0.33,29,0.16,41,1.04,9,1.87,4
Paul Haley,4,-0.15,95,-0.14,91,0.05,67,-0.15,99,0.34,19,1.66,4,1.70,5
Harrison Endycott,4,0.31,33,1.31,2,1.70,4,0.81,3,0.08,54,0.01,70,1.70,6
Stewart Cink,8,0.28,35,0.86,9,1.13,6,0.57,9,-0.01,69,0.37,38,1.50,7
Sahith Theegala,12,0.40,28,0.29,48,0.71,22,0.34,28,0.02,61,0.71,18,1.42,8
Chez Reavie,30,0.22,43,1.10,5,1.47,5,0.66,5,0.15,42,-0.11,77,1.37,9
Jimmy Walker,4,0.13,54,1.69,1,2.02,2,0.91,1,0.21,33,-0.82,125,1.20,10
Brendon Todd,14,-0.02,75,0.83,10,0.72,21,0.41,18,-0.09,84,0.39,37,1.12,11
Cameron Percy,16,0.07,62,0.47,24,0.57,27,0.27,38,0.04,57,0.53,28,1.10,12
J.B. Holmes,10,0.22,44,0.40,32,0.95,10,0.31,32,0.33,20,0.09,64,1.04,13
Ryan Moore,18,0.21,46,0.54,19,0.68,24,0.37,20,-0.06,78,0.36,39,1.04,14
Scott Harrington,12,0.35,29,0.36,37,0.88,12,0.35,26,0.18,37,0.11,59,0.99,15
Andrew Putnam,16,-0.31,113,0.32,42,0.50,38,0.01,67,0.49,12,0.47,31,0.97,16
Matt Kuchar,10,0.07,60,0.08,75,0.80,15,0.07,57,0.66,6,0.17,53,0.97,17
Seonghyeon Kim,4,0.60,13,-0.79,127,-0.94,124,-0.10,94,-0.75,133,1.90,3,0.95,18
Alex Noren,4,-0.43,123,-0.71,123,-0.07,76,-0.57,133,1.07,1,1.03,10,0.95,19
Mark Hubbard,20,-0.26,106,0.26,49,0.00,70,0.00,68,0.00,66,0.90,12,0.91,20
Harry Higgs,12,-0.03,78,0.35,38,0.30,48,0.16,45,-0.02,73,0.60,25,0.90,21
Max Homa,18,0.25,39,0.15,61,0.12,60,0.20,41,-0.28,108,0.70,19,0.82,22
Kevin Streelman,24,0.44,22,0.30,45,0.53,31,0.37,23,-0.21,99,0.28,44,0.81,23
Akshay Bhatia,6,-0.24,103,0.22,56,-0.08,77,-0.01,69,-0.07,79,0.82,14,0.74,24
Brian Stuard,24,-0.01,73,0.14,62,0.53,30,0.07,60,0.40,14,0.19,49,0.73,25
Cody Gribble,10,-0.02,76,-0.46,110,-0.36,96,-0.24,106,0.12,49,1.08,7,0.73,26
Justin Lower,6,0.17,50,-0.50,112,0.05,66,-0.17,100,0.39,16,0.65,21,0.71,27
Chesson Hadley,20,-0.12,91,0.56,17,0.42,41,0.22,40,-0.02,72,0.28,45,0.69,28
Greyson Sigg,8,0.06,64,0.21,57,0.50,37,0.13,46,0.24,28,0.19,51,0.69,29
Cameron Champ,14,1.06,4,0.00,80,0.90,11,0.53,11,-0.17,91,-0.21,88,0.69,30
Cam Davis,12,0.52,19,0.43,26,0.82,14,0.48,13,-0.13,87,-0.15,80,0.68,31
Russell Knox,16,-0.06,82,0.42,27,0.73,19,0.18,43,0.37,17,-0.06,72,0.67,32
Ben Taylor,10,0.12,56,0.11,68,0.09,63,0.11,49,-0.14,88,0.61,24,0.66,33
Richy Werenski,14,-0.02,77,-0.33,102,-0.12,80,-0.17,101,0.23,30,0.76,15,0.64,34
