Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Cameron Young,4,1.30,1,1.17,4,2.16,1,1.23,1,-0.31,82,1.48,1,3.64,1
Viktor Hovland,8,0.69,10,1.27,3,1.73,3,0.98,3,-0.24,77,0.77,9,2.50,2
Max Homa,16,0.57,15,0.46,25,1.24,11,0.52,15,0.21,38,0.82,7,2.07,3
Adam Scott,28,0.37,26,0.70,13,1.19,13,0.53,14,0.12,47,0.84,5,2.03,4
Jon Rahm,16,0.78,7,0.48,24,1.17,14,0.63,5,-0.09,69,0.52,19,1.69,5
Wyndham Clark,8,0.19,42,-0.08,56,0.45,34,0.06,47,0.34,14,1.22,2,1.67,6
Xander Schauffele,20,0.27,33,0.85,8,1.31,7,0.56,12,0.18,41,0.36,28,1.67,7
Patrick Cantlay,20,0.58,14,0.65,16,1.47,4,0.61,8,0.25,33,0.15,44,1.62,8
Collin Morikawa,12,0.36,28,1.37,2,1.75,2,0.86,4,0.02,58,-0.17,68,1.58,9
Rory McIlroy,22,0.87,6,0.34,29,1.26,10,0.61,9,0.05,53,0.24,36,1.50,10
Matt Fitzpatrick,8,0.04,64,0.90,7,1.12,16,0.47,18,0.18,42,0.30,32,1.42,11
Justin Rose,12,0.46,17,0.50,22,1.04,19,0.48,17,0.08,49,0.24,37,1.28,12
Matt Kuchar,26,-0.16,80,0.10,42,0.39,40,-0.03,62,0.45,9,0.82,6,1.21,13
Tony Finau,24,0.43,20,0.81,10,1.23,12,0.62,7,0.00,60,-0.05,58,1.18,14
Taylor Moore,4,0.62,11,0.08,43,0.42,37,0.35,26,-0.28,80,0.72,11,1.14,15
Will Zalatoris,8,-0.13,79,0.99,5,0.72,26,0.43,21,-0.14,73,0.40,26,1.12,16
Justin Thomas,24,0.26,36,0.61,19,1.05,18,0.43,20,0.19,40,0.03,51,1.09,17
Tommy Fleetwood,8,0.93,5,0.21,41,1.46,5,0.57,11,0.33,16,-0.41,83,1.05,18
Luke Donald,12,-0.79,104,0.77,11,0.32,46,-0.01,57,0.35,13,0.66,12,0.98,19
J.B. Holmes,24,0.11,53,0.45,26,0.67,30,0.28,29,0.10,48,0.30,34,0.97,20
Hideki Matsuyama,20,0.52,16,0.67,15,1.27,8,0.59,10,0.08,50,-0.30,78,0.96,21
Scottie Scheffler,14,0.00,67,0.85,9,1.15,15,0.42,22,0.31,19,-0.28,76,0.88,22
James Hahn,22,0.20,41,0.31,31,0.81,22,0.25,32,0.31,20,0.05,50,0.87,23
Martin Laird,24,0.44,19,0.03,48,0.67,29,0.23,33,0.20,39,0.14,45,0.81,24
Patrick Rodgers,24,0.13,51,0.05,45,0.34,45,0.09,45,0.17,44,0.45,22,0.79,25
Russell Henley,16,-0.29,89,0.51,21,0.67,28,0.11,43,0.45,8,0.08,47,0.75,26
Luke List,22,0.42,21,-0.14,59,0.95,20,0.14,42,0.67,4,-0.20,71,0.75,27
J.T. Poston,18,0.23,39,0.21,39,0.36,43,0.22,34,-0.08,67,0.39,27,0.75,28
Nick Taylor,22,0.02,66,-0.32,76,-0.06,63,-0.15,76,0.24,34,0.73,10,0.67,29
Aaron Baddeley,16,-0.06,71,-0.76,94,-0.22,71,-0.41,93,0.60,6,0.88,4,0.66,30
Alex Noren,16,-0.07,74,0.63,17,0.37,41,0.28,30,-0.18,75,0.27,35,0.64,31
Jordan Spieth,26,0.07,58,0.01,51,0.44,35,0.04,51,0.36,12,0.18,40,0.62,32
Lanto Griffin,12,0.19,46,-0.28,71,-0.06,61,-0.05,64,0.04,55,0.64,13,0.58,33
Kyoung-hoon Lee,16,0.19,43,-0.21,65,0.25,48,-0.01,56,0.27,24,0.31,31,0.57,34
Adam Hadwin,26,0.17,48,-0.11,58,0.39,39,0.03,52,0.34,15,0.17,43,0.56,35
Stewart Cink,10,-0.20,85,0.99,6,0.76,24,0.39,24,-0.02,63,-0.21,73,0.55,36
Beau Hossler,10,0.41,22,-0.31,73,0.48,33,0.05,49,0.38,11,0.02,53,0.50,37
Rickie Fowler,8,-0.06,72,-0.45,85,0.20,50,-0.26,82,0.71,3,0.30,33,0.50,38
Matthew NeSmith,8,0.41,23,0.68,14,0.76,25,0.54,13,-0.33,83,-0.26,75,0.50,39
Sam Burns,12,-0.07,73,0.48,23,-0.10,65,0.21,37,-0.51,92,0.59,15,0.49,40
Sepp Straka,10,-0.08,75,0.04,46,-0.06,62,-0.02,59,-0.02,62,0.51,20,0.46,41
Danny Willett,6,0.19,44,0.21,38,0.37,42,0.20,38,-0.03,66,0.08,48,0.45,42
Lee Hodges,4,0.36,27,0.06,44,-0.12,68,0.21,35,-0.54,95,0.51,21,0.39,43
Chez Reavie,22,0.06,63,-0.11,57,0.21,49,-0.02,60,0.26,29,0.18,41,0.39,44
Dylan Frittelli,12,-0.11,76,0.00,52,-0.09,64,-0.05,65,0.02,57,0.45,23,0.36,45
Sahith Theegala,8,-0.11,77,-0.51,86,0.03,56,-0.31,85,0.65,5,0.22,38,0.26,46
Michael Thompson,8,0.21,40,0.41,27,0.90,21,0.31,28,0.27,26,-0.67,94,0.23,47
Gary Woodland,6,1.03,3,0.22,36,1.09,17,0.63,6,-0.17,74,-0.92,101,0.17,48
Nick Watney,10,0.08,55,0.30,32,0.40,38,0.19,40,0.02,56,-0.23,74,0.16,49
Scott Stallings,12,0.13,52,0.25,34,0.35,44,0.19,39,-0.02,64,-0.21,72,0.14,50
Byeong Hun An,4,0.62,12,1.39,1,1.32,6,1.01,2,-0.69,99,-1.19,105,0.12,51
Kelly Kraft,10,0.15,49,-0.34,77,-0.53,80,-0.09,72,-0.34,84,0.64,14,0.10,52
Russell Knox,8,0.39,25,0.35,28,0.63,31,0.37,25,-0.11,71,-0.59,90,0.03,53
Cam Davis,10,-0.34,96,0.33,30,0.06,55,-0.01,55,0.07,52,-0.06,60,0.00,54
Si woo Kim,20,0.07,59,-0.32,74,0.01,59,-0.12,75,0.26,28,-0.01,55,0.00,55
Scott Piercy,14,0.08,56,-0.41,82,-0.59,83,-0.17,77,-0.26,79,0.56,16,-0.03,56
Troy Merritt,16,-0.03,68,0.03,50,0.08,54,0.00,54,0.07,51,-0.14,63,-0.07,57
Jhonattan Vegas,14,0.23,38,-0.26,69,0.69,27,-0.02,58,0.73,2,-0.76,98,-0.07,58
Emiliano Grillo,8,0.74,8,-0.32,75,-0.11,67,0.21,36,-0.53,94,0.02,52,-0.09,59
Brendan Steele,20,0.72,9,-0.19,62,0.76,23,0.26,31,0.23,35,-0.93,102,-0.17,60
Sungjae Im,8,0.27,34,-0.40,80,-0.32,73,-0.06,68,-0.19,76,0.09,46,-0.23,61
Keegan Bradley,22,0.28,32,0.61,18,0.50,32,0.45,19,-0.39,87,-0.74,96,-0.24,62
Joseph Bramlett,4,-0.38,99,-0.25,68,-0.11,66,-0.32,86,0.52,7,-0.15,64,-0.26,63
Peter Malnati,20,-0.18,82,-0.69,93,-0.61,85,-0.43,94,0.26,31,0.34,30,-0.27,64
Danny Lee,18,-0.33,92,0.21,40,-0.64,86,-0.06,67,-0.51,91,0.35,29,-0.28,65
Sam Ryder,10,-0.19,84,-0.27,70,-0.71,88,-0.23,79,-0.25,78,0.42,25,-0.29,66
Harris English,10,-0.33,93,-0.55,88,-0.74,89,-0.44,97,0.15,45,0.43,24,-0.31,67
Francesco Molinari,18,-0.21,87,-0.37,78,-0.18,70,-0.29,84,0.40,10,-0.13,62,-0.31,68
Aaron Rai,4,-0.40,100,0.28,33,0.16,51,-0.06,66,0.28,23,-0.52,85,-0.36,69
Adam Schenk,12,0.17,47,-0.68,92,-0.51,78,-0.25,81,0.00,61,0.07,49,-0.43,70
Kevin Streelman,12,0.44,18,-0.42,83,0.29,47,0.01,53,0.27,25,-0.76,97,-0.47,71
Denny McCarthy,8,-0.52,101,-1.05,100,-1.42,98,-0.78,104,0.15,46,0.94,3,-0.48,72
Doc Redman,6,-0.20,86,-0.02,54,-0.17,69,-0.11,74,0.04,54,-0.38,80,-0.55,73
Brian Harman,18,0.25,37,-1.04,99,-0.50,76,-0.39,92,0.29,22,-0.05,59,-0.56,74
Joel Dahmen,14,0.27,35,0.03,49,0.02,58,0.15,41,-0.28,81,-0.59,89,-0.57,75
Brendon Todd,8,-0.81,105,-0.63,91,-1.13,97,-0.72,102,0.31,18,0.55,17,-0.57,76
Patton Kizzire,12,-0.76,103,0.58,20,0.11,53,-0.09,71,0.30,21,-0.70,95,-0.59,77
Tom Hoge,12,-0.34,94,0.25,35,-0.59,82,-0.04,63,-0.50,90,-0.06,61,-0.65,78
Mackenzie Hughes,10,0.06,62,-0.19,63,-0.49,75,-0.07,69,-0.36,85,-0.16,65,-0.65,79
Mark Hubbard,10,0.07,60,-0.53,87,-0.82,92,-0.23,80,-0.36,86,0.18,42,-0.65,80
Jason Day,6,0.14,50,-0.20,64,0.11,52,-0.03,61,0.17,43,-0.76,99,-0.65,81
Tiger Woods,10,-0.11,78,0.22,37,0.00,60,0.05,48,-0.10,70,-0.66,92,-0.66,82
Andrew Putnam,12,-0.36,98,-0.08,55,-0.51,79,-0.22,78,-0.08,68,-0.19,70,-0.70,83
Kevin Tway,12,-0.18,81,-0.37,79,-0.58,81,-0.28,83,-0.03,65,-0.16,66,-0.74,84
Billy Horschel,8,-0.04,69,0.72,12,-0.60,84,0.34,27,-1.28,108,-0.17,67,-0.77,85
Corey Conners,6,0.36,29,-0.15,60,0.43,36,0.10,44,0.23,36,-1.25,106,-0.81,86
Nate Lashley,6,0.11,54,-0.30,72,-0.70,87,-0.09,70,-0.52,93,-0.30,77,-1.00,87
Lucas Glover,6,1.25,2,-0.24,67,1.27,9,0.50,16,0.26,30,-2.30,108,-1.04,88
Seamus Power,6,0.07,61,-1.16,103,-1.09,96,-0.55,98,0.01,59,0.01,54,-1.08,89
Kramer Hickok,6,0.59,13,-0.44,84,-0.90,93,0.08,46,-1.05,106,-0.18,69,-1.08,90
Robert Streb,12,-0.35,97,-0.41,81,-0.51,77,-0.38,90,0.25,32,-0.59,88,-1.09,91
Alex Smalley,4,0.07,57,-1.37,106,-1.91,103,-0.65,99,-0.61,97,0.80,8,-1.11,92
David Lipsky,2,0.40,24,-1.16,104,0.03,57,-0.38,91,0.80,1,-1.32,107,-1.29,93
Chris Kirk,2,0.31,31,-0.23,66,-0.81,91,0.04,50,-0.90,102,-0.53,86,-1.34,94
Cameron Champ,10,-0.19,83,-0.01,53,-0.81,90,-0.10,73,-0.61,96,-0.64,91,-1.45,95
Adam Long,10,-0.31,90,-0.57,89,-1.01,94,-0.44,96,-0.13,72,-0.46,84,-1.47,96
Tyrrell Hatton,2,0.32,30,-1.06,102,-0.43,74,-0.37,89,0.31,17,-1.04,103,-1.47,97
Keith Mitchell,2,0.95,4,-0.16,61,-0.30,72,0.39,23,-1.09,107,-1.17,104,-1.47,98
Tyler Duncan,12,-0.05,70,-0.58,90,-1.03,95,-0.32,87,-0.40,88,-0.57,87,-1.60,99
Stephan Jaeger,6,-0.32,91,-1.65,107,-1.71,100,-0.99,105,0.27,27,-0.05,57,-1.76,100
Doug Ghim,4,-0.59,102,-0.81,96,-2.07,104,-0.70,101,-0.67,98,0.21,39,-1.86,101
Shane Lowry,3,0.03,65,-0.77,95,-1.55,99,-0.37,88,-0.80,101,-0.34,79,-1.89,102
David Lingmerth,4,-0.34,95,-1.21,105,-2.46,106,-0.78,103,-0.91,103,0.54,18,-1.92,103
Robby Shelton,2,-1.22,106,-0.90,97,-1.90,102,-1.06,106,0.21,37,-0.04,56,-1.94,104
J.J. Spaun,12,0.19,45,-1.06,101,-1.83,101,-0.44,95,-0.96,104,-0.91,100,-2.74,105
Christiaan Bezuidenhout,2,-1.42,107,0.04,47,-2.12,105,-0.69,100,-0.74,100,-0.67,93,-2.79,106
Chesson Hadley,2,-1.43,108,-1.01,98,-2.88,107,-1.22,107,-0.44,89,-0.40,82,-3.29,107
Matt Wallace,2,-0.24,88,-2.62,108,-3.89,108,-1.43,108,-1.04,105,-0.39,81,-4.29,108
