Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Kevin Chappell,4,- 0.09,63,0.28,37,0.88,17,0.10,38,0.69,6,1.23,3,2.11,1
Matthias Schwab,4,- 0.26,78,0.71,15,1.44,5,0.22,31,0.99,2,0.61,12,2.05,2
Webb Simpson,8,0.17,37,- 0.09,66,1.02,15,0.04,45,0.94,3,0.85,8,1.87,3
Byeong Hun An,14,0.67,7,0.98,6,2.12,1,0.82,3,0.47,19,-0.30,71,1.81,4
Lee Hodges,4,0.10,42,0.75,13,1.13,12,0.42,20,0.28,27,0.67,11,1.80,5
Sepp Straka,14,0.68,5,0.48,21,1.39,6,0.58,9,0.22,36,0.34,18,1.73,6
Sungjae Im,14,0.71,4,0.28,38,1.62,3,0.49,14,0.63,7,0.05,39,1.67,7
Alex Noren,14,0.39,21,0.58,18,0.87,18,0.49,15,- 0.10,68,0.57,13,1.44,8
Billy Horschel,22,0.39,22,0.82,11,1.10,14,0.61,8,- 0.12,71,0.23,26,1.32,9
Shane Lowry,20,0.54,11,0.44,25,1.14,11,0.49,16,0.17,40,0.17,32,1.31,10
Cam Davis,12,0.34,25,0.99,5,1.30,8,0.67,5,- 0.04,60,-0.09,53,1.21,11
Aaron Wise,14,0.34,26,0.66,17,1.12,13,0.50,13,0.12,44,0.00,45,1.13,12
Christiaan Bezuidenhout,4,0.81,2,- 0.82,95,0.53,30,- 0.01,49,0.54,13,0.52,14,1.05,13
Taylor Pendrith,4,0.67,6,1.17,3,1.32,7,0.92,1,- 0.52,91,-0.27,69,1.05,14
Ryan Palmer,22,0.80,3,0.32,35,1.15,10,0.56,10,0.03,54,-0.14,62,1.01,15
Adam Svensson,8,0.21,31,0.71,14,1.80,2,0.46,17,0.89,5,-0.80,93,1.00,16
Harris English,16,- 0.07,60,0.17,44,0.24,43,0.05,42,0.14,42,0.74,10,0.98,17
Jhonattan Vegas,24,0.53,12,0.22,41,0.78,21,0.37,21,0.03,55,0.15,34,0.93,18
Will Gordon,4,1.31,1,- 0.01,60,0.49,33,0.65,6,- 0.81,102,0.37,17,0.86,19
Dylan Wu,4,0.17,35,0.00,57,- 0.89,84,0.09,40,- 1.06,106,1.69,1,0.80,20
Callum Tarren,4,0.50,13,1.19,2,1.26,9,0.84,2,- 0.43,90,-0.46,79,0.80,21
Chris Kirk,18,- 0.06,59,0.07,50,0.49,32,0.01,48,0.49,17,0.26,23,0.75,22
Bill Haas,8,0.08,45,- 0.45,81,- 0.04,58,- 0.19,70,0.34,26,0.79,9,0.75,23
Brice Garnett,14,0.10,41,0.07,49,0.43,36,0.09,39,0.26,30,0.19,28,0.62,24
Kramer Hickok,10,0.26,27,0.34,30,0.67,25,0.30,24,0.07,53,-0.08,52,0.59,25
Adam Schenk,16,0.04,47,0.47,23,0.27,41,0.25,26,- 0.24,80,0.32,20,0.59,26
Robby Shelton,6,- 0.02,55,- 0.09,65,0.42,37,- 0.05,52,0.53,14,0.15,33,0.57,27
Denny McCarthy,14,- 0.04,57,- 0.37,76,- 0.33,65,- 0.21,74,0.08,52,0.90,7,0.57,28
Davis Riley,4,0.42,19,0.11,46,0.64,27,0.27,25,0.10,49,-0.09,54,0.55,29
William McGirt,18,- 0.26,77,0.36,28,0.35,39,0.05,43,0.25,31,0.17,31,0.53,30
Matt Wallace,8,0.03,48,0.33,33,0.47,35,0.18,33,0.11,46,0.04,41,0.51,31
Dylan Frittelli,16,- 0.09,62,- 0.03,61,0.33,40,- 0.06,54,0.45,21,0.18,30,0.51,32
Tyler Duncan,11,0.35,24,0.88,8,0.64,26,0.62,7,- 0.59,95,-0.15,63,0.50,33
