Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Chris Gotterup,4,0.94,2,1.45,1,3.29,1,1.20,1,0.90,2,-0.37,94,2.92,1
Kevin Yu,4,0.71,8,0.10,56,0.31,54,0.41,27,-0.48,108,1.96,1,2.29,2
Lucas Glover,18,0.38,33,1.27,3,1.69,6,0.82,2,0.05,65,0.32,44,2.02,3
Bud Cauley,12,0.59,17,0.64,26,1.69,7,0.62,8,0.46,18,0.18,57,1.88,4
Greyson Sigg,8,0.40,32,1.08,5,1.90,2,0.74,4,0.43,20,-0.05,73,1.85,5
Michael Thorbjornsen,4,0.70,9,0.91,12,1.77,4,0.80,3,0.18,48,0.00,67,1.79,6
Alex Smalley,12,0.50,24,0.97,10,1.78,3,0.74,5,0.31,35,-0.03,71,1.75,7
Maverick McNealy,12,0.16,59,0.13,55,0.83,28,0.15,58,0.53,12,0.84,13,1.66,8
Adam Schenk,15,0.05,73,0.55,32,0.82,30,0.30,37,0.21,44,0.82,15,1.64,9
Sepp Straka,10,0.44,28,0.57,29,1.00,17,0.51,16,-0.01,75,0.54,31,1.55,10
Ryan Moore,24,0.12,65,0.79,17,0.81,32,0.45,22,-0.10,79,0.73,21,1.54,11
Garrick Higgo,4,1.48,1,-0.29,84,1.28,13,0.60,10,0.11,59,0.24,51,1.54,12
Callum Tarren,6,0.37,34,0.46,36,0.65,35,0.42,26,-0.17,85,0.87,11,1.53,13
Adam Svensson,12,0.06,71,0.26,49,0.62,39,0.16,54,0.30,37,0.90,10,1.52,14
Daniel Berger,12,0.27,45,0.66,25,1.05,16,0.46,19,0.12,55,0.43,37,1.48,15
Jhonattan Vegas,8,0.31,37,0.88,13,0.84,26,0.60,11,-0.35,100,0.62,25,1.46,16
Seamus Power,20,0.20,55,0.43,39,0.83,29,0.31,36,0.22,43,0.60,27,1.43,17
Dylan Frittelli,12,0.28,43,-0.48,96,0.13,61,-0.10,79,0.41,21,1.22,5,1.37,18
Patrick Rodgers,22,0.51,23,-0.11,70,0.35,50,0.20,52,-0.05,78,1.02,8,1.37,19
Denny McCarthy,16,0.53,21,-0.13,74,0.52,44,0.20,50,0.12,56,0.79,17,1.31,20
Patton Kizzire,18,0.18,56,0.35,44,0.63,38,0.26,44,0.11,58,0.60,26,1.23,21
Nate Lashley,10,-0.20,92,0.51,34,0.57,42,0.15,55,0.28,40,0.62,24,1.20,22
Mark Hubbard,16,-0.25,95,0.76,19,0.58,41,0.25,45,0.08,62,0.60,28,1.18,23
Brandon Wu,4,0.61,15,0.62,27,-0.04,70,0.62,7,-1.27,118,1.21,6,1.17,24
Hayden Buckley,4,0.82,3,0.33,45,1.48,10,0.57,12,0.33,32,-0.31,91,1.17,25
Adam Long,14,0.29,41,0.35,43,0.95,20,0.32,35,0.39,23,0.18,58,1.13,26
Zach Johnson,28,0.15,60,0.45,37,0.96,19,0.30,38,0.38,24,0.12,63,1.08,27
Davis Thompson,4,0.30,38,-0.95,111,-0.18,80,-0.32,102,0.49,14,1.45,3,1.04,28
Martin Laird,14,0.46,27,0.68,24,1.21,14,0.57,13,0.14,54,-0.23,86,0.99,29
Keith Mitchell,10,0.70,10,0.76,18,1.57,8,0.73,6,0.19,45,-0.58,106,0.98,30
Sungjae Im,8,0.14,63,-0.33,85,0.13,62,-0.10,78,0.32,34,0.83,14,0.96,31
Cam Davis,12,0.61,14,0.29,47,0.64,36,0.45,23,-0.26,92,0.30,46,0.94,32
C.T. Pan,10,0.25,47,0.85,15,0.81,31,0.55,15,-0.29,95,0.12,64,0.93,33
Sam Ryder,18,-0.33,104,0.53,33,0.17,60,0.10,65,0.01,72,0.74,19,0.92,34
Nick Hardy,16,0.34,36,0.07,60,0.70,34,0.21,48,0.33,33,0.22,53,0.92,35
David Lipsky,6,0.67,13,-0.42,92,0.56,43,0.12,64,0.45,19,0.29,47,0.86,36
Andrew Novak,8,0.28,44,0.27,48,0.32,53,0.28,42,-0.13,82,0.55,30,0.85,37
Beau Hossler,10,0.25,49,-0.69,104,-0.09,75,-0.22,91,0.37,26,0.92,9,0.85,38
Wesley Bryan,14,-0.76,116,1.44,2,0.84,24,0.34,33,0.17,51,-0.03,69,0.82,39
J.T. Poston,20,0.28,42,-0.49,97,0.28,57,-0.10,80,0.48,15,0.53,32,0.80,40
M.J. Daffue,4,0.68,12,-1.08,112,-0.29,86,-0.20,88,0.16,52,1.05,7,0.79,41
Kevin Kisner,4,0.75,6,0.38,40,1.70,5,0.56,14,0.58,8,-0.93,111,0.77,42
Chez Reavie,16,0.20,54,1.03,9,0.84,27,0.61,9,-0.35,101,-0.13,80,0.71,43
Luke List,12,0.72,7,0.24,51,1.42,11,0.48,17,0.46,17,-0.73,107,0.69,44
Lee Hodges,4,0.24,50,0.49,35,0.85,23,0.37,30,0.12,57,-0.18,84,0.67,45
Henrik Norlander,12,0.08,70,-0.17,78,-0.07,72,-0.05,75,0.03,71,0.66,23,0.59,46
Doug Ghim,11,-0.05,80,0.91,11,0.94,21,0.43,25,0.08,61,-0.36,92,0.59,47
Kevin Tway,18,0.42,30,-0.41,89,-0.16,79,0.01,71,-0.13,83,0.73,22,0.58,48
Kevin Streelman,18,0.05,72,0.62,28,1.12,15,0.34,34,0.48,16,-0.54,101,0.58,49
Tyler Duncan,15,0.11,66,0.80,16,0.84,25,0.45,21,-0.05,77,-0.29,89,0.57,50
Matt NeSmith,8,-0.16,90,0.72,23,1.50,9,0.28,41,1.03,1,-0.95,112,0.55,51
Jimmy Walker,4,-0.32,102,0.45,38,0.11,63,0.06,68,0.07,63,0.37,41,0.54,52
Chesson Hadley,19,0.15,61,0.25,50,0.36,49,0.20,51,-0.04,76,0.19,56,0.54,53
Dylan Wu,6,-0.12,87,1.04,8,1.29,12,0.46,20,0.54,11,-0.77,110,0.53,54
Andrew Landry,21,0.29,40,-0.02,66,-0.10,76,0.14,62,-0.33,97,0.57,29,0.47,55
Richy Werenski,20,0.43,29,-0.01,65,0.41,46,0.21,47,0.00,73,0.06,66,0.44,56
Chad Ramey,6,0.48,25,-0.13,73,0.18,59,0.18,53,-0.14,84,0.23,52,0.43,57
Kelly Kraft,22,0.23,52,0.36,42,0.34,51,0.29,40,-0.20,87,0.09,65,0.43,58
Camilo Villegas,12,-0.02,78,0.72,21,0.98,18,0.35,31,0.28,38,-0.56,103,0.42,59
Justin Lower,4,-0.38,105,0.05,62,-1.06,107,-0.16,85,-0.73,116,1.48,2,0.42,60
Bill Haas,11,-0.23,94,-0.16,77,-0.06,71,-0.20,87,0.33,31,0.45,36,0.38,61
Cody Gribble,12,0.30,39,-0.34,86,-0.07,73,-0.02,74,0.00,74,0.39,39,0.33,62
Michael Kim,18,-0.31,100,0.37,41,0.03,67,0.03,70,0.04,69,0.28,48,0.32,63
Peter Malnati,24,-0.33,103,-0.50,98,-0.49,89,-0.41,105,0.34,29,0.80,16,0.31,64
Robby Shelton,8,-0.42,107,0.72,22,0.41,47,0.15,56,0.18,49,-0.15,81,0.29,65
Nick Watney,18,0.02,76,-0.28,83,-0.07,74,-0.13,83,0.19,47,0.34,43,0.27,66
Tyson Alexander,2,0.36,35,-0.65,102,-1.04,104,-0.15,84,-0.25,89,1.23,4,0.26,67
Nico Echavarria,2,-0.27,96,1.14,4,0.64,37,0.44,24,0.24,42,-0.44,96,0.26,68
Ben Kohles,2,0.10,67,0.30,46,0.58,40,0.20,49,0.18,50,-0.37,93,0.21,69
Jim Herman,10,0.57,19,0.03,63,0.03,68,0.30,39,-0.56,110,0.15,59,0.19,70
Stewart Cink,8,0.09,68,0.87,14,0.28,56,0.48,18,-0.68,114,-0.11,78,0.18,71
Cameron Champ,12,0.80,4,-0.10,69,0.23,58,0.35,32,-0.37,104,-0.11,79,0.11,72
Austin Smotherman,6,0.47,26,-0.18,79,-0.13,78,0.15,59,-0.29,96,0.24,50,0.10,73
Troy Merritt,20,0.18,57,0.08,59,0.30,55,0.13,63,0.04,68,-0.22,85,0.07,74
Russell Knox,4,-0.30,98,1.07,6,0.11,65,0.39,28,-0.47,107,-0.03,70,0.04,75
Seung-yul Noh,9,-0.47,111,-0.02,67,-0.20,82,-0.25,94,0.40,22,0.13,62,-0.08,76
Lanto Griffin,10,0.51,22,-0.21,81,0.33,52,0.15,57,0.04,67,-0.51,97,-0.17,77
Joel Dahmen,10,0.60,16,-0.43,93,0.11,64,0.09,66,0.03,70,-0.30,90,-0.17,78
Austin Cook,16,-0.07,81,0.18,54,0.36,48,0.05,69,0.25,41,-0.53,99,-0.17,79
Andrew Putnam,9,0.09,69,-0.13,72,-0.37,87,-0.02,73,-0.33,98,0.15,60,-0.22,80
Carl Yuan,2,-0.29,97,-0.20,80,-0.49,90,-0.24,93,0.38,25,0.13,61,-0.24,81
Sam Stevens,2,-0.12,88,-0.03,68,-0.27,85,-0.08,76,0.31,36,-0.04,72,-0.24,82
Seonghyeon Kim,2,0.76,5,-1.17,114,-0.22,84,-0.21,89,0.68,4,-0.08,76,-0.24,83
Vince Whaley,8,0.03,74,-0.37,88,-0.59,95,-0.17,86,-0.12,81,0.31,45,-0.24,84
Zac Blair,10,-0.22,93,0.02,64,-0.01,69,-0.10,81,0.19,46,-0.24,87,-0.25,85
James Hahn,8,0.58,18,-0.42,90,-0.21,83,0.08,67,-0.34,99,-0.08,77,-0.27,86
Ryan Palmer,11,0.20,53,0.09,57,0.87,22,0.15,60,0.59,6,-1.16,119,-0.28,87
David Skinns,2,-1.61,122,1.05,7,-0.82,100,-0.28,98,-0.25,90,0.53,33,-0.29,88
Harry Higgs,8,-0.38,106,-0.28,82,-1.04,105,-0.33,103,-0.28,94,0.73,20,-0.32,89
Eric Cole,6,-1.11,119,0.57,31,-0.54,93,-0.27,96,0.05,66,0.19,55,-0.33,90
Nicholas Lindheim,10,-0.08,82,0.06,61,-0.20,81,-0.01,72,-0.18,86,-0.16,82,-0.36,91
Brendon Todd,18,-0.91,118,-0.92,109,-1.26,110,-0.91,119,0.56,10,0.85,12,-0.41,92
Brice Garnett,14,-0.03,79,0.57,30,-0.12,77,0.27,43,-0.61,112,-0.39,95,-0.49,93
Will Gordon,6,0.40,31,-0.12,71,0.43,45,0.14,61,0.28,39,-1.00,116,-0.55,94
Sean O'Hair,15,0.12,64,-0.35,87,-0.55,94,-0.12,82,-0.26,91,-0.08,75,-0.62,95
Sung Kang,12,0.25,48,0.21,52,0.10,66,0.23,46,-0.27,93,-0.74,108,-0.64,96
Harrison Endycott,4,-0.09,83,-0.42,91,-1.08,108,-0.26,95,-0.38,105,0.39,38,-0.71,97
Roger Sloan,9,-0.14,89,-0.64,101,-0.89,102,-0.39,104,-0.11,80,-0.01,68,-0.89,98
Ben Silverman,6,0.54,20,-1.55,118,-0.42,88,-0.50,108,0.59,7,-0.53,98,-0.95,99
Kyoung-Hoon Lee,4,-1.29,120,0.74,20,-1.51,115,-0.27,97,-0.71,115,0.47,35,-0.98,100
Rafael Campos,2,-0.64,115,-1.17,115,-1.46,114,-0.91,118,0.36,28,0.38,40,-1.07,101
Anders Albertson,3,-1.33,121,-0.47,95,-1.43,113,-0.90,117,0.37,27,0.36,42,-1.07,102
Tommy Gainey,10,-0.42,108,-0.16,76,-1.33,111,-0.29,99,-0.74,117,0.22,54,-1.11,103
Josh Teater,6,0.27,46,-0.45,94,-0.54,91,-0.09,77,-0.36,102,-0.58,104,-1.11,104
Paul Haley,2,0.68,11,0.09,58,0.77,33,0.38,29,0.50,13,-2.08,122,-1.24,105
William McGirt,10,-0.31,99,-0.55,99,-0.81,99,-0.43,106,0.14,53,-0.54,100,-1.35,106
Matt Kuchar,4,-0.20,91,-1.48,117,-1.03,103,-0.84,115,0.82,3,-0.26,88,-1.46,107
Martin Trainer,10,-0.43,109,-0.71,106,-1.59,116,-0.57,109,-0.37,103,-0.06,74,-1.64,108
Justin Suh,2,-0.49,112,-0.15,75,-0.54,92,-0.32,100,0.10,60,-1.18,120,-1.72,109
Brandt Snedeker,4,-0.44,110,-0.88,107,-0.69,97,-0.66,112,0.65,5,-1.09,118,-1.77,110
Scott Gutschewski,2,-0.63,113,0.20,53,-1.04,106,-0.22,90,-0.61,113,-0.75,109,-1.79,111
Ryan Brehm,8,0.14,62,-0.59,100,-0.87,101,-0.23,92,-0.41,106,-0.98,114,-1.84,112
Joseph Bramlett,6,-0.12,86,-0.88,108,-0.77,98,-0.50,107,0.34,30,-0.98,115,-1.87,113
Scott Piercy,9,0.03,75,-0.67,103,-1.19,109,-0.32,101,-0.54,109,-0.96,113,-2.08,114
Kevin Chappell,4,-0.32,101,-0.92,110,-0.67,96,-0.62,111,0.57,9,-1.60,121,-2.27,115
J.J. Spaun,6,-0.01,77,-1.41,116,-1.36,112,-0.71,114,0.06,64,-1.03,117,-2.38,116
Zecheng Dou,4,-0.64,114,-0.69,105,-1.93,117,-0.66,113,-0.60,111,-0.58,105,-2.50,117
Kyle Westmoreland,2,-0.09,84,-1.12,113,-3.36,119,-0.60,110,-1.75,120,0.52,34,-2.74,118
Carson Young,2,-0.10,85,-1.94,121,-4.04,122,-1.02,121,-1.97,122,0.78,18,-3.24,119
Paul Barjon,2,0.23,51,-1.93,120,-3.56,120,-0.85,116,-1.86,121,0.27,49,-3.29,120
Ben Taylor,4,-0.86,117,-1.79,119,-2.86,118,-1.33,122,-0.21,88,-0.55,102,-3.41,121
Taylor Montgomery,2,0.17,58,-2.07,122,-3.68,121,-0.95,120,-1.30,119,-0.17,83,-3.74,122
