Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Patrick Cantlay,32,0.73,4,1.16,4,2.30,2,0.95,3,0.41,11,0.22,26,2.52,1
Scottie Scheffler,14,0.77,3,1.37,3,2.76,1,1.07,2,0.62,3,-0.37,57,2.38,2
Collin Morikawa,17,0.59,7,1.64,1,2.18,3,1.12,1,- 0.06,42,0.21,28,2.37,3
Lee Hodges,4,0.49,11,1.04,6,1.67,4,0.76,5,0.15,27,0.13,36,1.76,4
Rory McIlroy,26,0.69,5,0.43,24,1.16,10,0.56,10,0.05,36,0.43,16,1.58,5
Xander Schauffele,26,0.51,10,0.88,10,1.42,5,0.69,6,0.01,39,0.12,38,1.54,6
Max Homa,16,0.26,26,0.67,14,0.99,15,0.47,13,0.05,35,0.46,11,1.45,7
Jordan Spieth,32,0.32,21,0.04,36,0.94,16,0.18,28,0.58,5,0.45,12,1.38,8
Rickie Fowler,32,0.48,12,0.21,28,1.23,9,0.34,18,0.54,6,0.14,33,1.36,9
Viktor Hovland,20,0.63,6,0.62,19,0.99,14,0.62,7,- 0.26,53,0.36,18,1.34,10
Jason Day,28,0.43,16,- 0.55,60,0.37,30,- 0.06,41,0.49,10,0.91,3,1.27,11
Russell Henley,18,- 0.03,42,0.92,7,1.42,6,0.44,14,0.52,7,-0.14,50,1.27,12
Denny McCarthy,16,- 0.35,52,- 0.47,57,- 0.07,44,- 0.41,60,0.76,1,1.38,1,1.26,13
Eric Cole,4,- 0.45,58,- 0.05,40,0.01,42,- 0.25,53,0.51,8,1.29,2,1.26,14
Stephan Jaeger,4,- 0.51,59,0.77,11,0.86,20,0.13,31,0.60,4,0.44,14,1.26,15
Shane Lowry,26,0.08,38,0.70,13,1.00,13,0.39,15,0.22,21,0.15,31,1.14,16
Tony Finau,22,0.33,20,0.43,23,0.78,21,0.38,16,0.02,38,0.30,21,1.09,17
Austin Eckroat,4,0.47,13,0.05,35,0.92,19,0.26,26,0.33,16,0.14,32,1.01,18
Matt Fitzpatrick,20,0.54,8,0.17,29,1.03,11,0.35,17,0.32,17,-0.02,42,1.00,19
Matt Kuchar,30,0.03,40,- 0.08,41,0.16,36,- 0.02,40,0.20,22,0.84,4,0.99,20
Justin Thomas,26,0.34,19,0.65,15,1.03,12,0.50,11,0.03,37,-0.15,52,0.91,21
Christiaan Bezuidenhout,12,- 0.67,62,0.65,16,0.12,38,- 0.01,39,0.08,32,0.80,5,0.91,22
Will Zalatoris,6,0.22,29,1.55,2,1.25,8,0.88,4,- 0.52,61,-0.35,55,0.90,23
Sahith Theegala,12,- 0.23,47,0.48,21,0.55,26,0.13,30,0.10,29,0.36,19,0.88,24
Byeong Hun An,26,0.20,30,0.35,25,0.73,23,0.28,23,0.18,24,0.13,35,0.85,25
Adam Schenk,16,0.30,24,0.89,9,0.93,18,0.59,8,- 0.26,54,-0.10,48,0.82,26
