Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Jake Knapp,4,0.69,15,2.18,1,2.85,1,1.44,1,- 0.02,50,0.80,12,3.65,1
Akshay Bhatia,4,0.44,28,1.67,2,2.03,2,1.06,3,- 0.09,54,1.38,4,3.41,2
Kurt Kitayama,4,0.83,11,1.05,8,1.95,3,0.94,5,0.08,41,1.24,7,3.19,3
Sami Valimaki,4,0.48,27,1.04,10,1.85,5,0.76,11,0.34,20,1.30,5,3.15,4
Patrick Rodgers,12,1.16,3,0.22,49,1.44,10,0.69,15,0.11,36,0.79,13,2.25,5
Beau Hossler,4,0.74,14,0.25,45,1.38,15,0.49,26,0.44,15,0.74,15,2.16,6
Stephan Jaeger,12,- 0.16,58,1.00,11,1.63,8,0.42,31,0.82,6,0.26,34,1.92,7
Carson Young,8,1.04,5,0.50,33,1.44,11,0.77,10,- 0.10,55,0.47,24,1.91,8
Chan Kim,4,0.04,52,0.53,32,0.65,33,0.29,38,0.08,40,1.25,6,1.90,9
C.T. Pan,8,0.57,21,0.24,48,1.24,21,0.40,32,0.43,16,0.56,23,1.80,10
Davis Riley,6,0.83,10,- 0.82,73,0.21,46,0.00,52,0.20,28,1.56,3,1.77,11
Kevin Roy,4,0.53,23,0.63,26,1.69,7,0.58,21,0.54,11,-0.05,47,1.66,12
Ben Silverman,4,0.31,34,- 1.28,77,- 0.83,71,- 0.48,69,0.13,32,2.48,1,1.65,13
Emiliano Grillo,12,0.38,30,1.04,9,0.82,27,0.71,13,- 0.60,71,0.76,14,1.58,14
Chris Gotterup,1,0.57,20,1.09,7,1.11,23,0.83,7,- 0.55,69,0.44,25,1.55,15
Harry Hall,8,0.01,54,0.41,36,1.22,22,0.21,40,0.82,5,0.28,33,1.53,16
Trey Mullinax,4,0.97,6,0.94,13,1.93,4,0.95,4,0.02,47,-0.49,65,1.44,17
Alejandro Tosti,6,0.36,32,0.96,12,1.37,16,0.66,17,0.12,34,-0.01,45,1.41,18
Will Gordon,4,1.06,4,- 0.08,56,0.67,32,0.49,27,- 0.33,64,0.63,20,1.41,19
Erik Van Rooyen,8,0.50,26,1.12,6,1.32,17,0.81,8,- 0.29,63,0.09,40,1.41,20
Greyson Sigg,12,0.22,40,0.86,17,1.43,12,0.54,23,0.41,18,-0.13,48,1.33,21
Chesson Hadley,4,0.28,36,0.11,51,1.39,14,0.19,41,1.01,2,-0.24,53,1.15,22
Chandler Phillips,4,- 0.36,63,1.13,4,1.29,18,0.39,33,0.51,13,-0.14,49,1.14,23
Dylan Wu,10,0.33,33,0.34,39,0.81,28,0.33,37,0.17,29,0.31,31,1.14,24
Nate Lashley,10,0.12,48,0.38,37,0.46,36,0.25,39,0.04,44,0.57,21,1.13,25
Vincent Norrman,6,1.33,2,- 0.12,58,1.25,20,0.60,20,0.06,43,-0.18,51,1.08,26
Justin Lower,8,0.00,55,0.24,46,0.34,43,0.12,44,0.10,39,0.71,16,1.05,27
Ryan Gerard,4,0.11,49,1.14,3,1.78,6,0.62,18,0.58,10,-0.93,79,0.91,28
Aaron Rai,10,0.58,19,0.80,20,1.42,13,0.69,16,0.10,38,-0.70,72,0.83,29
Alex Smalley,8,0.91,8,0.63,24,1.27,19,0.77,9,- 0.27,62,-0.47,64,0.82,30
Andrew Putnam,6,0.15,46,0.88,15,0.42,38,0.52,25,- 0.61,72,0.38,28,0.80,31
David Lipsky,10,- 0.19,60,1.12,5,0.16,48,0.47,29,- 0.77,78,0.57,22,0.73,32
Maverick McNealy,8,0.04,53,- 0.55,68,- 0.35,57,- 0.26,60,0.16,30,1.01,10,0.66,33
Rafael Campos,4,0.84,9,0.31,43,0.50,35,0.57,22,- 0.64,74,0.15,38,0.65,34
Hayden Springer,4,0.94,7,0.56,30,0.92,25,0.75,12,- 0.58,70,-0.28,54,0.65,35
Seonghyeon Kim,6,0.19,41,- 0.43,66,0.37,41,- 0.12,58,0.63,9,0.25,35,0.58,36
Alvaro Ortiz,10,- 0.12,57,0.26,44,0.17,47,0.07,48,0.03,45,0.36,30,0.53,37
Aaron Baddeley,10,- 1.03,80,- 0.16,59,- 0.79,70,- 0.60,74,0.44,14,1.19,8,0.44,38
Lanto Griffin,12,0.55,22,0.87,16,0.75,31,0.71,14,- 0.67,75,-0.33,56,0.42,39
Michael Kim,6,- 0.87,77,0.09,52,- 0.27,56,- 0.39,64,0.52,12,0.67,18,0.41,40
Francesco Molinari,6,- 0.38,64,0.32,40,- 0.00,52,- 0.03,54,0.11,37,0.37,29,0.41,41
Nicolai Hojgaard,8,0.58,18,0.63,25,0.79,29,0.61,19,- 0.38,66,-0.43,61,0.41,42
Thorbjorn Olesen,4,- 1.09,82,0.81,19,0.35,42,- 0.14,59,0.83,4,0.05,41,0.40,43
David Skinns,6,- 0.06,56,0.76,22,0.92,26,0.35,36,0.22,27,-0.65,70,0.27,44
Ryo Hisatsune,4,- 0.41,66,0.32,42,0.03,51,- 0.05,57,0.13,33,0.12,39,0.15,45
Ben Martin,6,- 0.60,72,0.57,29,- 0.36,58,- 0.02,53,- 0.27,61,0.44,26,0.14,46
Scott Piercy,10,- 0.35,62,0.58,28,0.05,50,0.11,45,- 0.14,58,0.04,42,0.13,47
Ben Griffin,2,- 0.42,67,- 0.57,71,- 2.03,80,- 0.49,70,- 1.05,82,2.11,2,0.08,48
Luke List,2,1.54,1,0.83,18,0.44,37,1.19,2,- 1.45,83,-1.15,81,- 0.02,49
Patton Kizzire,4,0.18,43,- 0.27,63,- 0.16,55,- 0.04,55,0.14,31,-0.23,52,- 0.05,50
Hayden Buckley,4,0.81,12,- 0.05,55,0.77,30,0.38,34,0.01,49,-0.83,76,- 0.06,51
Henrik Norlander,6,- 0.89,78,- 0.50,67,- 1.14,73,- 0.69,76,0.25,24,1.07,9,- 0.07,52
Cristobal Del Solar,6,0.14,47,- 0.24,62,- 0.06,53,- 0.05,56,0.03,46,-0.01,46,- 0.07,53
Rico Hoey,2,0.79,13,0.89,14,1.61,9,0.84,6,- 0.08,53,-1.69,84,- 0.08,54
Carl Yuan,8,0.42,29,0.32,41,0.59,34,0.37,35,- 0.13,57,-0.71,73,- 0.10,55
Padraig Harrington,4,- 0.27,61,0.36,38,0.21,45,0.05,49,0.11,35,-0.31,55,- 0.10,56
Ryan Palmer,4,0.19,42,- 0.04,54,0.39,40,0.07,47,0.24,25,-0.49,66,- 0.10,57
Victor Perez,4,0.27,37,0.61,27,0.42,39,0.44,30,- 0.47,67,-0.52,67,- 0.10,58
Chad Ramey,6,- 0.49,70,- 0.11,57,0.23,44,- 0.30,62,0.84,3,-0.44,62,- 0.21,59
Charley Hoffman,6,0.51,25,0.55,31,1.09,24,0.53,24,0.07,42,-1.39,82,- 0.25,60
Matt Wallace,10,- 0.42,68,0.73,23,0.15,49,0.16,42,- 0.16,60,-0.42,60,- 0.27,61
Taylor Moore,2,0.17,44,- 1.42,78,- 0.84,72,- 0.63,75,0.42,17,0.42,27,- 0.42,62
Kevin Tway,4,- 0.18,59,0.43,34,- 0.08,54,0.13,43,- 0.34,65,-0.39,58,- 0.47,63
Ben Kohles,5,0.37,31,- 0.17,60,- 0.57,63,0.10,46,- 0.77,77,0.03,43,- 0.54,64
Peter Malnati,6,- 1.39,83,- 0.04,53,- 0.70,69,- 0.71,77,0.72,8,0.16,37,- 0.54,65
Jacob Bridgeman,2,- 0.38,65,- 0.57,72,- 0.59,64,- 0.47,68,0.36,19,0.01,44,- 0.58,66
Garrick Higgo,6,0.31,35,- 1.19,75,- 0.59,65,- 0.44,66,0.29,23,-0.15,50,- 0.74,67
Wesley Bryan,6,- 1.65,84,- 0.19,61,- 1.53,76,- 0.92,80,0.30,22,0.66,19,- 0.88,68
Kyoung-Hoon Lee,2,- 0.47,69,- 2.31,83,- 1.77,78,- 1.39,84,1.01,1,0.70,17,- 1.08,69
Patrick Fishburn,2,0.26,39,- 0.86,74,- 0.66,66,- 0.30,63,- 0.06,52,-0.42,59,- 1.08,70
Joe Highsmith,2,- 1.06,81,0.24,47,- 0.53,60,- 0.41,65,0.30,21,-0.56,68,- 1.08,71
Trevor Cone,4,0.52,24,0.42,35,- 0.57,62,0.47,28,- 1.46,84,-0.58,69,- 1.09,72
Ryan Fox,2,0.63,16,- 0.56,70,- 0.69,68,0.03,50,- 0.76,76,-0.89,78,- 1.58,73
Sam Stevens,2,- 0.74,74,0.78,21,- 0.49,59,0.02,51,- 0.53,68,-1.09,80,- 1.58,74
Matti Schmid,4,- 0.87,76,- 0.32,65,- 2.33,81,- 0.60,73,- 1.00,80,0.29,32,- 1.80,75
Adam Svensson,2,- 0.85,75,- 0.29,64,- 1.26,75,- 0.57,71,- 0.13,56,-0.66,71,- 1.92,76
Harry Higgs,2,0.62,17,- 1.53,79,- 0.66,67,- 0.45,67,0.24,26,-1.40,83,- 2.02,77
Santiago De La Fuente,6,0.09,51,- 1.23,76,- 1.19,74,- 0.57,72,- 0.05,51,-0.85,77,- 2.04,78
Vince Whaley,4,0.10,50,- 2.76,85,- 1.90,79,- 1.33,83,0.77,7,-0.35,57,- 2.25,79
Max McGreevy,4,- 0.98,79,- 0.55,69,- 1.68,77,- 0.76,78,- 0.16,59,-0.81,75,- 2.47,80
Norman Xiong,2,0.27,38,- 2.62,84,- 3.39,84,- 1.18,81,- 1.03,81,0.81,11,- 2.58,81
Mac Meissner,2,- 0.68,73,0.14,50,- 0.53,61,- 0.27,61,0.02,48,-2.05,85,- 2.58,82
Jose Antonio Safa,4,0.16,45,- 1.98,82,- 2.45,82,- 0.91,79,- 0.64,73,-0.79,74,- 3.25,83
Jose Cristobal Islas,4,- 0.53,71,- 1.92,80,- 3.27,83,- 1.23,82,- 0.82,79,-0.45,63,- 3.72,84
Pierceson Coody,1,- 3.95,85,- 1.94,81,- 7.64,85,- 2.94,85,- 1.76,85,0.19,36,- 7.46,85
