Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Ludvig Aberg,2,0.59,10,0.13,37,1.86,3,0.36,15,1.14,2,1.37,3,3.28,1
Matthieu Pavon,2,0.70,4,2.29,1,2.70,2,1.49,1,-0.29,63,1.84,2,2.95,2
Jason Day,17,0.15,39,0.08,39,0.71,20,0.11,40,0.48,9,0.44,18,2.70,3
Scottie Scheffler,2,-0.29,72,2.21,2,1.81,4,0.96,3,-0.11,51,0.42,19,2.28,4
Justin Thomas,2,0.64,5,1.22,5,2.88,1,0.93,4,1.02,3,-1.16,73,2.28,5
Jordan Spieth,19,0.08,45,0.48,18,0.80,17,0.28,22,0.25,18,0.09,37,2.06,6
Patrick Cantlay,13,0.20,33,0.20,28,0.37,29,0.20,29,-0.03,44,0.31,26,2.03,7
Justin Rose,10,0.19,35,-0.19,56,0.12,46,0.00,51,0.11,28,0.29,29,1.96,8
Eric Cole,4,-0.04,57,1.45,4,1.53,7,0.71,6,0.12,26,0.16,34,1.63,9
Thomas Detry,4,0.13,40,-0.13,51,-,49,0.00,52,0.00,40,-0.01,42,1.63,10
Gary Woodland,3,0.53,14,0.35,23,0.63,22,0.44,11,-0.25,62,0.88,6,1.63,11
Wyndham Clark,6,0.18,37,0.64,10,0.95,12,0.41,12,0.13,25,1.36,4,1.62,12
Taylor Pendrith,4,0.44,16,0.14,35,0.89,16,0.29,20,0.30,15,-0.08,45,1.62,13
Keegan Bradley,2,0.39,20,0.23,27,0.97,11,0.31,18,0.35,12,0.76,8,1.61,14
Christiaan Bezuidenhout,4,0.04,48,0.89,8,0.62,23,0.46,9,-0.31,64,1,5,1.60,15
Maverick McNealy,10,0.22,32,0.06,41,0.74,19,0.14,39,0.46,11,0.42,20,1.48,16
Nick Taylor,18,0.05,47,0.24,26,0.35,32,0.14,37,0.07,34,0.25,30,1.42,17
Denny McCarthy,9,0.24,30,-0.09,47,-0.02,50,0.08,46,-0.17,54,0.66,14,1.40,18
Emiliano Grillo,2,0.28,28,-2.71,79,-3.05,78,-1.22,78,-0.62,76,2.28,1,1.28,19
Collin Morikawa,2,0.60,6,-0.16,54,1.73,6,0.22,26,1.29,1,0.31,28,1.28,20
Taylor Moore,6,-0.10,61,0.13,38,-0.07,52,0.01,50,-0.09,49,0.33,25,1.25,21
Beau Hossler,15,0.03,50,-0.28,61,-0.10,55,-0.13,61,0.15,24,0.31,27,1.22,22
Tom Hoge,17,0.06,46,0.33,24,0.31,37,0.20,30,-0.08,47,0.51,17,1.21,23
Sam Burns,5,0.13,41,0.67,9,0.21,44,0.40,13,-0.59,75,0.66,13,1.16,24
Sam Stevens,2,0.08,44,0.63,11,0.39,27,0.36,16,-0.33,65,0.57,16,1.15,25
Harry Hall,2,-0.44,74,0.60,12,-0.23,60,0.08,45,-0.39,67,0.06,39,1.15,26
Akshay Bhatia,3,-0.66,76,-0.16,53,0.16,45,-0.41,73,0.98,4,0.72,10,1.07,27
Kevin Yu,4,0.55,13,1.80,3,1.76,5,1.18,2,-0.59,74,-1.55,76,1.06,28
Adam Hadwin,9,0.02,53,0.41,20,0.23,41,0.22,27,-0.20,60,-0.1,47,1.00,29
Mark Hubbard,14,0.03,49,0.07,40,0.21,42,0.05,47,0.12,27,0.4,22,0.99,30
Keith Mitchell,12,0.40,19,0.15,34,0.37,28,0.28,21,-0.18,57,0.18,31,0.97,31
Shane Lowry,7,0.24,31,0.19,31,0.32,35,0.21,28,-0.11,52,-0.19,53,0.89,32
Max Homa,10,-0.10,60,0.29,25,0.28,38,0.10,42,0.09,32,0.34,24,0.87,33
Viktor Hovland,6,0.43,17,-0.47,68,-0.58,68,-0.02,55,-0.55,70,-0.14,51,0.83,34
Tony Finau,6,0.42,18,0.56,14,0.80,18,0.49,8,-0.18,56,-0.37,58,0.76,35
Sahith Theegala,3,-0.82,77,0.37,22,-0.68,70,-0.22,67,-0.23,61,0.73,9,0.75,36
Seamus Power,12,-0.22,71,-0.01,44,-0.22,59,-0.11,59,0.01,39,0.63,15,0.75,37
Chris Kirk,10,0.18,36,0.17,33,0.61,24,0.17,33,0.26,16,-0.1,46,0.67,38
Byeong Hun An,4,-0.11,62,-0.31,64,0.11,47,-0.21,65,0.53,8,0.68,11,0.63,39
Lucas Glover,10,-0.17,69,0.50,16,0.35,33,0.17,35,0.01,37,0.12,36,0.62,40
Peter Malnati,15,-0.05,58,-0.14,52,-0.08,53,-0.10,57,0.11,29,0.38,23,0.59,41
