Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Scottie Scheffler,14,1.03,1,0.79,8,1.83,5,0.91,1,0.02,57,0.96,4,2.79,1
Xander Schauffele,24,0.82,7,0.59,14,1.89,3,0.71,6,0.48,16,0.40,31,2.29,2
Rickie Fowler,28,- 0.01,53,0.96,5,1.31,11,0.48,12,0.35,21,0.81,9,2.12,3
Hideki Matsuyama,29,0.52,17,1.04,4,2.05,2,0.78,5,0.49,15,-0.01,59,2.04,4
Justin Thomas,28,0.52,18,1.13,3,1.74,6,0.83,2,0.09,47,0.28,41,2.01,5
Sungjae Im,16,0.49,21,0.37,23,1.49,7,0.43,15,0.63,6,0.39,32,1.88,6
Sahith Theegala,8,0.33,28,- 0.16,75,0.56,30,0.09,50,0.40,18,1.19,2,1.75,7
Taylor Moore,4,0.88,5,0.71,11,1.27,13,0.79,4,- 0.31,86,0.47,24,1.74,8
Jhonattan Vegas,8,0.95,3,0.12,45,2.19,1,0.53,9,1.13,2,-0.58,87,1.62,9
Matt Fitzpatrick,8,0.37,26,0.37,24,1.41,10,0.37,23,0.68,5,0.18,44,1.59,10
Matt Kuchar,26,0.07,48,0.24,36,0.57,28,0.15,39,0.27,27,0.94,5,1.51,11
Byeong Hun An,20,0.04,50,0.72,9,1.28,12,0.38,21,0.51,13,0.20,43,1.47,12
Alex Noren,14,- 0.04,58,0.71,10,0.59,27,0.33,24,- 0.06,64,0.82,8,1.41,13
Max Homa,20,0.33,29,0.57,16,0.84,19,0.45,14,- 0.06,66,0.46,25,1.30,14
Kurt Kitayama,4,0.27,32,0.05,51,0.42,36,0.16,37,0.09,45,0.79,11,1.21,15
Garrick Higgo,6,0.78,8,0.08,47,1.47,8,0.43,16,0.60,9,-0.32,79,1.14,16
Jordan Spieth,20,- 0.04,57,1.25,2,1.45,9,0.60,7,0.25,30,-0.34,81,1.12,17
Billy Horschel,32,0.49,22,- 0.09,68,0.42,35,0.20,33,0.03,54,0.65,18,1.07,18
J.T. Poston,18,- 0.06,60,0.26,33,0.28,44,0.10,48,0.09,43,0.76,12,1.05,19
Adam Hadwin,32,0.20,38,- 0.08,65,0.61,26,0.06,52,0.49,14,0.43,28,1.04,20
Gary Woodland,26,0.09,47,0.84,7,0.87,17,0.47,13,- 0.06,67,0.10,47,0.97,21
Martin Laird,28,- 0.02,55,0.28,31,0.52,31,0.13,43,0.26,29,0.43,29,0.94,22
Daniel Berger,22,0.32,30,- 0.08,66,0.10,51,0.12,45,- 0.14,75,0.83,7,0.93,23
Kyoung-hoon Lee,14,0.39,25,- 0.30,80,0.70,23,0.05,54,0.61,8,0.09,48,0.79,24
Nate Lashley,14,0.04,49,0.56,17,0.88,16,0.30,27,0.28,26,-0.10,66,0.78,25
Chez Reavie,20,0.30,31,- 0.09,67,0.35,42,0.10,47,0.14,41,0.38,33,0.73,26
Bud Cauley,14,- 0.24,66,0.52,19,0.32,43,0.14,41,0.04,52,0.40,30,0.72,27
Scott Stallings,20,0.13,44,0.36,25,0.66,24,0.24,31,0.18,37,0.06,50,0.72,28
J.J. Spaun,14,0.22,37,0.64,13,0.40,38,0.43,18,- 0.45,94,0.25,42,0.65,29
Zach Johnson,30,- 0.24,67,0.19,39,0.02,58,- 0.02,58,0.08,48,0.62,19,0.65,30
Sam Burns,14,- 0.26,70,0.58,15,- 0.05,60,0.16,36,- 0.38,89,0.69,16,0.64,31
Tom Hoge,18,- 0.28,73,0.55,18,0.23,46,0.13,42,- 0.02,60,0.38,34,0.61,32
J.B. Holmes,22,0.62,14,- 0.24,79,0.57,29,0.19,34,0.19,35,0.04,54,0.61,33
Brian Harman,28,0.25,34,- 0.45,83,0.16,50,- 0.10,62,0.36,19,0.45,26,0.61,34
Corey Conners,16,0.85,6,0.13,43,0.79,21,0.49,11,- 0.19,80,-0.23,74,0.56,35
Wyndham Clark,16,- 0.57,84,0.50,20,0.25,45,- 0.04,60,0.32,24,0.30,40,0.55,36
Zac Blair,6,- 0.35,77,- 0.21,78,- 0.31,68,- 0.28,77,0.24,31,0.80,10,0.49,37
Adam Scott,4,- 0.36,78,0.14,41,0.05,56,- 0.11,64,0.27,28,0.43,27,0.48,38
Charley Hoffman,30,0.20,39,0.31,29,0.45,34,0.25,30,- 0.06,65,-0.00,58,0.44,39
Matt NeSmith,8,- 0.20,64,0.38,22,0.04,57,0.09,49,- 0.14,77,0.34,37,0.38,40
Beau Hossler,20,0.17,40,- 0.60,90,- 0.40,72,- 0.21,73,0.03,55,0.76,14,0.36,41
Luke List,24,0.41,24,0.35,26,0.93,15,0.38,22,0.17,38,-0.59,89,0.35,42
Keith Mitchell,18,1.02,2,- 0.03,59,0.72,22,0.50,10,- 0.28,84,-0.37,82,0.34,43
Brandt Snedeker,16,- 0.72,92,0.29,30,- 0.28,67,- 0.21,72,0.14,40,0.59,21,0.31,44
Nick Hardy,4,- 0.17,63,0.08,46,0.48,33,- 0.05,61,0.57,11,-0.17,70,0.31,45
Sam Ryder,20,- 0.15,61,0.25,34,- 0.05,59,0.05,53,- 0.15,79,0.35,36,0.30,46
Brendon Todd,14,- 0.61,87,- 0.65,91,- 1.02,86,- 0.63,91,0.24,32,1.30,1,0.28,47
Andrew Putnam,12,- 0.57,85,0.08,48,- 0.08,62,- 0.24,75,0.42,17,0.32,38,0.24,48
Mark Hubbard,18,- 0.03,56,0.08,49,- 0.07,61,0.03,55,- 0.12,73,0.30,39,0.23,49
Aaron Rai,4,- 0.16,62,- 0.07,62,0.39,40,- 0.11,65,0.63,7,-0.16,68,0.23,50
Patrick Rodgers,22,0.70,11,- 0.56,88,0.18,49,0.07,51,0.05,51,0.04,55,0.23,51
Harris English,20,- 0.37,80,- 0.16,74,- 0.56,80,- 0.26,76,- 0.03,62,0.74,15,0.17,52
Shane Lowry,14,0.66,13,0.19,38,0.84,18,0.42,19,- 0.01,59,-0.68,92,0.15,53
Chesson Hadley,22,- 0.33,76,- 0.08,64,- 0.48,77,- 0.20,71,- 0.07,68,0.56,22,0.08,54
Lucas Glover,22,0.17,41,0.15,40,0.22,47,0.16,38,- 0.10,71,-0.16,69,0.06,55
Michael Kim,16,0.26,33,0.03,54,0.07,54,0.15,40,- 0.22,81,-0.05,60,0.02,56
Tom Kim,4,- 0.67,91,- 0.02,58,- 0.82,84,- 0.35,81,- 0.08,69,0.84,6,0.02,57
Justin Lower,4,- 0.65,89,0.33,27,- 0.58,81,- 0.16,66,- 0.22,82,0.59,20,0.01,58
Brandon Wu,4,0.74,9,0.12,44,0.82,20,0.43,17,- 0.03,61,-0.87,95,- 0.05,59
Aaron Baddeley,14,- 0.77,93,0.06,50,- 0.13,63,- 0.35,83,0.58,10,0.08,49,- 0.05,60
David Lipsky,2,0.74,10,0.88,6,1.83,4,0.81,3,0.34,22,-1.89,105,- 0.06,61
Nick Taylor,24,0.23,36,- 0.01,57,0.51,32,0.11,46,0.29,25,-0.58,88,- 0.08,62
Doug Ghim,6,0.12,45,0.66,12,0.64,25,0.39,20,- 0.09,70,-0.72,93,- 0.08,63
Kevin Streelman,22,0.11,46,0.14,42,0.41,37,0.12,44,0.16,39,-0.52,86,- 0.12,64
Erik van Rooyen,6,- 0.23,65,0.24,35,0.08,53,0.01,56,0.06,50,-0.20,71,- 0.12,65
Cameron Young,8,0.91,4,- 0.40,82,0.09,52,0.26,29,- 0.42,90,-0.24,75,- 0.15,66
Seamus Power,8,0.25,35,- 0.31,81,- 0.20,65,- 0.03,59,- 0.13,74,0.05,53,- 0.16,67
Camilo Villegas,12,- 1.01,97,0.19,37,- 0.27,66,- 0.41,87,0.55,12,0.03,56,- 0.24,68
Ryan Moore,22,- 0.24,69,- 0.12,71,- 0.16,64,- 0.18,69,0.22,33,-0.09,63,- 0.25,69
