Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Taylor Pendrith,4,0.93,4,0.12,45,1.22,15,0.53,15,0.17,41,0.62,14,1.84,1
Erik Van Rooyen,4,-0.38,92,2.83,1,2.78,1,1.22,2,0.34,24,-0.94,105,1.84,2
Jason Day,22,0.59,20,0.32,34,1.40,11,0.45,18,0.49,8,0.35,30,1.75,3
Doug Ghim,8,0.40,28,1.05,5,1.93,2,0.72,7,0.48,10,-0.19,70,1.73,4
Justin Thomas,23,0.26,42,0.80,15,1.54,9,0.53,14,0.48,9,0.15,45,1.69,5
Webb Simpson,16,0.10,57,-0.04,64,0.42,38,0.03,60,0.36,20,1.26,2,1.68,6
Adam Scott,22,-0.18,82,0.93,8,1.18,16,0.38,24,0.43,14,0.48,21,1.66,7
Tommy Fleetwood,18,0.76,11,0.48,27,1.64,6,0.62,10,0.40,15,-0.03,60,1.60,8
Will Zalatoris,8,0.83,7,0.94,7,1.68,4,0.89,3,-0.09,62,-0.20,71,1.48,9
Corey Conners,12,0.66,16,0.95,6,1.61,7,0.80,5,0.00,56,-0.13,64,1.48,10
Keegan Bradley,24,0.25,43,0.80,14,1.34,12,0.52,16,0.29,31,0.10,50,1.44,11
Hideki Matsuyama,16,0.46,25,0.85,12,1.08,19,0.65,9,-0.23,73,0.34,33,1.42,12
Viktor Hovland,6,1.14,3,1.39,2,1.65,5,1.26,1,-0.88,109,-0.28,78,1.37,13
Joel Dahmen,10,0.27,40,0.89,9,1.18,17,0.58,11,0.03,53,0.14,47,1.31,14
Si woo Kim,21,0.47,23,0.19,43,1.23,14,0.33,29,0.57,5,0.01,58,1.24,15
Max Homa,6,0.61,17,1.14,3,1.89,3,0.88,4,0.14,45,-0.69,99,1.20,16
Alex Noren,16,0.29,38,0.69,17,1.31,13,0.49,17,0.33,25,-0.24,75,1.07,17
Justin Rose,18,0.61,18,-0.21,75,0.76,27,0.20,42,0.36,22,0.29,36,1.05,18
Francesco Molinari,20,0.12,56,0.59,21,1.01,22,0.36,27,0.30,29,0.05,54,1.05,19
Rory McIlroy,20,0.73,13,0.40,30,1.59,8,0.56,12,0.46,12,-0.54,92,1.05,20
Shane Lowry,20,0.04,64,0.30,35,0.72,28,0.17,44,0.37,19,0.24,38,0.95,21
Seamus Power,8,0.80,9,-0.34,79,0.10,51,0.23,38,-0.37,89,0.82,6,0.91,22
Doc Redman,6,0.23,47,0.86,11,0.68,29,0.55,13,-0.42,97,0.19,42,0.87,23
Sepp Straka,6,0.84,5,-0.09,68,0.37,39,0.37,25,-0.37,88,0.50,19,0.87,24
Dylan Frittelli,8,-0.26,85,1.05,4,1.53,10,0.40,22,0.74,3,-0.67,97,0.86,25
Tom Hoge,15,0.07,60,0.42,28,0.57,32,0.25,36,0.08,50,0.22,40,0.79,26
Jon Rahm,19,0.75,12,0.59,22,1.17,18,0.67,8,-0.17,68,-0.38,86,0.79,27
Ryan Moore,18,-0.05,71,0.21,41,0.54,34,0.08,56,0.38,18,0.20,41,0.74,28
Matt Kuchar,19,-0.07,72,0.75,16,1.07,20,0.34,28,0.39,16,-0.37,85,0.70,29
Christiaan Bezuidenhout,4,-0.04,69,-0.28,77,0.14,48,-0.16,75,0.46,13,0.49,20,0.63,30
Adam Hadwin,22,0.08,59,-0.15,71,-0.08,57,-0.04,67,-0.01,57,0.70,10,0.62,31
Ryan Palmer,18,0.29,37,0.08,50,0.21,46,0.19,43,-0.17,67,0.41,28,0.62,32
Sungjae Im,10,0.31,35,-0.14,70,0.37,40,0.08,54,0.20,39,0.24,39,0.60,33
Russell Knox,20,0.45,26,0.37,33,0.97,23,0.41,21,0.15,44,-0.42,87,0.55,34
Billy Horschel,20,-0.07,73,0.12,46,-0.21,66,0.02,61,-0.25,74,0.75,8,0.54,35
Jhonattan Vegas,20,0.50,21,0.10,49,0.11,49,0.30,33,-0.49,101,0.43,25,0.54,36
J.T. Poston,10,0.35,33,-0.71,100,-0.24,67,-0.18,76,0.12,46,0.72,9,0.48,37
Chris Kirk,19,0.22,48,0.51,24,0.90,25,0.36,26,0.17,42,-0.45,89,0.45,38
Brian Harman,22,0.71,14,-0.52,91,0.36,41,0.10,51,0.17,43,0.08,51,0.44,39
Mackenzie Hughes,12,-0.08,76,0.00,59,-0.36,70,-0.04,68,-0.28,81,0.77,7,0.41,40
Matt Fitzpatrick,18,0.24,46,-0.28,76,0.05,53,-0.02,65,0.09,49,0.34,32,0.39,41
Kramer Hickok,8,0.36,32,-0.16,72,-0.06,55,0.10,49,-0.27,80,0.42,27,0.36,42
Xander Schauffele,10,-0.03,68,0.21,42,0.91,24,0.09,53,0.74,4,-0.57,95,0.35,43
Kevin Kisner,18,0.30,36,-0.47,89,-0.32,69,-0.09,70,-0.15,66,0.66,13,0.34,44
Lucas Glover,15,0.34,34,-0.09,67,0.35,42,0.13,47,0.09,48,-0.10,63,0.25,45
Tyrrell Hatton,14,0.05,63,-0.08,66,-0.45,76,-0.02,64,-0.41,96,0.68,12,0.24,46
Kyoung-Hoon Lee,8,0.39,29,0.11,47,0.21,45,0.25,37,-0.29,83,0.02,56,0.23,47
Adam Long,11,0.19,51,-0.01,60,-0.08,58,0.09,52,-0.26,77,0.31,34,0.23,48
Patrick Cantlay,14,0.26,41,-0.03,62,0.53,35,0.12,48,0.29,30,-0.31,81,0.22,49
Collin Morikawa,6,0.61,19,0.22,40,0.61,31,0.41,20,-0.22,72,-0.46,90,0.14,50
Emiliano Grillo,18,0.04,65,0.48,25,0.44,37,0.26,35,-0.08,61,-0.33,82,0.11,51
Denny McCarthy,12,-0.31,91,-0.34,81,-0.83,85,-0.33,88,-0.18,69,0.90,4,0.07,52
Scottie Scheffler,6,0.06,61,-0.46,88,-0.09,59,-0.20,79,0.31,27,0.13,48,0.04,53
Russell Henley,16,0.14,53,0.02,58,0.17,47,0.08,55,0.01,55,-0.14,65,0.03,54
Keith Mitchell,13,0.82,8,-0.56,93,-0.14,61,0.13,46,-0.40,93,0.16,44,0.02,55
Lanto Griffin,6,0.17,52,0.48,26,-0.62,80,0.32,30,-1.27,116,0.60,15,-0.02,56
Gary Woodland,17,0.38,31,0.04,54,0.80,26,0.21,41,0.38,17,-0.83,102,-0.03,57
Robby Shelton,2,-0.99,110,-1.39,111,-2.80,113,-1.19,113,-0.41,95,2.72,1,-0.08,58
Luke List,10,0.70,15,-0.51,90,-0.44,75,0.10,50,-0.63,106,0.35,31,-0.09,59
Nick Taylor,13,-0.63,97,0.64,20,0.11,50,0.01,62,0.10,47,-0.21,72,-0.10,60
Nick Watney,10,-0.30,89,0.05,53,-0.54,78,-0.13,72,-0.28,82,0.40,29,-0.14,61
Kevin Streelman,17,0.43,27,0.11,48,0.27,44,0.27,34,-0.26,78,-0.53,91,-0.26,62
Chesson Hadley,12,-0.66,98,-0.52,92,-1.51,109,-0.59,102,-0.32,85,1.24,3,-0.27,63
Matt Wallace,6,-0.95,108,0.68,18,-0.71,81,-0.14,73,-0.44,99,0.43,26,-0.29,64
Tony Finau,16,0.46,24,0.16,44,0.07,52,0.31,31,-0.55,104,-0.36,84,-0.29,65
Aaron Wise,10,0.48,22,-0.03,63,0.67,30,0.23,39,0.22,38,-0.97,106,-0.30,66
Jordan Spieth,16,0.06,62,0.29,36,0.01,54,0.17,45,-0.34,87,-0.30,80,-0.30,67
Kelly Kraft,6,-0.75,103,0.87,10,-0.10,60,0.06,58,-0.22,71,-0.19,69,-0.30,68
James Hahn,14,0.09,58,-0.40,87,-0.39,72,-0.15,74,-0.08,60,0.04,55,-0.35,69
Harry Higgs,6,-0.16,79,0.24,39,-0.18,63,0.04,59,-0.25,75,-0.18,68,-0.36,70
Aaron Baddeley,8,-1.73,115,0.40,32,-1.11,94,-0.67,106,0.22,37,0.60,16,-0.51,71
Rickie Fowler,14,-0.60,95,-0.05,65,-0.42,73,-0.32,87,0.23,36,-0.09,62,-0.51,72
