Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Seamus Power,4,- 0.33,84,0.30,41,1.03,18,- 0.02,64,1.06,2,1.44,2,2.47,1
Cameron Young,4,1.14,2,0.70,14,2.67,1,0.92,2,0.83,3,-0.22,80,2.45,2
Patrick Cantlay,18,0.63,13,0.84,11,1.79,3,0.74,7,0.31,18,0.36,31,2.15,3
J.T. Poston,14,0.57,16,- 0.36,87,1.04,16,0.11,52,0.83,4,0.91,9,1.95,4
Justin Rose,4,0.74,10,0.86,10,2.18,2,0.80,6,0.59,6,-0.24,82,1.94,5
Cam Davis,8,0.78,6,- 0.30,83,1.04,15,0.24,39,0.56,8,0.82,13,1.86,6
Matt Kuchar,28,0.41,27,0.41,31,0.98,19,0.41,23,0.17,31,0.85,11,1.83,7
Erik van Rooyen,8,1.03,3,- 0.05,65,0.88,25,0.49,17,- 0.10,62,0.94,8,1.82,8
Shane Lowry,18,0.15,55,0.59,23,0.89,24,0.37,24,0.14,38,0.64,18,1.53,9
Tommy Fleetwood,10,0.20,50,0.11,51,0.67,35,0.16,50,0.35,16,0.79,14,1.46,10
Viktor Hovland,4,0.82,5,0.98,7,1.51,7,0.90,3,- 0.29,82,-0.07,65,1.44,11
Webb Simpson,28,0.37,30,0.69,15,1.27,9,0.53,15,0.20,26,0.13,45,1.40,12
Joel Dahmen,12,0.53,23,0.55,26,0.64,36,0.54,12,- 0.44,92,0.65,17,1.29,13
Maverick McNealy,12,0.36,32,- 0.33,84,0.27,49,0.01,62,0.24,22,0.95,7,1.22,14
Adam Svensson,4,- 0.08,76,1.29,3,0.80,27,0.60,9,- 0.41,89,0.40,30,1.20,15
Kevin Streelman,16,0.36,31,0.71,12,0.96,20,0.54,14,- 0.11,64,0.17,43,1.14,16
Christiaan Bezuidenhout,8,- 0.08,75,- 0.15,72,- 0.03,62,- 0.11,74,0.20,27,1.14,3,1.11,17
Emiliano Grillo,16,0.54,20,1.12,6,1.53,6,0.83,5,- 0.14,67,-0.45,95,1.07,18
Tyrrell Hatton,18,0.08,62,0.39,35,0.50,44,0.24,40,0.02,48,0.57,22,1.07,19
Doug Ghim,8,0.40,28,0.68,17,1.15,12,0.54,13,0.08,44,-0.17,73,0.98,20
Russell Henley,18,0.28,39,0.63,20,0.90,23,0.45,21,- 0.00,52,0.08,53,0.97,21
Corey Conners,16,0.21,44,0.70,13,1.17,11,0.46,20,0.26,21,-0.20,76,0.97,22
Matthew NeSmith,12,0.07,65,1.32,2,1.38,8,0.69,8,- 0.01,54,-0.40,92,0.97,23
Matt Fitzpatrick,22,0.54,21,0.07,54,0.63,37,0.30,32,0.02,49,0.32,37,0.95,24
Jon Rahm,4,0.76,8,0.23,44,0.72,32,0.49,16,- 0.27,81,0.23,38,0.94,25
Michael Thompson,20,0.16,53,- 0.12,69,0.04,56,0.02,61,0.01,50,0.87,10,0.91,26
Si woo Kim,20,0.53,22,0.20,46,1.05,14,0.37,25,0.32,17,-0.15,72,0.90,27
Sam Burns,10,0.28,38,- 0.18,75,0.68,34,0.05,58,0.57,7,0.22,41,0.90,28
Collin Morikawa,12,0.65,12,1.14,5,1.54,5,0.90,4,- 0.25,79,-0.65,101,0.89,29
C.T. Pan,22,0.04,68,0.59,24,1.06,13,0.31,31,0.43,12,-0.17,74,0.89,30
Andrew Landry,16,0.17,51,0.56,25,0.77,31,0.37,26,0.03,47,0.11,49,0.88,31
Brian Harman,24,0.25,40,- 0.40,88,- 0.18,66,- 0.08,70,- 0.02,56,1.04,5,0.86,32
Sepp Straka,12,0.23,41,0.27,43,0.70,33,0.25,37,0.20,28,0.11,50,0.80,33
Tony Finau,8,0.61,15,- 0.05,63,1.04,17,0.28,35,0.47,10,-0.24,81,0.80,34
Russell Knox,20,0.21,45,0.34,38,0.78,29,0.27,36,0.23,23,0.00,60,0.78,35
Wesley Bryan,18,- 0.39,87,0.54,27,0.95,21,0.08,55,0.80,5,-0.18,75,0.77,36
Luke Donald,22,- 1.09,106,0.04,57,0.12,53,- 0.53,101,1.17,1,0.64,19,0.76,37
Adam Hadwin,22,0.22,42,0.65,19,0.79,28,0.43,22,- 0.08,61,-0.03,63,0.76,38
J.J. Spaun,14,0.39,29,0.21,45,0.39,48,0.30,33,- 0.21,76,0.35,32,0.74,39
Lucas Glover,26,0.52,24,0.41,30,0.82,26,0.47,18,- 0.12,65,-0.10,67,0.71,40
Max Homa,4,0.76,9,1.54,1,1.59,4,1.15,1,- 0.71,102,-0.89,109,0.69,41
Chris Kirk,18,0.49,26,0.16,49,0.61,38,0.33,30,- 0.04,59,0.01,59,0.62,42
Scott Piercy,18,0.30,35,0.30,42,0.11,54,0.30,34,- 0.49,96,0.50,25,0.62,43
Patton Kizzire,22,- 0.71,99,0.40,32,0.00,59,- 0.15,76,0.31,19,0.58,21,0.58,44
Billy Horschel,24,0.32,34,0.38,36,0.25,51,0.35,29,- 0.44,94,0.33,35,0.58,45
Dylan Frittelli,16,0.32,33,- 0.09,66,0.53,42,0.11,51,0.31,20,-0.03,64,0.50,46
Zach Johnson,16,0.13,56,0.00,61,0.26,50,0.07,57,0.12,41,0.22,39,0.48,47
Ernie Els,12,- 0.04,73,- 0.14,70,- 0.61,87,- 0.09,71,- 0.43,90,1.09,4,0.48,48
Jordan Spieth,12,0.03,69,0.40,33,0.59,39,0.22,44,0.16,33,-0.14,69,0.45,49
Sungjae Im,12,0.89,4,0.31,40,1.25,10,0.60,10,0.06,45,-0.83,104,0.42,50
Ryan Palmer,20,0.30,36,0.20,47,0.45,45,0.25,38,- 0.05,60,-0.08,66,0.37,51
Kevin Kisner,22,0.20,49,0.18,48,0.55,41,0.19,48,0.16,32,-0.21,77,0.34,52
Trey Mullinax,8,0.00,70,0.44,29,- 0.02,60,0.22,42,- 0.46,95,0.35,33,0.33,53
Stewart Cink,22,- 0.47,90,0.87,9,0.58,40,0.20,47,0.19,29,-0.26,84,0.32,54
Ryan Moore,14,0.57,17,0.35,37,0.78,30,0.46,19,- 0.14,68,-0.47,97,0.31,55
Denny McCarthy,14,- 0.17,80,- 0.21,79,- 0.40,76,- 0.19,78,- 0.02,57,0.66,16,0.27,56
Tyler Duncan,12,0.57,18,- 0.15,71,0.43,47,0.21,45,0.00,51,-0.21,78,0.22,57
Keegan Bradley,4,0.76,7,- 0.03,62,0.01,58,0.36,27,- 0.72,104,0.19,42,0.20,58
Troy Merritt,16,0.07,63,- 0.11,67,0.04,57,- 0.02,65,0.08,43,0.12,46,0.16,59
Jason Dufner,20,0.20,48,0.50,28,0.53,43,0.35,28,- 0.17,72,-0.39,91,0.14,60
Chesson Hadley,16,0.12,57,0.08,53,- 0.11,65,0.10,53,- 0.31,83,0.22,40,0.11,61
Justin Thomas,12,- 0.24,83,0.66,18,0.08,55,0.21,46,- 0.34,85,0.02,58,0.10,62
Luke List,22,0.17,52,0.97,8,0.95,22,0.57,11,- 0.19,74,-0.86,107,0.09,63
Harris English,17,- 0.53,94,- 0.17,74,- 0.58,85,- 0.35,88,0.13,40,0.63,20,0.05,64
Patrick Rodgers,4,- 0.62,98,- 0.85,104,- 1.64,104,- 0.73,105,- 0.17,71,1.62,1,- 0.02,65
Brendon Todd,12,- 0.24,82,- 0.66,96,- 0.49,80,- 0.45,96,0.41,14,0.47,27,- 0.03,66
Peter Malnati,24,- 0.09,77,- 0.62,94,- 0.57,83,- 0.36,90,0.15,37,0.50,26,- 0.07,67
Martin Laird,10,- 0.80,100,0.31,39,- 0.40,77,- 0.24,82,0.09,42,0.32,36,- 0.07,68
Adam Long,10,- 0.05,74,- 0.77,100,- 0.99,94,- 0.41,95,- 0.17,69,0.78,15,- 0.21,69
Doc Redman,14,0.07,64,0.39,34,- 0.25,68,0.23,41,- 0.71,103,0.02,57,- 0.23,70
Xander Schauffele,12,0.09,61,0.05,55,- 0.10,64,0.07,56,- 0.25,78,-0.15,71,- 0.25,71
Danny Willett,14,- 0.52,93,- 0.27,82,- 0.29,70,- 0.40,93,0.50,9,0.02,56,- 0.27,72
Brian Gay,22,- 0.11,78,- 0.85,103,- 0.74,90,- 0.48,98,0.21,25,0.45,28,- 0.30,73
Sam Ryder,8,0.12,58,- 0.20,77,- 0.43,79,- 0.04,66,- 0.34,86,0.11,51,- 0.32,74
Kevin Tway,12,- 0.51,91,0.02,59,- 0.06,63,- 0.24,81,0.43,13,-0.33,87,- 0.39,75
Matt Wallace,10,0.66,11,- 0.59,91,0.44,46,0.04,59,0.37,15,-0.84,105,- 0.40,76
Scott Stallings,16,- 0.60,97,0.59,22,0.14,52,- 0.01,63,0.16,35,-0.60,100,- 0.45,77
Robert Streb,14,- 0.42,88,0.05,56,- 0.57,84,- 0.18,77,- 0.20,75,0.12,47,- 0.45,78
Wyndham Clark,16,0.06,66,- 0.60,93,- 0.58,86,- 0.27,85,- 0.04,58,0.12,48,- 0.47,79
Ben Martin,16,- 0.03,72,- 0.17,73,- 0.37,75,- 0.10,73,- 0.17,70,-0.14,70,- 0.51,80
Tom Hoge,14,0.21,47,0.15,50,- 0.02,61,0.18,49,- 0.38,88,-0.52,99,- 0.54,81
Chad Ramey,4,- 0.54,95,- 0.48,90,- 0.89,92,- 0.51,100,0.14,39,0.34,34,- 0.55,82
Matthias Schwab,4,- 0.82,101,0.10,52,- 0.72,89,- 0.36,91,- 0.01,53,0.17,44,- 0.55,83
Nick Taylor,17,0.21,46,- 0.33,85,- 0.24,67,- 0.06,68,- 0.11,63,-0.32,86,- 0.55,84
Gary Woodland,4,- 1.21,110,0.69,16,- 1.06,97,- 0.26,84,- 0.54,99,0.50,24,- 0.56,85
Alex Smalley,2,0.05,67,0.03,58,- 0.42,78,0.04,60,- 0.49,97,-0.14,68,- 0.56,86
Jim Herman,18,0.63,14,- 0.82,102,- 0.33,71,- 0.10,72,- 0.13,66,-0.43,94,- 0.75,87
Keith Mitchell,8,0.54,19,- 0.92,106,- 0.33,72,- 0.19,79,0.04,46,-0.48,98,- 0.81,88
Davis Love,16,- 0.22,81,- 0.20,76,- 0.65,88,- 0.21,80,- 0.23,77,-0.35,88,- 1.00,89
Richy Werenski,10,0.22,43,- 0.91,105,- 1.13,98,- 0.34,87,- 0.44,91,0.07,54,- 1.06,90
Kyoung-hoon Lee,12,0.30,37,- 0.12,68,- 0.35,73,0.09,54,- 0.52,98,-0.75,103,- 1.10,91
Satoshi Kodaira,12,0.49,25,- 0.05,64,- 0.50,81,0.22,43,- 0.94,108,-0.67,102,- 1.17,92
Jim Furyk,14,- 0.52,92,0.02,60,- 0.29,69,- 0.25,83,0.21,24,-0.89,108,- 1.18,93
Chez Reavie,18,0.11,59,- 0.20,78,- 0.35,74,- 0.04,67,- 0.26,80,-0.86,106,- 1.21,94
Mackenzie Hughes,16,- 0.35,85,- 0.78,101,- 1.30,101,- 0.56,102,- 0.18,73,0.08,52,- 1.23,95
Lanto Griffin,4,0.11,60,- 0.25,81,- 0.91,93,- 0.07,69,- 0.76,106,-0.36,90,- 1.27,96
Adam Schenk,10,- 0.37,86,- 0.25,80,- 1.18,100,- 0.31,86,- 0.55,100,-0.21,79,- 1.39,97
Mark Hubbard,12,- 0.60,96,- 0.60,92,- 1.03,96,- 0.60,103,0.16,34,-0.36,89,- 1.39,98
Beau Hossler,10,- 0.03,71,- 1.21,108,- 1.99,106,- 0.62,104,- 0.76,105,0.52,23,- 1.48,99
Nate Lashley,4,- 0.45,89,- 0.35,86,- 1.50,103,- 0.40,94,- 0.70,101,-0.02,61,- 1.52,100
James Hahn,8,- 0.88,103,- 0.69,97,- 1.13,99,- 0.78,106,0.44,11,-0.41,93,- 1.54,101
