Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Cameron Young,4,1.32,2,0.16,49,2.54,1,0.74,6,1.07,4,0.86,8,3.40,1
Taylor Moore,8,0.42,26,0.73,18,1.47,7,0.58,13,0.32,24,1.53,3,3.00,2
Taylor Pendrith,8,0.70,12,1.42,3,2.09,3,1.06,1,-0.04,63,0.66,14,2.75,3
Aaron Rai,4,0.01,71,1.65,2,1.76,4,0.83,3,0.08,49,0.59,19,2.36,4
Carl Yuan,4,0.45,22,0.83,16,0.77,24,0.64,10,-0.51,106,1.33,4,2.11,5
Stephan Jaeger,10,0.28,43,0.84,14,1.69,5,0.56,15,0.57,11,0.34,35,2.04,6
Justin Lower,8,-0.09,84,0.26,41,0.18,55,0.09,54,0.00,59,1.58,1,1.75,7
Chris Kirk,16,0.12,55,0.53,27,1.14,15,0.33,31,0.50,13,0.59,18,1.73,8
Troy Merritt,18,0.56,17,0.24,42,1.23,14,0.40,25,0.43,16,0.44,27,1.67,9
Nicolai Hojgaard,4,0.39,31,0.76,17,1.64,6,0.57,14,0.50,12,-0.01,58,1.61,10
Alex Noren,10,0.16,51,0.38,35,0.66,32,0.27,35,0.12,42,0.86,10,1.51,11
Tom Kim,6,0.42,27,0.91,11,1.40,12,0.66,8,0.10,48,0.04,55,1.46,12
Cam Davis,16,0.18,49,0.58,24,1.34,13,0.38,27,0.58,9,0.10,50,1.44,13
J.J. Spaun,20,0.05,68,0.69,20,0.75,26,0.37,28,0.01,58,0.65,15,1.40,14
Vincent Norrman,4,0.66,15,0.97,7,1.43,10,0.81,4,-0.16,78,-0.09,64,1.36,15
Kevin Kisner,14,0.09,63,0.58,23,0.89,20,0.33,30,0.22,33,0.45,26,1.34,16
Callum Tarren,8,0.75,8,1.15,5,2.28,2,0.95,2,0.38,20,-1.03,109,1.25,17
Chad Ramey,6,0.24,45,-0.17,85,0.92,18,0.04,64,0.85,6,0.27,39,1.19,18
Rickie Fowler,18,0.28,44,0.44,29,0.82,22,0.36,29,0.10,46,0.36,34,1.18,19
Hayden Buckley,4,0.89,4,0.15,53,0.89,19,0.52,17,-0.15,75,0.26,40,1.15,20
Adam Schenk,18,0.46,21,0.39,32,0.55,33,0.43,22,-0.30,94,0.51,23,1.07,21
Maverick McNealy,10,0.23,46,-0.08,77,0.08,61,0.08,55,-0.07,67,0.96,6,1.04,22
Nate Lashley,16,-0.10,85,0.12,57,0.30,50,0.01,69,0.29,27,0.71,12,1.02,23
Lanto Griffin,10,0.72,10,0.56,26,1.02,17,0.64,9,-0.26,90,-0.15,69,0.88,24
Ben Griffin,4,-0.32,96,0.57,25,0.46,39,0.13,50,0.21,36,0.40,30,0.86,25
Matt Wallace,12,-0.39,101,0.34,37,0.15,56,-0.03,73,0.21,35,0.70,13,0.84,26
Roger Sloan,14,-0.02,75,0.14,54,-0.10,70,0.06,59,-0.22,84,0.94,7,0.84,27
Adam Svensson,10,0.05,67,0.93,9,1.13,16,0.49,19,0.17,37,-0.41,80,0.74,28
Dylan Wu,6,-0.81,119,0.06,61,-0.17,73,-0.38,102,0.59,8,0.86,9,0.69,29
Charley Hoffman,10,0.43,25,0.84,15,1.42,11,0.64,11,0.15,40,-0.79,99,0.64,30
Davis Thompson,8,0.63,16,0.35,36,0.54,36,0.49,18,-0.38,99,0.03,56,0.62,31
Wesley Bryan,8,-0.35,99,0.05,62,0.06,63,-0.15,87,0.37,21,0.53,21,0.59,32
Kevin Streelman,8,-0.14,89,0.20,44,0.35,48,0.03,66,0.29,26,0.15,44,0.50,33
Mark Hubbard,10,0.11,57,0.29,39,0.03,64,0.20,42,-0.27,91,0.40,28,0.47,34
Brice Garnett,12,0.10,59,0.16,48,0.49,38,0.13,49,0.25,28,-0.07,62,0.44,35
Patrick Rodgers,12,0.53,18,0.30,38,0.42,43,0.41,24,-0.41,102,0.02,57,0.44,36
Brandt Snedeker,12,-0.50,108,-0.35,92,-0.43,86,-0.42,106,0.43,15,0.85,11,0.43,37
Henrik Norlander,16,-0.02,74,0.85,13,0.53,37,0.41,23,-0.29,93,-0.11,66,0.42,38
Cameron Champ,16,0.83,5,-0.20,87,0.44,41,0.32,32,-0.18,80,-0.08,63,0.37,39
Ryan Palmer,6,0.66,14,0.67,21,1.44,9,0.67,7,0.11,44,-1.08,111,0.36,40
Brandon Wu,6,0.02,69,0.00,66,0.79,23,0.01,71,0.78,7,-0.50,85,0.29,41
Garrick Higgo,10,0.68,13,-0.56,98,0.54,34,0.06,60,0.43,14,-0.27,75,0.27,42
Kevin Tway,14,0.48,20,-0.41,93,0.07,62,0.04,63,0.02,56,0.14,45,0.23,43
Vince Whaley,14,0.37,32,-0.46,96,-0.43,85,-0.05,74,-0.32,96,0.62,17,0.20,44
Davis Riley,6,0.13,54,-0.09,79,0.13,58,0.02,68,0.10,47,0.07,53,0.19,45
Chez Reavie,8,-0.06,80,0.92,10,0.71,28,0.43,21,-0.15,76,-0.49,84,0.19,46
Ben Silverman,2,-0.20,93,-1.77,120,-1.39,113,-0.99,118,0.58,10,1.55,2,0.17,47
Josh Teater,12,0.10,60,0.47,28,0.68,30,0.29,33,0.11,43,-0.52,87,0.17,48
Sam Ryder,14,-0.53,110,0.21,43,-0.20,75,-0.16,89,0.12,41,0.37,33,0.16,49
Chris Gotterup,4,1.59,1,-0.67,101,0.02,66,0.46,20,-0.91,121,0.14,47,0.15,50
Jhonattan Vegas,4,0.33,36,0.10,59,0.68,31,0.22,41,0.25,29,-0.53,89,0.15,51
Peter Malnati,16,-0.21,94,-0.11,81,0.10,59,-0.16,88,0.42,17,0.05,54,0.14,52
Webb Simpson,12,0.14,52,0.01,65,0.02,65,0.07,57,-0.12,71,0.10,49,0.13,53
Lee Hodges,6,0.30,40,-0.68,103,-0.37,83,-0.19,91,0.24,32,0.39,31,0.12,54
Tyler Duncan,18,0.22,47,0.15,51,0.44,42,0.19,43,0.07,50,-0.33,78,0.11,55
Richy Werenski,16,-0.17,90,-0.01,67,-0.21,76,-0.09,79,-0.03,61,0.32,36,0.11,56
Carson Young,4,0.06,66,0.38,34,-0.19,74,0.22,40,-0.54,110,0.22,43,0.11,57
Kyoung-Hoon Lee,8,-0.11,86,0.42,30,0.54,35,0.15,45,0.24,31,-0.52,88,0.03,58
Alex Smalley,6,-0.03,76,1.21,4,0.45,40,0.59,12,-0.67,115,-0.48,82,0.03,59
David Lipsky,6,0.16,50,0.62,22,0.69,29,0.39,26,-0.07,66,-0.75,98,-0.04,60
Brendon Todd,10,-0.51,109,-0.44,94,-0.59,94,-0.48,109,0.39,18,0.49,24,-0.07,61
Will Zalatoris,8,0.44,24,0.11,58,0.38,45,0.28,34,-0.18,79,-0.49,83,-0.11,62
Bud Cauley,4,0.29,42,-0.68,102,0.77,25,-0.19,92,1.16,3,-0.93,106,-0.16,63
Nick Watney,14,0.01,70,0.03,64,0.08,60,0.02,67,0.05,55,-0.29,77,-0.20,64
Zach Johnson,8,-0.08,83,-0.16,84,-0.83,101,-0.12,84,-0.56,113,0.55,20,-0.25,65
Doug Ghim,12,-0.17,91,-0.13,82,-0.03,67,-0.15,86,0.31,25,-0.25,74,-0.26,66
Chesson Hadley,14,0.11,58,-0.25,89,-0.52,93,-0.07,76,-0.34,98,0.22,42,-0.27,67
Seung-yul Noh,10,-0.56,111,-0.61,99,-0.79,99,-0.58,115,0.38,19,0.52,22,-0.27,68
Austin Cook,14,-0.02,73,-0.69,104,-1.02,105,-0.35,101,-0.23,85,0.62,16,-0.36,69
Gary Woodland,6,0.29,41,-0.10,80,-0.48,91,0.10,52,-0.68,116,0.11,48,-0.36,70
Anders Albertson,4,-1.01,122,0.86,12,0.19,54,-0.07,77,0.34,23,-0.60,91,-0.41,71
Matti Schmid,2,1.02,3,-0.96,113,-0.47,90,0.03,65,-0.09,69,-0.14,68,-0.43,72
Martin Laird,8,0.14,53,0.16,47,0.36,47,0.15,48,0.07,51,-0.80,100,-0.44,73
Kelly Kraft,8,-0.40,102,0.41,31,-0.44,87,0.00,72,-0.38,100,-0.05,59,-0.44,74
Patton Kizzire,14,-0.43,105,-0.02,72,-0.42,84,-0.23,95,0.11,45,-0.05,61,-0.44,75
Beau Hossler,14,-0.22,95,0.04,63,-0.09,69,-0.09,80,0.16,39,-0.38,79,-0.44,76
Sean O'Hair,8,0.30,39,-0.45,95,0.21,53,-0.07,78,0.36,22,-0.66,93,-0.45,77
Joel Dahmen,8,0.21,48,-0.06,75,-0.25,78,0.07,58,-0.39,101,-0.21,72,-0.45,78
Jimmy Walker,12,-0.43,104,-0.16,83,-0.92,102,-0.30,99,-0.24,87,0.40,29,-0.48,79
Stewart Cink,8,0.09,62,0.06,60,-0.31,82,0.08,56,-0.46,104,-0.20,71,-0.50,80
Kevin Chappell,6,0.34,35,-0.72,105,-0.82,100,-0.19,90,-0.44,103,0.30,37,-0.52,81
Aaron Baddeley,10,-0.47,107,-0.51,97,-1.03,106,-0.49,111,-0.05,65,0.49,25,-0.54,82
Austin Smotherman,6,-0.19,92,-0.05,74,-0.48,92,-0.12,85,-0.25,89,-0.23,73,-0.54,83
Willie Mack,4,-0.34,98,0.15,50,-0.75,98,-0.10,82,-0.56,112,0.14,46,-0.61,84
Scott Gutschewski,2,0.07,65,0.13,56,-0.12,72,0.10,53,-0.31,95,-0.52,86,-0.63,85
Matt Kuchar,2,-0.76,118,2.36,1,1.45,8,0.80,5,-0.14,74,-2.09,121,-0.63,86
