Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Francesco Molinari,1,1.33,5,2.70,1,2.70,1,2.01,1,-0.25,113,-0.35,97,3.44,1
Adam Svensson,6,0.49,32,0.56,35,0.56,35,0.53,15,0.07,63,1.55,2,2.68,2
Billy Horschel,4,0.91,11,-0.15,93,-0.15,93,0.38,28,0.05,69,1.50,3,2.32,3
Chad Ramey,2,1.39,4,1.12,9,1.12,9,1.25,3,0.80,6,-1.11,133,2.20,4
Kevin Kisner,18,0.37,44,0.62,28,0.62,28,0.50,17,0.15,46,1.01,11,2.16,5
Kyoung-hoon Lee,5,0.06,74,0.30,55,0.30,55,0.18,48,0.06,67,1.72,1,2.13,6
Webb Simpson,17,0.48,35,1.36,4,1.36,4,0.92,9,0.12,57,-0.08,69,1.87,7
Ben Taylor,4,0.66,21,1.03,10,1.03,10,0.85,10,0.19,38,-0.12,71,1.77,8
Denny McCarthy,14,-0.05,87,0.19,64,0.19,64,0.07,72,0.18,42,1.38,5,1.70,9
Taylor Pendrith,6,0.93,10,-0.31,105,-0.31,105,0.31,38,-0.44,132,1.49,4,1.67,10
Sam Stevens,1,1.66,2,0.95,12,0.95,12,1.31,2,-0.33,122,-0.62,113,1.66,11
Nico Echavarria,1,1.78,1,0.62,30,0.62,30,1.20,5,-0.11,94,-0.62,114,1.66,12
Callum Tarren,4,-0.14,92,0.86,16,0.86,16,0.36,33,0.04,71,0.86,13,1.61,13
Corey Conners,12,0.76,16,1.25,5,1.25,5,1.01,7,-0.19,107,-0.33,95,1.47,14
Nicholas Lindheim,6,-0.31,106,0.50,39,0.50,39,0.10,69,0.30,24,0.98,12,1.47,15
Luke List,15,0.77,15,0.46,43,0.46,43,0.62,12,-0.11,92,0.27,47,1.39,16
Taylor Montgomery,3,-0.43,119,0.15,66,0.15,66,-0.14,97,1.13,2,0.52,23,1.38,17
Charley Hoffman,4,0.28,55,0.66,25,0.66,25,0.47,20,0.08,61,0.30,44,1.33,18
C.T. Pan,8,0.24,63,0.73,21,0.73,21,0.48,18,0.15,48,0.22,52,1.33,19
Matt NeSmith,10,0.39,41,0.40,47,0.40,47,0.40,25,0.01,77,0.50,24,1.30,20
Russell Henley,14,0.28,57,0.26,60,0.26,60,0.27,43,0.27,27,0.42,30,1.22,21
Alex Smalley,4,1.20,8,0.80,19,0.80,19,1.00,8,0.11,59,-0.94,129,1.17,22
Padraig Harrington,4,0.44,38,0.12,71,0.12,71,0.28,41,-0.02,80,0.56,22,1.11,23
Greyson Sigg,8,0.33,48,0.57,34,0.57,34,0.45,21,0.13,54,0.09,57,1.09,24
Paul Haley,3,0.44,39,-0.44,114,-0.44,114,0.00,85,0.02,73,1.02,10,1.04,25
Brian Gay,12,-0.50,125,0.83,18,0.83,18,0.17,51,-0.05,85,0.73,16,1.01,26
Ludvig Aberg,1,-0.41,117,0.58,33,0.58,33,0.08,71,0.50,16,0.30,43,0.96,27
Ben Martin,8,0.47,36,0.29,57,0.29,57,0.38,29,0.35,22,-0.17,82,0.93,28
J.J. Spaun,19,0.21,66,0.12,70,0.12,70,0.17,49,0.21,35,0.37,35,0.92,29
Zach Johnson,18,0.20,68,0.38,49,0.38,49,0.29,39,-0.03,81,0.36,37,0.92,30
Robby Shelton,5,0.20,69,0.12,72,0.12,72,0.16,54,0.00,78,0.59,19,0.90,31
Will Gordon,7,0.33,50,0.90,15,0.90,15,0.61,13,0.18,41,-0.52,106,0.88,32
Alex Noren,7,-0.17,94,-0.01,83,-0.01,83,-0.09,93,0.71,8,0.33,39,0.86,33
Andrew Landry,15,0.53,30,0.20,63,0.20,63,0.37,31,0.14,49,-0.07,68,0.80,34
Chesson Hadley,16,-0.45,121,0.62,29,0.62,29,0.08,70,0.21,33,0.42,31,0.80,35
Robert Streb,16,-0.18,97,0.37,51,0.37,51,0.10,68,0.17,44,0.44,28,0.80,36
Aaron Rai,4,0.72,19,1.59,2,1.59,2,1.16,6,-0.49,137,-1.04,131,0.78,37
David Lingmerth,13,0.24,64,-0.17,95,-0.17,95,0.03,80,0.11,58,0.56,21,0.74,38
Harris English,16,0.19,70,0.03,80,0.03,80,0.11,65,0.03,72,0.47,26,0.72,39
Brian Harman,18,0.30,52,-0.22,100,-0.22,100,0.04,79,0.13,56,0.47,27,0.68,40
Cameron Young,3,0.26,59,-0.15,92,-0.15,92,0.06,74,-0.30,120,0.85,14,0.67,41
Kyle Westmoreland,1,1.55,3,0.95,13,0.95,13,1.25,4,0.14,50,-1.98,142,0.66,42
Cameron Champ,5,0.84,13,-0.48,115,-0.48,115,0.18,47,-0.08,90,0.38,33,0.65,43
Chris Stroud,12,-0.07,89,0.07,74,0.07,74,0.00,84,0.23,29,0.37,36,0.60,44
Ryan Armour,17,0.02,81,0.70,22,0.70,22,0.36,32,-0.02,79,-0.12,72,0.59,45
Chris Kirk,16,0.28,56,0.02,82,0.02,82,0.15,55,0.01,74,0.27,46,0.58,46
Scott Brown,12,0.57,28,-0.28,104,-0.28,104,0.15,56,0.08,62,0.21,53,0.58,47
Kelly Kraft,10,0.17,71,0.83,17,0.83,17,0.50,16,-0.16,101,-0.28,90,0.56,48
Henrik Norlander,17,0.39,43,-0.26,103,-0.26,103,0.06,73,0.18,40,0.24,50,0.54,49
Patton Kizzire,18,-0.33,108,-0.38,111,-0.38,111,-0.35,123,0.15,47,1.07,7,0.52,50
William McGirt,9,0.74,18,0.04,77,0.04,77,0.39,26,-0.28,117,0.02,61,0.51,51
Mackenzie Hughes,13,0.33,51,-0.09,87,-0.09,87,0.12,62,0.43,19,-0.17,80,0.50,52
Keith Mitchell,16,0.76,17,-0.18,96,-0.18,96,0.29,40,-0.16,100,0.04,60,0.47,53
Brian Stuard,16,0.17,72,0.24,61,0.24,61,0.20,46,0.06,66,-0.01,64,0.46,54
Eric Cole,3,-1.80,141,1.14,8,1.14,8,-0.33,120,1.40,1,-0.28,91,0.45,55
Austin Cook,12,-0.27,101,0.52,36,0.52,36,0.13,60,0.10,60,0.05,58,0.40,56
Scott Harrington,5,0.06,75,-0.35,108,-0.35,108,-0.15,101,0.55,13,0.14,55,0.40,57
Tyler Duncan,12,0.49,33,0.47,41,0.47,41,0.48,19,-0.25,115,-0.37,99,0.34,58
Zac Blair,11,0.00,82,0.21,62,0.21,62,0.11,66,0.48,17,-0.38,101,0.31,59
Jonathan Byrd,16,-0.33,107,0.29,56,0.29,56,-0.02,88,0.31,23,0.01,62,0.29,60
Camilo Villegas,10,-0.51,127,0.06,76,0.06,76,-0.23,108,0.15,45,0.58,20,0.28,61
Brendon Todd,12,-0.28,104,-0.38,110,-0.38,110,-0.33,119,0.22,32,0.71,17,0.27,62
Ricky Barnes,9,-1.03,136,0.76,20,0.76,20,-0.14,98,0.73,7,-0.22,86,0.23,63
Matthias Schwab,6,-0.45,120,0.19,65,0.19,65,-0.13,94,0.07,64,0.42,32,0.23,64
Nick Watney,10,0.04,78,0.59,31,0.59,31,0.32,37,-0.29,118,-0.14,75,0.20,65
Justin Lower,2,-0.18,96,-0.14,91,-0.14,91,-0.16,104,-0.22,109,0.73,15,0.20,66
Cameron Percy,12,0.05,76,0.51,37,0.51,37,0.28,42,-0.05,84,-0.32,93,0.19,67
Matt Kuchar,15,-0.02,85,-0.53,117,-0.53,117,-0.28,113,0.06,65,0.68,18,0.19,68
Harry Higgs,8,-0.16,93,0.04,78,0.04,78,-0.06,91,0.20,37,0.11,56,0.19,69
Adam Schenk,9,0.29,53,-0.20,98,-0.20,98,0.04,78,0.22,31,-0.13,73,0.18,70
Hayden Buckley,4,0.39,42,0.31,54,0.31,54,0.35,34,-0.83,142,0.30,42,0.17,71
Ben Griffin,4,1.08,9,0.49,40,0.49,40,0.79,11,-0.47,135,-0.98,130,0.12,72
Brent Grant,3,1.23,6,-1.50,140,-1.50,140,-0.14,96,-0.04,83,0.43,29,0.12,73
Hank Lebioda,9,0.26,60,0.42,44,0.42,44,0.34,35,-0.37,129,-0.21,85,0.09,74
Russell Knox,13,-0.17,95,0.91,14,0.91,14,0.37,30,0.25,28,-0.93,126,0.05,75
J.T. Poston,11,0.14,73,0.66,26,0.66,26,0.40,24,-0.35,124,-0.40,102,0.05,76
Stewart Cink,16,-0.28,103,0.38,50,0.38,50,0.05,77,-0.35,123,0.28,45,0.03,77
Jim Herman,22,0.52,31,-0.19,97,-0.19,97,0.17,50,-0.07,89,-0.25,87,0.02,78
Nate Lashley,13,-0.28,102,0.14,68,0.14,68,-0.07,92,-0.03,82,0.17,54,0.00,79
Troy Merritt,15,0.59,26,-0.65,124,-0.65,124,-0.03,89,0.23,30,-0.17,81,0.00,80
Greg Chalmers,2,0.27,58,-0.54,119,-0.54,119,-0.14,100,0.43,18,-0.17,79,-0.02,81
Kevin Chappell,9,0.03,80,0.40,45,0.40,45,0.22,45,0.21,34,-0.67,119,-0.02,82
Adam Long,11,0.35,47,-0.24,101,-0.24,101,0.06,76,-0.14,99,-0.01,65,-0.04,83
Andrew Novak,5,-0.61,132,0.58,32,0.58,32,-0.01,87,-0.24,112,0.22,51,-0.05,84
Sam Ryder,8,-0.22,99,-0.32,106,-0.32,106,-0.27,110,0.13,53,0.34,38,-0.06,85
