Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Brian Harman,4,- 0.05,18,1.29,2,1.48,4,0.62,6,0.24,8,0.49,5,1.97,1
Jon Rahm,20,0.68,2,0.61,7,1.75,1,0.65,4,0.46,3,0.13,9,1.88,2
Jordan Spieth,16,0.15,14,0.43,10,1.01,8,0.29,11,0.43,4,0.65,3,1.65,3
Xander Schauffele,20,0.64,3,0.17,15,1.05,7,0.4,8,0.24,9,0.54,4,1.58,4
Justin Thomas,28,0.38,7,1.10,3,1.65,2,0.74,3,0.17,13,- 0.14,14,1.51,5
Collin Morikawa,12,0.74,1,0.76,4,1.45,5,0.75,2,- 0.05,17,- 0.03,11,1.42,6
Sungjae Im,8,0.63,4,0.65,5,1.54,3,0.64,5,0.26,7,- 0.15,15,1.39,7
Patrick Cantlay,16,0.13,15,0.35,11,0.53,10,0.24,13,0.05,14,0.65,2,1.18,8
J.T. Poston,4,- 0.35,23,- 0.31,20,- 0.27,18,-0.33,22,0.39,5,1.25,1,0.98,9
Scottie Scheffler,4,- 0.16,20,- 0.11,17,0.20,15,-0.14,18,0.47,1,0.36,6,0.57,10
Hideki Matsuyama,16,0.19,12,0.53,9,1.19,6,0.36,9,0.46,2,- 0.78,21,0.41,11
Russell Henley,4,0.23,10,0.62,6,0.30,14,0.42,7,- 0.55,23,- 0.08,12,0.22,12
Seamus Power,4,0.04,17,0.34,12,0.43,12,0.19,15,0.04,15,- 0.21,16,0.22,13
Adam Scott,4,0.18,13,1.70,1,0.85,9,0.94,1,- 1.03,25,- 0.78,22,0.07,14
Tony Finau,12,0.61,5,- 0.17,18,0.46,11,0.22,14,0.01,16,- 0.49,17,- 0.03,15
Sam Burns,4,- 0.17,22,- 0.32,21,- 0.32,20,-0.25,20,0.17,12,0.29,7,- 0.03,16
Corey Conners,4,- 0.09,19,0.61,8,0.35,13,0.26,12,- 0.17,20,- 0.62,19,- 0.27,17
Max Homa,8,0.23,9,- 0.24,19,- 0.40,21,0,16,- 0.39,21,0.12,10,- 0.28,18
Billy Horschel,16,0.06,16,- 0.69,22,- 0.31,19,-0.31,21,0.31,6,- 0.08,13,- 0.39,19
Chez Reavie,4,- 1.11,25,0.00,16,- 1.25,24,-0.55,23,- 0.14,19,0.22,8,- 1.02,20
Viktor Hovland,8,0.38,6,0.30,13,- 0.14,17,0.34,10,- 0.83,24,- 0.97,24,- 1.11,21
Kyoung-Hoon Lee,4,0.33,8,- 0.80,23,- 0.88,22,-0.23,19,- 0.41,22,- 0.65,20,- 1.53,22
Aaron Wise,4,0.22,11,- 1.41,25,- 1.26,25,-0.6,24,- 0.07,18,- 0.56,18,- 1.83,23
Keegan Bradley,4,- 0.51,24,0.29,14,- 0.04,16,-0.11,17,0.18,10,- 1.78,25,- 1.83,24
Mackenzie Hughes,8,- 0.17,21,- 1.06,24,- 1.05,23,-0.61,25,0.17,11,- 0.85,23,- 1.90,25
