Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Sepp Straka,4,0.31,21,1.00,5,1.46,6,0.65,3,0.15,26,1.50,1,2.97,1
Sam Burns,8,- 0.33,51,1.10,3,1.56,3,0.38,14,0.79,4,0.58,13,2.13,2
Andrew Putnam,12,0.05,37,0.83,7,1.55,4,0.44,11,0.67,5,0.50,16,2.05,3
Sahith Theegala,4,0.70,6,- 0.42,50,0.77,15,0.14,30,0.49,9,0.69,9,1.47,4
Lee Hodges,4,0.25,25,0.99,6,1.47,5,0.62,4,0.23,21,-0.00,33,1.47,5
Tom Kim,4,0.68,7,1.34,1,1.80,2,1.01,2,- 0.22,48,-0.34,51,1.47,6
Harris English,14,- 0.27,50,0.69,11,0.66,19,0.21,25,0.23,20,0.80,6,1.46,7
Denny McCarthy,8,0.05,38,0.32,18,0.44,24,0.18,28,0.07,33,1.02,3,1.46,8
Hideki Matsuyama,12,0.44,13,0.79,8,1.46,7,0.62,5,0.23,22,-0.25,46,1.20,9
Collin Morikawa,12,0.62,9,0.41,14,1.02,10,0.52,6,- 0.02,36,0.09,30,1.11,10
Jon Rahm,12,0.80,3,0.20,28,0.77,14,0.50,7,- 0.22,49,0.32,23,1.09,11
Byeong Hun An,6,0.30,22,- 0.11,37,0.34,28,0.09,33,0.15,27,0.75,8,1.09,12
Matt Fitzpatrick,16,0.36,19,- 0.01,33,0.20,33,0.18,29,- 0.16,42,0.88,5,1.08,13
Wyndham Clark,4,0.66,8,- 0.84,57,- 0.35,48,- 0.09,41,- 0.18,44,1.32,2,0.97,14
Rory McIlroy,14,0.75,4,0.25,25,1.08,9,0.50,8,0.08,32,-0.12,39,0.96,15
Brian Harman,8,0.14,33,0.39,15,0.78,13,0.26,20,0.25,18,0.11,29,0.88,16
Scottie Scheffler,14,0.52,11,0.25,24,1.21,8,0.39,13,0.44,13,-0.34,53,0.87,17
Seamus Power,10,- 0.10,43,- 0.23,42,0.30,30,- 0.17,43,0.63,6,0.43,20,0.73,18
J.T. Poston,14,0.04,39,- 0.45,52,- 0.05,40,- 0.20,45,0.36,15,0.76,7,0.72,19
Emiliano Grillo,4,0.41,16,- 0.23,43,0.05,36,0.09,34,- 0.12,40,0.66,11,0.72,20
Davis Riley,4,1.03,2,- 0.36,48,0.34,27,0.34,15,- 0.33,53,0.38,21,0.72,21
Taylor Moore,4,- 0.37,54,0.77,9,0.93,12,0.20,26,0.53,8,-0.21,44,0.72,22
Cameron Young,4,1.18,1,1.07,4,2.09,1,1.13,1,- 0.16,41,-1.38,62,0.72,23
Keith Mitchell,12,0.44,12,0.54,12,0.56,20,0.49,9,- 0.43,58,-0.01,34,0.55,24
Tommy Fleetwood,12,0.20,28,0.25,23,0.52,22,0.23,22,0.06,35,0.02,32,0.54,25
Jason Day,10,0.58,10,0.27,20,0.98,11,0.43,12,0.13,28,-0.46,56,0.52,26
J.J. Spaun,4,- 0.07,42,0.33,17,0.51,23,0.13,31,0.25,19,-0.04,36,0.47,27
Jordan Spieth,14,- 0.49,55,- 0.08,35,- 0.11,42,- 0.28,49,0.46,12,0.57,14,0.46,28
Aaron Rai,12,0.39,17,0.09,29,0.39,26,0.24,21,- 0.09,39,0.03,31,0.42,29
Patrick Cantlay,16,0.13,35,0.25,21,0.67,18,0.19,27,0.28,16,-0.28,49,0.39,30
Adam Schenk,6,- 0.05,41,0.50,13,0.15,35,0.22,23,- 0.29,51,0.21,26,0.36,31
Sungjae Im,12,0.44,14,- 0.36,47,- 0.13,43,0.04,37,- 0.21,47,0.48,17,0.36,32
Russell Henley,8,0.38,18,0.21,27,0.71,16,0.30,18,0.12,29,-0.39,55,0.31,33
Nick Taylor,10,0.28,24,0.25,22,0.69,17,0.27,19,0.16,25,-0.39,54,0.30,34
Lucas Glover,8,- 0.34,53,0.22,26,- 0.20,44,- 0.06,38,- 0.08,38,0.46,18,0.26,35
Xander Schauffele,20,0.03,40,- 0.41,49,0.00,38,- 0.19,44,0.38,14,0.24,24,0.24,36
Chris Kirk,9,0.15,31,0.75,10,0.41,25,0.45,10,- 0.49,59,-0.23,45,0.18,37
Tony Finau,18,0.21,27,- 0.09,36,0.22,32,0.06,36,0.11,31,-0.08,38,0.14,38
Mackenzie Hughes,10,- 0.53,58,- 0.11,39,- 0.44,51,- 0.32,51,0.20,23,0.58,12,0.14,39
Corey Conners,20,0.74,5,- 0.11,38,0.27,31,0.31,16,- 0.36,54,-0.26,47,0.00,40
Adam Svensson,4,0.13,36,0.29,19,0.54,21,0.21,24,0.11,30,-0.57,58,- 0.03,41
Sam Ryder,6,0.36,20,- 0.19,40,0.32,29,0.08,35,0.16,24,-0.46,57,- 0.14,42
Viktor Hovland,12,0.23,26,0.37,16,0.20,34,0.30,17,- 0.41,56,-0.34,52,- 0.14,43
Rickie Fowler,10,0.14,32,- 0.61,55,- 0.54,53,- 0.23,47,- 0.07,37,0.37,22,- 0.17,44
Tom Hoge,10,0.17,29,0.08,30,0.04,37,0.12,32,- 0.21,46,-0.26,48,- 0.22,45
Matt Kuchar,10,- 0.33,52,0.02,32,- 0.50,52,- 0.16,42,- 0.18,45,0.22,25,- 0.28,46
Beau Hossler,4,- 0.52,57,- 0.27,44,- 1.18,58,- 0.39,56,- 0.40,55,0.90,4,- 0.28,47
Tyrrell Hatton,16,- 0.21,47,0.07,31,- 0.09,41,- 0.07,39,0.06,34,-0.21,42,- 0.29,48
Cam Davis,8,- 0.15,45,- 0.35,46,- 0.03,39,- 0.25,48,0.46,10,-0.33,50,- 0.37,49
Stephan Jaeger,6,- 0.21,48,- 0.53,54,- 0.29,46,- 0.37,55,0.46,11,-0.19,41,- 0.47,50
Kurt Kitayama,2,- 0.61,59,- 1.44,61,- 0.65,54,- 1.02,63,1.40,1,0.14,27,- 0.51,51
Hayden Buckley,4,0.28,23,- 0.44,51,- 0.32,47,- 0.08,40,- 0.16,43,-0.21,43,- 0.53,52
Brendon Todd,10,- 0.87,61,- 0.84,59,- 1.12,57,- 0.86,62,0.59,7,0.55,15,- 0.57,53
Justin Rose,10,- 0.49,56,- 0.21,41,- 1.00,55,- 0.35,53,- 0.30,52,0.12,28,- 0.88,54
Alex Smalley,2,- 1.87,63,1.28,2,- 1.45,60,- 0.30,50,- 0.86,61,0.44,19,- 1.01,55
Patrick Rodgers,4,- 0.19,46,- 0.97,60,- 0.25,45,- 0.58,58,0.92,3,-0.96,59,- 1.21,56
Max Homa,19,- 0.25,49,- 0.46,53,- 1.12,56,- 0.35,54,- 0.42,57,-0.19,40,- 1.31,57
Matt NeSmith,4,- 0.72,60,- 0.65,56,- 2.14,62,- 0.68,60,- 0.77,60,0.68,10,- 1.46,58
Si woo Kim,10,0.14,34,- 1.50,62,- 0.40,49,- 0.68,61,0.97,2,-1.17,60,- 1.57,59
Keegan Bradley,10,0.16,30,- 0.84,58,- 0.43,50,- 0.34,52,0.25,17,-1.35,61,- 1.78,60
Mark Hubbard,8,- 0.12,44,- 0.34,45,- 1.77,61,- 0.23,46,- 1.31,63,-0.01,35,- 1.78,61
Brandon Wu,2,0.42,15,- 1.69,63,- 2.45,63,- 0.64,59,- 1.18,62,-0.07,37,- 2.51,62
Adam Hadwin,8,- 1.05,62,- 0.02,34,- 1.30,59,- 0.53,57,- 0.24,50,-1.44,63,- 2.74,63
