Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Russell Henley,4,-0.12,18,1.09,2,0.41,12,0.49,6,-0.57,23,1.48,1,1.88,1
Xander Schauffele,24,0.39,6,0.63,6,1.19,4,0.51,5,0.16,9,0.62,5,1.81,2
Max Homa,4,0.58,2,-0.02,16,0.55,10,0.28,10,-0.01,12,1.12,2,1.66,3
Rory McIlroy,24,0.82,1,0.27,11,1.35,2,0.54,4,0.26,7,0.30,10,1.65,4
Tyrrell Hatton,4,0.44,5,0.73,5,0.87,5,0.59,2,-0.31,19,0.55,6,1.42,5
Sepp Straka,4,-0.47,22,0.92,3,0.77,7,0.22,12,0.34,5,0.14,13,0.91,6
Jon Rahm,24,0.35,8,0.13,12,0.77,6,0.24,11,0.29,6,0.09,16,0.86,7
Scottie Scheffler,12,0.37,7,0.74,4,1.57,1,0.56,3,0.37,4,-0.98,23,0.59,8
Viktor Hovland,12,0.03,16,1.24,1,1.22,3,0.63,1,-0.05,13,-0.67,21,0.54,9
Jason Day,9,-0.28,20,0.34,10,-0.48,20,0.03,16,-0.54,22,0.91,4,0.43,10
Tommy Fleetwood,8,0.25,10,-0.02,17,0.75,8,0.11,14,0.53,3,-0.43,20,0.33,11
Tony Finau,24,-0.06,17,0.08,14,0.17,14,0.01,17,0.15,10,0.15,12,0.32,12
Sungjae Im,16,0.11,13,0.11,13,-0.08,16,0.11,13,-0.30,18,0.37,8,0.29,13
Si woo Kim,4,-0.63,25,-0.24,19,-0.24,19,-0.44,21,0.63,2,0.35,9,0.10,14
Emiliano Grillo,4,0.57,3,-0.94,23,-0.13,17,-0.19,19,0.24,8,0.24,11,0.10,15
Jordan Spieth,16,0.24,11,-0.07,18,0.08,15,0.08,15,-0.09,14,-0.09,18,-0.01,16
Matt Fitzpatrick,4,0.28,9,-0.48,20,-0.20,18,-0.10,18,0.02,11,0.11,14,-0.09,17
Patrick Cantlay,20,0.14,12,0.59,7,0.63,9,0.36,8,-0.09,15,-1.03,24,-0.40,18
Collin Morikawa,12,0.08,14,0.57,8,0.49,11,0.32,9,-0.15,16,-0.95,22,-0.46,19
Rickie Fowler,12,-0.15,19,-0.72,22,-1.04,22,-0.44,22,-0.17,17,0.47,7,-0.57,20
Brian Harman,8,-0.59,24,-0.67,21,-0.50,21,-0.63,23,0.77,1,-0.35,19,-0.85,21
Corey Conners,12,0.45,4,0.40,9,0.21,13,0.42,7,-0.64,24,-1.29,25,-1.08,22
Sam Burns,8,-0.40,21,-1.26,24,-2.12,24,-0.83,24,-0.46,21,0.98,3,-1.14,23
Keegan Bradley,4,-0.48,23,0.00,15,-1.32,23,-0.24,20,-0.83,25,-0.07,17,-1.38,24
Lucas Glover,4,0.07,15,-2.29,25,-2.57,25,-1.11,25,-0.35,20,0.11,15,-2.47,25
