Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Hideki Matsuyama,4,0.57,13,1.40,3,1.90,3,0.99,2,-0.09,43,0.28,22,2.18,1
Xander Schauffele,18,0.49,17,0.51,17,0.97,19,0.50,13,-0.03,41,1.05,4,2.03,2
Patrick Cantlay,24,0.53,15,0.83,8,1.71,4,0.68,7,0.36,20,0.32,19,2.02,3
Rory McIlroy (WD),20,1.01,4,0.64,14,2.15,1,0.83,5,0.50,11,-0.18,35,1.97,4
Brian Harman,28,0.12,38,0.34,28,1.08,16,0.23,30,0.63,7,0.74,11,1.83,5
Adam Scott,8,-0.37,60,0.60,15,0.65,28,0.11,41,0.42,15,1.07,3,1.72,6
Keegan Bradley,28,0.09,39,0.81,9,1.15,12,0.45,16,0.26,24,0.44,17,1.59,7
Scottie Scheffler,14,0.62,10,0.46,21,1.39,8,0.54,10,0.30,22,0.15,25,1.54,8
Eric Cole,4,-0.37,59,0.44,23,0.81,22,0.04,47,0.82,4,0.65,14,1.43,9
Ludvig Aberg,4,1.04,3,-0.85,64,1.10,15,0.10,44,0.91,2,0.31,21,1.43,10
Russell Henley,22,0.46,19,0.93,4,1.53,6,0.69,6,0.17,29,-0.24,39,1.29,11
Sahith Theegala,10,0.02,42,0.25,32,0.25,40,0.13,38,0.02,37,0.91,7,1.15,12
Michael Thorbjornsen,6,0.98,5,-0.36,54,0.03,47,0.31,22,-0.59,62,1.12,2,1.14,13
Corey Conners,8,0.44,21,1.62,1,1.93,2,1.03,1,-0.13,46,-0.83,57,1.11,14
Chris Gotterup,4,0.60,11,0.39,27,0.35,37,0.49,14,-0.64,64,0.75,10,1.10,15
Viktor Hovland,12,1.07,2,0.89,5,1.58,5,0.98,3,-0.36,52,-0.53,52,1.03,16
Lee Hodges,6,0.27,28,-0.45,58,-0.32,55,-0.09,52,-0.14,47,1.29,1,0.98,17
Sam Burns,14,0.42,22,0.22,33,0.84,21,0.32,20,0.19,28,0.13,26,0.97,18
Austin Eckroat,8,0.23,32,-0.24,50,0.14,44,0.00,48,0.16,30,0.82,9,0.97,19
Tommy Fleetwood,10,-0.43,61,0.01,43,-0.15,50,-0.21,57,0.34,21,1.04,5,0.92,20
Jason Day,24,0.25,29,0.01,42,0.65,27,0.13,39,0.39,16,0.26,23,0.91,21
Sungjae Im,12,0.01,45,-0.18,48,0.20,42,-0.09,50,0.38,18,0.58,15,0.78,22
Webb Simpson,18,0.18,34,0.58,16,1.00,18,0.38,18,0.28,23,-0.22,37,0.76,23
Brendon Todd,14,-0.02,48,0.88,6,0.80,23,0.43,17,-0.06,42,-0.08,33,0.71,24
Justin Thomas,20,0.45,20,0.79,10,1.48,7,0.62,9,0.23,26,-0.82,56,0.69,25
Tom Kim,4,0.32,26,1.49,2,1.14,13,0.90,4,-0.50,59,-0.39,45,0.68,26
Patrick Rodgers,20,0.07,41,0.11,38,0.65,26,0.09,45,0.50,10,0.01,31,0.67,27
Mackenzie Hughes,25,-0.04,50,-0.43,55,-0.10,48,-0.24,59,0.36,19,0.72,12,0.61,28
Tony Finau,22,0.41,23,0.12,36,1.00,17,0.27,27,0.47,12,-0.39,46,0.61,29
Andrew Putnam,16,-0.29,57,0.87,7,0.53,31,0.29,24,-0.01,39,0.07,28,0.59,30
Jordan Spieth,16,-0.46,62,0.26,31,0.23,41,-0.10,53,0.43,14,0.34,18,0.58,31
Seamus Power,20,-0.28,56,0.49,18,0.42,34,0.11,42,0.24,25,0.11,27,0.54,32
Shane Lowry,10,0.36,24,0.68,12,1.10,14,0.52,11,0.08,35,-0.55,53,0.53,33
Emiliano Grillo,24,0.48,18,0.78,11,0.78,24,0.63,8,-0.48,58,-0.31,42,0.52,34
Cam Davis,14,0.66,9,-0.29,51,0.70,25,0.19,34,0.38,17,-0.32,43,0.42,35
Denny McCarthy,17,0.17,35,-0.34,53,-0.60,60,-0.09,51,-0.43,56,1.01,6,0.41,36
Si Woo Kim,20,0.52,16,0.43,26,1.35,9,0.47,15,0.45,13,-0.97,61,0.40,37
Harris English,19,-0.51,63,-0.52,59,-0.54,59,-0.52,64,0.52,9,0.88,8,0.32,38
Taylor Pendrith,2,0.30,27,0.32,30,0.58,29,0.31,23,0.02,38,-0.41,49,0.23,39
Kurt Kitayama,2,0.86,6,-0.43,56,1.25,10,0.22,31,0.83,3,-1.03,63,0.23,40
Adam Svensson,8,0.25,30,0.33,29,0.06,45,0.29,25,-0.51,60,0.17,24,0.23,41
Sepp Straka,14,0.32,25,0.06,41,0.53,32,0.19,33,0.19,27,-0.29,41,0.22,42
J.T. Poston,14,0.16,36,0.07,40,0.36,36,0.11,40,0.13,31,-0.23,38,0.13,43
Justin Rose,6,0.08,40,0.46,22,0.33,38,0.27,26,-0.20,48,-0.27,40,0.07,44
Matt Fitzpatrick,6,-0.36,58,-0.22,49,-0.60,61,-0.29,60,0.06,36,0.66,13,0.02,45
Stephan Jaeger,10,0.58,12,0.43,24,0.87,20,0.50,12,-0.10,44,-0.86,59,0.00,46
Rickie Fowler,8,-0.67,64,-0.44,57,-0.35,56,-0.55,65,0.76,6,0.32,20,-0.04,47
Davis Riley,8,1.20,1,-0.58,61,0.15,43,0.31,21,-0.38,53,-0.21,36,-0.11,48
Max Homa,8,0.01,46,0.49,19,0.25,39,0.25,29,-0.25,50,-0.40,47,-0.14,49
Peter Malnati,25,-0.14,53,-0.13,45,-0.22,53,-0.14,55,0.08,34,0.05,29,-0.17,50
Adam Hadwin,14,-0.28,55,-0.17,47,-0.64,62,-0.22,58,-0.20,49,0.45,16,-0.19,51
Byeong Hun An,14,0.57,14,0.11,37,0.56,30,0.34,19,-0.13,45,-0.73,55,-0.21,52
Collin Morikawa,8,0.70,8,-0.34,52,-0.16,51,0.18,35,-0.41,55,-0.11,34,-0.22,53
Thomas Detry,2,0.71,7,-0.61,62,1.22,11,0.05,46,1.15,1,-1.53,65,-0.27,54
Wyndham Clark,18,-0.03,49,-0.94,65,-0.45,58,-0.48,63,0.53,8,0.01,30,-0.45,55
Adam Schenk,12,0.20,33,0.07,39,0.40,35,0.14,37,0.13,32,-0.93,60,-0.54,56
Cameron Young,4,-0.14,52,0.67,13,0.52,33,0.26,28,0.10,33,-0.84,58,-0.57,57
Tom Hoge,25,0.02,44,0.18,34,-0.28,54,0.10,43,-0.46,57,-0.33,44,-0.62,58
Lucas Glover,14,0.00,47,0.43,25,-0.20,52,0.21,32,-0.57,61,-0.47,51,-0.64,59
Taylor Moore,6,0.24,31,-0.62,63,-0.70,64,-0.19,56,-0.30,51,0.00,32,-0.69,60
Ben Griffin,2,0.12,37,0.18,35,-0.36,57,0.15,36,-0.66,65,-0.43,50,-0.77,61
Chris Kirk,2,-1.25,65,0.49,20,0.03,46,-0.38,62,0.78,5,-1.01,62,-0.98,62
