Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Lucas Glover,12,0.50,23,0.69,15,2.04,1,0.60,11,0.84,7,0.11,50,2.15,1
Corey Conners,16,0.94,3,1.13,5,1.72,4,1.04,1,- 0.35,82,0.25,35,1.96,2
Charley Hoffman,22,0.68,9,0.60,24,1.36,12,0.64,6,0.08,48,0.56,19,1.92,3
Matthias Schwab,4,- 0.50,93,0.61,23,1.45,7,0.05,61,1.34,2,0.47,21,1.92,4
Kevin Chappell,18,0.62,14,1.12,7,1.42,9,0.87,2,- 0.32,76,0.44,22,1.86,5
Ryan Moore,16,0.53,21,0.64,19,1.40,10,0.59,12,0.23,32,0.29,30,1.69,6
Aaron Baddeley,20,- 0.33,85,0.69,16,1.07,19,0.18,48,0.73,9,0.59,17,1.67,7
Erik van Rooyen,4,1.18,1,- 0.32,81,1.76,2,0.43,22,0.89,5,-0.11,62,1.65,8
Kevin Streelman,20,0.57,19,0.24,48,1.39,11,0.40,24,0.58,13,0.13,46,1.52,9
Chris Kirk,20,0.34,34,0.60,25,1.44,8,0.47,16,0.50,15,0.01,53,1.45,10
Martin Laird,20,0.60,16,0.61,22,1.32,14,0.60,8,0.12,43,0.06,52,1.39,11
Si woo Kim,22,0.64,12,0.15,56,1.09,18,0.40,25,0.29,27,0.26,32,1.35,12
Matt Kuchar,24,0.11,51,0.79,14,1.17,16,0.45,20,0.26,29,0.13,47,1.30,13
Andrew Landry,12,0.76,6,0.03,62,0.85,23,0.39,26,0.06,50,0.43,24,1.29,14
Ryan Palmer,20,0.58,18,0.42,39,0.94,21,0.50,15,- 0.06,60,0.33,29,1.27,15
Brendon Todd,6,- 0.30,82,0.17,53,0.30,49,- 0.07,70,0.43,18,0.97,6,1.26,16
Dylan Frittelli,12,0.40,29,0.52,29,0.86,22,0.46,18,- 0.05,59,0.37,26,1.24,17
Aaron Rai,4,- 0.07,61,0.25,47,0.53,40,0.09,56,0.34,21,0.64,15,1.17,18
Rickie Fowler,10,0.33,36,0.35,42,0.76,28,0.34,31,0.08,49,0.23,37,0.99,19
Kevin Tway,11,0.15,48,0.61,21,0.73,31,0.38,28,- 0.04,58,0.24,36,0.97,20
Andrew Putnam,14,- 0.30,81,0.26,46,0.26,51,- 0.02,65,0.30,24,0.68,13,0.94,21
Patton Kizzire,6,0.04,53,1.60,2,0.77,26,0.82,3,- 0.88,101,0.13,48,0.90,22
Matt Wallace,6,0.56,20,0.46,36,1.56,6,0.51,14,0.54,14,-0.67,81,0.90,23
Sean O'Hair,6,0.20,43,0.67,18,1.02,20,0.44,21,0.15,38,-0.16,68,0.86,24
Robby Shelton,6,- 0.35,86,1.26,3,0.55,38,0.46,17,- 0.37,84,0.26,34,0.81,25
Jimmy Walker,20,- 0.59,95,0.34,43,0.10,61,- 0.12,75,0.35,20,0.69,12,0.79,26
Zac Blair,10,- 0.17,74,0.43,37,0.35,46,0.13,51,0.09,46,0.43,25,0.78,27
Trey Mullinax,11,0.34,35,- 0.23,75,0.30,50,0.05,60,0.19,37,0.44,23,0.73,28
Chad Ramey,4,- 0.74,99,1.17,4,0.74,30,0.21,44,0.31,23,-0.07,58,0.67,29
Stewart Cink,6,0.21,42,1.13,6,0.68,32,0.67,5,- 0.66,96,-0.03,57,0.65,30
Nate Lashley,8,- 0.15,69,0.99,9,0.74,29,0.42,23,- 0.10,62,-0.14,66,0.60,31
Mark Hubbard,4,0.40,28,- 1.21,101,0.32,47,- 0.41,94,1.13,3,0.26,33,0.58,32
Francesco Molinari,4,- 0.15,70,1.67,1,1.19,15,0.76,4,- 0.33,78,-0.61,79,0.58,33
Richy Werenski,14,- 0.12,65,- 0.33,82,- 0.33,76,- 0.22,81,0.12,42,0.87,8,0.55,34
Ricky Barnes,12,- 0.73,98,0.95,11,0.43,42,0.11,53,0.21,35,0.09,51,0.52,35
Troy Merritt,18,0.07,52,0.01,64,- 0.27,72,0.04,62,- 0.35,81,0.78,9,0.51,36
Nick Taylor,20,0.14,50,0.46,35,0.38,45,0.30,34,- 0.21,71,0.12,49,0.51,37
J.J. Spaun,16,- 0.03,58,0.42,38,0.62,34,0.20,45,0.23,33,-0.12,63,0.51,38
Byeong Hun An,10,0.68,8,- 0.03,68,1.57,5,0.33,33,0.92,4,-1.13,97,0.44,39
Kyle Stanley,14,0.16,46,0.56,28,0.39,44,0.36,30,- 0.33,79,-0.09,60,0.30,40
Adam Schenk,12,0.30,38,- 0.80,96,- 0.36,77,- 0.25,84,0.14,40,0.65,14,0.29,41
Adam Long,8,0.38,32,0.15,55,0.53,41,0.26,40,- 0.00,55,-0.26,71,0.27,42
Hideki Matsuyama,5,- 0.92,104,0.80,13,0.53,39,- 0.06,69,0.64,11,-0.26,72,0.27,43
Lanto Griffin,12,0.16,45,0.58,26,0.80,25,0.37,29,0.06,51,-0.56,77,0.24,44
Peter Malnati,20,- 0.27,79,- 0.52,89,- 0.49,82,- 0.39,93,0.30,25,0.72,10,0.23,45
Brian Stuard,18,- 0.23,77,- 0.45,85,- 0.94,94,- 0.34,90,- 0.27,74,1.14,1,0.20,46
David Lingmerth,4,0.49,24,- 0.64,94,- 0.04,63,- 0.08,71,0.11,45,0.20,38,0.16,47
Zecheng Dou,4,0.68,10,- 0.52,88,0.16,54,0.08,58,0.00,54,-0.01,55,0.16,48
