Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Cameron Young,4,1.24,1,0.65,16,2.28,4,0.94,2,0.40,20,0.60,20,2.88,1
Chandler Phillips,4,0.45,22,1.25,2,1.16,13,0.85,4,- 0.54,100,1.48,2,2.63,2
Tommy Fleetwood,8,0.38,25,0.28,36,1.40,9,0.33,28,0.73,7,0.93,11,2.33,3
Sam Burns,22,0.17,49,0.48,24,0.69,32,0.32,30,0.04,55,1.57,1,2.26,4
Sahith Theegala,4,0.99,3,0.38,31,2.46,2,0.69,8,1.09,1,-0.22,66,2.25,5
Xander Schauffele,8,0.83,4,0.88,11,2.03,5,0.85,3,0.32,24,0.16,45,2.19,6
Viktor Hovland,8,0.23,44,1.10,4,1.22,11,0.66,9,- 0.11,71,0.75,15,1.97,7
Davis Riley,10,0.27,38,0.09,55,0.58,37,0.18,44,0.22,37,1.18,4,1.76,8
Taylor Moore,10,0.20,46,1.07,5,1.42,7,0.64,13,0.14,44,0.14,48,1.56,9
Adam Hadwin,24,0.09,58,0.47,26,0.86,24,0.28,36,0.30,25,0.62,19,1.48,10
Adam Scott,4,0.56,13,0.86,12,2.32,3,0.71,7,0.90,3,-0.86,106,1.46,11
Thomas Detry,4,0.78,7,0.38,32,1.08,16,0.58,15,- 0.09,68,0.30,36,1.38,12
Matt Wallace,10,0.21,45,0.64,17,1.40,8,0.43,20,0.54,13,-0.04,59,1.36,13
Corey Conners,8,0.80,5,0.89,10,1.19,12,0.84,5,- 0.50,99,0.13,50,1.32,14
Justin Thomas,22,0.31,34,0.97,7,1.72,6,0.64,11,0.43,18,-0.42,81,1.31,15
Jordan Spieth,12,0.38,24,0.23,43,0.79,27,0.31,31,0.18,42,0.51,23,1.30,16
Matt Kuchar,20,0.25,40,- 0.27,78,0.49,40,- 0.01,62,0.50,14,0.67,18,1.16,17
Mac Meissner,4,0.02,68,0.55,22,0.67,33,0.28,35,0.10,48,0.47,26,1.13,18
