Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Webb Simpson,29,0.54,22,0.83,5,1.64,4,0.68,6,0.28,20,0.62,27,2.26,1
Sungjae Im,20,0.85,7,0.68,12,1.70,3,0.77,2,0.17,35,0.52,30,2.22,2
Billy Horschel,28,0.66,15,0.53,21,1.29,6,0.59,9,0.10,47,0.79,20,2.08,3
Cam Davis,12,0.18,61,0.13,60,1.00,15,0.15,55,0.71,3,0.97,13,1.98,4
Eric Cole,4,-0.64,115,0.71,10,-0.31,91,0.04,69,-0.38,98,2.20,1,1.89,5
Nicolai Hojgaard,4,0.47,25,0.37,40,0.19,68,0.42,22,-0.61,113,1.68,2,1.89,6
Taylor Moore,8,0.43,34,0.24,50,0.90,17,0.33,34,0.27,23,1.00,11,1.87,7
Kevin Kisner,17,0.29,50,0.65,13,0.80,21,0.47,17,-0.14,80,0.96,14,1.75,8
Thomas Detry,4,0.04,78,0.17,56,0.24,64,0.11,64,0.04,55,1.40,4,1.64,9
Si Woo Kim,25,0.37,41,1.10,1,1.86,1,0.73,4,0.40,16,-0.21,77,1.63,10
Bud Cauley,16,0.21,54,0.43,31,0.78,22,0.32,36,0.14,40,0.76,21,1.54,11
Matti Schmid,4,0.98,4,-0.19,85,0.51,45,0.40,26,-0.24,89,0.88,15,1.39,12
Alex Smalley,10,0.42,36,0.51,23,0.94,16,0.47,18,0.03,56,0.27,44,1.19,13
Brendon Todd,16,0.14,65,0.38,36,0.37,54,0.26,42,-0.15,82,0.81,18,1.18,14
Denny McCarthy,20,-0.34,104,0.34,41,0.22,65,0.00,72,0.23,25,0.97,12,1.18,15
Brandt Snedeker,22,-0.02,86,0.22,53,0.50,46,0.10,65,0.31,18,0.64,26,1.11,16
Will Zalatoris,10,0.38,40,0.32,43,1.01,14,0.35,32,0.32,17,0.09,55,1.10,17
Ben Griffin,6,0.00,83,0.65,14,1.10,11,0.33,35,0.52,9,0.03,62,1.10,18
Roger Sloan,14,-0.04,89,0.49,25,0.29,60,0.23,46,-0.16,84,0.69,23,0.99,19
Matt Kuchar,8,0.35,45,0.23,52,0.83,19,0.29,40,0.27,22,0.21,49,0.98,20
J.T. Poston,22,0.21,55,0.09,62,0.57,40,0.15,58,0.28,21,0.39,41,0.97,21
Ryan Moore,22,0.66,14,0.52,22,1.06,13,0.59,10,-0.12,73,-0.12,72,0.94,22
Lucas Glover,24,0.78,9,0.37,39,1.28,8,0.57,11,0.14,42,-0.36,87,0.92,23
