Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Matti Schmid,2,1.82,1,1.73,9,3.79,2,1.77,2,0.24,40,1.16,10,4.95,1
Garrick Higgo,2,0.57,25,2.07,5,2.89,4,1.32,5,0.25,39,1.06,13,3.95,2
Kevin Yu,1,1.56,3,2.32,3,3.91,1,1.94,1,0.03,63,-0.45,95,3.46,3
Harrison Endycott,2,0.20,56,1.32,12,2.86,5,0.76,18,1.34,1,0.59,34,3.45,4
Si woo Kim,10,0.39,38,1.12,21,1.94,11,0.76,19,0.42,22,1.37,7,3.31,5
Taylor Montgomery,2,1.39,6,0.12,72,1.49,23,0.75,20,-0.02,72,1.55,3,3.04,6
Sam Burns,7,0.27,52,0.53,48,1.53,21,0.40,44,0.73,7,1.31,8,2.84,7
Cam Davis,7,0.25,53,1.20,18,1.85,15,0.72,22,0.41,24,0.77,24,2.62,8
Patrick Cantlay,8,0.44,33,1.28,13,2.57,7,0.86,12,0.85,5,0.00,68,2.57,9
Alex Smalley,4,0.88,12,1.58,10,2.35,8,1.23,6,-0.11,84,0.18,58,2.53,10
Adam Hadwin,14,0.19,58,0.85,36,1.11,36,0.52,33,0.08,61,1.38,6,2.49,11
Carson Young,1,0.72,19,2.56,1,3.44,3,1.64,3,0.15,53,-0.97,114,2.46,12
Lanto Griffin,4,-0.16,90,1.11,23,1.28,30,0.48,36,0.33,31,1.15,11,2.44,13
Ben Griffin,2,0.54,27,0.46,53,0.31,59,0.50,35,-0.69,116,2.12,1,2.43,14
Tony Finau,9,0.49,30,1.13,20,1.84,16,0.81,15,0.22,44,0.44,43,2.28,15
Erik van Rooyen,4,0.30,50,0.24,67,1.20,32,0.27,54,0.66,9,1.05,14,2.26,16
Sungjae Im,10,0.35,45,0.66,43,1.33,29,0.50,34,0.32,34,0.93,19,2.25,17
Andrew Putnam,12,-0.25,97,1.08,26,1.42,25,0.41,40,0.59,12,0.81,22,2.23,18
Scottie Scheffler,7,0.78,17,0.30,63,1.46,24,0.54,30,0.38,26,0.50,37,1.96,19
Tom Hoge,11,0.27,51,1.27,14,1.90,12,0.77,16,0.36,29,-0.07,76,1.83,20
Roger Sloan,7,0.57,26,0.52,49,1.33,28,0.55,29,0.24,41,0.45,40,1.78,21
Will Zalatoris,4,0.69,21,1.23,16,1.90,13,0.96,8,-0.02,73,-0.13,79,1.77,22
Grayson Murray,8,0.11,65,0.76,40,0.78,42,0.43,38,-0.09,80,0.97,17,1.74,23
Doug Ghim,6,-0.07,85,1.76,8,1.89,14,0.84,14,0.20,47,-0.25,83,1.64,24
Paul Barjon,2,1.29,7,0.61,44,1.41,26,0.95,9,-0.49,110,0.19,57,1.60,25
Daniel Berger,4,0.44,32,1.79,7,1.97,9,1.12,7,-0.26,95,-0.38,90,1.59,26
Ben Martin,10,-0.02,79,0.31,62,0.56,50,0.15,69,0.27,36,1.01,15,1.58,27
Xander Schauffele,4,0.20,57,0.33,58,1.37,27,0.26,55,0.84,6,0.18,59,1.54,28
David Lingmerth,7,-0.12,88,0.57,46,-0.26,87,0.22,59,-0.71,117,1.76,2,1.50,29
Andrew Novak,2,-0.22,94,0.07,78,-0.02,72,-0.07,87,0.13,55,1.49,5,1.47,30
Greyson Sigg,3,-0.51,113,1.20,17,0.56,51,0.35,47,-0.13,86,0.80,23,1.36,31
Jason Dufner,13,0.12,63,0.09,77,0.63,48,0.10,71,0.42,23,0.68,28,1.31,32
Chan Kim,1,0.35,46,1.00,30,1.67,17,0.67,24,0.33,32,-0.39,91,1.29,33
Mark Hubbard,7,0.32,48,0.15,69,0.41,56,0.24,57,-0.07,78,0.81,21,1.22,34
Matt NeSmith,5,0.02,72,1.08,27,0.77,43,0.55,28,-0.33,99,0.44,42,1.21,35
Bronson Burgoon,11,0.04,70,0.71,41,1.24,31,0.37,45,0.49,19,-0.06,74,1.17,36
Thomas Detry,2,-0.28,99,-0.01,85,-0.27,88,-0.14,93,0.01,65,1.31,9,1.04,37
Scott Stallings,8,0.65,22,1.04,29,1.96,10,0.85,13,0.26,37,-0.97,115,0.99,38
Chris Kirk,9,0.12,62,0.47,52,0.89,41,0.29,52,0.30,35,0.07,63,0.96,39
Kyoung-hoon Lee,8,-0.12,87,0.46,54,0.28,60,0.17,66,-0.06,77,0.62,33,0.89,40
Jason Day,4,-0.18,91,0.12,73,0.16,64,-0.03,83,0.22,46,0.71,26,0.87,41
Patton Kizzire,14,0.36,44,0.70,42,1.14,35,0.53,32,0.09,60,-0.32,86,0.83,42
Adam Schenk,9,0.23,54,0.12,71,0.17,63,0.18,65,-0.18,91,0.62,32,0.79,43
Zac Blair,7,-0.54,114,1.16,19,0.60,49,0.31,51,-0.02,71,0.16,60,0.76,44
James Hahn,9,0.40,37,1.12,22,1.14,34,0.76,17,-0.38,104,-0.44,93,0.71,45
Austin Eckroat,1,1.57,2,1.38,11,2.84,6,1.48,4,-0.11,85,-2.17,127,0.67,46
Sam Ryder,11,0.00,76,-0.30,99,0.05,68,-0.15,94,0.34,30,0.54,35,0.58,47
Keith Mitchell,4,0.81,14,-0.46,104,0.94,39,0.18,64,0.58,14,-0.38,89,0.55,48
Davis Thompson,2,-0.41,107,0.82,38,-0.13,80,0.21,62,-0.55,112,0.67,29,0.54,49
Ryan Moore,5,0.02,73,1.25,15,0.52,53,0.63,25,-0.74,118,0.01,67,0.53,50
Christiaan Bezuidenhout,4,0.00,75,0.44,55,0.11,66,0.22,60,-0.33,100,0.42,46,0.53,51
Chez Reavie,12,0.22,55,0.61,45,1.20,33,0.41,41,0.37,28,-0.68,105,0.52,52
Scott Piercy,12,-0.01,77,1.09,24,1.51,22,0.54,31,0.43,20,-1.02,118,0.48,53
Martin Laird,11,-0.06,83,-0.84,112,-0.01,71,-0.45,111,0.89,3,0.46,38,0.44,54
Kevin Streelman,10,0.79,16,0.97,32,1.66,18,0.88,11,-0.10,83,-1.22,119,0.44,55
