Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Kurt Kitayama,4,0.10,35,0.83,8,1.45,10,0.46,18,0.53,8,1.41,1,2.86,1
Jordan Spieth,8,0.14,32,0.77,10,1.95,4,0.46,19,1.03,1,0.50,16,2.48,2
Scottie Scheffler,12,0.76,6,1.04,4,2.57,1,0.90,2,0.76,3,-0.13,39,2.44,3
Rory McIlroy,32,0.66,9,0.99,5,1.93,5,0.82,4,0.29,16,0.50,17,2.44,4
Patrick Cantlay,4,1.41,1,0.83,7,2.48,2,1.12,1,0.23,19,-0.12,38,2.36,5
Sungjae Im,20,0.46,17,0.20,35,0.86,22,0.33,23,0.19,22,1.03,5,1.90,6
Cameron Young,8,1.15,2,0.31,30,2.09,3,0.73,9,0.62,5,-0.27,45,1.84,7
Matt Fitzpatrick,30,0.39,21,- 0.12,44,0.64,29,0.14,32,0.36,14,1.06,4,1.71,8
Jason Day,21,0.37,23,- 0.16,46,0.80,24,0.10,35,0.60,6,0.82,9,1.64,9
Max Homa,16,0.49,14,1.15,3,1.19,16,0.82,5,- 0.45,51,0.34,20,1.54,10
Chris Kirk,26,0.13,33,0.35,28,0.96,20,0.24,28,0.48,11,0.47,19,1.44,11
Emiliano Grillo,21,0.74,7,0.70,12,1.58,7,0.72,10,0.14,27,-0.20,43,1.40,12
Justin Thomas,4,0.87,5,0.66,15,1.47,8,0.76,8,- 0.06,35,-0.12,37,1.36,13
Corey Conners,16,0.37,22,1.19,2,1.46,9,0.78,6,- 0.10,37,-0.18,42,1.30,14
Viktor Hovland,20,0.93,3,0.49,23,1.24,13,0.71,11,- 0.19,43,-0.06,32,1.20,15
Tommy Fleetwood,26,0.35,24,0.25,32,1.10,17,0.30,25,0.50,10,0.04,29,1.16,16
Christiaan Bezuidenhout,14,- 0.37,51,0.18,36,0.56,31,- 0.10,41,0.75,4,0.56,12,1.14,17
Keegan Bradley,32,0.45,18,0.50,22,1.20,15,0.47,17,0.25,17,-0.09,36,1.13,18
Ludvig Aberg,4,- 0.01,43,0.24,33,- 0.08,38,0.11,34,- 0.30,49,1.18,2,1.11,19
Justin Rose,24,0.19,29,0.51,21,0.74,28,0.35,22,- 0.00,34,0.19,23,0.97,20
Will Zalatoris,12,0.90,4,0.66,14,1.36,11,0.78,7,- 0.20,45,-0.56,53,0.84,21
