Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Kevin Streelman,4,0.89,6,1.40,3,2.64,2,1.15,3,0.35,20,1.30,3,3.95,1
Andrew Wilson,1,1.34,3,0.32,35,3.94,1,0.83,4,2.29,1,-0.08,55,3.87,2
Justin Lower,4,0.08,44,0.12,41,0.57,29,0.10,45,0.37,18,1.62,1,2.20,3
Matti Schmid,4,-0.11,54,1.35,4,1.10,19,0.62,10,-0.14,52,1.10,8,2.20,4
Sean O'Hair,4,0.91,5,0.05,45,1.39,9,0.48,16,0.42,14,0.81,19,2.20,5
Marcus Helligkilde,4,0.80,10,1.50,2,1.89,4,1.15,2,-0.41,72,0.30,32,2.20,6
Vince Whaley,8,0.31,32,0.31,37,1.25,14,0.31,29,0.63,7,0.89,15,2.14,7
Taylor Pendrith,8,1.64,1,-0.07,54,1.41,8,0.79,5,-0.17,56,0.73,21,2.14,8
Max Mcgreevy,4,0.30,33,-0.07,55,1.84,5,0.11,41,1.62,2,0.10,44,1.95,9
Troy Merritt,6,0.86,8,1.86,1,2.11,3,1.36,1,-0.61,78,-0.29,60,1.82,10
Michael Gligic,8,0.33,31,0.41,30,0.59,28,0.37,24,-0.15,53,1.05,9,1.64,11
Kramer Hickok,8,0.62,15,0.50,25,1.11,18,0.56,12,-0.02,45,0.49,27,1.60,12
Doc Redman,4,0.82,9,-0.08,56,0.25,38,0.37,23,-0.49,75,1.19,7,1.45,13
Kevin Chappell,4,0.88,7,-0.20,57,0.68,26,0.34,27,0.01,43,0.76,20,1.45,14
James Hahn,10,0.49,23,0.44,28,1.00,20,0.46,18,0.07,39,0.43,29,1.44,15
Austin Cook,12,0.24,36,0.19,39,0.53,30,0.21,36,0.10,38,0.90,14,1.43,16
Jason Dufner,12,0.58,18,0.34,33,1.19,17,0.46,19,0.27,26,0.24,40,1.43,17
Jim Herman,12,0.57,19,0.43,29,1.21,16,0.50,14,0.21,31,0.21,41,1.43,18
Josh Teater,16,0.67,12,0.45,26,0.90,22,0.56,13,-0.22,60,0.43,30,1.34,19
Ryan Armour,8,-0.05,51,0.76,16,0.47,32,0.36,25,-0.25,66,0.82,18,1.29,20
Cameron Percy,12,0.62,17,0.32,36,1.24,15,0.47,17,0.31,23,0.04,47,1.28,21
William McGirt,8,-0.08,52,0.79,15,0.82,25,0.35,26,0.11,37,0.44,28,1.26,22
Chris Stroud,4,-0.09,53,-0.34,61,-0.37,60,-0.21,62,0.06,40,1.56,2,1.20,23
Niklas Norgaard Moller,4,0.37,29,-0.67,70,0.21,39,-0.15,58,0.51,9,0.98,10,1.20,24
Kelly Kraft,6,0.45,25,0.52,22,0.33,36,0.49,15,-0.64,80,0.83,17,1.16,25
Bo Van Pelt,8,0.11,42,0.80,12,0.84,23,0.45,20,-0.07,46,0.30,34,1.14,26
Bo Hoag,6,0.28,34,0.96,8,1.67,6,0.62,9,0.43,12,-0.62,73,1.05,27
Henrik Norlander,6,0.16,38,1.05,6,1.26,12,0.61,11,0.04,42,-0.20,59,1.05,28
Richy Werenski,11,-0.28,62,0.27,38,0.18,41,-0.01,53,0.20,32,0.84,16,1.02,29
Seung-yul Noh,4,-0.84,76,1.30,5,0.67,27,0.23,34,0.21,30,0.27,37,0.95,30
D.J. Trahan,12,0.62,16,0.79,13,1.46,7,0.70,7,0.05,41,-0.51,69,0.94,31
Satoshi Kodaira,12,0.42,27,1.03,7,1.35,11,0.73,6,-0.11,48,-0.42,68,0.93,32
Greg Chalmers,8,0.14,41,-0.32,60,-0.06,52,-0.09,55,0.12,35,0.95,12,0.89,33
Kevin Tway,8,0.38,28,0.17,40,0.97,21,0.27,32,0.42,13,-0.08,56,0.89,34
Nick Watney,4,0.02,49,0.33,34,0.10,43,0.18,38,-0.25,65,0.73,22,0.84,35
Robert Streb,6,-0.23,61,0.44,27,0.47,34,0.10,44,0.26,29,0.36,31,0.82,36
Brian Stuard,12,-0.23,59,0.52,23,0.04,45,0.14,39,-0.24,63,0.56,26,0.60,37
Scott Brown,10,0.66,13,0.63,18,0.82,24,0.65,8,-0.48,74,-0.30,61,0.51,38
Tyler Duncan,12,0.52,21,0.06,44,0.18,40,0.29,31,-0.40,71,0.30,33,0.48,39
Peter Malnati,7,0.16,39,-0.54,65,-0.50,62,-0.19,61,-0.12,49,0.94,13,0.45,40
Jonathan Byrd,16,-0.71,73,0.93,10,0.38,35,0.11,42,0.16,33,0.02,48,0.40,41
Cody Gribble,6,-0.77,74,-0.43,63,-0.85,67,-0.60,71,0.35,21,1.22,6,0.37,42
Heath Slocum,7,0.05,47,0.79,14,1.25,13,0.42,21,0.41,16,-0.95,81,0.30,43
Ryan Moore,4,-0.04,50,0.07,43,-0.10,54,0.02,51,-0.13,51,0.29,35,0.20,44
Austin Smotherman,4,-0.39,65,0.50,24,0.51,31,0.06,48,0.40,17,-0.32,62,0.20,45
Ted Potter,10,0.08,45,0.55,21,0.47,33,0.31,28,-0.16,55,-0.33,64,0.13,46
J.J. Henry,14,0.24,37,-0.02,51,-0.03,49,0.11,43,-0.24,64,0.10,45,0.08,47
David Hearn,14,-0.44,66,0.60,19,-0.05,51,0.08,46,-0.21,59,0.07,46,0.03,48
Aaron Cockerill,4,-0.20,57,0.01,49,-0.07,53,-0.09,56,0.11,36,0.02,49,-0.05,49
Santiago Tarrio,4,-1.09,80,0.76,17,-0.03,50,-0.16,59,0.29,25,-0.02,50,-0.05,50
Hank Lebioda,8,-0.35,64,0.34,32,-0.12,56,0.00,52,-0.12,50,-0.03,51,-0.15,51
Scott Harrington,4,0.07,46,0.04,46,-0.10,55,0.05,49,-0.21,58,-0.07,54,-0.16,52
Brice Garnett,10,0.56,20,-0.93,74,-0.01,48,-0.18,60,0.36,19,-0.16,58,-0.17,53
D.A. Points,8,-0.70,72,-0.31,59,-0.36,59,-0.51,69,0.65,6,0.15,43,-0.21,54
Robert Garrigus,14,0.51,22,0.08,42,0.27,37,0.30,30,-0.32,68,-0.51,70,-0.24,55
Duffy Waldorf,2,-0.34,63,-1.82,85,-1.35,70,-1.08,81,0.81,4,0.98,11,-0.37,56
Ricky Barnes,14,-0.59,68,-0.40,62,-0.67,66,-0.50,68,0.32,22,0.29,36,-0.39,57
Kiradech Aphibarnrat,2,1.25,4,-1.79,83,-1.16,69,-0.27,63,-0.63,79,0.71,23,-0.46,58
Richard S. Johnson,8,-0.65,70,-0.27,58,-0.65,65,-0.46,67,0.27,27,0.17,42,-0.48,59
Mike Lorenzo-Vera,2,0.34,30,-0.59,66,0.03,46,-0.13,57,0.29,24,-0.54,71,-0.51,60
Patton Kizzire,2,1.42,2,-0.99,75,1.37,10,0.22,35,0.93,3,-1.88,85,-0.51,61
Sebastian Garcia Rodriguez,4,-0.89,77,-0.93,73,-1.83,77,-0.91,79,-0.01,44,1.28,4,-0.55,62
Derek Ernst,8,0.46,24,0.01,48,-0.26,58,0.24,33,-0.73,81,-0.37,66,-0.63,63
M.J. Daffue,4,-0.23,60,-0.65,68,-0.62,63,-0.44,65,0.26,28,-0.05,53,-0.66,64
Soren Kjeldsen,4,-0.13,55,0.36,31,0.05,44,0.12,40,-0.18,57,-0.86,79,-0.80,65
Tyson Alexander,2,-0.45,67,0.59,20,-0.22,57,0.07,47,-0.35,70,-0.66,74,-0.87,66
Stephen Stallings,12,0.78,11,-0.86,72,-0.64,64,-0.04,54,-0.56,76,-0.35,65,-0.99,67
Sung Kang,2,0.64,14,-1.37,78,-0.97,68,-0.37,64,-0.24,62,-0.04,52,-1.01,68
Ryan Brehm,8,0.44,26,-0.03,52,0.14,42,0.21,37,-0.28,67,-1.25,83,-1.11,69
Tommy Gainey,10,0.03,48,0.01,50,-0.40,61,0.02,50,-0.44,73,-0.77,77,-1.17,70
Daniel Chopra,8,-0.68,71,-0.68,71,-1.45,72,-0.68,72,-0.08,47,0.24,39,-1.21,71
Ben Crane,6,-0.63,69,-1.27,76,-1.36,71,-0.95,80,0.54,8,-0.16,57,-1.52,72
Martin Trainer,4,-1.52,84,-1.99,87,-3.00,86,-1.75,86,0.51,10,1.27,5,-1.73,73
Kevin Stadler,4,-1.41,83,0.02,47,-2.32,83,-0.70,74,-0.92,85,0.58,24,-1.73,74
Sangmoon Bae,3,0.09,43,-1.79,84,-2.15,80,-0.85,77,-0.58,77,0.25,38,-1.90,75
K.J. Choi,4,-1.20,81,-0.45,64,-1.52,73,-0.83,75,0.14,34,-0.40,67,-1.91,76
Russell Knox,2,-0.14,56,0.88,11,0.00,47,0.37,22,-0.75,82,-1.95,86,-1.96,77
Harry Higgs,2,-1.66,85,-0.05,53,-2.58,84,-0.86,78,-0.86,84,0.57,25,-2.01,78
Grayson Murray,2,0.16,40,-1.84,86,-1.90,78,-0.84,76,-0.22,61,-0.55,72,-2.46,79
Derek Lamely,2,-1.03,79,-1.61,81,-2.19,81,-1.32,85,0.44,11,-0.32,63,-2.51,80
Chad Campbell,4,-0.23,58,-0.66,69,-1.69,75,-0.44,66,-0.81,83,-0.83,78,-2.52,81
Brian Davis,8,-0.77,75,-0.61,67,-1.72,76,-0.69,73,-0.34,69,-0.92,80,-2.64,82
Wesley Bryan,4,-3.19,87,0.93,9,-1.58,74,-1.13,82,0.68,5,-1.11,82,-2.69,83
Jonas Blixt,2,0.25,35,-1.32,77,-2.28,82,-0.53,70,-1.21,86,-0.73,75,-3.01,84
Matt Every,4,-1.20,82,-1.38,79,-2.76,85,-1.29,84,-0.16,54,-0.76,76,-3.52,85
Omar Uresti,7,-0.96,78,-1.51,80,-2.06,79,-1.24,83,0.41,15,-1.50,84,-3.56,86
Zecheng Dou,1,-2.28,86,-1.69,82,-6.46,87,-1.98,87,-2.50,87,-2.22,87,-8.68,87
