Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
C.T. Pan,4,0.68,20,0.70,20,2.17,8,0.69,16,0.81,9,0.75,18,2.91,1
Daniel Berger,4,1.09,12,1.26,6,2.30,5,1.17,3,- 0.05,61,0.54,28,2.84,2
Jordan Spieth,8,0.57,25,1.40,5,2.30,6,0.98,6,0.33,29,0.39,36,2.68,3
Zecheng Dou,4,1.33,6,0.14,50,1.37,15,0.74,12,- 0.11,65,1.30,5,2.66,4
Kyoung-hoon Lee,12,0.56,27,1.75,4,2.47,3,1.15,4,0.19,42,0.12,50,2.59,5
Vincent Norrman,4,1.21,7,0.43,37,1.90,9,0.82,10,0.27,34,0.51,29,2.41,6
Peter Kuest,4,1.61,3,- 0.40,78,0.64,41,0.60,17,- 0.34,74,1.24,6,1.91,7
Carson Young,4,0.43,40,0.60,22,1.83,10,0.52,20,0.82,8,0.09,51,1.91,8
Byeong Hun An,4,0.98,13,0.42,38,2.38,4,0.70,14,1.05,2,-0.49,74,1.91,9
Ryan Palmer,12,0.94,15,0.49,30,1.52,13,0.71,13,0.09,49,0.33,41,1.84,10
Bronson Burgoon,4,0.51,37,0.41,41,1.03,23,0.46,26,0.11,48,0.80,16,1.84,11
Seamus Power,12,0.09,52,0.35,42,1.14,21,0.22,43,0.80,10,0.60,22,1.76,12
Adam Scott,8,0.46,39,- 0.03,61,0.86,31,0.22,42,0.46,21,0.85,15,1.72,13
Alex Noren,8,0.57,26,0.13,51,0.89,28,0.35,33,0.20,41,0.80,17,1.68,14
Davis Riley,6,0.22,48,0.51,27,0.84,32,0.37,30,0.30,31,0.57,24,1.52,15
Jason Day,10,0.50,38,- 0.07,66,1.13,22,0.21,44,0.71,11,0.37,37,1.50,16
Stephan Jaeger,8,0.55,31,0.45,35,1.31,16,0.50,22,0.40,23,0.16,48,1.47,17
Joseph Bramlett,12,0.55,30,0.17,49,0.88,29,0.36,31,0.16,44,0.56,27,1.43,18
Matt Kuchar,12,- 0.02,62,0.60,23,0.83,33,0.29,36,0.32,30,0.59,23,1.43,19
Tom Kim,8,0.03,57,1.03,13,1.15,20,0.53,19,0.13,47,0.06,52,1.22,20
Garrick Higgo,4,1.58,4,- 0.05,63,0.99,24,0.77,11,- 0.39,76,0.16,47,1.16,21
James Hahn,10,0.64,23,1.03,12,1.70,11,0.84,9,0.01,56,-0.62,76,1.10,22
Ben Martin,4,0.20,50,0.31,44,0.69,39,0.25,40,0.18,43,0.40,35,1.09,23
Jhonattan Vegas,8,0.77,19,0.06,55,1.20,19,0.42,27,0.36,25,-0.14,62,1.06,24
Si woo Kim,10,0.06,54,0.02,57,0.58,42,0.04,58,0.50,18,0.37,38,0.96,25
Mark Hubbard,8,- 0.41,86,1.11,10,0.52,45,0.35,32,- 0.19,71,0.41,34,0.93,26
Tommy Gainey,4,- 0.31,79,0.10,53,- 0.49,73,- 0.11,71,- 0.04,60,1.38,2,0.91,27
Stewart Cink,4,- 1.48,105,0.91,16,- 0.41,69,- 0.29,79,0.33,28,1.32,4,0.91,28
Sam Stevens,4,1.10,11,1.15,8,2.20,7,1.13,5,0.05,53,-1.32,90,0.91,29
David Lipsky,6,0.23,46,- 0.08,67,- 0.32,64,0.08,55,- 0.47,82,1.18,9,0.86,30
Brandon Wu,8,- 0.09,67,- 0.05,64,0.48,47,- 0.07,69,0.69,13,0.36,39,0.85,31
Will Zalatoris,6,0.54,33,2.57,2,2.95,2,1.55,2,- 0.15,69,-2.13,102,0.82,32
David Skinns,4,- 0.73,96,- 0.28,75,- 0.41,70,- 0.51,86,0.60,15,1.20,8,0.78,33
Matt Nesmith,8,0.65,22,0.28,46,0.73,36,0.47,24,- 0.07,64,-0.03,56,0.72,34
Mackenzie Hughes,6,- 0.37,82,- 0.25,74,0.26,50,- 0.31,81,0.96,4,0.42,33,0.70,35
Patrick Rodgers,8,0.56,29,0.20,48,0.79,34,0.38,28,0.03,54,-0.11,61,0.68,36
Patton Kizzire,12,- 0.20,72,0.95,14,0.70,38,0.38,29,- 0.05,62,-0.02,55,0.68,37
Robby Shelton,4,- 0.33,80,0.05,56,- 0.47,72,- 0.14,72,- 0.07,63,1.09,10,0.66,38
Aaron Baddeley,6,- 1.46,104,1.98,3,0.97,26,0.26,38,0.48,19,-0.31,69,0.65,39
Justin Lower,8,- 0.11,68,1.14,9,0.68,40,0.52,21,- 0.27,73,-0.08,59,0.60,40
J.J. Spaun,8,0.08,53,0.58,24,0.90,27,0.33,35,0.25,35,-0.34,71,0.56,41
Callum Tarren,4,- 0.01,61,- 0.43,79,- 0.36,66,- 0.22,75,0.07,51,0.90,14,0.53,42
Brandt Snedeker,6,- 0.41,87,0.81,17,0.70,37,0.20,45,0.30,32,-0.22,66,0.49,43
Brice Garnett,12,- 0.16,71,- 0.45,82,- 0.04,55,- 0.31,80,0.61,14,0.45,31,0.43,44
Cameron Champ,12,1.17,10,0.56,26,1.24,17,0.87,8,- 0.44,80,-0.81,83,0.43,45
Harrison Endycott,4,0.28,45,- 0.11,69,- 0.64,77,0.09,53,- 0.77,90,1.06,11,0.41,46
Chad Ramey,4,0.05,55,0.07,54,0.06,53,0.06,56,0.01,57,0.33,40,0.41,47
Taylor Montgomery,4,- 0.08,66,0.23,47,0.47,48,0.08,54,0.46,20,-0.07,58,0.41,48
Seonghyeon Kim,4,0.84,18,- 0.51,84,0.86,30,0.17,46,0.55,16,-0.45,73,0.41,49
Maverick McNealy,6,- 0.70,95,- 0.62,86,- 0.43,71,- 0.66,91,1.04,3,0.69,19,0.36,50
Vince Whaley,12,0.13,51,- 0.11,70,0.54,44,0.01,61,0.53,17,-0.20,65,0.34,51
Lanto Griffin,4,0.56,28,- 0.03,62,0.05,54,0.26,37,- 0.48,83,0.23,46,0.28,52
Andrew Novak,8,- 0.26,75,0.93,15,0.56,43,0.34,34,- 0.11,66,-0.34,72,0.22,53
Austin Smotherman,6,0.54,32,- 0.28,76,0.49,46,0.13,48,0.23,36,-0.31,68,0.19,54
Scott Piercy,8,0.90,16,1.03,11,1.64,12,0.96,7,- 0.24,72,-1.47,94,0.18,55
