Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Chandler Phillips,1,0.62,13,2.96,1,3.85,1,1.79,1,0.28,29,-0.30,82,3.55,1
Ryan Gerard,4,0.42,30,1.75,3,2.11,2,1.08,3,- 0.06,66,0.61,13,2.71,2
Jake Knapp,4,1.10,1,0.74,19,1.82,4,0.92,5,- 0.02,62,0.34,34,2.16,3
Austin Eckroat,6,0.62,11,0.70,22,1.47,9,0.66,11,0.15,45,0.37,30,1.85,4
Kurt Kitayama,8,0.37,37,0.57,28,1.16,18,0.47,19,0.22,36,0.65,10,1.81,5
Min woo Lee,8,0.68,8,0.83,13,1.31,15,0.76,7,- 0.20,81,0.50,21,1.81,6
Cameron Young,8,0.73,6,0.57,27,1.15,19,0.65,12,- 0.15,79,0.58,16,1.73,7
Byeong Hun An,22,0.56,19,0.94,11,1.77,5,0.75,8,0.28,30,-0.09,66,1.67,8
Victor Perez,4,0.47,25,0.39,39,1.42,11,0.43,23,0.57,14,0.24,42,1.66,9
Sepp Straka,20,0.61,15,0.73,20,1.39,13,0.67,9,0.04,55,0.26,40,1.65,10
Shane Lowry,28,0.52,22,0.72,21,1.40,12,0.62,13,0.16,41,0.20,46,1.58,11
Sam Ryder,16,- 0.03,81,0.81,14,0.98,24,0.39,30,0.20,39,0.43,25,1.41,12
Rickie Fowler,28,0.43,28,0.06,62,0.66,38,0.25,42,0.16,42,0.66,8,1.32,13
Billy Horschel,30,0.34,38,0.55,29,0.97,25,0.45,22,0.07,51,0.35,32,1.32,14
Lucas Glover,28,0.48,24,0.64,25,1.05,22,0.56,15,- 0.07,67,0.23,43,1.28,15
Chris Kirk,26,0.15,56,0.44,35,0.92,27,0.30,37,0.34,24,0.34,33,1.26,16
Russell Henley,26,0.27,48,0.74,18,0.67,37,0.51,17,- 0.34,95,0.59,15,1.26,17
Sungjae Im,20,0.68,9,0.08,60,1.33,14,0.38,31,0.57,15,-0.14,70,1.20,18
Chan Kim,4,- 0.80,110,0.02,65,- 0.04,70,- 0.39,100,0.74,6,1.20,3,1.16,19
Matthieu Pavon,4,0.22,52,0.24,49,0.32,57,0.23,46,- 0.14,77,0.83,5,1.16,20
Jacob Bridgeman,4,- 1.06,114,1.54,5,0.35,53,0.24,44,- 0.13,75,0.81,6,1.16,21
Keith Mitchell,20,0.56,17,- 0.02,67,0.62,39,0.27,40,0.08,50,0.53,17,1.15,22
C.T. Pan,24,0.02,74,0.58,26,1.09,21,0.30,35,0.49,17,0.04,55,1.14,23
Gary Woodland,26,0.55,20,0.77,17,1.28,16,0.66,10,- 0.04,64,-0.15,72,1.13,24
Eric Cole,6,0.38,35,- 0.19,79,- 0.02,69,0.10,60,- 0.21,84,1.15,4,1.13,25
Daniel Berger,22,0.42,29,0.40,37,0.82,30,0.41,27,0.00,60,0.28,39,1.10,26
Kyoung-Hoon Lee,18,0.44,27,0.23,50,0.95,26,0.34,34,0.28,28,0.10,51,1.06,27
Jhonattan Vegas,28,0.56,18,0.27,47,0.69,36,0.41,26,- 0.14,78,0.32,36,1.00,28
Webb Simpson,12,0.33,42,- 0.08,70,0.58,42,0.12,57,0.33,25,0.41,27,0.99,29
Kevin Roy,4,0.85,2,1.49,6,1.72,6,1.17,2,- 0.65,104,-0.75,96,0.96,30
Ryan Fox,4,- 0.33,94,1.03,7,0.76,33,0.35,32,0.06,52,0.15,49,0.91,31
Chris Gotterup,4,- 0.63,104,1.77,2,0.88,29,0.57,14,- 0.26,88,0.03,57,0.91,32
Luke List,20,0.07,67,0.85,12,1.52,8,0.46,20,0.60,12,-0.63,92,0.89,33
Lee Hodges,10,- 0.02,79,0.30,44,0.43,47,0.14,56,0.15,44,0.37,31,0.79,34
Beau Hossler,16,- 0.00,75,0.30,43,0.34,54,0.15,55,0.04,56,0.44,24,0.78,35
Will Gordon,8,0.40,32,0.42,36,0.56,43,0.41,28,- 0.27,89,0.20,45,0.78,36
Christiaan Bezuidenhout,10,0.33,41,- 0.09,73,0.04,66,0.12,58,- 0.21,83,0.66,9,0.69,37
Taylor Pendrith,10,0.46,26,0.37,40,0.72,35,0.42,25,- 0.13,76,-0.02,61,0.69,38
Bud Cauley,17,0.31,45,0.21,53,0.60,41,0.26,41,0.08,49,0.09,52,0.69,39
Ben Martin,14,0.15,58,0.53,30,0.20,60,0.34,33,- 0.48,102,0.49,23,0.69,40
Andrew Novak,14,0.04,69,0.10,58,0.43,46,0.07,65,0.27,31,0.25,41,0.68,41
Ryan Palmer,26,0.62,12,0.22,52,0.76,32,0.42,24,- 0.08,68,-0.09,67,0.67,42
Ben Griffin,6,0.24,50,- 0.48,88,0.13,61,- 0.12,75,0.35,22,0.50,20,0.62,43
Zach Johnson,28,0.16,54,- 0.16,77,0.39,49,- 0.00,67,0.40,18,0.22,44,0.61,44
Brice Garnett,18,0.04,70,0.13,56,0.34,56,0.08,62,0.17,40,0.20,47,0.53,45
Danny Willett,10,- 0.12,84,0.53,31,0.75,34,0.20,50,0.32,26,-0.25,80,0.50,46
Adam Schenk,24,0.14,59,0.06,63,0.11,62,0.10,61,- 0.09,69,0.39,28,0.49,47
Carson Young,8,0.51,23,- 0.08,71,- 0.25,76,0.21,49,- 0.69,106,0.65,11,0.43,48
Adam Svensson,14,- 0.08,83,0.40,38,0.90,28,0.16,54,0.60,11,-0.50,88,0.41,49
Max Greyserman,4,- 0.80,111,0.16,54,- 0.02,68,- 0.32,95,0.62,10,0.43,26,0.41,50
Davis Thompson,4,- 0.14,86,0.03,64,1.10,20,- 0.06,71,1.22,2,-0.70,93,0.41,51
Francesco Molinari,10,0.32,43,0.78,16,0.37,51,0.55,16,- 0.73,108,0.02,58,0.40,52
David Lipsky,8,0.38,36,- 0.05,68,1.17,17,0.16,53,0.85,4,-0.82,98,0.35,53
Matt Wallace,14,- 0.33,93,0.79,15,0.42,48,0.23,45,- 0.04,65,-0.08,65,0.34,54
