Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Max Homa,20,0.45,18,0.52,14,1.16,13,0.49,15,0.19,22,1.22,4,2.39,1
Cameron Young,8,1.09,3,1.04,4,1.84,3,1.06,2,- 0.26,48,0.54,16,2.39,2
Adam Svensson,4,- 0.04,43,- 0.55,48,0.83,19,- 0.29,48,1.41,1,1.34,3,2.17,3
Viktor Hovland,12,0.70,6,1.03,5,1.51,6,0.86,4,- 0.21,46,0.53,17,2.04,4
Patrick Cantlay,24,0.67,7,0.67,12,1.77,5,0.67,6,0.43,12,0.15,25,1.92,5
Collin Morikawa,16,0.39,21,1.13,3,1.83,4,0.76,5,0.31,17,0.02,31,1.85,6
Will Zalatoris,12,0.24,26,0.99,6,1.33,7,0.62,11,0.11,27,0.47,19,1.81,7
Adam Scott,32,0.37,22,0.53,13,0.94,17,0.45,16,0.03,32,0.67,11,1.61,8
Xander Schauffele,24,0.24,28,0.95,7,1.19,12,0.60,12,0.00,34,0.31,21,1.50,9
Matt Kuchar,30,- 0.07,46,0.22,27,0.67,22,0.07,29,0.52,8,0.67,10,1.34,10
Wyndham Clark,12,0.30,24,0.25,24,0.65,24,0.27,21,0.11,26,0.69,8,1.33,11
Tommy Fleetwood,12,0.59,11,0.25,23,1.06,16,0.42,17,0.23,19,0.01,32,1.16,12
Rory McIlroy,26,0.79,5,0.46,16,1.29,9,0.63,9,0.05,30,-0.15,37,1.14,13
Sahith Theegala,12,- 0.27,53,0.27,20,0.88,18,- 0.00,36,0.89,3,0.18,24,1.06,14
Tony Finau,28,0.49,16,0.76,11,1.13,15,0.63,8,- 0.12,39,-0.18,38,0.96,15
Matt Fitzpatrick,10,0.24,27,0.47,15,0.62,26,0.36,19,- 0.10,37,0.29,22,0.91,16
Lee Hodges,8,0.22,29,0.26,21,0.24,32,0.24,22,- 0.24,47,0.66,12,0.90,17
Scottie Scheffler,18,0.26,25,0.93,8,1.27,10,0.59,13,0.08,29,-0.43,48,0.84,18
Justin Thomas,28,0.18,33,0.41,18,0.80,20,0.29,20,0.22,21,-0.07,35,0.73,19
