Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Thomas Detry,4,0.68,12,0.22,46,1.57,9,0.45,23,0.67,7,1.19,9,2.76,1
Alejandro Tosti,4,0.83,3,0.67,22,1.61,7,0.75,7,0.11,47,1.15,10,2.76,1
David Skinns,4,0.20,47,0.19,49,0.94,25,0.19,46,0.55,12,1.58,2,2.51,3
Max Greyserman,4,0.46,24,-0.17,74,1.20,20,0.15,51,0.90,2,1.32,5,2.51,4
Tony Finau,14,0.83,4,0.68,21,2.22,2,0.76,5,0.70,5,0.26,37,2.48,5
Adam Hadwin,4,0.60,18,1.91,1,2.72,1,1.25,1,0.22,34,-0.32,71,2.41,6
Nick Dunlap,4,0.24,45,0.62,24,1.05,23,0.43,26,0.20,39,1.21,8,2.26,7
Scottie Scheffler,16,0.75,8,0.38,36,2.01,3,0.57,14,0.87,3,0.15,45,2.16,8
Aaron Rai,12,0.39,27,0.49,31,1.57,10,0.44,24,0.69,6,0.52,25,2.09,9
Stephan Jaeger,12,0.02,67,-0.10,73,0.85,28,-0.04,71,0.93,1,1.07,11,1.92,10
Mackenzie Hughes,16,0.09,61,0.17,50,0.85,29,0.13,52,0.59,10,0.95,13,1.80,11
Victor Perez,4,0.11,57,0.96,8,1.61,5,0.54,17,0.54,14,0.15,44,1.76,12
Trey Mullinax,6,0.36,31,0.24,45,1.01,24,0.30,35,0.40,21,0.67,21,1.68,13
Joel Dahmen,10,0.35,33,1.25,3,1.81,4,0.80,4,0.21,37,-0.23,64,1.58,14
Matti Schmid,4,0.71,11,0.08,58,0.75,34,0.39,28,-0.04,57,0.77,16,1.51,15
Jacob Bridgeman,4,0.52,21,0.50,29,1.50,13,0.51,19,0.48,15,0.02,52,1.51,16
Joe Highsmith,4,0.75,7,0.93,10,1.60,8,0.84,3,-0.09,62,-0.08,57,1.51,17
