Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Adrien Saddier,4,0.18,47,0.09,54,1.52,16,0.13,50,1.26,1,1.81,1,3.34,1
Kevin Streelman,6,0.66,18,1.14,9,2.23,5,0.90,6,0.43,20,0.39,24,2.61,2
Joseph Bramlett,4,0.85,9,0.82,21,2.03,8,0.83,9,0.37,22,0.30,30,2.34,3
David Ravetto,4,1.06,2,1.75,3,2.86,1,1.40,2,0.05,48,-0.52,72,2.34,4
Ricardo Gouveia,4,0.73,15,0.74,25,1.22,22,0.73,12,- 0.25,69,0.98,7,2.20,5
Marcus Kinhult,4,1.00,4,1.03,16,2.59,3,1.02,4,0.56,11,-0.51,71,2.09,6
Sam Ryder,10,0.49,31,1.38,5,2.19,6,0.93,5,0.33,24,-0.13,53,2.06,7
Espen Kofstad,4,0.78,13,0.07,58,1.36,18,0.42,24,0.51,13,0.59,20,1.95,8
Adam Long,4,0.20,46,0.56,33,1.25,20,0.38,30,0.48,17,0.61,19,1.84,9
Jayden Schaper,4,0.39,36,1.13,10,1.76,10,0.76,11,0.24,30,0.08,42,1.84,10
Troy Merritt,6,0.86,8,1.86,1,2.11,7,1.36,3,- 0.61,84,-0.29,61,1.83,11
Zac Blair,4,0.04,55,0.89,19,0.99,24,0.47,22,0.06,46,0.83,10,1.82,12
Joel Dahmen,4,1.03,3,1.82,2,2.81,2,1.43,1,- 0.05,57,-0.99,83,1.82,13
Sean O'Hair,6,0.64,20,- 0.25,72,0.61,37,0.20,47,0.21,34,0.99,6,1.61,14
Rafael Campos,4,1.12,1,0.68,30,1.26,19,0.90,7,- 0.53,81,0.33,28,1.59,15
Ben Taylor,4,- 0.11,62,0.77,23,1.67,11,0.33,33,1.01,2,-0.09,49,1.59,16
Ryan Armour,12,- 0.28,68,0.72,27,0.41,43,0.22,44,- 0.02,55,1.06,5,1.47,17
Jason Dufner,16,0.59,22,0.44,40,1.22,21,0.52,19,0.19,37,0.25,35,1.47,18
Dylan Wu,4,0.63,21,0.53,36,1.66,12,0.58,16,0.50,16,-0.21,56,1.45,19
Austin Cook,14,0.30,40,0.07,57,0.63,35,0.18,48,0.26,28,0.66,16,1.29,20
Ben Silverman,8,0.27,43,0.83,20,1.60,13,0.55,17,0.50,15,-0.32,65,1.29,21
Vince Whaley,10,0.28,42,0.25,45,0.74,32,0.26,38,0.21,33,0.46,21,1.20,22
William McGirt,12,0.06,52,0.69,28,0.78,29,0.38,31,0.03,50,0.42,23,1.20,23
Henrik Norlander,10,- 0.14,64,1.10,12,1.19,23,0.48,21,0.22,31,-0.02,47,1.17,24
Ryan Moore,8,0.29,41,0.97,17,0.93,25,0.63,15,- 0.33,73,0.21,37,1.14,25
James Hahn,12,0.51,29,0.38,42,0.74,33,0.44,23,- 0.12,63,0.28,32,1.11,26
Angel Hidalgo,4,0.06,53,0.12,50,- 0.36,67,0.09,54,- 0.50,79,1.45,2,1.09,27
Josh Teater,18,0.65,19,0.38,41,0.76,31,0.52,18,- 0.27,70,0.27,34,1.07,28
Seung-yul Noh,4,- 0.85,84,1.31,7,0.67,34,0.23,42,0.21,32,0.27,33,0.95,29
Lukas Nemecz,4,0.87,7,0.10,53,1.55,15,0.48,20,0.59,10,-0.61,75,0.95,30
Kelly Kraft,10,0.49,30,- 0.01,63,0.11,56,0.24,41,- 0.32,72,0.82,11,0.93,31
Jim Herman,14,0.54,27,0.14,49,0.78,28,0.34,32,0.12,43,0.09,41,0.93,32
Camilo Villegas,8,0.21,45,- 0.02,64,0.91,26,0.09,53,0.72,5,-0.02,46,0.89,33
Kevin Tway,12,0.10,50,- 0.01,62,0.76,30,0.04,56,0.67,8,-0.06,48,0.71,34
Gunner Wiebe,4,0.05,54,0.50,38,0.57,39,0.27,37,0.03,49,0.13,40,0.70,35
Brian Stuard,16,- 0.36,71,0.45,39,0.02,59,0.04,55,- 0.05,59,0.63,18,0.66,36
Greyson Sigg,8,0.32,37,- 0.30,75,- 0.01,61,0.01,58,- 0.03,56,0.65,17,0.64,37
Kevin Chappell,6,- 0.00,56,- 0.18,71,- 0.25,66,- 0.09,66,- 0.07,60,0.86,9,0.61,38
M.J. Daffue,8,0.08,51,- 0.09,66,0.27,50,- 0.01,61,0.29,27,0.32,29,0.59,39
Roger Sloan,6,- 0.24,66,1.59,4,1.56,14,0.68,13,0.20,36,-1.00,85,0.55,40
Michael Kim,8,- 0.29,69,1.11,11,0.81,27,0.41,27,- 0.00,51,-0.30,63,0.52,41
Tyler Duncan,14,0.56,25,- 0.07,65,0.15,55,0.24,40,- 0.34,74,0.33,26,0.48,42
Scott Piercy,2,0.68,16,0.11,51,- 0.39,68,0.39,28,- 1.02,90,0.35,25,0.45,43
Matthias Schwab,2,0.82,10,- 1.19,88,0.23,52,- 0.19,69,0.68,7,0.30,31,0.45,44
Daan Huizing,2,0.80,11,- 0.88,81,- 0.12,62,- 0.04,65,0.06,47,0.17,38,0.45,45
Thomas Aiken,2,0.14,48,0.68,29,1.42,17,0.41,26,0.67,9,-1.38,89,0.45,46
Bill Haas,8,- 0.65,79,0.03,61,0.15,54,- 0.31,78,0.77,4,0.23,36,0.39,47
Jonathan Byrd,18,- 0.69,81,1.04,15,0.51,42,0.17,49,0.16,39,-0.17,54,0.35,48
Chad Ramey,4,- 0.04,57,- 0.55,76,- 0.39,69,- 0.30,77,0.21,35,0.72,14,0.34,49
Lanto Griffin,4,0.74,14,0.04,59,0.62,36,0.39,29,- 0.16,65,-0.30,64,0.32,50
Tyson Alexander,6,- 0.43,74,1.08,13,0.54,40,0.33,34,- 0.11,62,-0.27,60,0.27,51
Paul Barjon,8,0.57,24,- 0.17,70,- 0.19,64,0.20,46,- 0.59,82,0.45,22,0.27,52
Cody Gribble,10,- 0.10,61,0.15,48,0.41,44,0.03,57,0.43,19,-0.18,55,0.26,53
Aaron Baddeley,8,- 0.05,58,0.50,37,0.57,38,0.23,43,0.12,41,-0.43,69,0.14,54
Santiago Tarrio,6,- 0.85,85,0.78,22,0.20,53,- 0.03,63,0.32,25,-0.25,58,0.11,55
Austin Smotherman,6,0.10,49,- 0.11,67,0.04,58,- 0.01,62,0.10,44,-0.09,50,0.11,56
Clement Sordet,4,- 0.74,83,0.76,24,0.31,49,0.01,59,0.51,14,-0.25,57,0.09,57
J.J. Spaun,4,0.24,44,1.33,6,2.26,4,0.79,10,0.68,6,-2.17,93,0.09,58
Russell Knox,6,- 0.06,59,0.60,31,0.26,51,0.27,36,- 0.29,71,-0.34,66,- 0.10,59
Robert Streb,8,- 0.26,67,0.19,47,- 0.17,63,- 0.04,64,- 0.10,61,0.01,45,- 0.15,60
Ryan Brehm,12,0.56,26,0.08,55,0.38,46,0.32,35,- 0.25,68,-0.59,74,- 0.21,61
David Hearn,16,- 0.73,82,0.35,43,- 0.41,71,- 0.19,70,- 0.01,52,0.05,44,- 0.30,62
Hayden Buckley,4,0.67,17,1.08,14,1.85,9,0.88,8,0.10,45,-2.15,92,- 0.31,63
Tommy Gainey,14,- 0.12,63,0.53,35,0.04,57,0.21,45,- 0.37,76,-0.35,67,- 0.31,64
Johannes Veerman,4,- 0.08,60,0.58,32,0.36,48,0.25,39,- 0.14,64,-0.78,77,- 0.42,65
Patton Kizzire,6,0.40,35,- 0.16,69,0.36,47,0.12,52,0.31,26,-0.87,80,- 0.45,66
Robby Shelton,2,- 0.30,70,- 0.12,68,- 0.78,76,- 0.21,73,- 0.36,75,0.33,27,- 0.46,67
Will Gordon,2,0.45,32,0.90,18,0.53,41,0.67,14,- 0.82,89,-0.98,82,- 0.46,68
Marcel Schneider,2,- 1.07,87,- 0.27,74,- 1.39,82,- 0.67,85,- 0.05,58,0.88,8,- 0.51,69
Wesley Bryan,8,- 1.47,89,0.73,26,- 0.62,74,- 0.37,80,0.12,42,0.07,43,- 0.55,70
Andy Sullivan,2,0.40,34,- 0.97,84,- 2.26,89,- 0.28,76,- 1.64,93,1.30,3,- 0.56,71
David Skinns,4,- 1.60,90,0.54,34,- 1.74,85,- 0.53,81,- 0.68,85,1.18,4,- 0.56,72
Alexander Knappe,2,0.97,5,- 0.97,85,-,60,- 0.00,60,0.18,38,-0.54,73,- 0.56,73
Chase Hanna,4,0.79,12,0.04,60,0.39,45,0.42,25,- 0.44,77,-0.94,81,- 0.56,74
Nick Watney,6,- 0.65,80,0.26,44,- 0.68,75,- 0.20,71,- 0.23,67,-0.29,62,- 0.80,75
Stephen Stallings,14,0.87,6,- 0.62,77,- 0.20,65,0.13,51,- 0.45,78,-0.78,78,- 0.93,76
Scott Gutschewski,4,0.59,23,- 1.29,89,- 0.55,73,- 0.35,79,0.14,40,-0.43,68,- 0.98,77
Gavin Green,2,- 2.71,92,1.27,8,- 0.91,79,- 0.72,86,0.53,12,-0.10,51,- 1.01,78
Paul Haley,2,0.54,28,- 1.66,90,- 0.90,78,- 0.56,82,0.37,23,-0.63,76,- 1.06,79
Martin Trainer,8,- 1.03,86,- 1.16,86,- 1.88,86,- 1.09,91,0.39,21,0.79,12,- 1.07,80
Sebastian Garcia,6,- 1.14,88,- 0.92,82,- 2.10,87,- 1.03,90,- 0.01,53,0.73,13,- 1.22,81
Sung Kang,6,- 0.40,72,0.10,52,- 0.40,70,- 0.15,67,0.26,29,-1.07,86,- 1.28,82
Jacob Bridgeman,4,- 0.57,78,- 0.70,79,- 0.80,77,- 0.63,84,0.46,18,-0.50,70,- 1.31,83
Cooper Musselman,6,0.41,33,- 0.94,83,- 1.23,81,- 0.26,75,- 0.70,86,-0.12,52,- 1.34,84
Chesson Hadley,6,- 0.15,65,- 0.25,73,- 1.48,84,- 0.20,72,- 1.07,91,0.13,39,- 1.36,85
Zecheng Dou,5,- 0.53,77,0.08,56,- 0.47,72,- 0.23,74,- 0.02,54,-1.00,84,- 1.47,86
James Morrison,2,0.30,39,- 0.65,78,- 1.15,80,- 0.17,68,- 0.74,87,-0.81,79,- 1.56,87
Carl Yuan,2,- 0.46,75,- 0.76,80,- 1.45,83,- 0.61,83,- 0.17,66,-1.18,88,- 2.56,88
Sangmoon Bae,5,0.31,38,- 1.88,92,- 2.30,90,- 0.78,88,- 0.75,88,-0.25,59,- 3.29,89
Kyle Stanley,2,- 1.69,91,0.20,46,- 2.19,88,- 0.75,87,- 0.53,80,-1.87,91,- 3.56,90
Freddy Schott,2,- 0.42,73,- 3.70,93,- 4.72,93,- 2.06,92,- 0.61,83,0.66,15,- 4.06,91
Jeong Weon Ko,2,- 0.53,76,- 1.17,87,- 3.07,91,- 0.85,89,- 1.38,92,-1.14,87,- 4.06,92
Renato Paratore,2,- 3.22,93,- 1.85,91,- 4.19,92,- 2.53,93,0.88,3,-1.82,90,- 6.01,93
