Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Christiaan Bezuidenhout,4,0.66,13,0.63,24,1.06,22,0.65,8,- 0.23,91,2.11,1,3.17,1
Emiliano Grillo,4,1.09,4,0.77,15,2.13,1,0.93,3,0.28,37,1.03,10,3.17,2
Callum Tarren,4,0.67,12,0.76,17,1.59,8,0.71,7,0.16,51,1.08,9,2.67,3
Russell Henley,8,0.19,56,1.76,1,2.02,2,0.97,2,0.08,60,0.56,29,2.58,4
Lucas Glover,14,0.33,37,1.35,6,1.78,6,0.84,5,0.10,57,0.16,54,1.94,5
Dylan Frittelli,10,0.31,40,- 0.62,103,0.45,48,- 0.16,87,0.77,4,1.44,3,1.90,6
Matthias Schwab,4,0.34,36,0.61,25,0.64,39,0.48,23,- 0.31,99,1.02,12,1.67,7
Greyson Sigg,4,0.17,57,1.34,7,1.80,5,0.75,6,0.30,33,-0.14,74,1.67,8
Ryan Moore,22,0.22,51,0.87,11,0.93,30,0.55,18,- 0.18,86,0.73,21,1.66,9
Patton Kizzire,16,0.26,42,0.43,38,0.81,33,0.34,35,0.12,54,0.74,20,1.54,10
Adam Svensson,8,- 0.17,82,0.32,47,0.35,55,0.08,63,0.20,44,1.16,6,1.51,11
Patrick Rodgers,20,0.53,21,- 0.12,74,0.39,53,0.20,50,- 0.01,70,1.09,8,1.48,12
Scott Brown,20,- 0.03,72,0.80,13,0.66,36,0.38,27,- 0.11,80,0.79,18,1.45,13
Taylor Moore,4,0.39,31,- 0.42,91,0.60,41,- 0.02,73,0.63,10,0.82,15,1.42,14
David Lipsky,4,0.90,6,- 0.62,104,0.97,27,0.14,59,0.70,5,0.45,38,1.42,15
Chris Stroud,16,0.23,50,0.65,22,0.93,29,0.44,26,0.05,66,0.38,41,1.31,16
Will Gordon,4,0.95,5,0.20,59,1.54,9,0.58,14,0.39,25,-0.24,86,1.30,17
Seamus Power,16,0.25,47,0.23,55,0.65,37,0.24,45,0.18,49,0.63,26,1.28,18
Adam Long,12,0.25,45,0.48,32,1.04,24,0.37,30,0.31,32,0.23,48,1.28,19
Keith Mitchell,6,1.15,2,0.81,12,1.83,4,0.98,1,- 0.13,81,-0.56,100,1.27,20
Adam Hadwin,6,0.48,26,0.27,53,1.25,15,0.38,29,0.49,14,-0.01,67,1.23,21
Adam Schenk,11,0.05,62,0.29,51,0.62,40,0.17,54,0.28,35,0.60,27,1.22,22
Andrew Novak,4,0.26,43,0.46,34,0.00,70,0.36,33,- 0.72,117,1.17,5,1.17,23
Zach Johnson,24,0.13,58,0.55,29,1.02,25,0.34,36,0.34,28,0.11,60,1.13,24
Ben Martin,12,- 0.06,75,0.29,52,- 0.01,71,0.11,60,- 0.23,92,1.12,7,1.11,25
Martin Laird,12,0.51,22,0.69,20,1.21,16,0.60,13,0.01,69,-0.10,71,1.11,26
Alex Smalley,8,0.60,17,0.45,35,1.29,12,0.52,20,0.24,38,-0.18,77,1.11,27
Michael Gligic,6,0.83,8,0.44,36,0.76,35,0.63,11,- 0.51,109,0.32,43,1.09,28
Sam Ryder,16,- 0.18,83,0.32,46,0.05,66,0.07,64,- 0.09,78,1.01,13,1.07,29
Chesson Hadley,17,0.38,32,0.52,30,1.05,23,0.45,24,0.14,52,-0.06,68,0.99,30
Denny McCarthy,12,0.48,25,- 0.13,75,0.44,52,0.17,53,0.09,58,0.55,31,0.98,31
Nate Lashley,6,0.01,68,0.10,64,0.45,49,0.05,66,0.34,29,0.52,33,0.98,32
Hank Lebioda,10,- 0.03,74,0.22,57,- 0.08,78,0.09,61,- 0.26,96,1.02,11,0.94,33
Kevin Tway,16,0.53,20,- 0.45,92,0.13,64,0.04,68,0.05,65,0.80,17,0.94,34
Wesley Bryan,12,- 0.94,118,1.67,2,0.84,32,0.36,31,0.11,55,0.07,63,0.91,35
Henrik Norlander,10,- 0.00,69,- 0.04,70,0.15,62,- 0.02,74,0.19,45,0.71,22,0.86,36
Tyler Duncan,11,- 0.14,80,1.41,5,1.41,11,0.64,10,0.14,53,-0.56,98,0.85,37
Mark Hubbard,12,- 0.12,79,0.71,19,0.46,47,0.30,42,- 0.13,83,0.35,42,0.81,38
Scott Harrington,4,0.38,33,- 0.88,115,- 0.12,80,- 0.25,94,0.38,27,0.92,14,0.80,39
Jason Dufner,8,0.49,24,0.61,27,1.13,18,0.55,17,0.04,67,-0.36,89,0.77,40
Geoff Ogilvy,6,- 0.37,104,0.46,33,0.65,38,0.05,67,0.55,12,0.10,61,0.74,41
Chris Kirk,8,- 0.30,93,1.42,4,1.11,19,0.56,15,- 0.02,71,-0.38,93,0.73,42
Nick Hardy,12,0.43,28,0.21,58,0.96,28,0.32,39,0.33,31,-0.26,87,0.71,43
Derek Ernst,8,0.49,23,- 0.15,79,0.23,60,0.17,55,- 0.11,79,0.47,36,0.71,44
Luke List,12,0.72,10,0.24,54,1.42,10,0.48,22,0.46,16,-0.73,106,0.69,45
Chez Reavie,12,0.35,35,0.94,10,0.80,34,0.64,9,- 0.48,107,-0.12,73,0.68,46
Cameron Percy,14,0.05,63,0.32,48,0.47,45,0.18,52,0.11,56,0.21,50,0.68,47
Kevin Streelman,14,0.12,59,0.61,26,1.27,14,0.36,32,0.54,13,-0.60,101,0.67,48
Dylan Wu,4,- 0.19,84,1.46,3,1.67,7,0.63,12,0.40,22,-1.00,112,0.67,49
Andrew Landry,17,0.29,41,- 0.14,76,- 0.06,77,0.08,62,- 0.22,89,0.69,23,0.63,50
Jim Herman,6,0.46,27,0.30,50,0.14,63,0.38,28,- 0.62,115,0.49,34,0.63,51
Kyle Stanley,18,0.70,11,0.37,42,1.15,17,0.54,19,0.08,61,-0.53,96,0.62,52
Beau Hossler,6,0.07,61,- 1.45,120,- 0.69,98,- 0.69,115,0.69,6,1.24,4,0.55,53
Kelly Kraft,20,0.24,49,0.41,40,0.46,46,0.32,37,- 0.19,87,0.08,62,0.55,54
Stephan Jaeger,6,0.61,16,0.43,37,1.85,3,0.52,21,0.81,1,-1.32,117,0.53,55
Peter Malnati,22,- 0.35,101,- 0.40,88,- 0.31,87,- 0.38,103,0.44,20,0.81,16,0.49,56
J.T. Poston,16,0.31,38,- 0.52,98,0.23,61,- 0.11,85,0.44,19,0.20,51,0.43,57
Camilo Villegas,12,- 0.02,71,0.72,18,0.98,26,0.35,34,0.28,34,-0.56,99,0.42,58
Justin Lower,4,- 0.38,105,0.05,66,- 1.06,109,- 0.16,90,- 0.73,118,1.48,2,0.42,59
Richy Werenski,16,0.41,30,0.04,67,0.51,43,0.23,49,0.06,64,-0.11,72,0.41,60
Michael Kim,16,- 0.44,109,0.43,39,- 0.09,79,- 0.01,71,- 0.08,76,0.48,35,0.39,61
Robby Shelton,6,- 0.31,95,0.76,16,0.54,42,0.23,48,0.09,59,-0.24,85,0.30,62
Matt NeSmith,4,- 0.36,103,0.98,9,1.28,13,0.31,40,0.66,7,-0.97,111,0.30,63
Nick Watney,16,- 0.02,70,- 0.14,78,0.02,69,- 0.08,79,0.18,47,0.25,46,0.27,64
Jonathan Byrd,14,- 0.90,117,0.64,23,0.02,68,- 0.13,86,0.28,36,0.24,47,0.26,65
