Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Ludvig Aberg,4,1.27,1,0.88,6,1.57,10,1.07,2,-0.58,65,2.00,1,3.57,1
Scottie Scheffler,16,0.97,6,1.20,2,3.19,1,1.08,1,1.02,2,-0.14,46,3.04,2
Will Zalatoris,12,0.69,12,0.68,11,1.83,5,0.69,4,0.46,21,0.72,8,2.55,3
Collin Morikawa,16,0.48,19,1.01,4,1.87,3,0.75,3,0.38,24,0.37,23,2.22,4
Cameron Smith,16,-0.32,56,0.71,9,1.12,14,0.19,34,0.73,10,0.68,9,1.79,5
Xander Schauffele,14,0.29,31,0.79,7,1.72,7,0.54,12,0.63,14,0.06,37,1.76,6
Jon Rahm,16,0.96,7,0.39,24,1.77,6,0.67,5,0.42,23,-0.03,39,1.72,7
Patrick Reed,16,-0.15,48,0.17,31,0.53,31,0.01,46,0.51,19,1.15,4,1.66,8
Hideki Matsuyama,16,0.33,29,0.52,19,1.83,4,0.42,17,0.99,4,-0.22,50,1.60,9
Adam Schenk,4,0.38,26,0.41,23,1.06,15,0.39,20,0.28,27,0.51,13,1.57,10
Matthieu Pavon,4,1.04,3,-0.40,55,1.32,12,0.32,29,0.68,12,0.26,27,1.57,11
Shane Lowry,16,0.54,18,0.57,16,1.57,11,0.56,11,0.46,20,-0.21,49,1.35,12
Nicolai Hojgaard,4,0.24,34,-0.41,56,0.81,23,-0.09,50,0.99,3,0.51,14,1.32,13
Byeong Hun An,4,0.87,9,0.45,21,2.29,2,0.66,6,0.96,5,-0.97,65,1.32,14
Jordan Spieth,12,0.45,20,0.21,30,1.59,8,0.33,28,0.93,6,-0.25,52,1.32,15
Chris Kirk,8,-0.33,57,0.62,13,0.45,37,0.14,36,0.16,33,0.87,5,1.29,16
Robert MacIntyre,8,0.14,39,-0.24,50,0.57,29,-0.05,49,0.67,13,0.72,7,1.28,17
Phil Mickelson,12,0.21,38,0.77,8,0.96,18,0.49,15,-0.01,41,0.32,24,1.26,18
Cameron Young,10,1.11,2,-0.09,44,0.69,27,0.51,14,-0.33,60,0.51,15,1.18,19
Matt Fitzpatrick,16,0.90,8,0.14,34,0.70,25,0.52,13,-0.34,63,0.48,17,1.16,20
Russell Henley,12,0.08,40,0.06,38,0.69,26,0.07,42,0.55,16,0.47,20,1.15,21
J.J. Spaun,4,0.25,33,0.62,14,0.92,21,0.43,16,0.06,38,0.18,31,1.11,22
Keegan Bradley,8,-0.11,46,0.53,17,0.58,28,0.21,33,0.15,34,0.49,16,1.04,23
Tom Kim,8,0.21,37,1.03,3,1.13,13,0.62,9,-0.11,46,-0.07,41,1.04,24
Tommy Fleetwood,16,0.43,22,0.24,29,0.95,20,0.34,27,0.28,26,0.10,33,1.04,25
Viktor Hovland,14,0.68,13,0.12,35,0.52,32,0.40,18,-0.28,56,0.48,19,0.99,26
Rory McIlroy,12,1.00,5,-0.19,47,1.02,16,0.40,19,0.22,31,-0.09,43,0.92,27
Sahith Theegala,8,0.61,16,0.08,37,0.52,33,0.34,24,-0.17,50,0.42,22,0.92,28
Corey Conners,14,0.32,30,0.98,5,0.98,17,0.65,7,-0.33,59,-0.11,44,0.87,29
