Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Jon Rahm,17,0.48,15,1.06,6,2.11,3,0.77,4,0.56,9,0.74,12,2.84,1
Patrick Cantlay,28,0.69,5,1.24,5,2.36,1,0.96,2,0.43,20,0.38,27,2.74,2
Collin Morikawa,14,0.70,4,1.58,2,2.31,2,1.14,1,0.03,61,0.07,54,2.38,3
Scottie Scheffler,10,0.59,8,0.73,13,1.79,4,0.66,8,0.47,16,0.33,30,2.12,4
Davis Riley,4,-0.29,75,1.29,4,1.12,13,0.50,16,0.12,47,0.73,13,1.85,5
Sahith Theegala,8,0.30,34,0.83,11,1.47,7,0.56,11,0.34,26,0.22,38,1.69,6
M.J. Daffue,4,-0.96,101,0.57,25,-0.67,80,-0.19,70,-0.29,82,2.30,1,1.63,7
Garrick Higgo,4,0.10,48,1.68,1,0.79,25,0.89,3,-0.99,100,0.81,11,1.60,8
Xander Schauffele,22,0.44,20,1.00,8,1.51,5,0.72,6,0.06,53,0.09,53,1.59,9
Kevin Streelman,30,0.27,35,0.62,23,1.01,15,0.44,19,0.12,46,0.50,21,1.51,10
Rory McIlroy,22,0.61,7,0.51,28,1.00,16,0.56,12,-0.12,73,0.46,22,1.46,11
Jason Day,26,0.31,32,-0.53,81,0.38,41,-0.11,60,0.60,7,1.03,4,1.41,12
Matt Wallace,10,-0.06,60,-0.14,60,0.87,20,-0.10,59,1.07,1,0.52,19,1.39,13
Aaron Rai,4,-0.12,68,-1.32,99,-0.70,81,-0.72,95,0.74,4,2.05,2,1.35,14
Matt Kuchar,26,0.06,50,0.20,38,0.51,36,0.13,37,0.24,39,0.83,10,1.34,15
Rickie Fowler,28,0.46,19,0.11,45,1.11,14,0.28,29,0.55,12,0.16,43,1.27,16
Adam Scott,20,0.09,49,1.42,3,1.39,9,0.75,5,-0.11,72,-0.13,68,1.27,17
Jordan Spieth,28,0.21,39,-0.06,56,0.70,28,0.07,44,0.55,10,0.52,18,1.22,18
Russell Henley,14,0.18,41,0.72,15,1.48,6,0.45,18,0.57,8,-0.28,79,1.20,19
Billy Horschel,24,0.57,9,0.04,49,0.54,33,0.31,25,-0.07,67,0.65,17,1.19,20
Justin Thomas,24,0.36,29,0.73,14,1.19,12,0.55,13,0.10,48,-0.07,65,1.12,21
Shane Lowry,22,0.05,51,0.62,21,0.95,18,0.34,23,0.27,36,0.13,47,1.08,22
Chez Reavie,10,0.11,47,0.48,29,1.26,11,0.29,26,0.67,6,-0.27,78,0.99,23
Christiaan Bezuidenhout,8,-0.93,100,0.96,10,0.10,53,0.01,52,0.08,49,0.88,7,0.98,24
Gary Woodland,28,0.05,52,0.52,27,0.65,31,0.28,27,0.08,50,0.28,33,0.92,25
Jason Dufner,28,0.22,38,0.98,9,1.40,8,0.60,9,0.20,42,-0.51,91,0.89,26
Viktor Hovland,16,0.56,10,0.60,24,0.79,24,0.58,10,-0.37,86,0.07,55,0.86,27
Tyrrell Hatton,4,0.48,16,0.16,41,0.95,17,0.32,24,0.31,29,-0.14,70,0.81,28
Ben Martin,8,0.15,43,0.24,36,-0.07,59,0.20,32,-0.46,91,0.86,8,0.79,29
Byeong Hun An,22,0.03,55,0.29,35,0.51,35,0.16,34,0.19,43,0.26,34,0.78,30
Matt Fitzpatrick,16,0.43,22,0.11,44,0.80,23,0.27,30,0.25,38,-0.05,64,0.75,31
Lucas Herbert,8,-0.06,59,-0.43,77,-0.02,57,-0.24,74,0.47,15,0.70,14,0.69,32
Sam Ryder,10,0.64,6,0.75,12,0.85,21,0.70,7,-0.54,93,-0.18,73,0.67,33
Denny McCarthy,12,-0.37,83,-0.89,89,-0.26,65,-0.63,91,1.01,2,0.90,6,0.65,34
Emiliano Grillo,26,0.50,14,0.07,47,0.64,32,0.28,28,0.07,51,-0.05,63,0.60,35
Si Woo Kim,29,-0.05,58,0.01,53,0.43,39,-0.02,54,0.47,14,0.10,49,0.53,36
Corey Conners,20,0.47,18,0.42,32,0.48,38,0.44,20,-0.40,88,0.02,60,0.50,37
Danny Willett,14,-0.30,78,0.06,48,0.14,51,-0.12,62,0.38,23,0.36,28,0.50,38
Zach Johnson,16,-0.32,80,0.63,20,0.71,27,0.16,35,0.39,22,-0.21,76,0.49,39
Hideki Matsuyama,24,0.37,28,0.64,19,1.32,10,0.50,15,0.31,28,-0.89,97,0.42,40
Brian Harman,16,0.39,25,-0.14,61,0.31,43,0.12,39,0.06,52,0.10,51,0.41,41
Martin Laird,16,0.05,54,-0.10,58,-0.01,56,-0.03,55,0.04,58,0.39,26,0.38,42
Adam Svensson,4,0.26,36,-0.18,63,0.07,54,0.04,47,-0.02,65,0.28,31,0.35,43
Adam Schenk,12,0.30,33,0.68,17,0.80,22,0.49,17,-0.18,77,-0.46,87,0.35,44
David Lipsky,8,-0.29,76,0.21,37,0.70,29,-0.04,57,0.78,3,-0.37,85,0.33,45
