Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Tony Finau,8,1.04,6,1.78,1,3.69,1,1.41,1,0.87,4,0.36,31,4.05,1
Brandon Wu,8,1.03,7,0.50,28,1.63,5,0.77,11,0.09,40,1.80,2,3.43,2
Davis Riley,4,0.79,14,- 0.57,62,0.59,39,0.11,48,0.37,20,2.35,1,2.94,3
Cameron Champ,8,1.33,2,0.44,32,1.44,9,0.89,4,- 0.33,56,1.10,6,2.55,4
Ben Taylor,4,- 0.55,70,1.03,16,0.72,35,0.24,41,0.24,28,1.69,3,2.41,5
Patrick Rodgers,8,1.08,4,0.34,38,1.21,11,0.71,14,- 0.13,45,1.05,7,2.30,6
Harry Hall,4,0.63,19,- 0.29,55,1.17,14,0.17,45,0.87,5,0.94,10,2.16,7
Alejandro Tosti,4,0.38,33,1.29,10,1.71,4,0.83,7,0.15,36,0.36,29,2.16,8
Emiliano Grillo,8,0.33,34,1.30,8,1.02,22,0.81,8,- 0.61,70,0.90,11,1.93,9
Jimmy Walker,4,0.16,40,0.22,42,0.99,25,0.19,44,0.64,12,0.90,12,1.91,10
Carson Young,4,1.28,3,0.53,25,1.45,8,0.91,3,- 0.36,59,0.45,25,1.91,11
Adam Long,8,0.39,32,0.43,34,1.03,21,0.41,27,0.25,25,0.60,19,1.68,12
Stephan Jaeger,8,- 0.41,65,1.29,9,1.77,2,0.44,25,0.93,3,-0.13,48,1.68,13
Vincent Norrman,4,0.77,16,0.49,30,1.47,7,0.63,18,0.24,27,0.16,39,1.66,14
Joseph Bramlett,6,0.79,15,0.54,24,1.74,3,0.66,17,0.43,17,-0.29,54,1.47,15
Nate Lashley,8,0.16,41,0.49,29,0.58,40,0.32,35,0.04,43,0.73,17,1.43,16
Francesco Molinari,4,- 0.19,52,0.08,47,- 0.00,49,- 0.06,53,0.19,32,1.34,4,1.41,17
Kevin Chappell,4,0.46,30,0.35,37,0.61,38,0.40,28,- 0.15,49,0.75,15,1.41,18
Seonghyeon Kim,4,0.90,10,- 0.41,59,1.12,15,0.24,40,0.67,10,0.35,32,1.41,19
Greyson Sigg,8,0.18,39,0.85,18,1.62,6,0.52,20,0.67,8,-0.36,55,1.30,20
Martin Trainer,6,0.04,45,- 0.04,50,0.48,42,0.00,51,0.48,15,0.81,13,1.29,21
C.T. Pan,4,0.61,21,0.42,35,0.79,33,0.52,21,- 0.24,54,0.41,28,1.19,22
David Lipsky,8,- 0.09,49,1.62,3,1.00,24,0.76,12,- 0.53,66,0.17,38,1.18,23
Michael Kim,4,- 0.16,50,0.16,44,0.40,44,- 0.00,52,0.42,18,0.74,16,1.16,24
Taylor Pendrith,4,- 0.36,61,1.09,15,0.67,37,0.37,30,0.02,44,0.41,27,1.16,25
Dylan Wu,6,0.31,35,0.37,36,0.82,32,0.34,32,0.16,34,0.28,33,1.14,26
Alex Smalley,6,0.84,12,0.85,19,0.98,26,0.84,6,- 0.71,71,0.13,42,1.12,27
Chez Reavie,8,- 0.32,58,0.53,26,0.28,45,0.11,49,0.09,41,0.76,14,1.05,28
Austin Smotherman,8,0.14,42,1.20,11,0.92,28,0.67,16,- 0.42,62,0.13,41,1.05,29
Mark Hubbard,8,- 0.31,57,0.79,20,1.06,19,0.24,42,0.64,11,-0.05,46,1.05,30
Andrew Novak,8,- 0.49,69,1.40,5,1.25,10,0.46,23,0.39,19,-0.36,56,0.93,31
Ryan Moore,4,0.19,38,0.34,39,0.87,30,0.26,38,0.44,16,-0.04,45,0.91,32
Erik Van Rooyen,4,0.11,43,1.31,7,1.04,20,0.71,13,- 0.38,60,-0.13,47,0.91,33
Nicolai Hojgaard,4,0.39,31,1.19,12,1.11,17,0.79,9,- 0.40,61,-0.28,53,0.91,34
Scott Piercy,8,- 0.44,66,0.94,17,0.18,46,0.25,39,- 0.28,55,0.59,20,0.80,35
Ben Kohles,4,0.56,25,0.12,45,0.15,47,0.34,33,- 0.53,68,0.55,22,0.69,36
Lanto Griffin,8,0.83,13,0.73,21,0.95,27,0.78,10,- 0.61,69,-0.40,57,0.55,37
Aaron Rai,6,0.59,22,0.28,40,1.11,16,0.44,26,0.35,22,-0.85,64,0.46,38
David Skinns,4,0.02,48,0.52,27,0.69,36,0.27,37,0.15,35,-0.25,52,0.44,39
Zecheng Dou,4,0.59,23,- 1.34,72,- 0.40,55,- 0.37,63,0.36,21,0.53,23,0.16,40
Austin Eckroat,4,0.87,11,- 0.11,51,- 0.04,50,0.38,29,- 0.79,73,0.19,36,0.16,41
Doug Ghim,6,0.64,18,0.59,23,1.09,18,0.61,19,- 0.14,47,-0.96,69,0.12,42
Scott Stallings,2,- 0.40,64,1.12,13,0.77,34,0.36,31,0.05,42,-0.69,63,0.08,43
Paul Barjon,2,0.48,29,1.57,4,1.00,23,1.02,2,- 1.05,76,-0.92,67,0.08,44
Patton Kizzire,2,1.36,1,- 1.64,75,- 0.90,62,- 0.14,56,- 0.21,53,0.20,35,- 0.02,45
Omar Morales,2,0.58,24,- 0.73,64,- 0.28,53,- 0.07,54,0.11,38,-0.19,49,- 0.02,46
Aaron Baddeley,6,- 1.03,77,- 0.53,61,- 1.09,68,- 0.78,74,0.53,14,1.00,8,- 0.03,47
Carl Yuan,4,0.24,36,0.22,41,0.10,48,0.23,43,- 0.34,58,-0.23,51,- 0.09,48
Charley Hoffman,4,0.53,26,0.47,31,1.18,13,0.50,22,0.26,24,-1.35,73,- 0.09,49
Sebastian Vazquez,4,0.52,27,- 0.37,58,1.19,12,0.07,50,1.12,2,-1.36,74,- 0.09,50
Alvaro Ortiz,6,- 0.49,68,- 0.30,56,- 0.63,57,- 0.40,64,0.16,33,0.42,26,- 0.21,51
Justin Lower,4,- 0.31,56,- 0.49,60,- 0.99,65,- 0.40,65,- 0.19,52,0.68,18,- 0.31,52
Maverick McNealy,4,- 0.82,75,- 0.57,63,- 1.29,73,- 0.69,71,0.10,39,0.95,9,- 0.34,53
