Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Matthias Schwab,2,- 0.36,97,0.34,49,1.37,18,- 0.01,62,1.39,2,2.10,3,3.48,1
Kevin Streelman,14,0.46,26,1.61,3,2.12,4,1.04,4,0.05,59,0.75,17,2.87,2
Matthew NeSmith,6,0.27,42,1.31,7,2.04,6,0.79,10,0.46,19,0.82,13,2.87,3
Taylor Moore,2,0.46,27,0.16,64,1.37,19,0.31,39,0.75,8,1.34,4,2.71,4
Austin Smotherman,2,0.05,66,1.60,4,1.61,12,0.82,8,- 0.04,68,1.10,5,2.71,5
Maverick McNealy,8,0.43,29,0.51,37,1.82,7,0.47,23,0.88,6,0.80,14,2.62,6
Nate Lashley,8,0.47,25,0.85,19,1.82,8,0.66,12,0.50,17,0.66,22,2.48,7
Jordan Spieth,15,- 0.02,72,1.07,11,1.62,11,0.53,18,0.57,11,0.70,20,2.33,8
Zecheng Dou,2,- 0.07,81,2.39,1,1.69,10,1.16,1,- 0.63,115,0.49,30,2.18,9
Fabian Gomez,4,0.57,19,1.18,9,2.11,5,0.87,6,0.36,29,0.06,58,2.17,10
Alex Smalley,1,0.33,35,0.35,48,1.39,17,0.34,36,0.71,9,0.71,18,2.10,11
William McGirt,4,0.23,46,0.46,40,1.20,21,0.34,35,0.51,15,0.83,12,2.02,12
Harry Higgs,3,0.28,40,0.80,21,0.87,29,0.54,17,- 0.20,82,1.07,6,1.94,13
Troy Merritt,11,0.32,37,0.60,30,1.01,26,0.46,26,0.10,57,0.84,11,1.86,14
David Lipsky,2,- 0.49,105,- 0.52,97,- 1.53,115,- 0.51,110,- 0.52,111,3.24,1,1.71,15
Vaughn Taylor,12,0.27,41,0.68,28,1.74,9,0.48,21,0.79,7,-0.09,69,1.66,16
Michael Kim,2,0.68,13,1.07,10,1.47,13,0.88,5,- 0.28,94,0.14,53,1.61,17
Russell Knox,11,0.45,28,0.94,15,1.39,15,0.69,11,0.00,66,0.21,48,1.60,18
Scott Stallings,11,- 0.18,87,1.02,12,0.98,27,0.42,31,0.13,54,0.62,23,1.59,19
Kevin Tway,3,- 0.05,79,- 0.14,74,0.88,28,- 0.10,77,1.07,4,0.67,21,1.55,20
Trey Mullinax,8,0.66,14,0.25,57,1.01,25,0.46,27,0.10,56,0.40,37,1.41,21
Jimmy Walker,11,- 0.42,102,0.84,20,0.32,47,0.21,49,- 0.10,74,0.94,9,1.26,22
Doug Ghim,5,0.64,15,0.28,54,1.39,16,0.46,24,0.46,20,-0.21,75,1.18,23
Nick Taylor,14,0.07,62,0.41,41,0.84,31,0.24,45,0.35,31,0.32,40,1.16,24
Justin Suh,1,- 1.28,121,- 0.53,98,- 1.51,114,- 0.90,120,0.30,34,2.64,2,1.14,25
Seamus Power,8,- 0.02,71,- 0.06,71,0.35,44,- 0.04,73,0.42,23,0.75,16,1.10,26
J.B. Holmes,9,0.19,51,0.97,13,1.29,20,0.58,14,0.14,53,-0.20,74,1.10,27
Brian Gay,13,0.04,67,- 0.27,82,- 0.08,69,- 0.12,80,0.16,49,1.07,7,0.99,28
Lucas Glover,7,- 0.09,86,0.66,29,0.22,55,0.28,42,- 0.35,102,0.78,15,0.99,29
Ted Potter,6,- 0.02,73,0.93,17,0.77,32,0.45,28,- 0.14,77,0.20,49,0.97,30
Arjun Atwal,1,0.48,23,1.83,2,3.91,1,1.15,2,1.60,1,-2.95,121,0.96,31
Keith Mitchell,8,0.62,17,0.38,45,0.49,39,0.50,20,- 0.52,110,0.41,33,0.89,32
Lanto Griffin,5,- 0.41,100,0.37,47,0.36,42,- 0.02,68,0.41,25,0.53,27,0.89,33
Henrik Norlander,8,0.84,6,0.02,67,1.15,22,0.43,30,0.29,36,-0.31,77,0.84,34
Charley Hoffman,7,1.03,4,- 0.15,75,1.09,23,0.44,29,0.21,42,-0.33,78,0.76,35
Adam Schenk,6,0.05,64,0.78,23,- 0.11,71,0.41,33,- 0.93,120,0.87,10,0.76,36
Tom Hoge,13,0.24,44,0.26,55,0.20,56,0.25,44,- 0.31,97,0.56,25,0.76,37
Bill Haas,5,0.24,45,0.20,63,0.46,40,0.22,48,0.02,62,0.25,44,0.71,38
Brian Stuard,11,- 0.07,82,0.53,33,0.63,34,0.23,46,0.18,46,0.02,63,0.65,39
Ryan Armour,10,0.16,52,0.22,61,0.30,48,0.19,51,- 0.08,72,0.32,41,0.62,40
Brendon Todd,5,- 0.05,77,- 0.25,80,0.13,57,- 0.15,84,0.42,24,0.45,31,0.57,41
Matt Fitzpatrick,5,0.15,54,- 0.23,79,- 0.08,70,- 0.04,75,0.01,65,0.52,28,0.44,42
Kelly Kraft,8,- 0.05,76,0.96,14,0.22,54,0.46,25,- 0.70,117,0.14,54,0.36,43
Andrew Putnam,8,- 0.25,92,- 0.39,90,- 0.19,78,- 0.32,99,0.45,21,0.54,26,0.34,44
Satoshi Kodaira,4,0.54,21,- 0.55,100,0.29,50,- 0.01,63,0.31,33,0.04,59,0.34,45
Kevin Kisner,8,0.32,38,0.69,27,0.50,38,0.50,19,- 0.51,109,-0.17,71,0.33,46
Jason Dufner,7,0.20,49,0.32,52,0.68,33,0.26,43,0.15,51,-0.38,83,0.29,47
Luke Donald,10,- 0.53,109,0.11,66,- 0.14,73,- 0.21,91,0.28,37,0.42,32,0.28,48
Cameron Percy,8,0.22,47,- 0.57,102,- 0.15,75,- 0.18,89,0.20,43,0.40,35,0.25,49
Dylan Wu,2,- 1.02,117,0.34,50,- 0.82,102,- 0.34,100,- 0.15,78,1.03,8,0.21,50
Will Gordon,3,0.63,16,- 0.63,105,0.08,61,0.00,60,0.08,58,0.10,57,0.18,51
