Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Scottie Scheffler,18,1.05,2,1.13,3,2.14,1,1.09,1,- 0.04,58,0.77,10,2.91,1
Sahith Theegala,12,0.44,21,0.36,28,1.10,10,0.40,17,0.31,23,1.08,3,2.17,2
Andrew Novak,4,- 0.09,63,1.31,2,1.27,6,0.61,5,0.04,45,0.80,9,2.07,3
Justin Thomas,32,0.50,16,1.06,4,1.74,3,0.78,2,0.17,30,0.26,37,1.99,4
Hideki Matsuyama,33,0.43,23,0.89,8,1.88,2,0.66,3,0.57,6,0.04,56,1.89,5
Rickie Fowler,30,- 0.13,70,0.77,11,0.99,13,0.32,29,0.35,19,0.72,15,1.72,6
Kurt Kitayama,8,0.63,12,0.02,59,0.68,27,0.32,28,0.03,49,0.96,6,1.64,7
Matt Fitzpatrick,12,0.58,14,0.21,38,1.26,7,0.39,20,0.48,8,0.32,33,1.59,8
Webb Simpson,26,- 0.10,64,0.96,5,1.25,8,0.43,14,0.40,13,0.22,39,1.47,9
Jordan Spieth,24,0.08,53,0.91,7,1.39,5,0.50,11,0.40,14,-0.07,63,1.32,10
Sungjae Im,20,0.49,18,0.06,54,1.15,9,0.27,33,0.61,5,0.16,46,1.27,11
Sam Burns,18,0.16,44,0.63,17,0.46,34,0.39,19,- 0.32,84,0.77,11,1.24,12
Matt Kuchar,28,- 0.01,61,0.09,51,0.36,42,0.04,54,0.32,21,0.84,8,1.23,13
Taylor Moore,8,0.30,31,0.83,9,1.48,4,0.56,7,0.35,18,-0.33,82,1.14,14
Maverick Mcnealy,5,- 0.29,84,0.35,29,0.96,14,0.03,55,0.84,3,0.05,53,1.13,15
Max Homa,22,0.19,42,0.52,24,0.69,26,0.35,24,- 0.01,55,0.41,29,1.10,16
Byeong Hun An,24,0.13,47,0.55,22,1.03,11,0.34,26,0.36,17,0.04,55,1.07,17
Billy Horschel,36,0.42,24,- 0.09,65,0.28,49,0.17,41,- 0.05,60,0.71,16,1.01,18
Daniel Berger,26,0.32,28,0.08,52,0.18,52,0.20,36,- 0.22,74,0.73,14,0.91,19
Charley Hoffman,34,0.25,35,0.48,26,0.66,28,0.36,23,- 0.06,61,0.21,40,0.87,20
J.T. Poston,20,0.03,58,0.29,34,0.37,41,0.16,43,0.06,41,0.53,20,0.86,21
Thomas Detry,4,0.95,5,- 0.69,94,0.06,60,0.13,45,- 0.20,71,0.76,12,0.82,22
Jake Knapp,4,- 0.63,95,0.72,13,0.08,59,0.04,53,- 0.01,53,0.74,13,0.82,23
Ben Griffin,4,- 0.33,87,- 0.09,64,0.33,45,- 0.21,77,0.76,4,0.48,24,0.82,24
Sam Stevens,4,0.97,4,- 0.20,73,0.37,40,0.38,21,- 0.40,91,0.45,26,0.82,25
Adam Hadwin,34,0.19,41,- 0.15,70,0.45,36,0.02,57,0.41,12,0.36,32,0.81,26
Tom Hoge,22,- 0.22,78,0.61,18,0.34,43,0.20,38,- 0.05,59,0.40,30,0.75,27
Doug Ghim,10,0.33,27,0.68,15,1.00,12,0.50,10,0.02,51,-0.32,80,0.71,28
Gary Woodland,28,- 0.09,62,0.72,12,0.52,33,0.32,31,- 0.11,66,0.17,45,0.69,29
Tom Kim,8,- 0.41,91,0.67,16,0.16,55,0.13,44,- 0.08,62,0.51,21,0.64,30
Corey Conners,20,0.85,7,0.13,47,0.75,21,0.49,12,- 0.23,77,-0.14,67,0.61,31
Cameron Young,12,0.94,6,- 0.15,69,0.32,47,0.40,18,- 0.48,96,0.27,35,0.59,32
Kyoung-hoon Lee,16,0.30,30,- 0.31,75,0.45,35,- 0.01,61,0.47,9,0.13,48,0.58,33
Chris Kirk,26,0.06,56,0.58,21,0.84,18,0.32,30,0.20,28,-0.27,79,0.57,34
Keith Mitchell,22,0.98,3,0.03,56,0.76,20,0.51,8,- 0.26,79,-0.24,74,0.52,35
Nick Taylor,28,0.20,40,0.17,42,0.70,25,0.19,40,0.32,20,-0.18,70,0.51,36
Wyndham Clark,20,- 0.55,93,0.61,19,0.30,48,0.03,56,0.24,27,0.20,41,0.50,37
Chez Reavie,22,0.11,49,0.04,55,0.32,46,0.08,50,0.17,31,0.12,49,0.50,38
Nate Lashley,16,0.06,55,0.34,30,0.66,29,0.20,37,0.26,26,-0.15,68,0.50,39
Brian Harman,32,0.26,33,- 0.59,91,0.04,61,- 0.16,74,0.36,16,0.44,27,0.48,40
Brendon Todd,18,- 0.55,94,- 0.64,92,- 0.93,87,- 0.60,95,0.26,25,1.39,2,0.46,41
J.J. Spaun,16,0.12,48,0.69,14,0.39,39,0.41,16,- 0.43,93,0.07,52,0.46,42
Bud Cauley,18,- 0.15,72,0.60,20,0.42,37,0.23,35,- 0.03,57,-0.01,61,0.41,43
Davis Thompson,6,0.04,57,0.18,40,0.34,44,0.11,48,0.11,38,0.03,59,0.37,44
Beau Hossler,24,0.24,36,- 0.48,85,- 0.21,68,- 0.12,68,0.04,46,0.56,19,0.35,45
Ryan Fox,4,- 0.86,102,0.16,43,- 1.18,91,- 0.35,84,- 0.48,95,1.49,1,0.32,46
Harry Hall,4,0.34,26,- 0.34,79,0.14,57,0.00,60,0.14,35,0.17,44,0.32,47
Sami Valimaki,4,- 0.12,69,1.36,1,0.57,31,0.62,4,- 0.68,98,-0.25,75,0.32,48
Carson Young,4,0.00,60,0.91,6,0.95,15,0.46,13,0.03,50,-0.63,97,0.32,49
Luke List,26,0.45,20,0.25,36,0.76,19,0.35,25,0.06,42,-0.47,87,0.29,50
Sam Ryder,22,- 0.15,73,0.31,32,- 0.00,64,0.08,51,- 0.15,69,0.23,38,0.23,51
Patrick Rodgers,22,0.70,9,- 0.56,90,0.18,53,0.07,52,0.05,44,0.04,54,0.18,52
Andrew Putnam,14,- 0.54,92,0.02,58,- 0.23,71,- 0.26,78,0.31,24,0.37,31,0.16,53
Mark Hubbard,22,- 0.12,68,0.13,49,- 0.01,65,0.00,59,- 0.02,56,0.17,43,0.16,54
Eric Cole,4,- 0.11,67,0.29,35,- 0.21,70,0.09,49,- 0.39,90,0.28,34,0.07,55
Lucas Glover,22,0.17,43,0.15,44,0.22,51,0.16,42,- 0.10,65,-0.16,69,0.06,56
Ben Silverman,6,0.39,25,0.19,39,0.58,30,0.29,32,- 0.01,52,-0.59,96,- 0.02,57
Michael Kim,18,0.30,32,0.08,53,0.01,63,0.19,39,- 0.36,89,-0.09,65,- 0.08,58
Trey Mullinax,10,1.13,1,- 0.90,97,0.15,56,0.12,47,- 0.08,63,-0.25,76,- 0.10,59
Kevin Streelman,22,0.11,50,0.14,46,0.41,38,0.12,46,0.16,32,-0.52,91,- 0.11,60
Emiliano Grillo,30,0.50,17,0.24,37,0.53,32,0.37,22,- 0.22,73,-0.64,99,- 0.11,61
Ryan Palmer,22,0.67,10,0.18,41,0.72,23,0.42,15,- 0.12,67,-0.84,100,- 0.13,62
Taylor Montgomery,6,- 1.26,106,0.32,31,- 0.64,79,- 0.47,94,0.32,22,0.49,23,- 0.13,63
Denny McCarthy,18,- 0.11,66,0.02,60,- 0.18,67,- 0.05,67,- 0.09,64,0.15,47,- 0.14,64
Kevin Kisner,12,- 0.26,82,- 0.00,61,- 0.60,78,- 0.13,70,- 0.35,87,0.46,25,- 0.15,65
Erik van Rooyen,8,- 0.35,88,0.31,33,0.01,62,- 0.02,64,0.05,43,-0.20,72,- 0.18,66
Patton Kizzire,30,- 0.22,79,- 0.13,68,- 0.68,81,- 0.17,75,- 0.33,86,0.49,22,- 0.19,67
Camilo Villegas,14,- 0.97,103,0.13,48,- 0.30,73,- 0.42,90,0.54,7,0.03,57,- 0.26,68
Brice Garnett,12,0.01,59,- 0.55,88,- 0.39,75,- 0.27,80,0.15,34,0.08,51,- 0.31,69
Nick Hardy,8,0.15,45,- 0.79,95,- 0.21,69,- 0.32,83,0.44,10,-0.11,66,- 0.31,70
Henrik Norlander,6,0.23,38,- 0.55,89,- 0.25,72,- 0.16,73,0.08,39,-0.08,64,- 0.32,71
Brandt Snedeker,18,- 0.76,98,0.03,57,- 0.74,82,- 0.37,86,- 0.01,54,0.41,28,- 0.33,72
Ryo Hisatsune,2,0.20,39,- 0.46,83,0.88,17,- 0.13,71,1.14,1,-1.29,103,- 0.41,73
Seamus Power,12,0.31,29,- 0.34,78,0.10,58,- 0.01,62,0.14,36,-0.52,90,- 0.42,74
Si woo Kim,30,- 0.16,74,- 0.40,82,- 0.16,66,- 0.28,81,0.39,15,-0.26,77,- 0.42,75
Christiaan Bezuidenhout,6,- 0.40,90,0.42,27,0.17,54,0.01,58,0.15,33,-0.64,98,- 0.47,76
Adam Schenk,18,0.07,54,- 0.33,76,- 0.55,77,- 0.13,69,- 0.29,82,0.03,58,- 0.52,77
