Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Ludvig Aberg,4,1.01,4,1.45,2,3.09,1,1.23,1,0.63,8,-0.30,90,2.78,1
Scottie Scheffler,14,0.81,10,0.80,11,2.32,2,0.80,3,0.72,4,0.15,42,2.47,2
Victor Perez,4,0.59,20,0.41,37,1.51,5,0.50,15,0.52,11,0.61,12,2.13,3
Hideki Matsuyama,24,0.63,16,0.95,5,1.63,4,0.79,4,0.04,53,0.20,38,1.84,4
Jason Day,30,0.31,37,0.27,43,1.23,16,0.29,36,0.65,7,0.36,29,1.60,5
Si woo Kim,29,0.53,26,0.42,35,1.42,7,0.47,18,0.47,13,0.07,52,1.50,6
Christiaan Bezuidenhout,12,- 0.16,87,0.77,13,0.84,27,0.30,33,0.23,34,0.65,9,1.49,7
Xander Schauffele,18,- 0.06,76,0.53,25,1.29,11,0.24,42,0.79,3,0.14,45,1.44,8
Tommy Fleetwood,26,0.57,21,0.40,39,1.28,12,0.48,17,0.32,23,0.15,43,1.44,9
Justin Thomas,29,0.20,50,0.90,8,1.49,6,0.55,10,0.34,20,-0.17,80,1.31,10
Matti Schmid,4,0.56,22,0.23,46,0.80,30,0.39,21,0.01,57,0.48,18,1.28,11
Joel Dahmen,18,0.23,44,0.82,9,1.39,8,0.53,11,0.29,27,-0.14,76,1.26,12
Corey Conners,18,0.61,18,0.67,18,1.25,14,0.64,8,- 0.04,65,0.00,58,1.25,13
Viktor Hovland,14,0.86,8,1.16,3,1.11,21,1.01,2,- 0.92,115,0.06,53,1.19,14
Aaron Rai,8,0.69,13,0.69,17,1.27,13,0.69,7,- 0.11,74,-0.09,70,1.18,15
Adam Scott,30,- 0.07,78,0.22,47,0.57,39,0.08,58,0.38,14,0.53,15,1.10,16
Shane Lowry,28,0.18,51,0.64,20,1.07,22,0.41,20,0.23,33,-0.02,62,1.06,17
Sungjae Im,18,0.68,14,0.01,58,0.93,26,0.34,26,0.24,32,0.09,49,1.03,18
Erik Van Rooyen,6,- 0.24,95,1.68,1,1.75,3,0.72,6,0.30,26,-0.73,108,1.02,19
Justin Rose,24,0.59,19,- 0.16,73,0.80,29,0.22,44,0.37,16,0.19,39,1.00,20
Daniel Berger,24,- 0.04,73,0.44,32,0.60,38,0.20,46,0.20,35,0.38,25,0.98,21
Brian Harman,30,0.69,12,- 0.18,75,0.66,35,0.26,40,0.13,43,0.31,30,0.97,22
Doug Ghim,14,- 0.03,72,0.72,16,1.04,23,0.35,25,0.35,19,-0.07,65,0.97,23
Keegan Bradley,28,0.23,45,0.74,14,1.15,19,0.48,16,0.12,44,-0.17,81,0.96,24
Rory McIlroy,26,0.63,17,0.56,23,1.32,10,0.59,9,0.13,41,-0.37,92,0.95,25
Tom Hoge,23,- 0.28,96,0.91,7,0.61,36,0.32,31,- 0.02,62,0.31,31,0.93,26
Min Woo Lee,8,0.96,5,- 1.27,109,- 0.04,60,- 0.16,80,0.27,30,0.96,3,0.93,27
Max Homa,14,0.05,67,0.98,4,1.02,24,0.51,13,- 0.02,61,-0.13,74,0.90,28
Sepp Straka,14,0.34,34,0.40,38,0.75,33,0.37,24,- 0.07,71,0.09,50,0.83,29
Matt Fitzpatrick,24,0.34,36,- 0.20,79,0.22,49,0.07,59,0.00,59,0.62,11,0.82,30
Ryan Fox,6,- 0.05,75,0.02,57,- 0.18,66,- 0.02,65,- 0.19,83,0.82,6,0.67,31
Ben Griffin,6,- 0.66,105,0.43,33,0.51,41,- 0.11,73,0.71,5,0.14,44,0.67,32
Adam Svensson,6,0.43,30,0.18,48,1.18,18,0.30,34,0.55,10,-0.54,98,0.67,33
Collin Morikawa,14,0.48,27,0.56,21,1.14,20,0.52,12,0.08,50,-0.49,96,0.66,34
Brice Garnett,18,0.37,32,- 0.03,63,0.32,45,0.17,51,- 0.01,60,0.31,32,0.64,35
Kurt Kitayama,6,0.12,62,0.56,22,0.61,37,0.34,27,- 0.39,95,0.08,51,0.61,36
Adam Hadwin,28,0.14,59,- 0.11,69,0.13,53,0.01,64,0.10,47,0.46,19,0.60,37
Tom Kim,4,0.95,6,- 0.17,74,0.73,34,0.39,22,- 0.35,94,-0.09,69,0.57,38
Denny McCarthy,20,- 0.09,82,- 0.21,81,- 0.29,73,- 0.15,78,0.01,56,0.84,5,0.56,39
Eric Cole,6,- 0.09,81,- 0.09,66,- 0.16,65,- 0.09,70,- 0.11,73,0.65,8,0.50,40
Chris Kirk,25,0.35,33,0.26,44,1.00,25,0.31,32,0.32,24,-0.49,97,0.49,41
Wyndham Clark,13,0.22,46,- 0.51,92,0.03,57,- 0.14,76,0.30,25,0.30,34,0.42,42
Matt Kuchar,23,0.00,70,0.46,30,0.79,31,0.23,43,0.33,22,-0.38,93,0.42,43
