Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Seonghyeon Kim,8,0.70,7,0.36,35,0.92,13,0.53,10,-0.13,83,1.46,2,2.38,1
Sahith Theegala,16,0.30,37,0.42,29,1.05,10,0.36,21,0.33,22,1.09,6,2.15,2
Taylor Montgomery,6,-0.60,116,0.10,56,-0.33,97,-0.25,102,0.17,40,1.62,1,1.57,3
Brendon Todd,18,-0.09,85,0.77,8,0.62,29,0.34,22,-0.07,75,0.82,9,1.44,4
Matt Kuchar,14,0.03,67,0.19,52,0.73,23,0.11,57,0.52,13,0.62,15,1.35,5
Daniel Berger,8,0.42,22,-0.45,105,0.06,67,-0.02,76,0.09,54,1.29,3,1.35,6
Eric Cole,6,0.22,41,0.89,6,1.67,3,0.55,7,0.56,11,-0.42,91,1.25,7
Jimmy Walker,4,0.13,53,1.69,1,2.02,2,0.91,1,0.21,36,-0.82,112,1.20,8
Danny Willett,8,0.14,52,0.50,23,0.98,12,0.32,25,0.32,23,0.1,53,1.16,9
Stewart Cink,10,0.06,64,0.69,11,0.83,15,0.37,18,0.09,56,0.28,38,1.16,10
Tim Wilkinson,4,0.06,63,0.20,50,1.23,6,0.13,52,0.97,1,-0.09,65,1.14,11
Bill Haas,16,-0.07,82,0.32,39,1.10,9,0.13,53,0.85,3,0.01,58,1.11,12
Chez Reavie,34,0.15,50,1.01,4,1.28,4,0.58,6,0.12,48,-0.18,76,1.09,13
Max Homa,22,0.42,21,0.22,48,0.44,41,0.32,26,-0.20,91,0.65,14,1.09,14
Bud Cauley,20,0.20,45,0.27,44,1.25,5,0.23,40,0.78,4,-0.17,74,1.09,15
Brandt Snedeker,20,-0.10,88,-0.14,88,-0.06,79,-0.12,95,0.19,37,1.11,5,1.06,16
Ryan Moore,22,0.33,32,0.63,16,0.83,17,0.48,14,-0.13,82,0.11,52,0.95,17
Tom Hoge,24,0.12,56,0.55,18,0.82,18,0.33,24,0.15,42,0.07,54,0.89,18
Patrick Rodgers,28,0.62,9,-0.23,95,0.62,28,0.20,44,0.22,33,0.25,40,0.87,19
