Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Taylor Pendrith,4,0.87,2,1.52,4,2.25,4,1.19,1,-0.14,77,1.16,3,3.40,1
Taylor Moore,4,0.52,14,1.59,2,2.33,2,1.05,2,0.22,38,0.57,26,2.90,2
Tom Kim,4,0.25,42,1.58,3,2.46,1,0.91,6,0.63,10,0.20,49,2.65,3
Tony Finau,8,0.77,5,0.89,12,1.99,5,0.83,7,0.33,26,0.47,29,2.46,4
Matt Wallace,8,0.14,55,0.51,29,0.82,23,0.33,25,0.17,43,1.02,6,1.84,5
Stephan Jaeger,6,0.50,18,0.73,18,1.71,8,0.61,10,0.48,18,0.11,56,1.82,6
Troy Merritt,14,0.54,12,0.00,67,0.87,21,0.27,34,0.33,27,0.74,15,1.61,7
Chris Kirk,12,0.10,62,0.21,51,0.74,26,0.16,48,0.43,21,0.86,12,1.61,8
J.J. Spaun,16,-0.07,81,0.63,22,0.53,35,0.28,33,-0.04,65,1.01,7,1.54,9
Hideki Matsuyama,9,0.52,15,1.31,7,1.87,6,0.91,5,0.04,58,-0.44,87,1.43,10
Nate Lashley,12,-0.08,82,0.37,36,0.53,34,0.15,49,0.24,35,0.88,11,1.41,11
Callum Tarren,4,0.28,39,0.88,13,1.42,10,0.58,12,0.26,33,-0.02,68,1.40,12
Charley Hoffman,6,0.62,10,1.40,6,2.30,3,1.01,3,0.28,32,-0.98,112,1.32,13
Cam Davis,12,0.15,54,0.32,41,1.30,11,0.24,41,0.83,4,0.00,67,1.30,14
Sungjae Im,12,0.41,22,0.23,49,1.23,12,0.32,26,0.59,11,0.02,64,1.25,15
Lanto Griffin,8,0.62,11,0.58,26,1.05,15,0.60,11,-0.14,79,0.16,52,1.21,16
Hayden Buckley,4,0.89,1,0.15,55,0.89,20,0.52,15,-0.14,78,0.26,45,1.15,17
Sepp Straka,12,0.21,45,-0.27,89,0.01,62,-0.03,67,0.08,55,1.07,4,1.08,18
Henrik Norlander,12,0.01,72,1.07,10,0.98,17,0.54,14,-0.10,75,0.04,61,1.02,19
Brandt Snedeker,10,-0.25,96,-0.24,86,-0.02,64,-0.24,96,0.47,19,1.03,5,1.01,20
Max Homa,12,0.48,20,0.13,57,0.74,28,0.31,28,0.12,47,0.22,48,0.96,21
Alex Noren,6,0.35,26,-0.15,81,0.36,40,0.10,54,0.16,45,0.59,25,0.95,22
Doc Redman,14,-0.22,93,0.36,38,0.17,52,0.07,56,0.03,59,0.75,14,0.92,23
Scott Stallings,16,0.39,23,0.32,42,0.62,31,0.35,22,-0.09,73,0.29,42,0.91,24
Justin Lower,4,-0.30,98,0.13,59,-0.43,86,-0.09,74,-0.26,93,1.33,1,0.90,25
Brandon Wu,4,0.34,29,0.34,40,1.55,9,0.34,23,0.87,2,-0.65,100,0.90,26
Keegan Bradley,12,0.20,47,0.47,31,1.13,14,0.34,24,0.45,20,-0.27,81,0.86,27
Brian Stuard,12,-0.72,117,0.49,30,-0.15,74,-0.12,80,0.08,53,0.98,8,0.83,28
Ryan Armour,10,-0.35,101,0.72,19,0.74,27,0.19,46,0.37,24,0.08,58,0.82,29
Adam Svensson,6,0.18,48,1.70,1,1.84,7,0.94,4,-0.04,66,-1.02,115,0.82,30
Adam Hadwin,10,-0.03,76,-0.33,94,-0.19,76,-0.18,88,0.18,41,0.93,9,0.75,31
Mark Hubbard,8,0.15,53,0.46,32,0.43,38,0.30,30,-0.18,83,0.27,44,0.70,32
David Lipsky,4,-0.11,85,0.87,14,1.14,13,0.38,21,0.38,23,-0.49,91,0.65,33
Lucas Glover,10,0.71,7,0.53,28,0.62,32,0.62,9,-0.62,115,0.02,63,0.64,34
Wesley Bryan,8,-0.35,100,0.05,63,0.06,58,-0.15,84,0.36,25,0.53,28,0.59,35
Adam Schenk,14,0.42,21,0.16,54,0.14,53,0.29,31,-0.44,109,0.41,30,0.55,36
Fabian Gomez,10,-0.62,113,0.59,23,-0.32,80,-0.02,65,-0.29,96,0.82,13,0.50,37
Cameron Champ,14,0.81,3,-0.34,95,0.29,47,0.23,42,-0.17,81,0.19,50,0.49,38
Brice Garnett,8,0.11,60,-0.10,76,0.31,44,0.00,63,0.31,29,0.17,51,0.48,39
Patrick Rodgers,12,0.53,13,0.30,44,0.41,39,0.41,20,-0.41,106,0.02,62,0.44,40
Danny Willett,12,0.12,58,-0.11,78,0.31,46,0.00,62,0.30,30,0.13,55,0.44,41
Rickie Fowler,14,0.27,41,0.02,65,0.27,49,0.15,50,-0.02,61,0.14,54,0.41,42
Lee Hodges,4,0.16,52,-0.63,106,-0.33,81,-0.24,95,0.15,46,0.73,17,0.40,43
Hank Lebioda,10,-0.16,88,0.80,17,0.72,29,0.32,27,0.08,52,-0.34,83,0.38,44
Byeong Hun An,8,0.16,51,0.82,15,0.89,19,0.49,18,-0.08,71,-0.53,93,0.36,45
Webb Simpson,10,0.14,56,0.18,53,0.24,51,0.16,47,-0.08,72,0.11,57,0.35,46
Russell Knox,10,-0.18,89,0.56,27,0.32,43,0.19,45,-0.05,68,0.01,66,0.33,47
Jonathan Byrd,6,-0.68,115,-0.09,75,0.03,60,-0.38,109,0.80,5,0.28,43,0.31,48
Richy Werenski,14,-0.21,91,0.01,66,-0.14,72,-0.10,77,0.07,56,0.40,33,0.26,49
Sean O'Hair,6,0.32,30,0.21,52,1.03,16,0.27,35,0.50,16,-0.82,106,0.21,50
Luke Donald,14,-0.83,121,0.37,37,-0.15,73,-0.23,93,0.32,28,0.35,36,0.20,51
Kevin Tway,10,0.51,16,-0.57,105,0.11,55,-0.03,66,0.17,44,0.07,59,0.18,52
Chris Stroud,5,-0.25,95,0.12,61,-0.56,91,-0.07,72,-0.43,107,0.72,18,0.16,53
Zach Johnson,4,-0.10,84,1.10,9,0.29,48,0.50,16,-0.72,119,-0.14,74,0.15,54
Ricky Barnes,2,-0.12,86,-0.11,77,-0.64,97,-0.12,81,-0.41,105,0.73,16,0.09,55
Ben Martin,8,0.03,70,0.41,34,0.05,59,0.22,43,-0.39,103,0.02,65,0.07,56
Joel Dahmen,6,0.30,36,-0.37,99,-0.17,75,-0.04,68,-0.10,74,0.22,47,0.05,57
Tyler Duncan,14,0.17,50,-0.09,73,0.33,42,0.04,57,0.25,34,-0.29,82,0.04,58
Vince Whaley,10,0.14,57,-0.54,104,-0.57,93,-0.20,91,-0.16,80,0.60,24,0.03,59
Zac Blair,4,-0.61,112,0.14,56,-0.58,94,-0.23,94,-0.11,76,0.61,22,0.03,60
Harris English,6,0.08,64,-0.98,117,-0.35,82,-0.45,113,0.55,13,0.36,35,0.01,61
Trey Mullinax,6,0.23,43,-0.20,84,-0.41,84,0.02,58,-0.44,110,0.40,32,-0.01,62
Sam Ryder,10,-0.50,106,0.29,46,-0.25,79,-0.10,78,-0.04,64,0.23,46,-0.02,63
Austin Cook,12,0.05,68,-0.39,100,-0.70,100,-0.17,86,-0.37,99,0.68,20,-0.02,64
Brendon Todd,6,-0.53,109,-0.09,74,-0.42,85,-0.31,102,0.20,40,0.40,31,-0.02,65
Seung-yul Noh,6,-0.82,120,0.22,50,-0.07,68,-0.30,100,0.53,15,0.05,60,-0.02,66
Jimmy Walker,10,-0.50,107,-0.25,87,-1.02,112,-0.38,107,-0.26,94,0.93,10,-0.09,67
David Lingmerth,4,0.31,31,0.80,16,0.87,22,0.56,13,-0.25,92,-0.96,111,-0.10,68
Matt NeSmith,4,-0.04,77,0.07,62,0.11,56,0.01,59,0.08,54,-0.22,76,-0.11,69
Davis Thompson,4,0.27,40,0.24,48,0.12,54,0.25,38,-0.38,101,-0.24,77,-0.11,70
Garrick Higgo,6,0.49,19,-0.78,113,0.34,41,-0.15,83,0.63,9,-0.46,89,-0.12,71
Brandon Matthews,2,-0.22,92,0.72,20,-1.32,121,0.25,39,-1.82,126,1.19,2,-0.13,72
Chad Ramey,2,0.02,71,-0.95,115,0.24,50,-0.46,114,1.16,1,-0.37,84,-0.13,73
