Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Garrick Higgo,4,0.79,4,1.18,4,1.96,1,0.99,1,- 0.01,65,1.02,8,2.98,1
Cameron Champ,8,1.70,1,0.03,62,1.88,2,0.87,4,0.14,46,0.79,17,2.67,2
Nick Hardy,8,0.54,15,1.25,3,1.64,4,0.90,2,- 0.15,81,0.20,45,1.84,3
Seonghyeon Kim,4,0.19,39,0.47,27,1.00,16,0.33,22,0.35,19,0.73,22,1.73,4
Mackenzie Hughes,12,- 0.16,84,0.15,53,0.30,41,- 0.01,67,0.29,30,1.29,4,1.59,5
Kevin Yu,4,0.84,3,0.41,34,1.47,7,0.62,9,0.23,38,0.01,68,1.48,6
William McGirt,18,- 0.02,67,0.60,20,0.91,19,0.29,26,0.33,24,0.54,29,1.44,7
Charley Hoffman,12,0.29,33,0.01,66,0.49,30,0.15,42,0.19,42,0.92,12,1.41,8
Henrik Norlander,18,0.36,30,0.96,10,1.24,11,0.66,7,- 0.08,72,0.03,64,1.27,9
Ben Griffin,4,- 0.30,102,1.54,1,1.58,5,0.62,10,0.34,20,-0.35,96,1.23,10
Hayden Buckley,12,0.51,18,0.14,54,0.64,27,0.33,23,- 0.02,66,0.53,30,1.16,11
Aaron Baddeley,12,0.20,37,- 0.54,109,0.28,45,- 0.17,90,0.61,7,0.86,15,1.14,12
Kevin Streelman,24,0.55,14,0.47,29,0.75,25,0.51,14,- 0.26,98,0.38,38,1.13,13
C.T. Pan,14,- 0.06,76,0.61,19,0.71,26,0.27,27,0.17,45,0.40,36,1.11,14
M.J. Daffue,8,0.28,35,1.15,5,1.52,6,0.71,6,0.09,53,-0.42,102,1.10,15
Lanto Griffin,8,0.12,47,- 0.04,70,- 0.11,75,0.04,61,- 0.18,85,1.19,5,1.08,16
Seung-yul Noh,10,- 0.38,108,0.42,33,0.32,39,0.02,64,0.28,32,0.75,19,1.07,17
Nick Watney,10,- 0.17,86,- 0.02,69,0.27,46,- 0.10,77,0.46,14,0.76,18,1.03,18
Nicholas Lindheim,14,- 0.38,109,0.25,44,0.16,58,- 0.07,73,0.29,29,0.86,14,1.03,19
Emiliano Grillo,16,0.52,16,0.97,9,1.27,10,0.74,5,- 0.22,92,-0.28,92,0.99,20
Luke List,20,0.74,6,0.11,58,1.32,8,0.43,17,0.46,13,-0.42,103,0.89,21
Peter Malnati,30,- 0.04,70,- 0.12,76,0.17,57,- 0.08,75,0.33,23,0.71,23,0.88,22
Ryan Armour,22,- 0.22,88,0.24,46,- 0.09,73,0.01,66,- 0.10,75,0.95,10,0.86,23
Scott Stallings,28,0.43,24,0.62,17,1.13,14,0.53,13,0.08,56,-0.27,89,0.86,24
Dylan Frittelli,18,- 0.02,66,1.01,7,1.18,13,0.49,15,0.19,41,-0.37,98,0.81,25
Cameron Percy,20,- 0.26,97,0.77,12,0.30,42,0.25,30,- 0.21,90,0.51,31,0.80,26
D.J. Trahan,18,0.29,34,1.45,2,1.71,3,0.87,3,- 0.03,67,-0.91,126,0.80,27
Brandt Snedeker,10,- 0.58,121,- 0.31,90,- 0.24,85,- 0.44,114,0.64,5,0.98,9,0.73,28
Brandon Matthews,4,0.78,5,0.48,26,0.78,24,0.63,8,- 0.48,119,-0.06,71,0.73,29
Christiaan Bezuidenhout,4,0.01,62,0.17,50,1.31,9,0.09,48,1.12,2,-0.58,116,0.73,30
Beau Hossler,8,0.55,13,0.18,49,1.05,15,0.37,19,0.31,26,-0.35,97,0.69,31
Cody Gribble,14,0.21,36,- 0.11,75,0.48,31,0.05,57,0.39,17,0.17,47,0.66,32
Camilo Villegas,10,- 0.40,113,1.07,6,1.19,12,0.33,21,0.53,9,-0.54,112,0.66,33
Brian Stuard,22,- 0.51,119,0.73,14,0.16,59,0.11,47,- 0.05,71,0.48,34,0.64,34
Nate Lashley,16,- 0.13,78,- 0.35,93,- 0.30,89,- 0.24,95,0.17,44,0.91,13,0.61,35
Lee Hodges,8,0.41,27,0.75,13,0.80,23,0.58,11,- 0.36,109,-0.20,83,0.59,36
Stephan Jaeger,20,- 0.26,96,0.07,60,0.25,50,- 0.09,76,0.44,15,0.33,40,0.58,37
Brandon Wu,6,0.11,49,- 0.33,91,0.43,34,- 0.11,78,0.65,4,0.11,60,0.54,38
Kevin Chappell,6,- 0.65,128,0.16,52,- 0.65,98,- 0.25,98,- 0.15,79,1.18,6,0.53,39
Alex Smalley,6,- 0.40,114,0.12,56,0.33,38,- 0.14,84,0.61,6,0.17,49,0.50,40
Davis Riley,12,- 0.32,105,0.59,21,0.34,37,0.13,44,0.07,57,0.15,53,0.49,41
Justin Lower,4,- 0.08,77,- 0.15,80,- 0.26,87,- 0.11,79,- 0.03,69,0.74,20,0.48,42
Trevor Cone,4,0.65,9,- 0.18,83,0.81,22,0.24,32,0.34,21,-0.33,94,0.48,43
Joel Dahmen,14,0.16,41,0.38,39,0.20,53,0.27,28,- 0.34,106,0.18,46,0.38,44
Brice Garnett,22,0.42,26,- 0.18,84,0.19,54,0.12,45,- 0.05,70,0.17,48,0.37,45
Matt NeSmith,12,- 0.05,73,0.44,30,0.62,28,0.19,36,0.23,37,-0.27,90,0.35,46
Ryan Brehm,8,0.71,8,- 0.05,71,0.42,35,0.33,24,- 0.23,96,-0.09,75,0.33,47
Russell Knox,10,- 0.62,125,0.58,23,0.17,56,- 0.02,69,0.21,40,0.16,51,0.33,48
Doc Redman,12,0.07,53,0.44,31,0.16,60,0.26,29,- 0.35,107,0.16,50,0.32,49
Martin Laird,16,0.13,45,0.00,67,0.25,49,0.07,55,0.12,50,0.03,65,0.28,50
Andrew Landry,14,0.37,29,- 0.14,78,0.12,64,0.12,46,- 0.11,76,0.14,54,0.26,51
Patton Kizzire,20,- 0.06,75,- 0.48,106,- 0.20,80,- 0.27,103,0.33,22,0.46,35,0.25,52
Adam Long,16,- 0.17,85,- 0.13,77,- 0.62,97,- 0.15,88,- 0.31,101,0.86,16,0.24,53
Zecheng Dou,4,0.08,52,0.39,38,0.10,65,0.23,33,- 0.36,110,0.13,57,0.23,54
Kyle Westmoreland,4,- 0.25,93,0.39,37,0.28,44,0.07,54,0.14,49,-0.05,70,0.23,55
Paul Haley,4,0.01,63,0.92,11,0.93,18,0.46,16,0.01,62,-0.70,120,0.23,56
Davis Thompson,8,0.51,20,0.21,47,0.86,21,0.36,20,0.14,47,-0.64,118,0.22,57
Mark Hubbard,12,- 0.33,106,0.62,18,0.29,43,0.15,43,0.00,63,-0.07,74,0.22,58
Greyson Sigg,6,0.04,55,- 0.45,104,- 0.13,76,- 0.21,93,0.28,33,0.34,39,0.20,59
