Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Harry Hall,4,0.14,48,-0.19,72,0.68,21,-0.03,60,0.74,5,1.93,1,2.61,1
Paul Haley,4,-0.20,82,-0.45,84,0.89,16,-0.33,2,1.54,2,1.47,3,2.36,2
Jordan Spieth,30,0.42,18,0.34,33,1.19,10,0.38,22,0.42,12,1.12,6,2.30,3
Harris English,18,-0.40,95,0.48,25,0.56,25,0.04,47,0.48,10,1.10,7,1.66,4
Webb Simpson,16,0.19,40,0.71,11,1.34,5,0.45,15,0.43,11,0.20,50,1.54,5
Collin Morikawa,16,0.03,61,1.50,2,1.69,2,0.77,3,0.13,33,-0.23,73,1.47,6
Tony Finau,26,0.89,5,0.39,29,1.42,3,0.64,7,0.13,32,0.01,63,1.44,7
Justin Rose,20,0.28,30,0.56,21,0.96,13,0.42,18,0.12,34,0.45,33,1.41,8
Davis Riley,6,-0.37,93,1.61,1,1.24,7,0.62,8,0.01,47,0.12,57,1.37,9
Justin Suh,4,-0.08,72,0.60,19,0.53,28,0.26,28,0.01,45,0.83,14,1.36,10
Austin Eckroat,4,0.67,8,0.66,15,1.12,12,0.66,5,-0.21,71,0.25,45,1.36,11
Scottie Scheffler,14,1.02,3,1.01,5,2.08,1,1.02,1,0.05,40,-0.72,94,1.36,12
Daniel Berger,16,0.18,41,0.61,18,1.19,9,0.39,20,0.40,13,0.15,54,1.34,13
Chad Ramey,8,-0.26,85,-0.19,74,0.08,54,-0.23,81,0.53,7,1.16,5,1.24,14
Gary Woodland,10,0.10,52,1.13,3,0.90,15,0.62,9,-0.33,81,0.33,41,1.22,15
Max Homa,14,0.16,45,0.25,40,0.54,26,0.21,34,0.12,35,0.66,19,1.20,16
Matt Kuchar,18,0.29,29,0.23,42,0.72,19,0.26,29,0.20,29,0.47,30,1.19,17
Brian Harman,30,0.11,50,0.39,30,0.75,18,0.25,30,0.25,26,0.41,35,1.16,18
Christiaan Bezuidenhout,10,-0.06,70,1.04,4,0.52,31,0.49,13,-0.46,91,0.63,20,1.15,19
Carson Young,4,-0.77,108,0.64,16,-0.29,70,-0.07,63,-0.28,77,1.34,4,1.11,20
Thomas Detry,4,-0.39,94,-0.29,76,0.09,53,-0.34,96,0.77,3,1.02,8,1.11,21
Ryan Fox,4,0.31,27,0.59,20,0.47,34,0.45,16,-0.45,90,0.59,22,1.11,22
Emiliano Grillo,28,0.25,34,0.62,17,0.61,24,0.43,17,-0.26,76,0.41,36,1.01,23
Andrew Putnam,20,-0.35,91,0.34,32,0.18,49,0.00,54,0.19,30,0.80,15,0.98,24
Ben Silverman,8,0.60,10,0.22,43,0.29,40,0.41,19,-0.53,93,0.69,18,0.98,25
Sam Stevens,4,1.36,2,0.18,47,1.38,4,0.77,2,-0.25,75,-0.60,91,0.86,26
Kevin Kisner,26,0.21,37,-0.41,81,0.07,56,-0.10,69,0.28,22,0.71,17,0.80,27
David Lipsky,8,-0.21,83,0.30,36,0.17,51,0.05,46,0.07,39,0.58,24,0.74,28
Lee Hodges,8,0.18,43,0.96,6,0.53,30,0.57,12,-0.68,97,0.19,51,0.74,29
Alex Smalley,8,0.56,12,-0.10,66,1.25,6,0.23,32,0.74,4,-0.52,89,0.74,30
Charley Hoffman,26,0.47,15,0.70,12,0.92,14,0.58,11,-0.24,73,-0.18,72,0.74,31
Sungjae Im,14,0.53,14,-0.41,80,0.61,23,0.06,45,0.49,8,0.09,60,0.73,32
C.T. Pan,20,-0.05,68,0.54,22,0.41,36,0.24,31,-0.08,57,0.25,44,0.65,33
Cam Davis,12,0.34,25,0.18,46,0.23,45,0.26,27,-0.29,78,0.38,38,0.63,34
Billy Horschel,22,0.37,22,-0.13,69,0.54,27,0.12,41,0.29,21,0.10,58,0.63,35
Andrew Novak,4,-0.14,79,0.30,37,0.48,33,0.08,44,0.33,18,0.13,56,0.61,36
Chesson Hadley,14,0.02,62,0.31,35,0.18,48,0.16,37,-0.15,66,0.42,34,0.60,37
Brandt Snedeker,24,-0.12,75,0.12,49,0.34,37,0.00,53,0.34,17,0.23,47,0.57,38
Maverick McNealy,18,-0.09,73,0.32,34,0.02,58,0.12,42,-0.21,72,0.54,27,0.57,39
Rickie Fowler,16,-0.37,92,-0.06,65,0.24,44,-0.21,79,0.68,6,0.32,42,0.56,40
Brendon Todd,16,-0.13,77,-0.50,88,-0.30,71,-0.32,91,0.31,19,0.77,16,0.51,41
Vince Whaley,6,0.09,54,0.67,13,0.22,46,0.38,23,-0.54,94,0.19,52,0.41,42
Lucas Glover,16,0.46,16,0.76,10,0.79,17,0.61,10,-0.43,89,-0.39,82,0.39,43
Adam Svensson,4,0.20,38,0.54,23,-0.02,59,0.37,24,-0.76,100,0.39,37,0.37,44
Nick Hardy,4,-0.32,89,-0.67,97,-0.50,78,-0.49,101,0.49,9,0.86,13,0.36,45
Vincent Norrman,4,0.39,21,0.90,8,1.15,11,0.65,6,-0.15,65,-0.78,96,0.36,46
Rory Sabbatini,24,0.09,53,-0.32,77,0.15,52,-0.12,70,0.39,14,0.17,53,0.33,47
Troy Merritt,16,-0.54,103,-0.05,64,-0.68,86,-0.29,89,-0.09,60,1.00,9,0.32,48
Sepp Straka,8,0.25,33,-0.50,87,-0.31,72,-0.12,71,-0.11,62,0.57,25,0.29,49
Ryan Palmer,26,0.41,20,0.02,59,0.45,35,0.21,33,0.02,42,-0.17,70,0.29,50
Austin Smotherman,8,0.09,55,-0.48,85,-0.74,90,-0.20,78,-0.40,88,0.95,11,0.24,51
Kevin Streelman,26,0.11,49,0.47,26,0.28,41,0.29,26,-0.31,80,-0.04,66,0.24,52
