Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Rickie Fowler,12,0.59,4,0.15,18,1.43,3,0.37,8,0.69,1,0.32,16,1.75,1
Tom Hoge,4,- 0.37,29,2.53,1,1.12,7,1.08,1,- 1.04,39,0.56,7,1.68,2
Collin Morikawa,16,0.68,3,0.65,7,1.28,5,0.66,3,- 0.04,26,0.33,14,1.61,3
Jordan Spieth,20,0.17,15,0.29,16,0.92,9,0.23,16,0.46,5,0.54,8,1.46,4
Tom Kim,4,0.15,17,0.97,4,1.70,1,0.56,5,0.58,2,-0.27,27,1.43,5
Xander Schauffele,21,0.57,7,0.11,19,0.92,8,0.34,10,0.23,16,0.50,9,1.42,6
Brian Harman,8,0.20,13,0.62,8,1.14,6,0.41,7,0.32,12,0.06,21,1.20,7
Matt Fitzpatrick,4,0.25,12,- 0.30,31,0.34,19,- 0.03,25,0.39,10,0.84,2,1.18,8
Sungjae Im,12,0.58,5,0.67,6,1.32,4,0.63,4,0.06,21,-0.16,25,1.15,9
Patrick Cantlay,20,0.10,18,0.20,17,0.36,16,0.15,19,0.07,20,0.67,6,1.03,10
Cam Davis,4,0.58,6,0.00,23,0.79,11,0.29,11,0.21,17,0.18,19,0.97,11
Luke List,4,0.96,2,0.38,11,1.45,2,0.67,2,0.11,19,-0.53,31,0.93,12
Scottie Scheffler,8,0.03,21,- 0.04,26,0.42,14,- 0.01,21,0.43,6,0.45,13,0.87,13
Cameron Young,4,1.15,1,- 0.21,29,0.57,12,0.47,6,- 0.37,33,0.11,20,0.68,14
Harris English,8,- 0.35,28,0.03,22,-0.07,23,- 0.16,29,0.25,15,0.71,4,0.64,15
Jason Day,12,0.38,10,- 0.53,34,0.15,20,- 0.08,27,0.30,13,0.47,11,0.62,16
J.T. Poston,8,- 0.02,25,- 0.01,24,-0.25,27,- 0.02,22,- 0.22,29,0.70,5,0.45,17
Andrew Putnam,4,- 1.01,38,0.33,14,-1.27,37,- 0.34,32,- 0.59,36,1.70,1,0.42,18
Max Homa,12,0.37,11,0.06,21,-0.08,24,0.21,17,- 0.51,34,0.46,12,0.37,19
Hideki Matsuyama,20,0.03,19,0.36,13,0.86,10,0.19,18,0.47,4,-0.55,32,0.31,20
Tony Finau,16,0.54,9,- 0.05,27,0.50,13,0.25,13,0.00,24,-0.23,26,0.27,21
Corey Conners,8,0.03,20,0.45,10,0.38,15,0.24,15,- 0.10,27,-0.43,29,- 0.05,22
Seamus Power,8,- 0.02,23,- 0.52,33,-0.28,28,- 0.27,30,0.25,14,0.23,18,- 0.05,23
Sepp Straka,4,- 1.49,39,1.39,2,-0.40,30,- 0.05,26,- 0.31,30,0.32,15,- 0.07,24
Emiliano Grillo,4,0.16,16,0.32,15,-0.24,26,0.24,14,- 0.72,37,0.05,22,- 0.20,25
Brendon Todd,8,- 0.97,37,- 0.23,30,-0.67,33,- 0.60,36,0.52,3,0.32,17,- 0.35,26
Russell Henley,8,- 0.05,26,0.75,5,0.36,18,0.35,9,- 0.34,32,-0.78,34,- 0.43,27
Nick Taylor,4,- 0.27,27,- 1.02,38,-0.92,36,- 0.65,37,0.37,11,0.49,10,- 0.43,28
Sam Burns,8,- 0.69,34,- 0.78,36,-1.46,38,- 0.74,39,0.01,23,0.78,3,- 0.68,29
Viktor Hovland,12,0.19,14,0.37,12,-0.02,22,0.28,12,- 0.58,35,-0.66,33,- 0.68,30
Si woo Kim,12,- 0.63,33,- 0.35,32,-0.59,32,- 0.49,34,0.39,9,-0.14,24,- 0.73,31
Erik Van Rooyen,4,- 0.01,22,- 0.15,28,-0.48,31,- 0.08,28,- 0.32,31,-0.30,28,- 0.78,32
Chris Kirk,4,- 0.83,36,1.05,3,0.36,17,0.11,20,0.13,18,-1.31,35,- 0.95,33
Mackenzie Hughes,12,- 0.48,31,- 0.68,35,-0.77,35,- 0.58,35,0.39,8,-0.53,30,- 1.29,34
Sahith Theegala,4,- 0.57,32,0.53,9,-0.02,21,- 0.02,23,0.03,22,-1.56,36,- 1.58,35
Keegan Bradley,8,- 0.02,24,- 0.02,25,-0.22,25,- 0.02,24,- 0.18,28,-1.60,37,- 1.82,36
Adam Hadwin,4,- 0.42,30,- 0.98,37,-2.28,39,- 0.70,38,- 0.87,38,-0.00,23,- 2.28,37
Lucas Glover,4,0.55,8,- 1.25,39,-0.31,29,- 0.35,33,0.40,7,-1.98,38,- 2.28,38
Adam Svensson,4,- 0.74,35,0.11,20,-0.68,34,- 0.32,31,- 0.04,25,-2.15,39,- 2.82,39
