Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Tom Kim,8,0.17,38,1.66,1,1.93,1,0.91,1,0.08,50,1.48,2,3.40,1
Adam Hadwin,26,0.19,36,0.50,28,0.98,14,0.35,19,0.29,25,0.81,12,1.79,2
Matt NeSmith,20,0.08,56,0.96,3,1.31,7,0.52,7,0.27,26,0.46,31,1.76,3
Eric Cole,6,- 0.34,88,0.50,27,1.21,9,0.08,53,1.05,3,0.53,28,1.74,4
Harry Hall,12,0.17,40,- 0.12,69,0.38,48,0.02,60,0.33,23,1.30,3,1.69,5
Daniel Berger,4,1.06,1,- 0.10,65,1.02,11,0.48,9,0.06,54,0.50,30,1.52,6
Danny Willett,4,0.42,17,- 0.16,70,1.54,2,0.13,47,1.28,2,-0.04,57,1.50,7
Adam Schenk,24,0.08,54,0.52,24,0.60,36,0.30,27,- 0.01,61,0.74,16,1.33,8
Matti Schmid,4,0.97,4,0.80,7,1.44,5,0.88,2,- 0.32,86,-0.14,61,1.31,9
Davis Thompson,8,0.61,9,0.69,12,1.51,3,0.65,3,0.21,33,-0.23,68,1.28,10
Seonghyeon Kim,6,0.98,2,- 0.38,86,0.91,16,0.30,26,0.31,24,0.35,37,1.26,11
Beau Hossler,24,- 0.10,71,- 0.10,67,0.55,38,- 0.10,79,0.75,7,0.70,21,1.25,12
Chesson Hadley,30,0.11,48,0.80,6,0.81,21,0.46,10,- 0.10,73,0.41,35,1.22,13
Gary Woodland,13,0.38,22,0.71,10,0.90,17,0.55,6,- 0.19,81,0.27,40,1.17,14
Luke List,20,0.74,6,- 0.02,60,1.32,6,0.36,18,0.59,11,-0.16,62,1.16,15
Taylor Montgomery,8,0.09,51,- 0.90,98,0.03,63,- 0.40,95,0.83,6,1.12,7,1.15,16
Martin Laird,32,0.06,58,0.69,11,0.99,12,0.37,17,0.24,28,0.09,50,1.08,17
Ryan Moore,30,0.00,62,0.28,39,0.34,49,0.14,46,0.06,52,0.73,18,1.08,18
Webb Simpson,30,- 0.07,66,0.58,15,0.73,28,0.25,32,0.22,32,0.35,38,1.08,19
Callum Tarren,6,- 0.20,78,0.54,21,- 0.02,67,0.17,44,- 0.37,89,1.10,8,1.07,20
Vince Whaley,6,- 0.46,94,0.12,52,0.27,51,- 0.17,82,0.61,9,0.81,13,1.07,21
Aaron Baddeley,10,- 0.35,89,0.47,29,0.79,22,0.06,57,0.67,8,0.25,43,1.04,22
Chad Ramey,12,0.43,16,0.23,47,0.25,52,0.33,21,- 0.41,91,0.76,14,1.02,23
Taylor Pendrith,12,0.59,12,- 0.02,61,0.76,25,0.29,30,0.19,36,0.25,42,1.02,24
Cam Davis,20,0.43,15,- 0.00,58,0.40,47,0.21,36,- 0.03,64,0.61,24,1.00,25
J.T. Poston,24,- 0.32,86,0.56,17,0.47,44,0.12,48,0.23,31,0.43,34,0.90,26
J.J. Spaun,24,- 0.12,73,0.75,8,0.76,26,0.32,24,0.13,43,0.10,49,0.86,27
Ben Taylor,10,- 0.31,85,0.72,9,0.65,33,0.21,38,0.24,29,0.20,46,0.85,28
Sam Ryder,22,0.15,42,0.62,14,0.62,35,0.38,15,- 0.14,74,0.22,45,0.84,29
Joel Dahmen,26,0.83,5,0.39,32,1.25,8,0.61,4,0.03,58,-0.45,86,0.79,30
Robby Shelton,14,0.26,33,0.37,34,0.75,27,0.32,25,0.12,45,0.01,54,0.76,31
Tom Hoge,24,- 0.05,64,0.87,4,0.66,30,0.41,13,- 0.16,78,0.10,48,0.76,32
Harris English,18,0.02,60,0.40,31,0.94,15,0.21,37,0.52,12,-0.19,65,0.74,33
Hayden Buckley,12,0.41,18,0.39,33,0.45,45,0.40,14,- 0.35,88,0.24,44,0.69,34
Ryan Palmer,22,0.08,55,0.56,18,0.77,24,0.32,23,0.13,42,-0.11,60,0.66,35
Andrew Putnam,20,- 0.59,100,0.67,13,- 0.09,69,0.04,59,- 0.18,80,0.75,15,0.66,36
Rickie Fowler,14,0.12,44,- 0.53,89,- 0.56,88,- 0.20,84,- 0.15,76,1.21,4,0.65,37
Patton Kizzire,28,- 0.18,76,0.16,50,- 0.10,70,- 0.01,65,- 0.08,70,0.72,19,0.62,38
Scott Piercy,30,0.34,26,0.53,22,0.99,13,0.44,12,0.11,47,-0.37,78,0.62,39
Nick Taylor,32,0.29,31,- 0.33,84,0.16,58,- 0.02,67,0.20,35,0.44,32,0.60,40
Justin Suh,10,0.34,27,0.26,42,0.02,64,0.30,28,- 0.58,96,0.52,29,0.54,41
Lee Hodges,6,0.41,19,- 0.23,79,0.63,34,0.09,51,0.45,15,-0.09,59,0.54,42
Greyson Sigg,12,0.12,43,- 0.21,78,- 0.16,71,- 0.04,72,- 0.07,68,0.67,22,0.52,43
Chris Gotterup,4,0.37,23,- 0.90,99,- 0.39,80,- 0.27,88,0.14,41,0.89,10,0.50,44
Kevin Kisner,6,0.40,21,- 0.20,75,0.04,62,0.10,49,- 0.16,79,0.43,33,0.48,45
Ben Silverman,4,- 0.47,96,- 0.37,85,- 0.25,75,- 0.42,96,0.60,10,0.72,20,0.47,46
Francesco Molinari,10,0.16,41,0.28,38,0.86,20,0.22,34,0.42,18,-0.41,82,0.45,47
Justin Lower,6,0.18,37,0.84,5,1.08,10,0.51,8,0.06,53,-0.65,95,0.43,48
Matt Kuchar,12,0.01,61,0.53,23,0.66,31,0.27,31,0.13,44,-0.25,70,0.41,49
Davis Riley,8,0.11,46,0.54,20,0.56,37,0.33,22,- 0.09,72,-0.16,63,0.41,50
Kyoung-Hoon Lee,18,0.43,14,0.24,45,0.71,29,0.34,20,0.04,57,-0.32,73,0.39,51
Kevin Yu,10,0.68,7,0.21,48,0.86,19,0.45,11,- 0.03,63,-0.51,87,0.36,52
Mark Hubbard,22,0.06,57,0.13,51,0.66,32,0.09,50,0.47,14,-0.31,72,0.35,53
Sam Stevens,4,0.31,30,- 0.18,73,1.46,4,0.06,55,1.35,1,-1.16,102,0.31,54
Bud Cauley,8,0.23,35,0.52,25,0.87,18,0.38,16,0.12,46,-0.56,89,0.30,55
Will Gordon,8,- 0.10,69,0.57,16,0.53,40,0.23,33,0.06,55,-0.31,71,0.22,56
Doug Ghim,12,- 0.23,80,0.18,49,0.18,56,- 0.02,68,0.23,30,-0.01,56,0.17,57
Camilo Villegas,14,- 0.30,84,0.42,30,0.51,42,0.06,56,0.39,20,-0.34,76,0.17,58
Trey Mullinax,14,- 0.25,81,0.26,40,- 0.44,83,0.01,63,- 0.45,93,0.56,27,0.12,59
Cameron Champ,14,0.98,3,- 0.55,90,0.51,41,0.21,35,0.15,39,-0.40,80,0.12,60
Maverick McNealy,14,0.10,49,- 0.74,95,- 0.90,96,- 0.32,91,- 0.26,84,0.99,9,0.09,61
Stephan Jaeger,12,- 0.19,77,0.09,53,0.24,53,- 0.05,73,0.34,21,-0.17,64,0.07,62
Garrick Higgo,8,0.10,50,- 0.61,92,- 0.57,90,- 0.25,86,- 0.07,67,0.57,26,- 0.00,63
Jhonattan Vegas,10,0.61,8,- 0.32,83,0.32,50,0.15,45,0.03,59,-0.39,79,- 0.07,64
Austin Eckroat,6,0.34,28,0.25,43,0.18,55,0.29,29,- 0.41,92,-0.25,69,- 0.07,65
Peter Malnati,24,- 0.43,92,- 0.11,68,- 0.45,84,- 0.27,90,0.09,48,0.36,36,- 0.09,66
Nate Lashley,20,- 0.05,65,- 0.31,82,- 0.17,72,- 0.18,83,0.19,37,0.07,51,- 0.10,67
Seamus Power,16,- 0.37,90,- 0.10,66,- 0.39,79,- 0.23,85,0.08,49,0.26,41,- 0.13,68
