Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Byeong Hun An,8,0.69,7,0.31,32,1.01,14,0.50,7,0.02,56,1.29,2,2.30,1
Taylor Montgomery,8,0.37,29,0.32,29,0.86,18,0.35,23,0.17,33,0.81,13,1.68,2
Matt Kuchar,22,0.48,22,0.24,44,0.97,15,0.36,21,0.26,23,0.65,19,1.62,3
Corey Conners,24,0.62,11,0.63,11,1.26,6,0.63,5,0.00,58,0.28,43,1.53,4
Hayden Buckley,10,0.84,3,0.37,25,1.25,7,0.60,6,0.05,52,0.21,48,1.47,5
Hideki Matsuyama,28,0.41,26,0.88,6,1.70,2,0.64,4,0.41,12,-0.34,79,1.36,6
Ben Griffin,8,0.37,28,0.18,51,0.26,47,0.28,32,- 0.29,93,1.04,6,1.30,7
Webb Simpson,30,0.21,41,0.48,20,0.87,17,0.35,26,0.17,32,0.32,40,1.19,8
Daniel Berger,20,0.63,10,0.32,30,1.13,9,0.48,9,0.18,30,0.05,58,1.18,9
Keith Mitchell,24,0.57,15,0.24,46,1.28,5,0.40,16,0.47,7,-0.13,69,1.14,10
Chris Kirk,28,0.01,61,0.72,9,1.05,12,0.36,20,0.32,18,0.09,56,1.14,11
Si Woo Kim,26,0.66,8,0.29,37,1.48,3,0.48,8,0.52,6,-0.40,82,1.09,12
Russell Henley,30,0.49,21,0.31,33,0.68,26,0.40,17,- 0.11,74,0.39,30,1.08,13
Adam Svensson,16,0.37,30,0.95,5,1.09,10,0.66,3,- 0.23,88,-0.02,65,1.07,14
Maverick McNealy,12,0.19,43,0.19,50,0.22,48,0.19,37,- 0.15,78,0.78,14,1.01,15
Andrew Putnam,26,- 0.43,95,- 0.00,60,- 0.10,66,- 0.21,84,0.33,16,1.08,5,0.99,16
Patton Kizzire,28,- 0.00,62,0.25,41,0.38,40,0.12,48,0.13,40,0.58,22,0.95,17
James Hahn,20,0.29,36,0.60,14,1.08,11,0.45,10,0.18,28,-0.14,71,0.94,18
Ryo Hisatsune,4,- 0.47,97,- 0.40,85,- 0.80,95,- 0.43,94,0.07,47,1.74,1,0.94,19
Harry Hall,8,- 0.11,71,0.10,55,- 0.20,75,- 0.00,64,- 0.19,81,1.13,3,0.93,20
Nick Hardy,14,0.32,32,0.45,21,0.56,31,0.38,18,- 0.20,83,0.34,38,0.90,21
Charley Hoffman,10,0.41,25,0.33,28,0.81,21,0.37,19,0.07,48,0.09,54,0.90,22
Emiliano Grillo,28,0.45,23,0.42,23,0.55,32,0.43,12,- 0.32,97,0.27,44,0.82,23
Ryan Palmer,28,0.55,16,0.30,36,0.84,19,0.42,14,- 0.01,62,-0.03,68,0.81,24
Austin Eckroat,8,0.76,4,- 0.07,65,0.76,23,0.35,25,0.07,46,0.41,28,0.80,25
Brian Harman,34,0.22,40,- 0.41,86,0.03,59,- 0.10,73,0.22,25,0.77,17,0.80,26
Eric Cole,8,0.18,44,0.44,22,0.58,30,0.31,29,- 0.04,68,0.23,46,0.80,27
Cam Davis,22,0.75,5,- 0.07,67,0.67,27,0.34,27,0.00,57,0.11,52,0.78,28
Brandt Snedeker,22,- 0.07,68,0.24,42,0.42,38,0.09,55,0.24,24,0.35,36,0.77,29
Lucas Glover,12,0.05,58,0.51,19,0.50,34,0.28,30,- 0.04,70,0.20,49,0.70,30
J.T. Poston,24,0.11,53,0.08,56,0.34,44,0.10,51,0.14,38,0.35,35,0.69,31
Ben Kohles,8,- 0.02,63,0.22,48,- 0.09,65,0.10,50,- 0.30,94,0.77,16,0.68,32
Gary Woodland,19,0.44,24,0.37,27,0.81,20,0.41,15,0.00,60,-0.14,70,0.68,33
Nico Echavarria,8,0.51,18,- 0.45,87,- 0.14,73,0.03,62,- 0.21,84,0.82,12,0.68,34
Denny McCarthy,12,- 0.06,66,- 0.32,81,- 0.26,77,- 0.19,82,0.11,43,0.93,8,0.67,35
Ben Martin,24,- 0.15,75,0.30,34,0.02,60,0.08,56,- 0.14,76,0.65,18,0.67,36
Stephan Jaeger,18,0.33,31,0.19,49,0.65,28,0.26,33,0.14,39,-0.00,61,0.65,37
