Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Will Zalatoris,8,0.33,18,1.34,1,1.72,2,0.84,1,0.05,29,0.79,6,2.51,1
Justin Thomas,16,0.29,22,1.24,2,1.92,1,0.76,2,0.39,11,-0.53,55,1.40,2
Sahith Theegala,8,0.48,11,-0.57,55,0.43,26,-0.04,37,0.52,3,0.87,5,1.30,3
Rory McIlroy,18,0.83,4,0.45,15,1.23,5,0.64,4,-0.04,37,-0.01,37,1.22,4
Taylor Moore,8,-0.25,46,0.67,8,0.72,15,0.21,26,0.30,17,0.45,17,1.18,5
Sam Burns,12,-0.28,47,0.85,4,0.94,10,0.29,18,0.42,8,0.18,29,1.14,6
Hideki Matsuyama,16,0.25,26,0.68,6,1.30,4,0.46,8,0.37,12,-0.18,44,1.12,7
Collin Morikawa,16,0.58,7,0.35,17,1.03,7,0.46,9,0.10,24,0.08,33,1.12,8
Erik Van Rooyen,4,0.83,3,0.12,28,0.86,11,0.48,7,-0.09,40,0.19,28,1.06,9
Billy Horschel,22,0.39,14,-0.05,34,0.52,20,0.17,29,0.18,20,0.51,15,1.03,10
Shane Lowry,16,-0.14,42,0.54,12,0.85,12,0.20,27,0.45,6,0.09,32,0.94,11
Harris English,18,-0.42,53,0.92,3,0.50,23,0.25,22,0.03,31,0.46,16,0.94,12
Tommy Fleetwood,16,0.34,16,0.29,20,0.58,19,0.31,14,-0.04,35,0.36,20,0.94,13
Tom Kim,8,0.33,17,0.67,7,0.98,9,0.50,5,-0.03,34,-0.05,39,0.93,14
Adam Scott,16,0.29,21,0.62,9,0.83,13,0.45,10,-0.08,38,0.03,35,0.86,15
Patrick Cantlay,20,0.25,25,0.26,22,0.99,8,0.26,21,0.47,5,-0.19,46,0.79,16
Maverick McNealy,4,-0.53,56,0.45,14,-0.23,42,-0.04,36,-0.15,47,0.94,1,0.72,17
Scottie Scheffler,18,0.51,10,0.31,19,1.14,6,0.41,12,0.31,16,-0.43,53,0.71,18
Emiliano Grillo,8,-0.16,44,0.20,26,0.13,34,0.02,32,0.08,26,0.55,14,0.68,19
Sepp Straka,8,0.26,24,0.57,10,0.51,22,0.42,11,-0.15,48,0.08,34,0.68,20
Russell Henley,12,0.36,15,0.26,23,0.76,14,0.31,15,0.14,21,-0.09,41,0.67,21
Jordan Spieth,18,-0.33,50,-0.14,39,0.08,35,-0.23,49,0.55,2,0.58,12,0.66,22
J.T. Poston,18,-0.14,43,-0.30,44,-0.22,41,-0.22,46,0.21,19,0.87,4,0.65,23
Brian Harman,12,0.17,30,0.25,25,0.51,21,0.21,25,0.10,25,0.12,31,0.64,24
Sungjae Im,16,0.55,8,-0.12,37,0.27,29,0.22,24,-0.16,49,0.35,21,0.62,25
Byeong Hun An,10,0.62,6,-0.59,56,0.16,33,0.01,33,0.13,22,0.45,18,0.61,26
Chris Kirk,12,0.23,28,0.72,5,0.65,18,0.48,6,-0.30,56,-0.19,45,0.46,27
Cameron Young,8,1.03,1,0.44,16,1.36,3,0.74,3,-0.12,42,-0.94,59,0.43,28
Matt Fitzpatrick,20,0.11,34,-0.29,43,-0.26,44,-0.09,38,-0.04,36,0.65,9,0.39,29
Ben Griffin,4,-0.52,54,0.26,21,-0.23,43,-0.13,40,0.03,32,0.61,11,0.39,30
Nick Taylor,14,0.33,20,0.49,13,0.67,17,0.41,13,-0.12,44,-0.37,49,0.32,31
Xander Schauffele,24,-0.11,41,-0.16,40,0.05,36,-0.13,41,0.32,15,0.21,27,0.27,32
Corey Conners,24,0.70,5,-0.13,38,0.32,28,0.28,19,-0.25,52,-0.08,40,0.24,33
Cam Davis,12,0.13,33,-0.18,41,0.44,25,-0.03,35,0.50,4,-0.22,48,0.22,34
Denny McCarthy,12,-0.16,45,0.17,27,-0.07,39,0.01,34,-0.03,33,0.24,26,0.18,35
Viktor Hovland,16,0.02,37,0.56,11,0.38,27,0.29,17,-0.20,50,-0.20,47,0.18,36
Aaron Rai,16,0.20,29,0.10,29,0.18,31,0.15,30,-0.12,43,-0.01,36,0.17,37
Eric Cole,4,0.42,12,-0.06,36,0.69,16,0.18,28,0.34,14,-0.56,56,0.14,38
Jason Day,14,0.52,9,0.00,33,0.50,24,0.26,20,0.07,28,-0.43,50,0.13,39
Christiaan Bezuidenhout,8,-0.53,55,0.06,30,-0.74,53,-0.23,48,-0.28,54,0.75,7,0.01,40
Stephan Jaeger,10,0.00,39,-0.40,50,0.00,37,-0.20,44,0.40,10,-0.03,38,-0.03,41
Robert MacIntyre,8,0.15,31,-0.45,52,-0.39,46,-0.15,42,-0.10,41,0.32,22,-0.07,42
Alex Noren,5,0.24,27,-1.33,61,-0.96,56,-0.54,57,0.13,23,0.87,3,-0.09,43
