Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Xander Schauffele,28,0.38,4,0.80,5,1.39,2,0.59,2,0.20,5,0.66,5,2.10,1
Wyndham Clark,4,0.10,10,0.36,11,1.09,6,0.23,10,0.65,1,0.69,4,1.76,2
Rory McIlroy,28,0.84,1,0.14,14,1.09,5,0.49,5,0.12,7,0.39,6,1.48,3
Justin Thomas,28,0.48,2,0.44,10,1.25,4,0.46,6,0.34,3,0.08,10,1.32,4
Viktor Hovland,16,0.32,5,1.23,1,1.58,1,0.78,1,0.03,11,-0.30,15,1.28,5
Tom Hoge,4,- 0.17,14,0.25,12,0.16,14,0.04,15,0.10,8,1.00,1,1.16,6
Russell Henley,8,- 0.08,13,1.08,2,0.69,9,0.50,4,- 0.19,14,0.32,8,1.07,7
Sepp Straka,8,- 0.40,17,0.98,3,0.21,13,0.29,9,- 0.34,19,0.76,3,0.96,8
Tommy Fleetwood,12,0.23,7,0.10,15,0.66,10,0.16,12,0.37,2,-0.21,14,0.47,9
Adam Scott,12,- 0.20,16,0.62,8,0.32,11,0.21,11,- 0.10,13,-0.05,13,0.26,10
Tony Finau,28,- 0.08,12,0.22,13,0.16,15,0.07,14,0.05,10,0.07,12,0.24,11
Billy Horschel,16,0.17,8,- 0.24,18,0.11,16,- 0.03,17,0.18,6,0.07,11,0.19,12
Scottie Scheffler,16,0.44,3,0.44,9,1.28,3,0.44,8,0.33,4,-1.07,20,0.16,13
Sungjae Im,20,0.05,11,- 0.04,16,- 0.26,17,0.01,16,- 0.19,15,0.26,9,0.03,14
Collin Morikawa,16,0.23,6,0.84,4,0.84,7,0.54,3,- 0.23,17,-0.87,18,- 0.03,15
Hideki Matsuyama,28,- 0.41,19,0.67,7,0.31,12,0.13,13,0.06,9,-0.38,16,- 0.07,16
Patrick Cantlay,24,0.15,9,0.75,6,0.79,8,0.45,7,- 0.10,12,-0.96,19,- 0.17,17
Sam Burns,12,- 0.18,15,- 0.79,20,- 1.24,19,- 0.48,19,- 0.23,18,0.88,2,- 0.34,18
Keegan Bradley,8,- 0.41,18,- 0.14,17,- 0.77,18,- 0.28,18,- 0.22,16,0.34,7,- 0.44,19
Sahith Theegala,4,- 0.68,20,- 0.44,19,- 1.72,20,- 0.56,20,- 0.59,20,-0.62,17,- 2.35,20
