Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Michael Thorbjornsen,4,1.14,4,-0.22,97,0.70,43,0.46,26,-0.23,98,2.40,1,3.10,1
Xander Schauffele,14,0.70,11,0.39,42,1.23,14,0.54,14,0.14,52,0.89,13,2.12,2
Sahith Theegala,6,0.22,61,0.77,14,1.23,15,0.49,22,0.24,40,0.74,15,1.97,3
Patrick Cantlay,20,0.58,16,0.64,21,1.47,5,0.61,8,0.25,38,0.37,31,1.84,4
Rory McIlroy,16,1.22,2,0.45,37,2.16,1,0.83,4,0.49,17,-0.36,89,1.79,5
Adam Scott,4,-0.77,126,0.83,10,0.32,60,0.03,81,0.25,37,1.43,3,1.75,6
Brian Harman,24,0.14,68,0.21,51,0.94,25,0.18,57,0.59,9,0.66,19,1.60,7
Kevin Kisner,14,0.09,79,-0.06,83,0.24,69,0.01,84,0.21,44,1.27,6,1.51,8
David Lingmerth,8,0.76,9,-0.90,120,0.23,70,-0.07,93,0.37,26,1.27,7,1.50,9
Lucas Herbert,4,0.09,80,0.95,8,1.39,7,0.52,18,0.36,28,0.10,47,1.50,10
Chez Reavie,26,0.30,52,0.80,12,1.27,12,0.55,12,0.17,48,0.14,44,1.41,11
Matt Kuchar,4,0.23,59,0.51,32,0.84,36,0.37,35,0.10,57,0.56,22,1.40,12
Kevin Streelman,24,0.12,73,0.55,29,0.86,32,0.33,40,0.19,46,0.53,23,1.39,13
Lee Hodges,4,0.48,32,0.35,43,0.26,64,0.42,31,-0.57,123,1.08,11,1.35,14
Tommy Fleetwood,8,-0.75,125,0.28,47,0.02,85,-0.23,109,0.48,18,1.20,8,1.22,15
Keegan Bradley,24,0.07,83,0.64,22,0.98,23,0.35,38,0.27,32,0.22,40,1.20,16
Russell Henley,18,0.41,42,1.11,5,1.49,4,0.76,6,-0.03,69,-0.29,83,1.20,17
Charley Hoffman,24,0.22,62,0.34,44,0.73,41,0.28,44,0.17,47,0.35,32,1.07,18
Kramer Hickok,10,0.80,8,-0.07,85,0.40,56,0.36,36,-0.32,108,0.63,20,1.03,19
Jason Day,20,0.31,50,0.19,54,0.90,30,0.25,47,0.39,23,0.11,45,1.01,20
Webb Simpson,14,0.34,47,0.61,26,1.25,13,0.48,25,0.29,30,-0.24,77,1.00,21
Jon Rahm,8,0.51,23,-0.12,91,1.08,17,0.20,55,0.69,7,-0.10,65,0.99,22
Scottie Scheffler,10,0.59,14,0.03,80,0.83,38,0.31,41,0.21,45,0.15,42,0.98,23
Viktor Hovland,8,1.01,6,1.10,6,1.70,3,1.06,1,-0.41,111,-0.74,109,0.96,24
Mark Hubbard,16,-0.07,95,0.46,36,0.25,66,0.20,54,-0.14,90,0.68,18,0.93,25
Beau Hossler,19,0.42,39,-0.86,119,-0.50,108,-0.22,108,-0.05,79,1.42,4,0.93,26
Mackenzie Hughes,24,0.05,86,-0.41,109,0.14,77,-0.18,104,0.50,15,0.78,14,0.92,27
Nick Hardy,8,0.12,72,-0.37,105,0.37,58,-0.13,101,0.62,8,0.52,24,0.89,28
Ryan Moore,16,0.56,17,0.43,38,0.98,22,0.49,21,-0.01,68,-0.10,64,0.88,29
Brendon Todd,12,0.09,78,0.67,17,0.85,34,0.38,34,0.09,61,0.02,55,0.87,30
Robert Streb,20,0.22,60,0.11,61,0.57,47,0.17,58,0.23,41,0.29,36,0.86,31
Aaron Rai,4,0.06,85,0.76,15,1.02,19,0.41,32,0.21,43,-0.18,71,0.85,32
Kyoung-Hoon Lee,14,0.42,38,-0.35,101,0.39,57,0.04,80,0.32,29,0.41,29,0.80,33
Adam Long,14,0.26,54,-0.06,82,-0.38,104,0.10,71,-0.59,124,1.18,10,0.79,34
Scott Stallings,20,0.21,63,0.83,11,0.96,24,0.52,17,-0.08,82,-0.18,72,0.78,35
Patrick Rodgers,18,0.16,66,0.12,60,0.69,44,0.14,64,0.41,20,0.09,49,0.78,36
Adam Svensson,6,0.49,31,0.61,25,0.43,55,0.55,11,-0.67,127,0.29,35,0.73,37
Doc Redman,10,0.26,55,0.77,13,0.73,40,0.52,19,-0.30,105,-0.01,56,0.72,38
Stephan Jaeger,6,0.58,15,0.50,34,0.92,28,0.54,15,-0.16,93,-0.20,74,0.72,39
Si Woo Kim,18,0.53,21,0.34,45,1.39,6,0.43,30,0.53,13,-0.70,108,0.70,40
Kevin Tway,22,-0.22,106,0.06,74,0.64,46,-0.08,95,0.79,5,0.06,52,0.69,41
Tyler Duncan,20,0.50,28,0.40,41,0.86,33,0.45,28,-0.04,76,-0.17,70,0.69,42
Stewart Cink,14,0.52,22,0.52,31,0.93,27,0.52,16,-0.12,87,-0.24,78,0.68,43
Sam Ryder,18,0.05,87,0.48,35,0.28,62,0.27,46,-0.26,102,0.39,30,0.66,44
Tony Finau,18,0.34,48,0.09,68,0.98,21,0.21,53,0.56,11,-0.33,85,0.65,45
Andrew Putnam,12,-0.21,105,1.12,4,1.03,18,0.46,27,0.11,55,-0.38,91,0.65,46
Zach Johnson,20,-0.10,97,0.10,65,0.15,76,0.00,86,0.16,50,0.47,26,0.62,47
Hayden Buckley,4,0.72,10,0.07,72,-0.10,94,0.40,33,-0.89,128,0.70,17,0.60,48
Brice Garnett,12,0.37,45,-0.97,125,-0.95,117,-0.30,111,-0.35,110,1.54,2,0.59,49
Sungjae Im,8,0.00,90,-0.38,107,0.00,86,-0.19,106,0.38,24,0.58,21,0.58,50
Seamus Power,18,-0.35,116,0.62,23,0.54,49,0.13,66,0.27,34,0.04,53,0.58,51
Harris English,15,-0.55,120,-0.59,113,-0.65,111,-0.57,121,0.49,16,1.20,9,0.55,52
Martin Laird,18,-0.22,107,-0.04,81,0.12,78,-0.13,102,0.37,25,0.44,28,0.55,53
Austin Eckroat,4,0.19,65,0.10,64,0.26,65,0.15,61,-0.04,77,0.24,39,0.50,54
C.T. Pan,16,-0.13,101,0.03,78,0.02,84,-0.05,90,0.12,54,0.47,27,0.49,55
Ryan Armour,22,0.61,13,-0.17,93,0.19,72,0.22,52,-0.25,101,0.29,34,0.48,56
Chesson Hadley,12,-0.03,93,0.09,66,0.02,83,0.03,82,-0.04,73,0.35,33,0.37,57
Andrew Novak,4,1.16,3,-0.19,95,0.88,31,0.49,23,-0.09,85,-0.53,105,0.35,58
Henrik Norlander,14,0.03,88,0.84,9,0.81,39,0.44,29,-0.06,81,-0.47,100,0.34,59
Russell Knox,22,0.08,81,0.42,39,0.45,53,0.25,49,-0.04,75,-0.12,66,0.34,60
Gary Woodland,6,0.36,46,-0.27,99,0.19,73,0.05,78,0.09,59,0.15,43,0.33,61
Luke List,10,0.47,34,1.26,3,1.75,2,0.87,3,0.02,65,-1.46,124,0.29,62
Lanto Griffin,14,-0.40,117,0.18,56,0.17,74,-0.11,99,0.39,22,0.11,46,0.28,63
Justin Thomas,16,0.55,18,0.54,30,1.15,16,0.55,13,0.06,63,-0.90,116,0.25,64
J.B. Holmes,12,-0.02,92,0.56,28,0.64,45,0.27,45,0.10,58,-0.39,92,0.25,65
Emiliano Grillo,20,0.54,19,0.67,18,0.71,42,0.61,9,-0.50,119,-0.48,101,0.23,66
Cam Davis,10,0.51,25,-0.28,100,0.46,52,0.11,69,0.23,42,-0.24,76,0.22,67
Troy Merritt,21,0.11,75,-0.12,89,-0.08,93,0.00,85,-0.08,83,0.27,38,0.18,68
Joel Dahmen,18,0.39,43,0.18,55,0.09,79,0.29,43,-0.49,117,0.08,50,0.17,69
Joseph Bramlett,10,0.44,36,0.57,27,1.37,8,0.51,20,0.36,27,-1.20,120,0.17,70
Nate Lashley,8,0.10,76,0.05,76,0.44,54,0.08,75,0.29,31,-0.27,82,0.17,71
Will Gordon,8,-0.65,122,0.27,48,-0.13,95,-0.19,107,0.25,36,0.29,37,0.16,72
J.T. Poston,12,0.13,71,0.11,62,0.27,63,0.12,68,0.03,64,-0.15,69,0.12,73
Jim Herman,11,0.50,26,0.11,63,0.47,51,0.31,42,-0.14,91,-0.37,90,0.10,74
Matthias Schwab,4,-0.78,127,0.41,40,0.03,82,-0.19,105,0.40,21,0.07,51,0.10,75
Ryan Brehm,8,-0.34,114,-0.93,121,-1.26,126,-0.63,125,0.00,66,1.29,5,0.03,76
Sepp Straka,10,0.13,70,0.08,69,0.49,50,0.11,70,0.27,33,-0.46,99,0.03,77
Callum Tarren,2,-1.58,133,0.25,49,-0.75,113,-0.66,128,0.58,10,0.71,16,-0.04,78
Greyson Sigg,2,0.30,51,-0.11,87,0.15,75,0.10,72,-0.04,74,-0.19,73,-0.04,79
Patton Kizzire,18,-0.25,109,0.50,33,-0.03,91,0.13,67,-0.28,104,-0.04,59,-0.07,80
Matthew NeSmith,8,-0.11,98,1.41,2,1.30,11,0.65,7,0.00,67,-1.45,123,-0.14,81
Taylor Moore,4,0.47,35,-0.94,122,-0.63,109,-0.23,110,-0.16,94,0.48,25,-0.15,82
Peter Malnati,23,-0.11,99,-0.08,86,-0.08,92,-0.10,97,0.12,53,-0.08,62,-0.16,83
Billy Horschel,4,0.42,40,-0.13,92,-0.16,97,0.14,62,-0.44,114,-0.05,60,-0.20,84
Corey Conners,4,0.24,57,1.58,1,1.36,9,0.91,2,-0.45,115,-1.57,125,-0.20,85
Shane Lowry,6,0.51,24,0.18,58,0.85,35,0.34,39,0.16,49,-1.08,119,-0.24,86
Garrick Higgo,4,0.53,20,0.61,24,-0.24,102,0.57,10,-1.38,133,-0.02,57,-0.26,87
Max Homa,6,-0.15,102,0.65,20,0.24,68,0.25,48,-0.26,103,-0.51,104,-0.26,88
Byeong Hun An,12,0.64,12,0.07,71,0.57,48,0.36,37,-0.15,92,-0.85,114,-0.28,89
Matt Fitzpatrick,2,-0.35,115,-0.51,111,-0.39,105,-0.43,114,0.46,19,0.10,48,-0.29,90
Denny McCarthy,13,0.07,82,-0.73,115,-1.21,124,-0.33,113,-0.54,121,0.91,12,-0.30,91
Collin Morikawa,6,0.48,33,-0.12,90,-0.14,96,0.18,56,-0.49,118,-0.23,75,-0.37,92
Danny Willett,4,0.10,77,-1.02,126,-0.02,89,-0.46,117,0.90,4,-0.40,94,-0.42,93
Lucas Glover,12,-0.22,108,0.68,16,-0.01,87,0.23,51,-0.47,116,-0.45,98,-0.46,94
J.J. Spaun,16,0.07,84,0.07,70,-0.03,90,0.07,76,-0.17,96,-0.44,97,-0.47,95
Ben Martin,4,-0.01,91,0.20,53,-0.35,103,0.10,73,-0.54,120,-0.14,67,-0.49,96
Francesco Molinari,10,0.41,41,0.06,75,0.34,59,0.23,50,-0.13,88,-0.84,112,-0.50,97
Matt Wallace,6,-0.26,110,0.18,57,-0.19,99,-0.04,89,-0.10,86,-0.35,88,-0.53,98
Andrew Svoboda,6,0.39,44,-0.11,88,0.25,67,0.14,65,-0.03,70,-0.79,110,-0.54,99
Trey Mullinax,10,0.50,27,-0.22,98,0.03,81,0.14,63,-0.25,100,-0.58,107,-0.55,100
Kelly Kraft,14,0.27,53,-0.45,110,-0.23,101,-0.09,96,-0.05,80,-0.32,84,-0.55,101
