Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Sam Stevens,4,0.51,25,2.14,1,2.03,3,1.32,1,- 0.62,105,1.48,2,3.51,1
Corey Conners,20,0.95,4,1.38,2,2.11,2,1.17,2,- 0.23,81,0.22,40,2.33,2
Jordan Spieth,12,0.04,64,1.27,5,2.12,1,0.65,6,0.81,5,0.03,55,2.16,3
Grayson Murray,4,1.07,2,- 0.24,89,1.20,17,0.41,26,0.38,32,0.71,14,1.91,4
Charley Hoffman,26,0.73,13,0.56,33,1.45,9,0.65,7,0.16,51,0.41,29,1.86,5
Brandt Snedeker,16,0.03,65,1.05,10,1.81,6,0.54,15,0.73,9,0.02,57,1.83,6
Alex Noren,4,- 0.37,97,0.85,18,1.16,18,0.24,55,0.69,14,0.59,22,1.76,7
Seonghyeon Kim,4,0.86,7,- 0.01,76,1.23,16,0.43,25,0.40,29,0.55,24,1.76,8
Lucas Glover,16,0.63,16,0.64,28,1.94,4,0.64,8,0.68,15,-0.20,77,1.74,9
Aaron Baddeley,20,- 0.33,95,0.69,27,1.07,22,0.18,59,0.73,11,0.59,21,1.68,10
Kevin Chappell,22,0.51,26,1.05,9,1.30,15,0.78,4,- 0.25,84,0.36,35,1.66,11
Matt Kuchar,28,0.08,60,0.95,14,1.41,10,0.52,18,0.38,31,0.16,45,1.58,12
Bud Cauley,6,0.51,24,0.80,20,0.90,30,0.66,5,- 0.42,97,0.65,18,1.55,13
Taylor Montgomery,4,- 0.39,99,- 1.63,115,- 0.42,94,- 1.01,116,1.65,1,1.91,1,1.51,14
Ryan Moore,18,0.51,27,0.63,30,1.37,12,0.57,12,0.22,47,0.12,49,1.48,15
Scott Gutschewski,4,- 0.41,100,0.96,12,0.57,42,0.27,51,0.02,60,0.85,12,1.44,16
Kevin Streelman,24,0.62,17,- 0.00,75,1.12,20,0.31,43,0.51,23,0.19,43,1.32,17
Zach Johnson,16,0.02,66,0.54,35,0.81,35,0.28,50,0.25,41,0.50,25,1.32,18
Camilo Villegas,12,0.13,53,0.56,34,1.53,8,0.34,38,0.86,4,-0.07,68,1.31,19
Rickie Fowler,14,0.31,41,0.71,26,1.12,19,0.51,19,0.13,54,0.15,47,1.29,20
Keith Mitchell,8,0.84,9,0.41,46,1.55,7,0.63,10,0.29,38,-0.27,87,1.28,21
Nico Echavarria,4,0.39,33,- 0.19,86,- 0.03,79,0.10,65,- 0.19,78,1.27,3,1.26,22
Harry Hall,4,- 0.37,98,- 0.61,102,0.35,59,- 0.49,109,1.37,2,0.89,8,1.26,23
Christiaan Bezuidenhout,4,- 0.23,89,1.28,4,0.62,40,0.53,17,- 0.36,91,0.62,20,1.26,24
Nicolai Hojgaard,4,- 0.76,113,1.32,3,0.87,33,0.28,49,0.37,33,0.38,32,1.26,25
Aaron Rai,8,0.11,55,- 0.18,85,0.37,56,- 0.03,75,0.47,25,0.86,10,1.22,26
Robby Shelton,10,- 0.17,86,1.08,7,1.11,21,0.46,22,0.24,45,0.07,53,1.19,27
Andrew Novak,6,- 0.10,79,0.16,63,0.40,54,0.03,70,0.42,28,0.86,11,1.15,28
Andrew Putnam,18,- 0.21,88,0.52,38,0.52,44,0.15,60,0.23,46,0.50,26,1.08,29
Ryan Palmer,22,0.56,21,0.43,45,0.90,29,0.50,21,- 0.09,70,0.14,48,1.05,30
Byeong Hun An,14,0.84,10,0.28,55,1.88,5,0.56,14,0.77,7,-0.85,107,1.03,31
Martin Laird,22,0.39,32,0.61,31,1.01,26,0.50,20,0.01,62,0.00,61,1.02,32
Andrew Landry,14,0.72,14,- 0.14,82,0.80,36,0.29,48,0.22,48,0.19,41,1.00,33
Nicholas Lindheim,8,- 0.43,102,0.28,56,0.42,53,- 0.08,80,0.57,20,0.58,23,1.00,34
Hideki Matsuyama,9,- 0.03,70,0.75,25,1.07,23,0.36,33,0.35,34,-0.13,73,0.94,35
Maverick McNealy,4,0.97,3,1.12,6,1.40,11,1.05,3,- 0.70,106,-0.48,95,0.94,36
Denny McCarthy,14,- 0.17,85,0.02,74,0.02,76,- 0.08,81,0.17,50,0.90,7,0.92,37
Vince Whaley,8,0.42,29,- 0.63,103,- 0.17,82,- 0.10,84,0.04,59,1.08,5,0.92,38
Jimmy Walker,24,- 0.52,107,0.30,53,0.29,61,- 0.11,85,0.52,22,0.62,19,0.91,39
Lee Hodges,6,- 0.12,82,0.81,19,0.92,28,0.34,39,0.24,44,-0.12,72,0.81,40
Billy Horschel,12,0.91,5,- 0.17,84,0.87,32,0.37,31,0.13,55,-0.06,65,0.81,41
Brendon Todd,10,- 0.52,105,0.16,64,0.08,73,- 0.18,90,0.47,26,0.67,16,0.77,42
Eric Cole,4,0.61,18,- 0.01,77,0.37,57,0.30,46,- 0.14,74,0.36,34,0.76,43
J.J. Spaun,20,0.10,58,0.52,39,0.80,37,0.31,44,0.20,49,-0.09,71,0.71,44
Hayden Buckley,6,0.40,31,0.09,70,- 0.49,98,0.24,54,- 0.93,111,1.12,4,0.65,45
Ben Martin,16,0.35,37,0.44,43,0.62,41,0.39,29,- 0.15,76,0.00,60,0.63,46
Lanto Griffin,16,0.29,44,0.58,32,0.82,34,0.44,24,- 0.03,67,-0.21,79,0.62,47
Padraig Harrington,15,0.00,69,- 0.13,81,0.35,58,- 0.07,79,0.48,24,0.23,39,0.59,48
Dylan Wu,6,- 0.90,115,0.36,49,- 0.13,81,- 0.27,99,0.39,30,0.66,17,0.48,49
Nick Hardy,6,0.33,40,0.45,42,0.25,62,0.39,30,- 0.49,101,0.24,38,0.48,50
Troy Merritt,20,0.07,61,- 0.14,83,- 0.40,93,- 0.04,77,- 0.35,90,0.86,9,0.44,51
David Skinns,4,- 0.46,103,- 0.37,96,0.23,63,- 0.41,107,1.06,3,0.19,42,0.44,52
Kyoung-Hoon Lee,10,0.36,36,0.76,24,0.89,31,0.56,13,- 0.23,82,-0.50,98,0.40,53
Chez Reavie,7,0.28,45,0.89,16,0.98,27,0.59,11,- 0.15,75,-0.61,100,0.39,54
Chad Ramey,6,- 0.60,109,0.79,21,0.43,51,0.10,67,0.15,52,0.01,59,0.38,55
Sam Ryder,16,- 0.30,92,0.98,11,0.42,52,0.34,41,- 0.26,85,-0.07,67,0.35,56
Stewart Cink,8,0.21,49,1.06,8,0.55,43,0.63,9,- 0.72,108,-0.24,84,0.30,57
Matti Schmid,4,0.11,56,0.53,37,1.33,14,0.32,42,0.79,6,-1.08,110,0.26,58
Rafael Campos,6,0.39,34,0.20,57,0.48,48,0.30,47,- 0.11,71,-0.24,83,0.24,59
Adam Svensson,6,0.13,52,- 0.30,93,0.38,55,- 0.08,82,0.54,21,-0.16,74,0.23,60
Max Homa,6,0.74,12,- 0.03,79,0.69,39,0.36,36,- 0.02,65,-0.47,94,0.23,61
Adam Schenk,14,0.31,42,- 0.78,106,- 0.23,85,- 0.24,97,0.24,43,0.44,28,0.22,62
Jhonattan Vegas,18,0.70,15,- 0.20,87,0.48,47,0.25,52,- 0.03,66,-0.28,89,0.20,63
Patrick Rodgers,14,0.06,62,- 0.10,80,0.21,64,- 0.02,73,0.25,42,-0.08,69,0.20,64
Zac Blair,12,- 0.24,91,0.17,62,0.08,74,- 0.04,76,0.15,53,0.10,51,0.19,65
Greyson Sigg,10,0.55,22,- 0.24,88,0.44,50,0.15,61,0.08,56,-0.40,91,0.19,66
Erik Van Rooyen,6,0.27,46,- 0.25,90,0.08,71,0.01,72,0.06,58,0.10,50,0.19,67
Beau Hossler,22,0.33,39,- 0.30,92,0.10,70,0.02,71,0.08,57,0.05,54,0.15,68
Nate Lashley,10,- 0.13,83,0.94,15,0.51,45,0.41,28,- 0.30,88,-0.38,90,0.14,69
Akshay Bhatia,6,- 0.08,76,0.44,44,0.08,72,0.18,58,- 0.26,86,0.01,58,0.09,70
Brian Harman,6,0.02,67,- 1.17,109,- 0.88,103,- 0.58,110,0.28,40,0.92,6,0.05,71
Pierceson Coody,4,- 0.64,112,0.19,58,- 0.21,83,- 0.23,94,0.33,36,0.19,44,0.01,72
Patton Kizzire,10,- 0.04,72,0.31,51,- 0.13,80,0.13,64,- 0.39,95,0.07,52,- 0.05,73
