Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Sam Burns,20,0.29,27,0.49,26,0.79,20,0.39,20,- 0.00,51,1.70,1,2.49,1
Davis Riley,8,0.78,3,- 0.12,63,0.95,15,0.33,22,0.27,23,1.38,4,2.33,2
Matt NeSmith,8,0.22,34,1.47,1,1.60,6,0.84,3,- 0.09,61,0.61,15,2.22,3
Xander Schauffele,4,0.86,2,1.25,2,2.00,2,1.06,1,- 0.11,66,-0.01,55,2.00,4
Justin Thomas,18,0.46,15,1.01,6,1.92,3,0.74,4,0.44,17,-0.24,71,1.68,5
Sungjae Im,8,0.40,18,0.67,15,1.66,5,0.54,10,0.59,9,0.01,53,1.67,6
Jordan Spieth,10,0.37,19,0.49,27,1.10,12,0.43,18,0.24,26,0.47,24,1.56,7
Taylor Moore,6,0.60,9,0.84,9,1.16,10,0.72,5,- 0.29,80,0.36,37,1.52,8
Matt Kuchar,16,0.26,31,0.12,44,0.93,16,0.19,40,0.55,11,0.42,31,1.35,9
Matt Wallace,6,0.32,25,0.82,10,1.81,4,0.57,7,0.66,6,-0.47,86,1.35,10
Adam Hadwin,20,0.15,45,0.50,24,0.85,18,0.33,23,0.20,32,0.44,29,1.30,11
Brandt Snedeker,12,- 0.06,70,0.03,52,0.37,36,- 0.01,56,0.40,20,0.90,8,1.27,12
Tony Finau,8,0.69,5,1.09,5,2.25,1,0.89,2,0.47,15,-1.00,108,1.25,13
Daniel Berger,6,0.50,13,0.75,12,1.18,9,0.63,6,- 0.08,60,-0.03,58,1.15,14
Keegan Bradley,18,0.42,17,0.60,19,1.23,8,0.51,13,0.21,30,-0.39,79,0.84,15
Ryan Moore,18,0.11,51,0.77,11,0.84,19,0.44,15,- 0.04,55,-0.02,56,0.83,16
Adam Schenk,16,0.16,42,0.49,28,0.46,32,0.32,24,- 0.19,73,0.28,41,0.75,17
Scott Stallings,22,- 0.06,69,0.07,50,0.15,45,0.01,53,0.14,37,0.58,16,0.73,18
Webb Simpson,20,0.08,57,0.33,37,0.88,17,0.21,36,0.47,14,-0.20,64,0.68,19
Maverick Mcnealy,4,0.27,30,- 0.95,103,- 0.09,56,- 0.34,91,0.43,18,0.66,14,0.67,20
Doug Ghim,6,0.51,12,0.53,23,1.53,7,0.52,11,0.41,19,-0.93,107,0.62,21
Camilo Villegas,10,- 0.37,96,- 0.10,61,0.10,49,- 0.23,78,0.57,10,0.47,25,0.57,22
Luke Donald,24,- 0.62,102,0.48,29,0.30,40,- 0.07,62,0.44,16,0.24,46,0.54,23
Lucas Glover,22,0.27,29,- 0.26,73,0.65,23,0.00,54,0.63,7,-0.21,66,0.45,24
Stewart Cink,18,- 0.32,90,0.67,16,0.02,52,0.18,42,- 0.33,86,0.41,32,0.44,25
Ben Griffin,4,0.29,28,- 2.08,116,- 0.69,87,- 0.89,110,1.02,1,1.10,6,0.42,26
Justin Suh,4,- 0.12,78,- 0.81,101,- 0.51,76,- 0.47,100,0.26,24,0.88,9,0.42,27
Victor Perez,4,0.64,7,- 0.00,56,- 0.14,59,0.32,25,- 1.07,110,0.57,19,0.42,28
Seonghyeon Kim,4,0.01,62,0.18,42,1.10,11,0.09,45,0.75,3,-0.75,102,0.42,29
Patton Kizzire,22,- 0.15,80,0.08,48,- 0.30,66,- 0.04,58,- 0.23,77,0.71,13,0.40,30
Henrik Norlander,10,0.14,47,0.33,36,0.58,28,0.24,33,0.06,42,-0.22,68,0.38,31
Kevin Kisner,12,0.10,54,0.26,39,0.03,51,0.18,41,- 0.37,88,0.34,38,0.38,32
Ryan Palmer,12,0.10,53,0.43,33,0.13,47,0.26,31,- 0.40,89,0.23,47,0.37,33
Jhonattan Vegas,10,0.43,16,0.57,21,0.75,21,0.50,14,- 0.30,82,-0.41,80,0.37,34
Joel Dahmen,12,0.20,38,0.66,17,1.01,14,0.43,17,0.10,39,-0.68,98,0.36,35
Brian Harman,12,0.37,20,- 0.48,91,- 0.60,81,- 0.06,60,- 0.54,97,0.93,7,0.34,36
Kramer Hickok,16,0.01,61,- 0.37,79,- 0.13,58,- 0.18,70,0.21,31,0.43,30,0.31,37
Ben Martin,12,0.18,40,0.43,32,0.49,31,0.31,27,- 0.16,69,-0.20,63,0.30,38
Zach Johnson,16,- 0.09,74,- 0.28,74,- 0.03,54,- 0.18,72,0.29,21,0.31,39,0.29,39
Chez Reavie,20,0.15,46,0.26,40,0.23,43,0.20,38,- 0.18,72,0.03,52,0.26,40
Kevin Streelman,20,0.32,24,0.07,49,0.46,33,0.20,39,0.06,44,-0.22,67,0.25,41
Greyson Sigg,8,- 0.09,75,0.11,46,- 0.30,65,0.01,52,- 0.40,91,0.46,26,0.21,42
Vince Whaley,6,- 0.17,84,- 0.43,88,- 0.64,83,- 0.30,82,- 0.04,54,0.83,10,0.19,43
Andrew Novak,6,0.16,43,- 0.41,83,- 0.37,69,- 0.12,66,- 0.16,70,0.54,21,0.18,44
Alex Smalley,6,0.31,26,- 0.41,84,- 0.22,63,- 0.05,59,- 0.14,68,0.40,34,0.18,45
Kyoung-hoon Lee,9,0.03,58,- 0.01,57,0.40,34,0.01,51,0.23,27,-0.20,65,0.17,46
