Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Viktor Hovland,4,1.15,8,0.95,7,2.20,3,1.05,3,0.09,48,0.99,3,3.19,1
Rory McIlroy,20,1.33,6,0.91,9,2.35,2,1.12,2,0.12,46,0.10,50,2.45,2
Matt Wallace,4,0.44,32,0.75,13,1.80,8,0.60,14,0.61,17,0.64,16,2.44,3
Matt Kuchar,4,-0.01,67,0.35,38,1.96,6,0.17,47,1.62,1,0.39,30,2.34,4
Nick Watney,8,0.85,15,0.69,16,1.56,15,0.77,7,0.02,52,0.69,14,2.25,5
Joel Dahmen,12,0.55,27,1.00,5,1.69,9,0.78,6,0.13,43,0.55,20,2.23,6
Jason Day,14,0.78,17,-0.04,59,1.57,14,0.37,26,0.83,6,0.66,15,2.23,7
Rickie Fowler,18,1.05,10,-0.03,58,1.64,11,0.51,20,0.62,16,0.53,24,2.17,8
Keith Mitchell,12,1.66,2,0.93,8,1.86,7,1.30,1,-0.73,101,0.28,36,2.15,9
Scott Piercy,4,0.49,29,0.84,10,2.50,1,0.67,12,1.17,3,-0.56,94,1.94,10
Francesco Molinari,14,0.80,16,0.96,6,2.03,5,0.88,4,0.28,33,-0.20,75,1.84,11
Justin Thomas,14,0.74,19,0.65,21,1.63,12,0.69,10,0.25,35,0.12,46,1.76,12
Jordan Spieth,4,1.12,9,-0.74,88,1.61,13,0.19,42,1.23,2,-0.02,57,1.59,13
James Hahn,12,0.21,52,0.35,37,0.83,28,0.28,35,0.27,34,0.70,13,1.53,14
Max Homa,6,-0.07,70,1.14,3,0.37,44,0.53,18,-0.69,98,1.15,2,1.52,15
J.J. Spaun,4,0.37,40,0.68,17,0.96,24,0.53,19,-0.09,64,0.48,25,1.44,16
Gary Woodland,17,1.01,11,0.46,30,1.20,19,0.73,8,-0.27,74,-0.02,58,1.18,17
Seamus Power,12,-0.06,69,0.36,35,0.75,29,0.15,48,0.45,21,0.39,29,1.15,18
Jason Dufner,16,0.38,38,1.00,4,1.67,10,0.69,11,0.29,31,-0.54,93,1.13,19
Webb Simpson,14,0.07,60,0.47,26,1.14,20,0.27,36,0.59,18,-0.05,64,1.08,20
Lucas Glover,16,0.40,37,0.31,41,1.34,17,0.36,29,0.62,15,-0.29,78,1.05,21
Brendon Todd,6,-1.37,104,-0.29,69,-1.02,89,-0.83,101,0.64,13,2.04,1,1.03,22
Doc Redman,6,0.68,23,-0.25,68,0.40,41,0.21,41,-0.02,59,0.62,17,1.02,23
Chez Reavie,10,0.52,28,0.66,19,0.98,22,0.59,15,-0.21,70,-0.03,62,0.95,24
Luke List,16,1.36,5,-0.23,67,1.32,18,0.56,16,0.19,38,-0.45,85,0.87,25
Patrick Cantlay,6,0.93,14,-0.17,64,0.69,32,0.38,24,-0.08,63,0.17,43,0.86,26
Brian Harman,20,0.04,64,-0.68,86,0.04,57,-0.32,83,0.68,10,0.81,7,0.85,27
Emiliano Grillo,14,0.03,65,0.47,28,0.53,36,0.25,38,0.04,50,0.30,33,0.83,28
Keegan Bradley,13,0.38,39,0.40,32,0.96,23,0.39,23,0.18,41,-0.19,73,0.77,29
Harris English,12,-0.30,82,0.25,43,-0.07,61,-0.03,61,-0.02,58,0.82,6,0.75,30
Robert Streb,16,-0.16,75,0.03,51,0.62,35,-0.06,62,0.75,8,0.12,45,0.74,31
