Player,RDs,SG-OTT,RK,SG-APP,RK,SG-T2G,RK,SG-BST,RK,SG-ATG,RK,SG-P,RK,SG-TOT,RK
Ben Griffin,4,-0.03,84,0.90,9,1.71,8,0.44,29,0.84,2,0.89,6,2.60,1
Sam Burns,4,1.17,4,0.34,40,1.60,9,0.75,7,0.09,60,0.81,9,2.41,2
Max Mcgreevy,4,0.43,36,0.95,7,1.91,3,0.69,11,0.53,12,0.44,28,2.35,3
Taylor Moore,4,1.30,2,0.36,37,2.17,1,0.83,6,0.51,14,0.18,46,2.35,4
Sungjae Im,16,0.91,6,0.86,13,1.82,4,0.88,4,0.05,70,0.48,26,2.30,5
Webb Simpson,25,0.53,23,0.90,10,1.58,10,0.72,8,0.15,52,0.62,19,2.20,6
Billy Horschel,24,0.66,18,0.46,30,1.18,19,0.56,16,0.06,65,0.68,14,1.86,7
Brandon Wu,4,0.68,16,0.28,53,1.35,14,0.48,23,0.37,21,0.44,29,1.79,8
Cam Davis,8,-0.06,89,0.05,71,0.52,53,0.00,82,0.53,10,1.25,3,1.78,9
Si Woo Kim,21,0.20,59,1.21,3,1.80,6,0.70,10,0.40,19,-0.03,64,1.77,10
Russell Henley,22,0.54,21,0.47,27,1.30,16,0.51,19,0.28,28,0.35,35,1.65,11
Davis Riley,4,0.32,45,0.65,19,1.21,18,0.49,22,0.24,37,0.39,33,1.60,12
Taylor Pendrith,4,0.54,22,0.88,12,1.76,7,0.71,9,0.34,25,-0.16,74,1.60,13
Ryan Armour,18,0.30,48,0.79,15,0.96,27,0.54,17,-0.13,86,0.61,20,1.56,14
Jim Herman,8,0.44,35,0.74,16,0.96,26,0.59,13,-0.22,96,0.54,22,1.50,15
Alex Smalley,8,0.48,31,0.04,75,0.71,42,0.26,48,0.19,44,0.75,12,1.46,16
Hideki Matsuyama,12,0.82,9,1.22,2,1.82,5,1.02,1,-0.23,99,-0.39,92,1.43,17
Matt Kuchar,4,-0.04,87,0.35,38,0.85,35,0.16,62,0.54,9,0.46,27,1.31,18
Denny McCarthy,18,-0.31,107,0.59,21,0.46,59,0.14,67,0.18,47,0.84,7,1.30,19
Brandt Snedeker,18,0.16,64,0.31,42,0.71,41,0.24,53,0.23,39,0.56,21,1.27,20
Rory Sabbatini,22,0.38,40,0.29,49,0.95,28,0.34,37,0.27,31,0.25,42,1.19,21
Richy Werenski,20,0.19,60,-0.09,84,0.34,67,0.05,79,0.24,35,0.77,11,1.11,22
Callum Tarren,4,-0.49,116,-0.62,114,-0.66,106,-0.55,116,0.44,15,1.76,1,1.10,23
David Lipsky,4,0.39,38,0.95,6,1.48,11,0.67,12,0.14,55,-0.39,91,1.10,24
Adam Hadwin,10,0.45,33,0.29,50,0.98,25,0.37,33,0.24,38,0.10,51,1.08,25
Ryan Moore,20,0.70,14,0.45,31,1.14,20,0.57,15,0.00,74,-0.07,68,1.07,26
Byeong Hun An,10,0.39,39,0.39,35,1.30,15,0.39,31,0.53,11,-0.27,81,1.03,27
Chris Kirk,16,0.37,41,-0.03,82,0.56,52,0.17,60,0.22,41,0.41,31,0.97,28
Zach Johnson,14,0.23,56,0.93,8,0.87,33,0.58,14,-0.28,105,0.10,52,0.97,29
Harry Higgs,10,-0.32,108,0.27,56,0.47,58,-0.03,90,0.52,13,0.50,24,0.97,30
Brice Garnett,20,0.27,51,-0.29,103,-0.03,84,-0.01,85,-0.01,75,0.92,5,0.90,31
Justin Lower,4,-0.26,104,0.50,25,0.17,75,0.12,69,-0.07,81,0.67,16,0.85,32
Adam Scott,8,0.43,37,0.47,29,1.10,21,0.45,28,0.20,43,-0.27,80,0.83,33
Austin Eckroat,4,0.68,17,1.24,1,0.81,36,0.96,3,-1.12,128,0.01,61,0.81,34
Erik van Rooyen,4,-0.10,94,0.90,11,0.91,31,0.40,30,0.11,58,-0.10,70,0.81,35
Mark Hubbard,18,-0.26,105,0.56,24,0.52,54,0.15,65,0.23,40,0.28,39,0.80,36
Brendon Todd,12,0.25,55,0.27,55,0.25,71,0.26,47,-0.27,101,0.53,23,0.78,37
Will Gordon,6,0.86,8,0.21,62,1.45,12,0.53,18,0.38,20,-0.68,110,0.77,38
Harris English,22,0.15,66,0.48,26,0.75,39,0.32,39,0.11,59,0.01,59,0.75,39
