player_name,12,11,10,9,8,7,6,5,4,3,2,1
Rory McIlroy,4,-,1,-,17,-,-,15,1,-,5,-
Bryson DeChambeau,-,-,2^,6^^,18^^,-,-,20^^,10^^,-,-,5^^
Sergio Garcia,-,-,-,6^^,18^^,-,-,1^^,32^^,4^,-,3^^
Collin Morikawa,-,-,17,-,17,-,-,2,10,-,-,-
Scottie Scheffler,-,-,9,25,3,-,-,11,20,-,2,-
Phil Mickelson,-,-,-,-,23^^,-,-,3^^,19^^,-,-,6^^
Joaquin Niemann,-,-,3^,33^^,1^^,-,-,12^^,1^^,-,-,33^^
Russell Henley,-,-,5,-,39,-,6,1,30,-,-,-
Tyrrell Hatton,1,-,-,6^^,23^^,-,-,20^^,19^^,-,-,33^^
Jon Rahm,MC,-,-,2^^,6^^,-,-,6^^,5^^,-,-,9^^
Brooks Koepka,-,-,-,33^^,7^^,-,-,35^^,2^^,-,-,18^^
Justin Thomas,2,-,48,6,9,-,-,36,33,2,-,-
Vijay Singh,12^,-,-,-,-,-,-,-,-,33^,15^,18^
Patrick Cantlay,5,-,33,-,5,-,-,31,12,-,-,33
Fred Couples,15^,-,-,-,4^,-,-,-,-,8^,54^,-
Cameron Smith,-,-,-,25^^,30^^,-,-,20^^,19^^,-,-,9^^
Sepp Straka,1,-,7,15,MC,-,11,5,14,28,-,-
Charl Schwartzel,-,-,-,33^^,12^^,-,46,20^^,14^^,-,-,2^^
Tommy Fleetwood,21,-,22,-,5,-,-,11,14,16,-,62
Jason Day,3,32,13,-,50,-,-,8,-,-,27,-
Patrick Reed,10,8,60,44^^,37^^,-,-,10^^,25^^,2^,-,7^^
Bernhard Langer,2^,-,-,-,12^,-,-,12^,-,68^,19^,-
Shane Lowry,-,MC,2,-,39,-,11,7,20,8,-,-
Laurie Canter,3,-,1,35,-,-,2,-,MC,-,-,-
Denny McCarthy,-,-,58,16,5,-,48,18,14,-,-,18
Robert MacIntyre,17,-,40,6,MC,-,-,11,9,9,-,-
Daniel Berger,21,MC,-,2,12,-,25,15,20,-,-,30
MinWoo Lee,17,-,17,12,48,-,11,MC,20,-,1,-
Angel Cabrera,-,-,-,19^,51^,-,-,-,-,-,35^,1^
Bubba Watson,-,-,-,12^^,21^^,-,-,30^^,38^^,-,-,33^^
Akshay Bhatia,37,-,22,32,9,9,-,MC,3,-,-,MC
Corey Conners,-,-,65,74,24,-,-,3,6,8,-,18
J.J Spaun,29,15,33,WD,34,-,2,31,2,-,MC,-
Will Zalatoris,12,-,48,-,24,-,-,22,30,47,-,-
Keegan Bradley,-,15,65,-,34,-,-,5,20,-,-,47
Michael Kim,43,MC,-,2,13,13,6,4,MC,28,32,-
JT Poston,12,-,53,16,39,-,-,50,33,28,-,26
Dustin Johnson,-,-,-,44^^,31^^,-,-,54^^,5^^,-,-,27^^
Jose Maria Olazabal,-,-,-,39^,9^,-,-,-,-,-,54^,-
Hideki Matsuyama,-,32,48,25,13,-,-,22,MC,-,-,MC
Ludvig Aberg,-,42,WD,-,1,-,-,22,MC,-,-,MC
Tom Hoge,29,-,17,MC,54,-,67,40,3,-,-,5
Jordan Spieth,-,-,69,4,MC,-,9,-,59,28,-,12
Maverick McNealy,-,52,40,9,2,-,-,MC,MC,-,32,3
Wyndham Clark,MC,-,73,16,31,-,-,22,WD,-,5,-
Harris English,43,1,73,-,24,-,-,MC,30,-,18,-
Aaron Rai,-,MC,40,-,37,4,-,11,14,-,MC,-
Taylor Pendrith,-,7,9,-,50,-,MC,MC,38,-,5,-
Nick Taylor,12,-,33,25,9,-,-,31,MC,-,MC,-
Stephan Jaeger,-,MC,40,-,44,6,-,MC,20,36,11,-
Xander Schauffele,-,-,-,-,-,-,-,40,72,12,-,-
Max Greyserman,7,48,WD,49,24,-,11,22,MC,-,MC,-
Lucas Glover,MC,-,3,MC,31,-,MC,36,3,8,-,-
Brian Harman,MC,-,53,25,17,-,32,40,MC,-,-,1
Thomas Detry,-,15,48,1,53,-,-,MC,MC,22,47,-
Billy Horschel,21,-,9,MC,MC,-,25,MC,42,4,-,-
Davis Thompson,51,-,58,36,13,-,MC,MC,10,-,27,-
Adam Scott,37,-,22,-,37,-,-,36,MC,57,-,-
Rasmus Hojgaard,14,-,22,12,MC,34,-,-,MC,MC,32,-
Kevin Yu,MC,MC,64,16,17,45,-,-,MC,12,18,-
An Byeong-Hun,-,-,22,73,MC,-,MC,8,52,16,-,-
Sam Burns,29,-,22,49,24,-,-,48,MC,MC,-,MC
