Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Cameron Young,59,-,MC,-,MC,57,32,60,-,6,-,8,-,-,-,-,-,10900,Further details,14/1,Bet 365,Further details,MC
Tony Finau,23,-,72,MC,-,-,32,45,MC,-,-,MC,-,23,3,28,1,10600,Further details,12/1,Bet 365,Further details,7
Sungjae Im,8,1^,MC,MC,41,-,MC,29,24,-,MC,20,-,15,-,-,2,10300,Further details,20/1,Bet 365,Further details,MC
Hideki Matsuyama,-,23,29,-,16,-,32,13,MC,-,-,13,-,7,-,-,WD,10000,Further details,18/1,Bet 365,Further details,30
Emiliano Grillo,23,-,MC,1,48,-,MC,15,-,MC,-,6,-,-,3,MC,2,9700,Further details,28/1,Bet 365,Further details,10
Sepp Straka,MC,-,7,29,16,-,MC,38,64,1,-,2,-,MC,18,MC,-,9500,Further details,33/1,Bet 365,Further details,MC
Ludvig Aberg,-,-,-,-,-,25,-,24,40,4,MC,-,-,-,-,-,-,9400,Further details,33/1,Bet 365,Further details,64
Justin Thomas,14,-,65,-,MC,-,MC,9,MC,-,60,MC,-,-,-,-,-,9300,Further details,20/1,Bet 365,Further details,MC
Gary Woodland,14,-,MC,-,24,-,49,33,-,-,25,55,-,-,-,11,-,9200,Further details,40/1,Bet 365,Further details,MC
Stephan Jaeger,27,11,50,68,24,-,-,64,9,13,-,34,-,66,-,-,MC,9100,Further details,35/1,Bet 365,Further details,30
Cameron Davis,59,-,4,MC,MC,-,MC,33,17,-,MC,-,-,MC,12,28,16,9000,Further details,35/1,Bet 365,Further details,10
Adam Hadwin,MC,34,40,-,MC,12,59,-,2,MC,-,-,-,4,-,6,38,8900,Further details,45/1,Bet 365,Further details,MC
J.J Spaun,27,-,MC,63,30,-,-,MC,33,-,-,10,-,-,-,-,-,8800,Further details,40/1,Bet 365,Further details,37
Sahith Theegala,56,-,40,-,58,38,27,52,-,-,MC,MC,-,-,MC,-,MC,8700,Further details,33/1,Bet 365,Further details,MC
Keith Mitchell,59,-,58,-,48,MC,20,-,-,42,MC,MC,-,66,MC,5,-,8600,Further details,40/1,Bet 365,Further details,5
Patrick Rodgers,MC,-,29,57,30,-,32,MC,-,MC,MC,2,-,-,32,39,-,8500,Further details,40/1,Bet 365,Further details,37
JT Poston,MC,-,40,MC,38,-,MC,MC,-,6,6,41,-,-,-,28,11,8400,Further details,55/1,Bet 365,Further details,2
Mark Hubbard,27,-,75,9,30,6,-,MC,MC,6,-,10,-,-,-,16,-,8300,Further details,40/1,Bet 365,Further details,MC
Lucas Glover,MC,79,-,-,MC,20,-,MC,4,6,5,-,-,7,MC,-,MC,8200,Further details,60/1,Bet 365,Further details,MC
Vincent Norrman,-,8,-,48,-,MC,MC,MC,24,-,1,25,-,-,-,-,-,8100,Further details,40/1,Bet 365,Further details,50
Beau Hossler,47,-,40,70,24,-,-,MC,MC,26,-,6,-,34,MC,49,MC,8000,Further details,40/1,Bet 365,Further details,13
Nicolai Hojgaard,5,-,50,-,MC,MC,-,-,21,MC,6,23,-,-,-,-,-,7900,Further details,50/1,Bet 365,Further details,MC
Aaron Rai,MC,MC,-,12,MC,3,-,24,9,-,MC,-,-,-,-,-,-,7900,Further details,50/1,Bet 365,Further details,20
Eric Cole,MC,23,15,MC,24,6,39,24,-,42,60,-,-,-,-,-,-,7800,Further details,50/1,Bet 365,Further details,30
Taylor Pendrith,MC,-,29,-,60,65,MC,MC,14,-,6,MC,-,-,-,-,-,7800,Further details,60/1,Bet 365,Further details,MC
Akshay Bhatia,43,-,-,56,MC,68,-,-,MC,35,9,1,-,-,-,-,-,7700,Further details,50/1,Bet 365,Further details,NR
Alexander Noren,MC,-,MC,29,52,12,MC,-,9,-,MC,23,-,-,-,-,-,7700,Further details,75/1,Bet 365,Further details,13
Cameron Champ,MC,50,-,63,-,MC,-,MC,MC,51,-,17,-,MC,-,1,16,7600,Further details,70/1,Bet 365,Further details,NR
Justin Suh,59,MC,26,16,41,-,27,56,78,-,-,34,-,58,-,-,-,7600,Further details,70/1,Bet 365,Further details,43
Ryan Fox,-,-,23,21,30,-,43,-,-,-,12,52,-,-,-,-,-,7600,Further details,66/1,Bet 365,Further details,MC
Tom Hoge,-,43,58,52,65,-,MC,60,MC,-,19,MC,-,23,46,MC,4,7500,Further details,66/1,Bet 365,Further details,20
Christiaan Bezuidenhout,-,23,MC,21,38,-,-,MC,56,MC,MC,49,-,-,-,-,-,7500,Further details,70/1,Bet 365,Further details,MC
