Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Tony Finau,-,52,18,17,-,8,3,5,-,-,-,MC,-,23,3,28,1,7,10500,Further details,11/1,Bet 365,Further details
Sahith Theegala,-,52,12,-,MC,12,32,48,-,-,4,MC,-,-,MC,-,MC,MC,10300,Further details,20/1,Bet 365,Further details
Sam Burns,-,13,MC,-,10,15,9,55,-,-,-,31,-,7,32,-,-,-,10000,Further details,18/1,Bet 365,Further details
Akshay Bhatia,-,42,MC,MC,60,22,16,5,2,-,-,MC,-,-,-,-,-,-,9800,Further details,22/1,Bet 365,Further details
Billy Horschel,-,52,8,24,-,15,41,55,-,-,MC,2,-,-,-,-,-,13,9600,Further details,35/1,Bet 365,Further details
Keith Mitchell,20,-,MC,37,10,-,-,-,MC,18,MC,MC,-,66,MC,5,-,5,9400,Further details,30/1,Bet 365,Further details
Luke Clanton,-,-,-,-,-,-,41,-,10,2,37,-,-,-,-,-,-,-,9300,Further details,25/1,Bet 365,Further details
JT Poston,-,60,MC,12,-,22,32,55,-,30,-,MC,-,-,-,28,11,2,9200,Further details,35/1,Bet 365,Further details
Keegan Bradley,-,21,18,2,-,43,32,39,-,-,-,MC,-,46,-,39,-,-,9000,Further details,35/1,Bet 365,Further details
Cameron Davis,-,38,MC,56,-,50,MC,48,1,-,26,-,-,MC,12,28,16,10,8900,Further details,35/1,Bet 365,Further details
Tom Hoge,41,38,23,17,-,45,MC,3,-,-,MC,72,-,23,46,MC,4,20,8800,Further details,33/1,Bet 365,Further details
Taylor Pendrith,1,10,MC,-,21,33,16,23,72,-,-,5,-,-,-,-,-,MC,8700,Further details,33/1,Bet 365,Further details
Erik van Rooyen,-,4,53,-,42,-,MC,-,6,-,39,-,-,-,MC,58,-,MC,8600,Further details,40/1,Bet 365,Further details
Emiliano Grillo,-,64,MC,64,-,27,41,55,-,-,MC,43,-,-,3,MC,2,10,8500,Further details,45/1,Bet 365,Further details
Nick Dunlap,30,24,MC,-,-,12,MC,66,10,MC,-,1,-,-,-,-,-,-,8400,Further details,45/1,Bet 365,Further details
Maverick McNealy,41,-,23,17,7,-,-,-,44,MC,-,MC,-,-,-,16,49,-,8300,Further details,45/1,Bet 365,Further details
Lee Hodges,-,24,12,12,-,45,-,31,MC,77,46,-,-,-,-,-,16,1,8200,Further details,50/1,Bet 365,Further details
Patrick Rodgers,-,29,MC,45,-,MC,-,16,31,34,-,5,-,-,32,39,-,37,8100,Further details,50/1,Bet 365,Further details
Benjamin Griffin,13,16,WD,MC,2,MC,-,67,31,5,39,MC,-,-,-,-,-,20,7900,Further details,50/1,Bet 365,Further details
Adam Hadwin,-,52,60,-,MC,3,MC,27,-,-,34,MC,-,4,-,6,38,MC,7900,Further details,40/1,Bet 365,Further details
Samuel Stevens,62,10,-,MC,14,-,2^,-,10,34,57,29,-,-,-,-,-,10,7800,Further details,50/1,Bet 365,Further details
Kurt Kitayama,-,34,26,-,-,MC,MC,31,-,-,34,41,-,-,-,-,-,-,7800,Further details,50/1,Bet 365,Further details
Mackenzie Hughes,41,6,MC,-,7,MC,MC,36,-,-,46,16,-,66,-,-,-,30,7700,Further details,55/1,Bet 365,Further details
Michael Thorbjornsen,-,-,-,-,-,-,-,39,MC,2,MC,61,-,-,-,-,-,-,7700,Further details,55/1,Bet 365,Further details
Mac Meissner,MC,13,-,5,57,-,MC,-,MC,20,16,4,-,-,-,-,-,-,7600,Further details,55/1,Bet 365,Further details
Chan Kim,MC,40,-,MC,MC,-,-,-,MC,12,10,29,-,-,-,-,-,-,7600,Further details,55/1,Bet 365,Further details
Harry Hall,MC,40,-,MC,42,-,-,-,31,12,1,-,-,-,-,-,-,MC,7600,Further details,55/1,Bet 365,Further details
Beau Hossler,52,4,MC,MC,14,-,MC,-,31,61,-,MC,-,34,MC,49,MC,13,7500,Further details,70/1,Bet 365,Further details
Matt Wallace,4,20,43,-,27,-,-,15,MC,-,MC,41,-,-,-,-,26,43,7500,Further details,70/1,Bet 365,Further details
Rico Hoey,MC,MC,-,-,MC,-,MC,-,6,26,2,8,-,-,-,-,-,-,7500,Further details,60/1,Bet 365,Further details
Jhonattan Vegas,MC,-,-,-,27,-,-,-,25,20,-,-,-,-,MC,2,-,-,7500,Further details,60/1,Bet 365,Further details
Adam Svensson,-,47,43,24,51,27,56,16,MC,34,-,MC,-,15,-,-,MC,37,7400,Further details,75/1,Bet 365,Further details
Thriston Lawrence,-,36,MC,48,2,21^,-,-,-,MC,MC,4,-,-,-,-,-,-,7400,Further details,75/1,Bet 365,Further details
Max Greyserman,MC,40,-,MC,MC,-,21,-,31,26,21,13,-,-,-,-,-,-,7400,Further details,66/1,Bet 365,Further details
Andrew Novak,30,54,-,MC,14,-,-,-,20,7,70,-,-,-,-,-,54,MC,7400,Further details,75/1,Bet 365,Further details
Doug Ghim,MC,-,35,50,WD,-,-,-,MC,34,MC,-,-,-,18,MC,16,27,7300,Further details,75/1,Bet 365,Further details
Patrick Fishburn,MC,20,-,-,MC,-,17^,-,25,MC,15,3,-,-,-,-,-,-,7300,Further details,75/1,Bet 365,Further details
Jake Knapp,8,58,MC,-,-,MC,MC,48,31,52,-,24,-,-,-,-,-,-,7300,Further details,66/1,Bet 365,Further details
Neal Shipley,-,-,-,-,-,-,26,-,20,MC,6,40,-,-,-,-,-,-,7300,Further details,66/1,Bet 365,Further details
Seamus Power,MC,16,-,-,MC,27,MC,20,-,17,65,-,-,-,MC,-,-,-,7300,Further details,80/1,Bet 365,Further details
Seonghyeon Kim,4,50,63,61,MC,-,56,-,MC,34,55,17,-,-,-,-,-,27,7200,Further details,100/1,Bet 365,Further details
J.J Spaun,MC,26,-,MC,MC,-,-,-,10,23,45,29,-,66,MC,MC,-,37,7200,Further details,90/1,Bet 365,Further details
